6673_72311_000000_000000	AUNT JOANNA	AUNT JOANNA	true	21.15	22.57	22.939352
6673_72311_000063_000000	During the night, at what time she did not know, Mrs. Hockin awoke with a start, and found that her husband was sitting up in bed listening. There was a moon that night, and no clouds in the sky.	During the night, at what time she did not know, mrs Hockin awoke with a start, and found that her husband was sitting up in bed listening. There was a moon that night, and no clouds in the sky.	true	994.94	1007.77	20
6673_72311_000063_000001	The room was full of silver light.	The room was full of silver light.	true	1008.02	1010.86	18.126463
6673_72311_000063_000002	Elizabeth Hockin heard a sound of feet in the kitchen, which was immediately under the bedroom of the couple.	Elizabeth Hockin heard a sound of feet in the kitchen, which was immediately under the bedroom of the couple.	true	1010.87	1017.28	18.654434
6673_72311_000064_000000	"There's someone about," she whispered; "go down, Jabez."	"There's someone about," she whispered; "go down, Jabez."	false	1017.53	1021.65	17.86959
6673_72311_000065_000000	"I wonder, now, who it be.	"I wonder, now, who it be.	false	1021.65	1023.93	18.510477
6673_72311_000065_000001	P'raps its Sally."	P'raps its Sally."	false	1023.93	1025.37	17.66896
6673_72311_000066_000000	"It can't be Sally--how can it, when she can't get out o' her room wi'out passin' through ours?"	"It can't be Sally-how can it, when she can't get out o' her room wi'out passin' through ours?"	false	1025.37	1031.85	15.529516
6673_72311_000067_000000	"Run down, Elizabeth, and see."	"Run down, Elizabeth, and see."	false	1031.85	1034.2	10.152353
6673_72311_000068_000000	"It's your place to go, Jabez."	"It's your place to go, Jabez."	true	1034.42	1036.72	10
6673_72311_000069_000000	"But if it was a woman--and me in my night-shirt?"	"But if it was a woman-and me in my night shirt?"	true	1036.97	1040.07	16.97816
6673_72311_000070_000000	"And, Jabez, if it was a man, a robber--and me in my night-shirt?	"And, Jabez, if it was a man, a robber-and me in my night shirt?	false	1040.07	1045.32	11
6673_72311_000070_000001	It 'ud be shameful."	It 'u d be shameful."	false	1045.32	1047.02	18.114702
6673_72311_000071_000000	"I reckon us had best go down together."	"I reckon us had best go down together."	true	1047.02	1049.56	20.37434
6673_72311_000072_000000	"We'll do so--but I hope it's not----"	"We'll do so-but I hope it's not----"	true	1049.66	1052.65	19.3596
6673_72311_000073_000000	"What?"	"What?"	true	1053.17	1053.88	22.127096
6673_72311_000074_000000	Mrs. Hockin did not answer.	mrs Hockin did not answer.	true	1054.04	1056.46	19.573812
6673_72311_000074_000001	She and her husband crept from bed, and, treading on tiptoe across the room, descended the stair.	She and her husband crept from bed, and, treading on tiptoe across the room, descended the stair.	true	1056.62	1063.21	20.744009
6673_72311_000075_000000	There was no door at the bottom, but the staircase was boarded up at the side; it opened into the kitchen.	There was no door at the bottom, but the staircase was boarded up at the side; it opened into the kitchen.	true	1063.79	1070.89	21.556747
6673_72311_000076_000000	They descended very softly and cautiously, holding each other, and when they reached the bottom, peered timorously into the apartment that served many purposes--kitchen, sitting-room, and dining-place.	They descended very softly and cautiously, holding each other, and when they reached the bottom, peered timorously into the apartment that served many purposes-kitchen, sitting room, and dining place.	true	1071.23	1085.59	17.977512
6673_72311_000076_000001	The moonlight poured in through the broad, low window.	The moonlight poured in through the broad, low window.	true	1085.84	1089.43	22.218605
6673_72311_000077_000000	By it they saw a figure.	By it they saw a figure.	true	1089.92	1092.52	17.162893
6673_72311_000077_000001	There could be no mistaking it--it was that of Aunt Joanna, clothed in the tattered sheet that Elizabeth Hockin had allowed for her grave-clothes.	There could be no mistaking it-it was that of Aunt Joanna, clothed in the tattered sheet that Elizabeth Hockin had allowed for her grave clothes.	true	1092.83	1102.54	20.29344
6673_72311_000077_000002	The old woman had taken one of the fine linen sheets out of the cupboard in which it had been placed, and had spread it over the long table, and was smoothing it down with her bony hands.	The old woman had taken one of the fine linen sheets out of the cupboard in which it had been placed, and had spread it over the long table, and was smoothing it down with her bony hands.	true	1102.76	1113.73	17
6673_72311_000078_000000	The Hockins trembled, not with cold, though it was mid-winter, but with terror.	The Hockins trembled, not with cold, though it was mid winter, but with terror.	true	1114.25	1120.09	17.986046
6673_72311_000078_000001	They dared not advance, and they felt powerless to retreat.	They dared not advance, and they felt powerless to retreat.	true	1120.19	1125.22	19.17772
6673_72311_000079_000000	Then they saw Aunt Joanna go to the cupboard, open it, and return with the silver spoons; she placed all six on the sheet, and with a lean finger counted them.	Then they saw Aunt Joanna go to the cupboard, open it, and return with the silver spoons; she placed all six on the sheet, and with a lean finger counted them.	true	1125.98	1137.46	20.281513
6673_72311_000080_000000	She turned her face towards those who were watching her proceedings, but it was in shadow, and they could not distinguish the features nor note the expression with which she regarded them.	She turned her face towards those who were watching her proceedings, but it was in shadow, and they could not distinguish the features nor note the expression with which she regarded them.	true	1138.04	1149.79	18.170677
6673_72311_000081_000000	Presently she went back to the cupboard, and returned with the silver teapot.	Presently she went back to the cupboard, and returned with the silver teapot.	true	1150.52	1155.43	19.630287
6673_72311_000081_000001	She stood at one end of the table, and now the reflection of the moon on the linen sheet was cast upon her face, and they saw that she was moving her lips--but no sound issued from them.	She stood at one end of the table, and now the reflection of the moon on the linen sheet was cast upon her face, and they saw that she was moving her lips-but no sound issued from them.	true	1155.62	1167.31	18.024841
6673_72311_000082_000000	She thrust her hand into the teapot and drew forth the coins, one by one, and rolled them along the table.	She thrust her hand into the teapot and drew forth the coins, one by one, and rolled them along the table.	true	1167.74	1175.62	18
6673_72311_000082_000001	The Hockins saw the glint of the metal, and the shadow cast by each piece of money as it rolled.	The Hockins saw the glint of the metal, and the shadow cast by each piece of money as it rolled.	true	1176.05	1181.71	20.18177
6673_72311_000082_000002	The first coin lodged at the further left-hand corner and the second rested near it; and so on, the pieces were rolled, and ranged themselves in order, ten in a row.	The first coin lodged at the further left hand corner and the second rested near it; and so on, the pieces were rolled, and ranged themselves in order, ten in a row.	true	1182.02	1192.75	20.834854
6673_72311_000082_000003	Then the next ten were run across the white cloth in the same manner, and dropped over on their sides below the first row; thus also the third ten.	Then the next ten were run across the white cloth in the same manner, and dropped over on their sides below the first row; thus also the third ten.	true	1193.12	1202.82	15
6673_72311_000082_000004	And all the time the dead woman was mouthing, as though counting, but still inaudibly.	And all the time the dead woman was mouthing, as though counting, but still inaudibly.	true	1202.82	1208.34	18.81978
6673_72311_000083_000000	[Illustration: SHE THRUST HER HAND INTO THE TEAPOT AND DREW FORTH THE COINS, ONE BY ONE, AND ROLLED THEM ALONG THE TABLE.]	[Illustration: SHE THRUST HER HAND INTO THE TEAPOT AND DREW FORTH THE COINS, ONE BY ONE, AND ROLLED THEM ALONG THE TABLE.]	false	1208.34	1209.18	100
6673_72311_000084_000000	The couple stood motionless observing proceedings, till suddenly a cloud passed before the face of the moon, so dense as to eclipse the light.	The couple stood motionless observing proceedings, till suddenly a cloud passed before the face of the moon, so dense as to eclipse the light.	false	1209.18	1218.13	19
6673_72311_000085_000000	Then in a paroxysm of terror both turned and fled up the stairs, bolted their bedroom door, and jumped into bed.	Then in a paroxysm of terror both turned and fled up the stairs, bolted their bedroom door, and jumped into bed.	true	1218.44	1225.33	16
6673_72311_000086_000000	There was no sleep for them that night.	There was no sleep for them that night.	true	1226	1228.57	20.776722
6673_72311_000086_000001	In the gloom when the moon was concealed, in the glare when it shone forth, it was the same, they could hear the light rolling of the coins along the table, and the click as they fell over.	In the gloom when the moon was concealed, in the glare when it shone forth, it was the same, they could hear the light rolling of the coins along the table, and the click as they fell over.	false	1228.82	1239.79	17
6673_72311_000086_000002	Was the supply inexhaustible?	Was the supply inexhaustible?	true	1240.1	1242.61	19.855185
6673_72311_000086_000003	It was not so, but apparently the dead woman did not weary of counting the coins.	It was not so, but apparently the dead woman did not weary of counting the coins.	true	1242.83	1248.19	19.840477
6673_72311_000086_000004	When all had been ranged, she could be heard moving to the further end of the table, and there recommencing the same proceeding of coin-rolling.	When all had been ranged, she could be heard moving to the further end of the table, and there recommencing the same proceeding of coin rolling.	true	1248.68	1256.62	12
6673_72311_000087_000000	Not till near daybreak did this sound cease, and not till the maid, Sally, had begun to stir in the inner bedchamber did Hockin and his wife venture to rise.	Not till near daybreak did this sound cease, and not till the maid, Sally, had begun to stir in the inner bedchamber did Hockin and his wife venture to rise.	false	1256.78	1266.85	19
6673_72311_000087_000001	Neither would suffer the servant girl to descend till they had been down to see in what condition the kitchen was.	Neither would suffer the servant girl to descend till they had been down to see in what condition the kitchen was.	true	1266.98	1273.51	18.953133
6673_72311_000087_000002	They found that the table had been cleared, the coins were all back in the teapot, and that and the spoons were where they had themselves placed them.	They found that the table had been cleared, the coins were all back in the teapot, and that and the spoons were where they had themselves placed them.	true	1273.73	1283.56	18.800701
6673_72311_000087_000003	The sheet, moreover, was neatly folded, and replaced where it had been before.	The sheet, moreover, was neatly folded, and replaced where it had been before.	true	1283.6	1288.63	18.921947
6673_72311_000088_000000	The Hockins did not speak to one another of their experiences during the past night, so long as they were in the house, but when Jabez was in the field, Elizabeth went to him and said: "Husband, what about Aunt Joanna?"	The Hockins did not speak to one another of their experiences during the past night, so long as they were in the house, but when Jabez was in the field, Elizabeth went to him and said: "Husband, what about Aunt Joanna?"	false	1288.67	1301.8	18.630817
6673_72311_000089_000000	"I don't know--maybe it were a dream."	"I don't know-maybe it were a dream."	false	1302.41	1305.06	16.85476
6673_72311_000090_000000	"Curious us should ha' dreamed alike."	"Curious us should ha' dreamed alike."	false	1305.06	1307.47	17
6673_72311_000091_000000	"I don't know that; 'twere the gin made us dream, and us both had gin, so us dreamed the same thing."	"I don't know that; 'twere the gin made us dream, and us both had gin, so us dreamed the same thing."	true	1307.66	1314.13	18.495632
6673_72311_000092_000000	"'Twere more like real truth than dream," observed Elizabeth.	"'twere more like real truth than dream," observed Elizabeth.	true	1314.14	1318.24	19.487465
6673_72311_000093_000000	"We'll take it as dream," said Jabez.	"We'll take it as dream," said Jabez.	false	1318.24	1320.75	11
6673_72311_000093_000001	"Mebbe it won't happen again."	"Mebbe it won't happen again."	false	1320.75	1322.44	18.469614
6673_72311_000094_000000	But precisely the same sounds were heard on the following night.	But precisely the same sounds were heard on the following night.	true	1322.63	1326.22	17.249668
6673_72311_000094_000001	The moon was obscured by thick clouds, and neither of the two had the courage to descend to the kitchen.	The moon was obscured by thick clouds, and neither of the two had the courage to descend to the kitchen.	true	1326.35	1332.79	20.808664
6673_72311_000094_000002	But they could hear the patter of feet, and then the roll and click of the coins.	But they could hear the patter of feet, and then the roll and click of the coins.	true	1332.8	1337.71	17.374434
6673_72311_000094_000003	Again sleep was impossible.	Again sleep was impossible.	true	1337.84	1340.53	21.194181
6673_72311_000095_000000	"Whatever shall we do?" asked Elizabeth Hockin next morning of her husband.	"Whatever shall we do?" asked Elizabeth Hockin next morning of her husband.	false	1341.08	1346.32	17
6673_72311_000095_000001	"Us can't go on like this wi' the dead woman about our house nightly.	"Us can't go on like this wi' the dead woman about our house nightly.	false	1346.48	1350.49	12
6673_72311_000095_000002	There's no tellin' she might take it into her head to come upstairs and pull the sheets off us.	There's no tellin' she might take it into her head to come upstairs and pull the sheets off us.	true	1350.56	1356.01	16
6673_72311_000095_000003	As we took hers, she may think it fair to carry off ours."	As we took hers, she may think it fair to carry off ours."	true	1356.08	1360.36	17.498646
6673_72311_000096_000000	"I think," said Jabez sorrowfully, "we'll have to return 'em."	"I think," said Jabez sorrowfully, "we'll have to return 'em."	false	1360.76	1365.66	17.985823
6673_72311_000097_000000	"But how?"	"But how?"	false	1365.66	1367.19	23.29883
6673_72311_000098_000000	After some consultation the couple resolved on conveying all the deceased woman's goods to the churchyard, by night, and placing them on her grave.	After some consultation the couple resolved on conveying all the deceased woman's goods to the churchyard, by night, and placing them on her grave.	true	1367.19	1375.84	18
6673_72311_000099_000000	"I reckon," said Hockin, "we'll bide in the porch and watch what happens.	"I reckon," said Hockin, "we'll bide in the porch and watch what happens.	true	1376.09	1380.52	18.98286
6673_72311_000099_000001	If they be left there till mornin', why we may carry 'em back wi' an easy conscience.	If they be left there till mornin', why we may carry 'em back wi' an easy conscience.	false	1380.68	1385.5	20.825686
6673_72311_000099_000002	We've spent some pounds over her buryin'."	We've spent some pounds over her buryin'."	true	1385.57	1388.38	20.278973
6673_72311_000100_000000	"What have it come to?"	"What have it come to?"	true	1388.72	1390.48	21.28972
6673_72311_000101_000000	"Three pounds five and fourpence, as I make it out."	"Three pounds five and fourpence, as I make it out."	true	1390.85	1394.14	19.168629
6673_72311_000102_000000	"Well," said Elizabeth, "we must risk it."	"Well," said Elizabeth, "we must risk it."	false	1394.39	1398.42	17.666523
6673_72311_000103_000000	When night had fallen murk, the farmer and his wife crept from their house, carrying the linen sheets, the teapot, and the silver spoons. They did not start till late, for fear of encountering any villagers on the way, and not till after the maid, Sally, had gone to bed.	When night had fallen murk, the farmer and his wife crept from their house, carrying the linen sheets, the teapot, and the silver spoons. They did not start till late, for fear of encountering any villagers on the way, and not till after the maid, Sally, had gone to bed.	true	1398.42	1415.47	19.05255
6673_72311_000104_000000	They fastened the farm door behind them.	They fastened the farm door behind them.	true	1415.93	1418.53	12
6673_72311_000104_000001	The night was dark and stormy, with scudding clouds, so dense as to make deep night, when they did not part and allow the moon to peer forth.	The night was dark and stormy, with scudding clouds, so dense as to make deep night, when they did not part and allow the moon to peer forth.	true	1418.66	1427.56	20
6673_72311_000105_000000	They walked timorously, and side by side, looking about them as they proceeded, and on reaching the churchyard gate they halted to pluck up courage before opening and venturing within.	They walked timorously, and side by side, looking about them as they proceeded, and on reaching the churchyard gate they halted to pluck up courage before opening and venturing within.	true	1428.08	1439.8	20
6673_72311_000105_000001	Jabez had furnished himself with a bottle of gin, to give courage to himself and his wife.	Jabez had furnished himself with a bottle of gin, to give courage to himself and his wife.	false	1440.17	1445.71	21.313246
6673_72311_000106_000000	Together they heaped the articles that had belonged to Aunt Joanna upon the fresh grave, but as they did so the wind caught the linen and unfurled and flapped it, and they were forced to place stones upon it to hold it down.	Together they heaped the articles that had belonged to Aunt Joanna upon the fresh grave, but as they did so the wind caught the linen and unfurled and flapped it, and they were forced to place stones upon it to hold it down.	true	1446.23	1460.53	20.149519
6673_72311_000107_000000	Then, quaking with fear, they retreated to the church porch, and Jabez, uncorking the bottle, first took a long pull himself, and then presented it to his wife.	Then, quaking with fear, they retreated to the church porch, and Jabez, uncorking the bottle, first took a long pull himself, and then presented it to his wife.	true	1460.72	1471.54	20.375788
6673_72311_000108_000000	And now down came a tearing rain, driven by a blast from the Atlantic, howling among the gravestones, and screaming in the battlements of the tower and its bell-chamber windows.	And now down came a tearing rain, driven by a blast from the Atlantic, howling among the gravestones, and screaming in the battlements of the tower and its bell chamber windows.	true	1471.79	1482.58	11
6673_72311_000108_000001	The night was so dark, and the rain fell so heavily, that they could see nothing for full half an hour.	The night was so dark, and the rain fell so heavily, that they could see nothing for full half an hour.	true	1482.71	1489.09	16
6673_72311_000108_000002	But then the clouds were rent asunder, and the moon glared white and ghastly over the churchyard.	But then the clouds were rent asunder, and the moon glared white and ghastly over the churchyard.	true	1489.1	1495.45	19.15669
6673_72311_000109_000000	Elizabeth caught her husband by the arm and pointed.	Elizabeth caught her husband by the arm and pointed.	true	1495.58	1498.93	20.289743
6673_72311_000109_000001	There was, however, no need for her to indicate that on which his eyes were fixed already.	There was, however, no need for her to indicate that on which his eyes were fixed already.	true	1498.94	1504.98	16.275085
6673_72311_000110_000000	Both saw a lean hand come up out of the grave, and lay hold of one of the fine linen sheets and drag at it.	Both saw a lean hand come up out of the grave, and lay hold of one of the fine linen sheets and drag at it.	true	1504.98	1512.43	18.588089
6673_72311_000110_000001	They saw it drag the sheet by one corner, and then it went down underground, and the sheet followed, as though sucked down in a vortex; fold on fold it descended, till the entire sheet had disappeared.	They saw it drag the sheet by one corner, and then it went down underground, and the sheet followed, as though sucked down in a vortex; fold on fold it descended, till the entire sheet had disappeared.	true	1512.65	1527.06	20.502735
6673_72311_000111_000000	"Her have taken it for her windin' sheet," whispered Elizabeth. "Whativer will her do wi' the rest?"	"Her have taken it for her windin' sheet," whispered Elizabeth. "Whativer will her do wi' the rest?"	false	1527.06	1533.79	17.531101
6673_72311_000112_000000	"Have a drop o' gin; this be terrible tryin'," said Jabez in an undertone; and again the couple put their lips to the bottle, which came away considerably lighter after the draughts.	"Have a drop o' gin; this be terrible tryin'," said Jabez in an undertone; and again the couple put their lips to the bottle, which came away considerably lighter after the draughts.	false	1534.34	1545.36	14
6673_72311_000113_000000	"Look!" gasped Elizabeth.	"Look!" gasped Elizabeth.	false	1545.36	1547.95	19.030817
6673_72311_000114_000000	Again the lean hand with long fingers appeared above the soil, and this was seen groping about the grass till it laid hold of the teapot.	Again the lean hand with long fingers appeared above the soil, and this was seen groping about the grass till it laid hold of the teapot.	true	1548.05	1556.53	20.387236
6673_72311_000114_000001	Then it groped again, and gathered up the spoons, that flashed in the moonbeams.	Then it groped again, and gathered up the spoons, that flashed in the moonbeams.	true	1556.57	1562.14	22
6673_72311_000114_000002	Next, up came the second hand, and a long arm that stretched along the grave till it reached the other sheets.	Next, up came the second hand, and a long arm that stretched along the grave till it reached the other sheets.	true	1562.33	1569.25	17
6673_72311_000114_000003	At once, on being raised, these sheets were caught by the wind, and flapped and fluttered like half-hoisted sails.	At once, on being raised, these sheets were caught by the wind, and flapped and fluttered like half hoisted sails.	true	1569.5	1577.17	11
6673_72311_000114_000004	The hands retained them for a while till they bellied with the wind, and then let them go, and they were swept away by the blast across the churchyard, over the wall, and lodged in the carpenter's yard that adjoined, among his timber.	The hands retained them for a while till they bellied with the wind, and then let them go, and they were swept away by the blast across the churchyard, over the wall, and lodged in the carpenter's yard that adjoined, among his timber.	false	1577.3	1676.1	19.596285
