8163_274549_000000_000000	METZENGERSTEIN	m e t z e n g e r s t e i n	false	3.12	21.6	23.402586
8163_274549_000039_000001	An occurrence so common attracted no particular attention, but his return was looked for with intense anxiety on the part of his domestics, when, after some hours' absence, the stupendous and magnificent battlements of the Chateau Metzengerstein, were discovered crackling and rocking to their very foundation, under the influence of a dense and livid mass of ungovernable fire.	An occurrence so common attracted no particular attention, but his return was looked for with intense anxiety on the part of his domestics, when, after some hours' absence, the stupendous and magnificent battlements of the Chateau Metzengerstein, were discovered crackling and rocking to their very foundation, under the influence of a dense and livid mass of ungovernable fire.	false	1221.44	1244.77	22
8163_274549_000040_000000	As the flames, when first seen, had already made so terrible a progress that all efforts to save any portion of the building were evidently futile, the astonished neighborhood stood idly around in silent and pathetic wonder.	As the flames, when first seen, had already made so terrible a progress that all efforts to save any portion of the building were evidently futile, the astonished neighborhood stood idly around in silent and pathetic wonder.	true	1245.29	1259.26	20
8163_274549_000040_000001	But a new and fearful object soon rivetted the attention of the multitude, and proved how much more intense is the excitement wrought in the feelings of a crowd by the contemplation of human agony, than that brought about by the most appalling spectacles of inanimate matter.	But a new and fearful object soon rivetted the attention of the multitude, and proved how much more intense is the excitement wrought in the feelings of a crowd by the contemplation of human agony, than that brought about by the most appalling spectacles of inanimate matter.	true	1259.63	1275.91	22
8163_274549_000041_000000	Up the long avenue of aged oaks which led from the forest to the main entrance of the Chateau Metzengerstein, a steed, bearing an unbonneted and disordered rider, was seen leaping with an impetuosity which outstripped the very Demon of the Tempest.	Up the long avenue of aged oaks which led from the forest to the main entrance of the Chateau Metzengerstein, a steed, bearing an unbonneted and disordered rider, was seen leaping with an impetuosity which outstripped the very Demon of the Tempest.	true	1276.61	1294.33	23.372387
8163_274549_000042_000000	The career of the horseman was indisputably, on his own part, uncontrollable.	The career of the horseman was indisputably, on his own part, uncontrollable.	true	1294.67	1300.06	23.815847
8163_274549_000042_000001	The agony of his countenance, the convulsive struggle of his frame, gave evidence of superhuman exertion: but no sound, save a solitary shriek, escaped from his lacerated lips, which were bitten through and through in the intensity of terror.	The agony of his countenance, the convulsive struggle of his frame, gave evidence of superhuman exertion: but no sound, save a solitary shriek, escaped from his lacerated lips, which were bitten through and through in the intensity of terror.	true	1300.46	1316.47	21.860655
8163_274549_000042_000002	One instant, and the clattering of hoofs resounded sharply and shrilly above the roaring of the flames and the shrieking of the winds--another, and, clearing at a single plunge the gate-way and the moat, the steed bounded far up the tottering staircases of the palace, and, with its rider, disappeared amid the whirlwind of chaotic fire.	One instant, and the clattering of hoofs resounded sharply and shrilly above the roaring of the flames and the shrieking of the winds-another, and, clearing at a single plunge the gate way and the moat, the steed bounded far up the tottering staircases of the palace, and, with its rider, disappeared amid the whirlwind of chaotic fire.	false	1317.65	1340.53	22.121012
8163_274549_000043_000000	The fury of the tempest immediately died away, and a dead calm sullenly succeeded.	The fury of the tempest immediately died away, and a dead calm sullenly succeeded.	true	1341.32	1347.25	21.899338
8163_274549_000043_000001	A white flame still enveloped the building like a shroud, and, streaming far away into the quiet atmosphere, shot forth a glare of preternatural light; while a cloud of smoke settled heavily over the battlements in the distinct colossal figure of--_a horse_.	A white flame still enveloped the building like a shroud, and, streaming far away into the quiet atmosphere, shot forth a glare of preternatural light; while a cloud of smoke settled heavily over the battlements in the distinct colossal figure of-underscore a horse underscore.	false	1347.29	1365.99	23.145494
8163_274549_000044_000000	THE SYSTEM OF DOCTOR TARR AND PROFESSOR FETHER	THE SYSTEM OF DOCTOR TARR AND PROFESSOR FETHER	false	1365.99	1368.6	20.737358
8163_274549_000045_000000	DURING the autumn of 18--, while on a tour through the extreme southern provinces of France, my route led me within a few miles of a certain Maison de Sante or private mad-house, about which I had heard much in Paris from my medical friends.	DURING the autumn of eighteen--, while on a tour through the extreme southern provinces of France, my route led me within a few miles of a certain Maison de Sante or private mad house, about which I had heard much in Paris from my medical friends.	false	1368.6	1368.78	51
8163_274549_000045_000001	As I had never visited a place of the kind, I thought the opportunity too good to be lost; and so proposed to my travelling companion (a gentleman with whom I had made casual acquaintance a few days before) that we should turn aside, for an hour or so, and look through the establishment.	As I had never visited a place of the kind, I thought the opportunity too good to be lost; and so proposed to my travelling companion (a gentleman with whom I had made casual acquaintance a few days before) that we should turn aside, for an hour or so, and look through the establishment.	false	1368.78	1368.78	
8163_274549_000045_000002	To this he objected--pleading haste in the first place, and, in the second, a very usual horror at the sight of a lunatic.	To this he objected-pleading haste in the first place, and, in the second, a very usual horror at the sight of a lunatic.	false	1368.78	1369.26	10
8163_274549_000045_000003	He begged me, however, not to let any mere courtesy towards himself interfere with the gratification of my curiosity, and said that he would ride on leisurely, so that I might overtake him during the day, or, at all events, during the next.	He begged me, however, not to let any mere courtesy towards himself interfere with the gratification of my curiosity, and said that he would ride on leisurely, so that I might overtake him during the day, or, at all events, during the next.	false	1369.26	1369.26	
8163_274549_000045_000004	As he bade me good-bye, I bethought me that there might be some difficulty in obtaining access to the premises, and mentioned my fears on this point.	As he bade me good bye, I bethought me that there might be some difficulty in obtaining access to the premises, and mentioned my fears on this point.	false	1369.26	1369.26	
8163_274549_000045_000005	He replied that, in fact, unless I had personal knowledge of the superintendent, Monsieur Maillard, or some credential in the way of a letter, a difficulty might be found to exist, as the regulations of these private mad-houses were more rigid than the public hospital laws. For himself, he added, he had, some years since, made the acquaintance of Maillard, and would so far assist me as to ride up to the door and introduce me; although his feelings on the subject of lunacy would not permit of his entering the house.	He replied that, in fact, unless I had personal knowledge of the superintendent, Monsieur Maillard, or some credential in the way of a letter, a difficulty might be found to exist, as the regulations of these private mad houses were more rigid than the public hospital laws. For himself, he added, he had, some years since, made the acquaintance of Maillard, and would so far assist me as to ride up to the door and introduce me; although his feelings on the subject of lunacy would not permit of his entering the house.	false	1369.26	1375.98	17.687922
