1060_134451_000000_000000	SOPHISTICATION	SOPHISTICATION	true	20.82	22.06	19
1060_134451_000024_000006	A wind began to blow and he shivered.	A wind began to blow and he shivered.	true	1156.46	1158.88	18.895206
1060_134451_000024_000007	With all his strength he tried to hold and to understand the mood that had come upon him. In that high place in the darkness the two oddly sensitive human atoms held each other tightly and waited.	With all his strength he tried to hold and to understand the mood that had come upon him. In that high place in the darkness the two oddly sensitive human atoms held each other tightly and waited.	true	1160.06	1173.76	18.841518
1060_134451_000024_000008	In the mind of each was the same thought.	In the mind of each was the same thought.	true	1175.3	1177.48	14
1060_134451_000024_000009	"I have come to this lonely place and here is this other," was the substance of the thing felt.	"I have come to this lonely place and here is this other," was the substance of the thing felt.	false	1179.2	1186.45	19.822035
1060_134451_000025_000000	In Winesburg the crowded day had run itself out into the long night of the late fall.	In Winesburg the crowded day had run itself out into the long night of the late fall.	true	1188.8	1194.19	17
1060_134451_000025_000001	Farm horses jogged away along lonely country roads pulling their portion of weary people.	Farm horses jogged away along lonely country roads pulling their portion of weary people.	true	1195.34	1200.85	12
1060_134451_000025_000002	Clerks began to bring samples of goods in off the sidewalks and lock the doors of stores.	Clerks began to bring samples of goods in off the sidewalks and lock the doors of stores.	true	1201.91	1207.54	12
1060_134451_000025_000003	In the Opera House a crowd had gathered to see a show and further down Main Street the fiddlers, their instruments tuned, sweated and worked to keep the feet of youth flying over a dance floor.	In the Opera House a crowd had gathered to see a show and further down Main Street the fiddlers, their instruments tuned, sweated and worked to keep the feet of youth flying over a dance floor.	false	1208.66	1221.4	17
1060_134451_000026_000000	In the darkness in the grand-stand Helen White and George Willard remained silent.	In the darkness in the grand stand Helen White and George Willard remained silent.	true	1222.85	1228.33	18.209423
1060_134451_000026_000001	Now and then the spell that held them was broken and they turned and tried in the dim light to see into each other's eyes.	Now and then the spell that held them was broken and they turned and tried in the dim light to see into each other's eyes.	false	1230.8	1237.9	14
1060_134451_000026_000002	They kissed but that impulse did not last.	They kissed but that impulse did not last.	true	1238.78	1241.56	18
1060_134451_000026_000003	At the upper end of the Fair Ground a half dozen men worked over horses that had raced during the afternoon.	At the upper end of the Fair Ground a half dozen men worked over horses that had raced during the afternoon.	true	1243.31	1249.42	18
1060_134451_000026_000004	The men had built a fire and were heating kettles of water.	The men had built a fire and were heating kettles of water.	true	1250.18	1253.74	19
1060_134451_000026_000005	Only their legs could be seen as they passed back and forth in the light.	Only their legs could be seen as they passed back and forth in the light.	true	1254.86	1259.11	14
1060_134451_000026_000006	When the wind blew the little flames of the fire danced crazily about.	When the wind blew the little flames of the fire danced crazily about.	true	1260.59	1266.7	18.783907
1060_134451_000027_000000	George and Helen arose and walked away into the darkness.	George and Helen arose and walked away into the darkness.	true	1268.78	1272.13	16
1060_134451_000027_000001	They went along a path past a field of corn that had not yet been cut.	They went along a path past a field of corn that had not yet been cut.	true	1273.37	1277.71	10
1060_134451_000027_000002	The wind whispered among the dry corn blades.	The wind whispered among the dry corn blades.	true	1279.49	1282.75	13
1060_134451_000027_000003	For a moment during the walk back into town the spell that held them was broken.	For a moment during the walk back into town the spell that held them was broken.	true	1284.8	1290.79	14
1060_134451_000027_000004	When they had come to the crest of Waterworks Hill they stopped by a tree and George again put his hands on the girl's shoulders.	When they had come to the crest of Waterworks Hill they stopped by a tree and George again put his hands on the girl's shoulders.	true	1292.96	1301.35	14
1060_134451_000027_000005	She embraced him eagerly and then again they drew quickly back from that impulse.	She embraced him eagerly and then again they drew quickly back from that impulse.	false	1302.95	1307.23	13
1060_134451_000027_000006	They stopped kissing and stood a little apart.	They stopped kissing and stood a little apart.	true	1309.16	1311.52	14
1060_134451_000027_000007	Mutual respect grew big in them.	Mutual respect grew big in them.	true	1312.43	1314.82	18
1060_134451_000027_000008	They were both embarrassed and to relieve their embarrassment dropped into the animalism of youth.	They were both embarrassed and to relieve their embarrassment dropped into the animalism of youth.	true	1315.82	1322.29	16.993858
1060_134451_000027_000009	They laughed and began to pull and haul at each other.	They laughed and began to pull and haul at each other.	true	1322.51	1325.35	13
1060_134451_000027_000010	In some way chastened and purified by the mood they had been in, they became, not man and woman, not boy and girl, but excited little animals.	In some way chastened and purified by the mood they had been in, they became, not man and woman, not boy and girl, but excited little animals.	true	1325.81	1335.49	20.69986
1060_134451_000028_000000	It was so they went down the hill.	It was so they went down the hill.	true	1337.6	1339.69	15
1060_134451_000028_000001	In the darkness they played like two splendid young things in a young world.	In the darkness they played like two splendid young things in a young world.	true	1340.57	1344.79	13
1060_134451_000028_000002	Once, running swiftly forward, Helen tripped George and he fell.	Once, running swiftly forward, Helen tripped George and he fell.	true	1345.49	1350.31	22.870783
1060_134451_000028_000003	He squirmed and shouted.	He squirmed and shouted.	true	1350.92	1352.53	22
1060_134451_000028_000004	Shaking with laughter, he roiled down the hill.	Shaking with laughter, he roiled down the hill.	false	1353.11	1355.47	16
1060_134451_000028_000005	Helen ran after him.	Helen ran after him.	true	1356.2	1357.69	16.246248
1060_134451_000028_000006	For just a moment she stopped in the darkness. There was no way of knowing what woman's thoughts went through her mind but, when the bottom of the hill was reached and she came up to the boy, she took his arm and walked beside him in dignified silence.	For just a moment she stopped in the darkness. There was no way of knowing what woman's thoughts went through her mind but, when the bottom of the hill was reached and she came up to the boy, she took his arm and walked beside him in dignified silence.	true	1359.98	1377.1	19.679451
1060_134451_000028_000007	For some reason they could not have explained they had both got from their silent evening together the thing needed. Man or boy, woman or girl, they had for a moment taken hold of the thing that makes the mature life of men and women in the modern world possible.	For some reason they could not have explained they had both got from their silent evening together the thing needed. Man or boy, woman or girl, they had for a moment taken hold of the thing that makes the mature life of men and women in the modern world possible.	false	1378.82	1402.95	19.41805
