1705_142318_000000_000000	'Yo' may say that.	'Yo' may say that.	false	0	0.54	9
1705_142318_000049_000000	'I have an engagement at half-past eleven.	'I have an engagement at half past eleven.	true	1003.82	1006.48	19
1705_142318_000049_000001	But I will certainly come if you wish it,' replied Mr. Lennox, with a little afterthought of extreme willingness, which made Margaret shrink into herself, and almost wish that she had not proposed her natural request.	But I will certainly come if you wish it,' replied mr Lennox, with a little afterthought of extreme willingness, which made Margaret shrink into herself, and almost wish that she had not proposed her natural request.	true	1006.76	1020.43	20.519005
1705_142318_000049_000002	Mr. Bell got up and looked around him for his hat, which had been removed to make room for tea.	mr Bell got up and looked around him for his hat, which had been removed to make room for tea.	true	1021.61	1028.2	20.94063
1705_142318_000050_000000	'Well!' said he, 'I don't know what Mr. Lennox is inclined to do, but I'm disposed to be moving off homewards.	'Well!' said he, 'I don't know what mr Lennox is inclined to do, but I'm disposed to be moving off homewards.	false	1029.17	1036.72	20.382235
1705_142318_000050_000001	I've been a journey to-day, and journeys begin to tell upon my sixty and odd years.'	I've been a journey to day, and journeys begin to tell upon my sixty and odd years.'	true	1036.82	1042.06	16
1705_142318_000051_000000	'I believe I shall stay and see my brother and sister,' said Mr. Lennox, making no movement of departure.	'I believe I shall stay and see my brother and sister,' said mr Lennox, making no movement of departure.	true	1043.15	1050.22	20.287468
1705_142318_000051_000001	Margaret was seized with a shy awkward dread of being left alone with him.	Margaret was seized with a shy awkward dread of being left alone with him.	true	1050.56	1054.93	16
1705_142318_000051_000002	The scene on the little terrace in the Helstone garden was so present to her, that she could hardly help believing it was so with him.	The scene on the little terrace in the Helstone garden was so present to her, that she could hardly help believing it was so with him.	true	1055.09	1062.4	16
1705_142318_000052_000000	'Don't go yet, please, Mr. Bell,' said she, hastily.	'Don't go yet, please, mr Bell,' said she, hastily.	false	1063.31	1066.63	20
1705_142318_000052_000001	'I want you to see Edith; and I want Edith to know you.	'I want you to see Edith; and I want Edith to know you.	true	1066.88	1070.33	20
1705_142318_000052_000002	Please!' said she, laying a light but determined hand on his arm.	Please!' said she, laying a light but determined hand on his arm.	false	1070.33	1074.73	19.738401
1705_142318_000052_000003	He looked at her, and saw the confusion stirring in her countenance; he sate down again, as if her little touch had been possessed of resistless strength.	He looked at her, and saw the confusion stirring in her countenance; he sate down again, as if her little touch had been possessed of resistless strength.	false	1074.98	1084.12	16
1705_142318_000053_000000	'You see how she overpowers me, Mr. Lennox,' said he.	'You see how she overpowers me, mr Lennox,' said he.	true	1084.88	1088.32	16
1705_142318_000053_000001	'And I hope you noticed the happy choice of her expressions; she wants me to "see" this cousin Edith, who, I am told, is a great beauty; but she has the honesty to change her word when she comes to me--Mrs.	'And I hope you noticed the happy choice of her expressions; she wants me to "see" this cousin Edith, who, I am told, is a great beauty; but she has the honesty to change her word when she comes to me-mrs	false	1088.54	1102.02	21.863668
1705_142318_000053_000002	Lennox is to "know" me.	Lennox is to "know" me.	true	1102.02	1103.74	18
1705_142318_000053_000003	I suppose I am not much to "see," eh, Margaret?'	I suppose I am not much to "see," eh, Margaret?'	true	1103.84	1106.89	23
1705_142318_000054_000000	He joked, to give her time to recover from the slight flutter which he had detected in her manner on his proposal to leave; and she caught the tone, and threw the ball back.	He joked, to give her time to recover from the slight flutter which he had detected in her manner on his proposal to leave; and she caught the tone, and threw the ball back.	true	1107.68	1119.1	22.680014
1705_142318_000054_000001	Mr. Lennox wondered how his brother, the Captain, could have reported her as having lost all her good looks.	mr Lennox wondered how his brother, the Captain, could have reported her as having lost all her good looks.	true	1119.8	1126.72	19
1705_142318_000054_000002	To be sure, in her quiet black dress, she was a contrast to Edith, dancing in her white crape mourning, and long floating golden hair, all softness and glitter.	To be sure, in her quiet black dress, she was a contrast to Edith, dancing in her white crape mourning, and long floating golden hair, all softness and glitter.	true	1126.94	1138.63	20.508087
1705_142318_000054_000003	She dimpled and blushed most becomingly when introduced to Mr. Bell, conscious that she had her reputation as a beauty to keep up, and that it would not do to have a Mordecai refusing to worship and admire, even in the shape of an old Fellow of a College, which nobody had ever heard of.	She dimpled and blushed most becomingly when introduced to mr Bell, conscious that she had her reputation as a beauty to keep up, and that it would not do to have a Mordecai refusing to worship and admire, even in the shape of an old Fellow of a College, which nobody had ever heard of.	true	1139.42	1157.95	21
1705_142318_000054_000004	Mrs. Shaw and Captain Lennox, each in their separate way, gave Mr. Bell a kind and sincere welcome, winning him over to like them almost in spite of himself, especially when he saw how naturally Margaret took her place as sister and daughter of the house.	mrs Shaw and Captain Lennox, each in their separate way, gave mr Bell a kind and sincere welcome, winning him over to like them almost in spite of himself, especially when he saw how naturally Margaret took her place as sister and daughter of the house.	true	1158.62	1175.56	21
1705_142318_000055_000000	'What a shame that we were not at home to receive you,' said Edith. 'You, too, Henry! though I don't know that we should have stayed at home for you.	'What a shame that we were not at home to receive you,' said Edith. 'You, too, Henry! though I don't know that we should have stayed at home for you.	true	1176.08	1183.99	18.888302
1705_142318_000055_000001	And for Mr. Bell! for Margaret's Mr. Bell---- '	And for mr Bell! for Margaret's mr Bell---- '	true	1184.12	1187.35	25
1705_142318_000056_000000	'There is no knowing what sacrifices you would not have made,' said her brother-in-law. 'Even a dinner-party! and the delight of wearing this very becoming dress.'	'There is no knowing what sacrifices you would not have made,' said her brother in law. 'Even a dinner party! and the delight of wearing this very becoming dress.'	true	1188.23	1198.12	18.96867
1705_142318_000057_000000	Edith did not know whether to frown or to smile.	Edith did not know whether to frown or to smile.	true	1198.94	1202.05	18
1705_142318_000057_000001	But it did not suit Mr. Lennox to drive her to the first of these alternatives; so he went on.	But it did not suit mr Lennox to drive her to the first of these alternatives; so he went on.	true	1202.12	1207.99	18
1705_142318_000058_000000	'Will you show your readiness to make sacrifices to-morrow morning, first by asking me to breakfast, to meet Mr. Bell, and secondly, by being so kind as to order it at half-past nine, instead of ten o'clock? I have some letters and papers that I want to show to Miss Hale and Mr. Bell.'	'Will you show your readiness to make sacrifices to morrow morning, first by asking me to breakfast, to meet mr Bell, and secondly, by being so kind as to order it at half past nine, instead of ten o'clock? I have some letters and papers that I want to show to Miss Hale and mr Bell.'	false	1208.84	1227.22	20.446348
1705_142318_000059_000000	'I hope Mr. Bell will make our house his own during his stay in London,' said Captain Lennox. 'I am only so sorry we cannot offer him a bed-room.'	'I hope mr Bell will make our house his own during his stay in London,' said Captain Lennox. 'I am only so sorry we cannot offer him a bed room.'	true	1227.8	1237	17
1705_142318_000060_000000	'Thank you.	'Thank you.	true	1237.55	1238.5	22.430168
1705_142318_000060_000001	I am much obliged to you.	I am much obliged to you.	true	1238.57	1240.42	22
1705_142318_000060_000002	You would only think me a churl if you had, for I should decline it, I believe, in spite of all the temptations of such agreeable company,' said Mr. Bell, bowing all round, and secretly congratulating himself on the neat turn he had given to his sentence, which, if put into plain language, would have been more to this effect: 'I couldn't stand the restraints of such a proper-behaved and civil-spoken set of people as these are: it would be like meat without salt.	You would only think me a churl if you had, for I should decline it, I believe, in spite of all the temptations of such agreeable company,' said mr Bell, bowing all round, and secretly congratulating himself on the neat turn he had given to his sentence, which, if put into plain language, would have been more to this effect: 'I couldn't stand the restraints of such a proper behaved and civil spoken set of people as these are: it would be like meat without salt.	false	1240.67	1270.81	21.816654
1705_142318_000060_000003	I'm thankful they haven't a bed.	I'm thankful they haven't a bed.	true	1271.21	1273.33	22.671892
1705_142318_000060_000004	And how well I rounded my sentence!	And how well I rounded my sentence!	true	1273.64	1275.97	14.486897
1705_142318_000060_000005	I am absolutely catching the trick of good manners.'	I am absolutely catching the trick of good manners.'	true	1276.16	1279.24	19
1705_142318_000061_000000	His self-satisfaction lasted him till he was fairly out in the streets, walking side by side with Henry Lennox.	His self satisfaction lasted him till he was fairly out in the streets, walking side by side with Henry Lennox.	true	1280.06	1286.89	12
1705_142318_000061_000001	Here he suddenly remembered Margaret's little look of entreaty as she urged him to stay longer, and he also recollected a few hints given him long ago by an acquaintance of Mr. Lennox's, as to his admiration of Margaret.	Here he suddenly remembered Margaret's little look of entreaty as she urged him to stay longer, and he also recollected a few hints given him long ago by an acquaintance of mr Lennox's, as to his admiration of Margaret.	true	1287.29	1301.68	10
1705_142318_000061_000002	It gave a new direction to his thoughts.	It gave a new direction to his thoughts.	true	1302.11	1304.32	13
1705_142318_000061_000003	'You have known Miss Hale for a long time, I believe. How do you think her looking?	'You have known Miss Hale for a long time, I believe. How do you think her looking?	true	1304.99	1309.9	15
1705_142318_000061_000004	She strikes me as pale and ill.'	She strikes me as pale and ill.'	true	1310.06	1312.6	13
1705_142318_000062_000000	'I thought her looking remarkably well.	'I thought her looking remarkably well.	true	1313.42	1315.72	21
1705_142318_000062_000001	Perhaps not when I first came in--now I think of it.	Perhaps not when I first came in-now I think of it.	true	1315.91	1318.93	19
1705_142318_000062_000002	But certainly, when she grew animated, she looked as well as ever I saw her do.'	But certainly, when she grew animated, she looked as well as ever I saw her do.'	true	1319.09	1324.09	17
1705_142318_000063_000000	'She has had a great deal to go through,' said Mr. Bell.	'She has had a great deal to go through,' said mr Bell.	true	1325.27	1328.32	21
1705_142318_000064_000000	'Yes!	'Yes!	true	1329.2	1329.72	15.819176
1705_142318_000064_000001	I have been sorry to hear of all she has had to bear; not merely the common and universal sorrow arising from death, but all the annoyance which her father's conduct must have caused her, and then----'	I have been sorry to hear of all she has had to bear; not merely the common and universal sorrow arising from death, but all the annoyance which her father's conduct must have caused her, and then----'	false	1329.72	1341.97	19.899914
1705_142318_000065_000000	'Her father's conduct!' said Mr. Bell, in an accent of surprise.	'Her father's conduct!' said mr Bell, in an accent of surprise.	false	1342.46	1346.5	21
1705_142318_000065_000001	'You must have heard some wrong statement.	'You must have heard some wrong statement.	true	1346.93	1349.25	21.213812
1705_142318_000065_000002	He behaved in the most conscientious manner.	He behaved in the most conscientious manner.	true	1349.25	1351.87	18
1705_142318_000065_000003	He showed more resolute strength than I should ever have given him credit for formerly.'	He showed more resolute strength than I should ever have given him credit for formerly.'	false	1351.97	1356.58	17
1705_142318_000066_000000	'Perhaps I have been wrongly informed.	'Perhaps I have been wrongly informed.	true	1357.58	1360.21	25
1705_142318_000066_000001	But I have been told, by his successor in the living--a clever, sensible man, and a thoroughly active clergyman--that there was no call upon Mr. Hale to do what he did, relinquish the living, and throw himself and his family on the tender mercies of private teaching in a manufacturing town; the bishop had offered him another living, it is true, but if he had come to entertain certain doubts, he could have remained where he was, and so had no occasion to resign.	But I have been told, by his successor in the living-a clever, sensible man, and a thoroughly active clergyman-that there was no call upon mr Hale to do what he did, relinquish the living, and throw himself and his family on the tender mercies of private teaching in a manufacturing town; the bishop had offered him another living, it is true, but if he had come to entertain certain doubts, he could have remained where he was, and so had no occasion to resign.	false	1360.31	1389.67	22
1705_142318_000066_000002	But the truth is, these country clergymen live such isolated lives--isolated, I mean, from all intercourse with men of equal cultivation with themselves, by whose minds they might regulate their own, and discover when they were going either too fast or too slow--that they are very apt to disturb themselves with imaginary doubts as to the articles of faith, and throw up certain opportunities of doing good for very uncertain fancies of their own.'	But the truth is, these country clergymen live such isolated lives-isolated, I mean, from all intercourse with men of equal cultivation with themselves, by whose minds they might regulate their own, and discover when they were going either too fast or too slow-that they are very apt to disturb themselves with imaginary doubts as to the articles of faith, and throw up certain opportunities of doing good for very uncertain fancies of their own.'	false	1389.86	1418.92	21
1705_142318_000067_000000	'I differ from you.	'I differ from you.	true	1420.01	1421.36	22
1705_142318_000067_000001	I do not think they are very apt to do as my poor friend Hale did.' Mr. Bell was inwardly chafing.	I do not think they are very apt to do as my poor friend Hale did.' mr Bell was inwardly chafing.	true	1421.36	1427.68	21.390598
1705_142318_000068_000000	'Perhaps I used too general an expression, in saying "very apt." But certainly, their lives are such as very often to produce either inordinate self-sufficiency, or a morbid state of conscience,' replied Mr. Lennox with perfect coolness.	'Perhaps I used too general an expression, in saying "very apartment" But certainly, their lives are such as very often to produce either inordinate self sufficiency, or a morbid state of conscience,' replied mr Lennox with perfect coolness.	false	1428.41	1443.64	20
1705_142318_000069_000000	'You don't meet with any self-sufficiency among the lawyers, for instance?' asked Mr. Bell. 'And seldom, I imagine, any cases of morbid conscience.' He was becoming more and more vexed, and forgetting his lately-caught trick of good manners.	'You don't meet with any self sufficiency among the lawyers, for instance?' asked mr Bell. 'And seldom, I imagine, any cases of morbid conscience.' He was becoming more and more vexed, and forgetting his lately caught trick of good manners.	true	1444.4	1459.63	19.873095
1705_142318_000069_000001	Mr. Lennox saw now that he had annoyed his companion; and as he had talked pretty much for the sake of saying something, and so passing the time while their road lay together, he was very indifferent as to the exact side he took upon the question, and quietly came round by saying: 'To be sure, there is something fine in a man of Mr. Hale's age leaving his home of twenty years, and giving up all settled habits, for an idea which was probably erroneous--but that does not matter--an untangible thought.	mr Lennox saw now that he had annoyed his companion; and as he had talked pretty much for the sake of saying something, and so passing the time while their road lay together, he was very indifferent as to the exact side he took upon the question, and quietly came round by saying: 'To be sure, there is something fine in a man of mr Hale's age leaving his home of twenty years, and giving up all settled habits, for an idea which was probably erroneous-but that does not matter-an untangible thought.	false	1460.54	1494.52	19
1705_142318_000069_000002	One cannot help admiring him, with a mixture of pity in one's admiration, something like what one feels for Don Quixote.	One cannot help admiring him, with a mixture of pity in one's admiration, something like what one feels for Don Quixote.	true	1494.92	1502.65	19.40574
1705_142318_000069_000003	Such a gentleman as he was too!	Such a gentleman as he was too!	false	1503.47	1505.85	20.288712
1705_142318_000069_000004	I shall never forget the refined and simple hospitality he showed to me that last day at Helstone.'	I shall never forget the refined and simple hospitality he showed to me that last day at Helstone.'	true	1505.85	1512.07	18
1705_142318_000070_000000	Only half mollified, and yet anxious, in order to lull certain qualms of his own conscience, to believe that Mr. Hale's conduct had a tinge of Quixotism in it, Mr. Bell growled out--'Aye!	Only half mollified, and yet anxious, in order to lull certain qualms of his own conscience, to believe that mr Hale's conduct had a tinge of Quixotism in it, mr Bell growled out-'Aye!	false	1513.19	1526.19	21.079235
1705_142318_000070_000001	And you don't know Milton. Such a change from Helstone!	And you don't know Milton. Such a change from Helstone!	true	1526.19	1529.89	21.292936
1705_142318_000070_000002	It is years since I have been at Helstone--but I'll answer for it, it is standing there yet--every stick and every stone as it has done for the last century, while Milton!	It is years since I have been at Helstone-but I'll answer for it, it is standing there yet-every stick and every stone as it has done for the last century, while Milton!	false	1529.96	1541.2	20.291351
1705_142318_000070_000003	I go there every four or five years--and I was born there--yet I do assure you, I often lose my way--aye, among the very piles of warehouses that are built upon my father's orchard.	I go there every four or five years-and I was born there-yet I do assure you, I often lose my way-aye, among the very piles of warehouses that are built upon my father's orchard.	true	1541.36	1552.63	18
1705_142318_000070_000004	Do we part here?	Do we part here?	true	1553.15	1554.46	27.253315
1705_142318_000070_000005	Well, good night, sir; I suppose we shall meet in Harley Street to-morrow morning.'	Well, good night, sir; I suppose we shall meet in Harley Street to morrow morning.'	false	1554.89	1569.3	19.025034
