7342_73961_000000_000000	CHAPTER X	CHAPTER ten	true	30.63	31.81	18
7342_73961_000022_000009	In a week one would hardly know that the garden had been so cruelly torn about.	In a week one would hardly know that the garden had been so cruelly torn about.	true	1447.61	1453	15
7342_73961_000022_000010	Fresh flowers take the place of bruised ones, and wholesome young growths prove the enduring vitality of vegetable life.	Fresh flowers take the place of bruised ones, and wholesome young growths prove the enduring vitality of vegetable life.	true	1453.64	1462.54	15
7342_73961_000022_000011	Still we cannot help feeling, towards the end of September, that the flower year is nearly at an end, though the end is a gorgeous one, with its strong yellow masses of the later perennial Sunflowers and Marigolds, Goldenrod, and a few belated Gladioli; the brilliant foliage of Virginian Creepers, the leaf-painting of _Vitis Coignettii_, and the strong crimson of the Claret Vine.	Still we cannot help feeling, towards the end of September, that the flower year is nearly at an end, though the end is a gorgeous one, with its strong yellow masses of the later perennial Sunflowers and Marigolds, Goldenrod, and a few belated Gladioli; the brilliant foliage of Virginian Creepers, the leaf painting of underscore Vitis Coignettii underscore, and the strong crimson of the Claret Vine.	false	1464.53	1494.31	17.209497
7342_73961_000023_000000	The Water-elder (_Viburnum opulus_) now makes a brave show in the edge of the copse.	The Water elder (underscore Viburnum opulus underscore) now makes a brave show in the edge of the copse.	false	1496.9	1503.43	17
7342_73961_000023_000001	It is without doubt the most beautiful berry-bearing shrub of mid-September.	It is without doubt the most beautiful berry bearing shrub of mid September.	true	1503.83	1509.13	12
7342_73961_000023_000002	The fruit hangs in ample clusters from the point of every branch and of every lateral twig, in colour like the brightest of red currants, but with a translucent lustre that gives each separate berry a much brighter look; the whole bush shows fine warm colouring, the leaves having turned to a rich red.	The fruit hangs in ample clusters from the point of every branch and of every lateral twig, in colour like the brightest of red currants, but with a translucent lustre that gives each separate berry a much brighter look; the whole bush shows fine warm colouring, the leaves having turned to a rich red.	true	1509.86	1533.19	16
7342_73961_000023_000003	Perhaps it is because it is a native that this grand shrub or small tree is generally neglected in gardens, and is almost unknown in nurserymen's catalogues.	Perhaps it is because it is a native that this grand shrub or small tree is generally neglected in gardens, and is almost unknown in nurserymen's catalogues.	false	1534.13	1545.16	16
7342_73961_000023_000004	It is the parent of the well-known Guelder-Rose, which is merely its double-flowered form.	It is the parent of the well-known Guelder Rose, which is merely its double flowered form.	true	1545.98	1552.27	17
7342_73961_000023_000005	But the double flower leaves no berry, its familiar white ball being formed of the sterile part of the flower only, and the foliage of the garden kind does not assume so bright an autumn colouring.	But the double flower leaves no berry, its familiar white ball being formed of the sterile part of the flower only, and the foliage of the garden kind does not assume so bright an autumn colouring.	true	1552.79	1566.22	15
7342_73961_000024_000000	The nights are growing chilly, with even a little frost, and the work for the coming season of dividing and transplanting hardy plants has already begun.	The nights are growing chilly, with even a little frost, and the work for the coming season of dividing and transplanting hardy plants has already begun.	true	1568.66	1579.51	17
7342_73961_000024_000001	Plans are being made for any improvements or alterations that involve ground work.	Plans are being made for any improvements or alterations that involve ground work.	true	1580.72	1586.02	16
7342_73961_000024_000002	Already we have been at work on some broad grass rides through the copse that were roughly levelled and laid with grass last winter.	Already we have been at work on some broad grass rides through the copse that were roughly levelled and laid with grass last winter.	true	1586.84	1595.92	12
7342_73961_000024_000003	The turf has been raised and hollows filled in, grass seed sown in bare patches, and the whole beaten and rolled to a good surface, and the job put out of hand in good time before the leaves begin to fall.	The turf has been raised and hollows filled in, grass seed sown in bare patches, and the whole beaten and rolled to a good surface, and the job put out of hand in good time before the leaves begin to fall.	false	1596.59	1623.24	16.28267
