5092_28462_000000_000000	In his mission lectures in the East, Mr. Young oftentimes told this story.	In his mission lectures in the East, mr Young oftentimes told this story.	false	0	5.91	19.531702
5092_28462_000035_000013	The day was warm, and back on the broad melting bosom of the glacier beyond the crevassed front, many streams were rejoicing, gurgling, ringing, singing, in frictionless channels worn down through the white disintegrated ice of the surface into the quick and living blue, in which they flowed with a grace of motion and flashing of light to be found only on the crystal hillocks and ravines of a glacier.	The day was warm, and back on the broad melting bosom of the glacier beyond the crevassed front, many streams were rejoicing, gurgling, ringing, singing, in frictionless channels worn down through the white disintegrated ice of the surface into the quick and living blue, in which they flowed with a grace of motion and flashing of light to be found only on the crystal hillocks and ravines of a glacier.	false	1140.65	1165.78	18
5092_28462_000036_000000	Along the sides of the glacier we saw the mighty flood grinding against the granite walls with tremendous pressure, rounding outswelling bosses, and deepening the retreating hollows into the forms they are destined to have when, in the fullness of appointed time, the huge ice tool shall be withdrawn by the sun.	Along the sides of the glacier we saw the mighty flood grinding against the granite walls with tremendous pressure, rounding outswelling bosses, and deepening the retreating hollows into the forms they are destined to have when, in the fullness of appointed time, the huge ice tool shall be withdrawn by the sun	true	1165.94	1185.91	20.53533
5092_28462_000036_000001	Every feature glowed with intention, reflecting the plans of God.	Every feature glowed with intention, reflecting the plans of God.	true	1186.22	1190.89	21
5092_28462_000036_000002	Back a few miles from the front, the glacier is now probably but little more than a thousand feet deep; but when we examine the records on the walls, the rounded, grooved, striated, and polished features so surely glacial, we learn that in the earlier days of the ice age they were all over-swept, and that this glacier has flowed at a height of from three to four thousand feet above its present level, when it was at least a mile deep.	Back a few miles from the front, the glacier is now probably but little more than a thousand feet deep; but when we examine the records on the walls, the rounded, grooved, striated, and polished features so surely glacial, we learn that in the earlier days of the ice age they were all over swept, and that this glacier has flowed at a height of from three to four thousand feet above its present level, when it was at least a mile deep.	false	1191.11	1219.12	20
5092_28462_000037_000000	Standing here, with facts so fresh and telling and held up so vividly before us, every seeing observer, not to say geologist, must readily apprehend the earth-sculpturing, landscape-making action of flowing ice.	Standing here, with facts so fresh and telling and held up so vividly before us, every seeing observer, not to say geologist, must readily apprehend the earth sculpturing, landscape making action of flowing ice.	true	1219.88	1233.7	18.405334
5092_28462_000037_000001	And here, too, one learns that the world, though made, is yet being made; that this is still the morning of creation; that mountains long conceived are now being born, channels traced for coming rivers, basins hollowed for lakes; that moraine soil is being ground and outspread for coming plants,--coarse boulders and gravel for forests, finer soil for grasses and flowers,--while the finest part of the grist, seen hastening out to sea in the draining streams, is being stored away in darkness and builded particle on particle, cementing and crystallizing, to make the mountains and valleys and plains of other predestined landscapes, to be followed by still others in endless rhythm and beauty.	And here, too, one learns that the world, though made, is yet being made; that this is still the morning of creation; that mountains long conceived are now being born, channels traced for coming rivers, basins hollowed for lakes; that moraine soil is being ground and outspread for coming plants,--coarse boulders and gravel for forests, finer soil for grasses and flowers,--while the finest part of the grist, seen hastening out to sea in the draining streams, is being stored away in darkness and builded particle on particle, cementing and crystallizing, to make the mountains and valleys and plains of other predestined landscapes, to be followed by still others in endless rhythm and beauty.	true	1233.98	1279.24	19.891277
5092_28462_000038_000000	Gladly would we have camped out on this grand old landscape mill to study its ways and works; but we had no bread and the captain was keeping the Cassiar whistle screaming for our return.	Gladly would we have camped out on this grand old landscape mill to study its ways and works; but we had no bread and the captain was keeping the Cassiar whistle screaming for our return.	false	1279.79	1291.75	21.520504
5092_28462_000038_000001	Therefore, in mean haste, we threaded our way back through the crevasses and down the blue cliffs, snatched a few flowers from a warm spot on the edge of the ice, plashed across the moraine streams, and were paddled aboard, rejoicing in the possession of so blessed a day, and feeling that in very foundational truth we had been in one of God's own temples and had seen Him and heard Him working and preaching like a man.	Therefore, in mean haste, we threaded our way back through the crevasses and down the blue cliffs, snatched a few flowers from a warm spot on the edge of the ice, plashed across the moraine streams, and were paddled aboard, rejoicing in the possession of so blessed a day, and feeling that in very foundational truth we had been in one of God's own temples and had seen Him and heard Him working and preaching like a man.	false	1291.94	1317.79	19.95219
5092_28462_000039_000000	Steaming solemnly out of the fiord and down the coast, the islands and mountains were again passed in review; the clouds that so often hide the mountain-tops even in good weather were now floating high above them, and the transparent shadows they cast were scarce perceptible on the white glacier fountains.	Steaming solemnly out of the fiord and down the coast, the islands and mountains were again passed in review; the clouds that so often hide the mountain tops even in good weather were now floating high above them, and the transparent shadows they cast were scarce perceptible on the white glacier fountains.	false	1318.22	1336.06	18
5092_28462_000039_000001	So abundant and novel are the objects of interest in a pure wilderness that unless you are pursuing special studies it matters little where you go, or how often to the same place.	So abundant and novel are the objects of interest in a pure wilderness that unless you are pursuing special studies it matters little where you go, or how often to the same place.	false	1336.4	1347.61	19.89011
5092_28462_000039_000002	Wherever you chance to be always seems at the moment of all places the best; and you feel that there can be no happiness in this world or in any other for those who may not be happy here.	Wherever you chance to be always seems at the moment of all places the best; and you feel that there can be no happiness in this world or in any other for those who may not be happy here.	false	1347.92	1360.69	21
5092_28462_000039_000003	The bright hours were spent in making notes and sketches and getting more of the wonderful region into memory.	The bright hours were spent in making notes and sketches and getting more of the wonderful region into memory.	false	1361.03	1367.29	18
5092_28462_000039_000004	In particular a second view of the mountains made me raise my first estimate of their height.	In particular a second view of the mountains made me raise my first estimate of their height.	true	1367.75	1372.99	19
5092_28462_000039_000005	Some of them must be seven or eight thousand feet at the least.	Some of them must be seven or eight thousand feet at the least.	false	1373.18	1376.86	21.693708
5092_28462_000039_000006	Also the glaciers seemed larger and more numerous.	Also the glaciers seemed larger and more numerous.	true	1377.29	1380.28	19
5092_28462_000039_000007	I counted nearly a hundred, large and small, between a point ten or fifteen miles to the north of Cape Fanshawe and the mouth of the Stickeen River.	I counted nearly a hundred, large and small, between a point ten or fifteen miles to the north of Cape Fanshawe and the mouth of the Stickeen River.	false	1380.44	1389.28	19
5092_28462_000039_000008	We made no more landings, however, until we had passed through the Wrangell Narrows and dropped anchor for the night in a small sequestered bay.	We made no more landings, however, until we had passed through the Wrangell Narrows and dropped anchor for the night in a small sequestered bay.	true	1389.41	1397.17	18
5092_28462_000039_000009	This was about sunset, and I eagerly seized the opportunity to go ashore in the canoe and see what I could learn.	This was about sunset, and I eagerly seized the opportunity to go ashore in the canoe and see what I could learn.	false	1397.45	1404.31	20
5092_28462_000039_000010	It is here only a step from the marine algae to terrestrial vegetation of almost tropical luxuriance.	It is here only a step from the marine algae to terrestrial vegetation of almost tropical luxuriance.	true	1404.77	1411.27	18
5092_28462_000039_000011	Parting the alders and huckleberry bushes and the crooked stems of the prickly panax, I made my way into the woods, and lingered in the twilight doing nothing in particular, only measuring a few of the trees, listening to learn what birds and animals might be about, and gazing along the dusky aisles.	Parting the alders and huckleberry bushes and the crooked stems of the prickly panax, I made my way into the woods, and lingered in the twilight doing nothing in particular, only measuring a few of the trees, listening to learn what birds and animals might be about, and gazing along the dusky aisles.	false	1411.58	1429.06	16
5092_28462_000040_000000	In the mean time another excursion was being invented, one of small size and price.	In the mean time another excursion was being invented, one of small size and price.	true	1429.34	1434.28	22.125084
5092_28462_000040_000001	We might have reached Fort Wrangell this evening instead of anchoring here; but the owners of the Cassiar would then receive only ten dollars fare from each person, while they had incurred considerable expense in fitting up the boat for this special trip, and had treated us well.	We might have reached Fort Wrangell this evening instead of anchoring here; but the owners of the Cassiar would then receive only ten dollars fare from each person, while they had incurred considerable expense in fitting up the boat for this special trip, and had treated us well.	false	1434.53	1449.4	20
5092_28462_000040_000002	No, under the circumstances, it would never do to return to Wrangell so meanly soon.	No, under the circumstances, it would never do to return to Wrangell so meanly soon.	true	1449.56	1455.37	18.641548
5092_28462_000041_000000	It was decided, therefore, that the Cassiar Company should have the benefit of another day's hire, in visiting the old deserted Stickeen village fourteen miles to the south of Wrangell.	It was decided, therefore, that the Cassiar Company should have the benefit of another day's hire, in visiting the old deserted Stickeen village fourteen miles to the south of Wrangell.	false	1456.16	1467.61	20
5092_28462_000042_000000	"We shall have a good time," one of the most influential of the party said to me in a semi-apologetic tone, as if dimly recognizing my disappointment in not going on to Chilcat.	"We shall have a good time," one of the most influential of the party said to me in a semi apologetic tone, as if dimly recognizing my disappointment in not going on to Chilcat.	false	1468.43	1479.52	21
5092_28462_000042_000001	"We shall probably find stone axes and other curiosities.	"We shall probably find stone axes and other curiosities.	true	1479.86	1483.72	22
5092_28462_000042_000002	Chief Kadachan is going to guide us, and the other Indians aboard will dig for us, and there are interesting old buildings and totem poles to be seen."	Chief Kadachan is going to guide us, and the other Indians aboard will dig for us, and there are interesting old buildings and totem poles to be seen."	false	1485.11	1493.5	19
5092_28462_000043_000000	It seemed strange, however, that so important a mission to the most influential of the Alaskan tribes should end in a deserted village. But divinity abounded nevertheless; the day was divine and there was plenty of natural religion in the newborn landscapes that were being baptized in sunshine, and sermons in the glacial boulders on the beach where we landed.	It seemed strange, however, that so important a mission to the most influential of the Alaskan tribes should end in a deserted village. But divinity abounded nevertheless; the day was divine and there was plenty of natural religion in the newborn landscapes that were being baptized in sunshine, and sermons in the glacial boulders on the beach where we landed.	false	1494.47	1516.99	18
5092_28462_000044_000000	The site of the old village is on an outswelling strip of ground about two hundred yards long and fifty wide, sloping gently to the water with a strip of gravel and tall grass in front, dark woods back of it, and charming views over the water among the islands--a delightful place.	The site of the old village is on an outswelling strip of ground about two hundred yards long and fifty wide, sloping gently to the water with a strip of gravel and tall grass in front, dark woods back of it, and charming views over the water among the islands-a delightful place.	false	1517.42	1534.51	20.936441
5092_28462_000044_000001	The tide was low when we arrived, and I noticed that the exposed boulders on the beach--granite erratics that had been dropped by the melting ice toward the close of the glacial period--were piled in parallel rows at right angles to the shore-line, out of the way of the canoes that had belonged to the village.	The tide was low when we arrived, and I noticed that the exposed boulders on the beach-granite erratics that had been dropped by the melting ice toward the close of the glacial period-were piled in parallel rows at right angles to the shore line, out of the way of the canoes that had belonged to the village.	false	1535.06	1552.87	20
5092_28462_000045_000000	Most of the party sauntered along the shore; for the ruins were overgrown with tall nettles, elder bushes, and prickly rubus vines through which it was difficult to force a way.	Most of the party sauntered along the shore; for the ruins were overgrown with tall nettles, elder bushes, and prickly rubus vines through which it was difficult to force a way.	false	1553.54	1564.59	20.305983
5092_28462_000045_000001	In company with the most eager of the relic-seekers and two Indians, I pushed back among the dilapidated dwellings.	In company with the most eager of the relic seekers and two Indians, I pushed back among the dilapidated dwellings.	true	1564.59	1571.35	19
5092_28462_000045_000002	They were deserted some sixty or seventy years before, and some of them were at least a hundred years old.	They were deserted some sixty or seventy years before, and some of them were at least a hundred years old.	true	1571.63	1577.23	18
5092_28462_000045_000003	So said our guide, Kadachan, and his word was corroborated by the venerable aspect of the ruins.	So said our guide, Kadachan, and his word was corroborated by the venerable aspect of the ruins.	false	1577.33	1584.16	20.213383
5092_28462_000045_000004	Though the damp climate is destructive, many of the house timbers were still in a good state of preservation, particularly those hewn from the yellow cypress, or cedar as it is called here.	Though the damp climate is destructive, many of the house timbers were still in a good state of preservation, particularly those hewn from the yellow cypress, or cedar as it is called here.	false	1584.77	1597	22.06553
5092_28462_000045_000005	The magnitude of the ruins and the excellence of the workmanship manifest in them was astonishing as belonging to Indians.	The magnitude of the ruins and the excellence of the workmanship manifest in them was astonishing as belonging to Indians.	true	1597.22	1604.5	17
5092_28462_000045_000006	For example, the first dwelling we visited was about forty feet square, with walls built of planks two feet wide and six inches thick.	For example, the first dwelling we visited was about forty feet square, with walls built of planks two feet wide and six inches thick.	true	1604.66	1613.41	22.474382
5092_28462_000045_000007	The ridgepole of yellow cypress was two feet in diameter, forty feet long, and as round and true as if it had been turned in a lathe; and, though lying in the damp weeds, it was still perfectly sound.	The ridgepole of yellow cypress was two feet in diameter, forty feet long, and as round and true as if it had been turned in a lathe; and, though lying in the damp weeds, it was still perfectly sound.	false	1613.51	1627.21	20.739386
5092_28462_000045_000008	The nibble marks of the stone adze were still visible, though crusted over with scale lichens in most places.	The nibble marks of the stone adze were still visible, though crusted over with scale lichens in most places.	true	1627.4	1634.14	19
5092_28462_000045_000009	The pillars that had supported the ridgepole were still standing in some of the ruins.	The pillars that had supported the ridgepole were still standing in some of the ruins.	true	1634.48	1639.18	20.466614
5092_28462_000045_000010	They were all, as far as I observed, carved into life-size figures of men, women, and children, fishes, birds, and various other animals, such as the beaver, wolf, or bear.	They were all, as far as I observed, carved into life-size figures of men, women, and children, fishes, birds, and various other animals, such as the beaver, wolf, or bear.	false	1639.79	1650.88	20
5092_28462_000045_000011	Each of the wall planks had evidently been hewn out of a whole log, and must have required sturdy deliberation as well as skill.	Each of the wall planks had evidently been hewn out of a whole log, and must have required sturdy deliberation as well as skill.	false	1651.46	1659.34	21
5092_28462_000045_000012	Their geometrical truthfulness was admirable.	Their geometrical truthfulness was admirable.	false	1659.98	1664.13	21.973372
5092_28462_000045_000013	With the same tools not one in a thousand of our skilled mechanics could do as good work.	With the same tools not one in a thousand of our skilled mechanics could do as good work.	true	1664.13	1670.38	22.8258
5092_28462_000045_000014	Compared with it the bravest work of civilized backwoodsmen is feeble and bungling.	Compared with it the bravest work of civilized backwoodsmen is feeble and bungling.	false	1670.6	1676.77	22.48468
5092_28462_000045_000015	The completeness of form, finish, and proportion of these timbers suggested skill of a wild and positive kind, like that which guides the woodpecker in drilling round holes, and the bee in making its cells.	The completeness of form, finish, and proportion of these timbers suggested skill of a wild and positive kind, like that which guides the woodpecker in drilling round holes, and the bee in making its cells.	false	1677.11	1690.75	22.036106
5092_28462_000046_000000	The carved totem-pole monuments are the most striking of the objects displayed here.	The carved totem pole monuments are the most striking of the objects displayed here.	true	1691.42	1695.79	22
5092_28462_000046_000001	The simplest of them consisted of a smooth, round post fifteen or twenty feet high and about eighteen inches in diameter, with the figure of some animal on top--a bear, porpoise, eagle, or raven, about life-size or larger.	The simplest of them consisted of a smooth, round post fifteen or twenty feet high and about eighteen inches in diameter, with the figure of some animal on top-a bear, porpoise, eagle, or raven, about life-size or larger.	true	1696.16	1710.82	20.857336
5092_28462_000046_000002	These were the totems of the families that occupied the houses in front of which they stood. Others supported the figure of a man or woman, life-size or larger, usually in a sitting posture, said to resemble the dead whose ashes were contained in a closed cavity in the pole.	These were the totems of the families that occupied the houses in front of which they stood. Others supported the figure of a man or woman, life-size or larger, usually in a sitting posture, said to resemble the dead whose ashes were contained in a closed cavity in the pole.	false	1711.04	1727.2	21.825516
5092_28462_000046_000003	The largest were thirty or forty feet high, carved from top to bottom into human and animal totem figures, one above another, with their limbs grotesquely doubled and folded.	The largest were thirty or forty feet high, carved from top to bottom into human and animal totem figures, one above another, with their limbs grotesquely doubled and folded.	true	1727.69	1738.33	20.036655
5092_28462_000046_000004	Some of the most imposing were said to commemorate some event of an historical character.	Some of the most imposing were said to commemorate some event of an historical character.	false	1738.58	1743.82	21
5092_28462_000046_000005	But a telling display of family pride seemed to have been the prevailing motive. All the figures were more or less rude, and some were broadly grotesque, but there was never any feebleness or obscurity in the expression.	But a telling display of family pride seemed to have been the prevailing motive. All the figures were more or less rude, and some were broadly grotesque, but there was never any feebleness or obscurity in the expression.	true	1744.07	1756.84	21
5092_28462_000046_000006	On the contrary, every feature showed grave force and decision; while the childish audacity displayed in the designs, combined with manly strength in their execution, was truly wonderful.	On the contrary, every feature showed grave force and decision; while the childish audacity displayed in the designs, combined with manly strength in their execution, was truly wonderful.	false	1756.97	1768.6	20
5092_28462_000047_000000	The colored lichens and mosses gave them a venerable air, while the larger vegetation often found on such as were most decayed produced a picturesque effect.	The colored lichens and mosses gave them a venerable air, while the larger vegetation often found on such as were most decayed produced a picturesque effect.	false	1769.42	1779.37	22
5092_28462_000047_000001	Here, for example, is a bear five or six feet long, reposing on top of his lichen-clad pillar, with paws comfortably folded, a tuft of grass growing in each ear and rubus bushes along his back.	Here, for example, is a bear five or six feet long, reposing on top of his lichen clad pillar, with paws comfortably folded, a tuft of grass growing in each ear and rubus bushes along his back.	false	1779.47	1792.87	21.659933
5092_28462_000047_000002	And yonder is an old chief poised on a taller pillar, apparently gazing out over the landscape in contemplative mood, a tuft of bushes leaning back with a jaunty air from the top of his weatherbeaten hat, and downy mosses about his massive lips.	And yonder is an old chief poised on a taller pillar, apparently gazing out over the landscape in contemplative mood, a tuft of bushes leaning back with a jaunty air from the top of his weatherbeaten hat, and downy mosses about his massive lips.	false	1792.97	1808.77	20.924515
5092_28462_000047_000003	But no rudeness or grotesqueness that may appear, however combined with the decorations that nature has added, may possibly provoke mirth. The whole work is serious in aspect and brave and true in execution.	But no rudeness or grotesqueness that may appear, however combined with the decorations that nature has added, may possibly provoke mirth. The whole work is serious in aspect and brave and true in execution.	false	1808.93	1822.36	22.730791
5092_28462_000048_000000	Similar monuments are made by other Thlinkit tribes.	Similar monuments are made by other Thlinkit tribes.	true	1822.97	1826.2	18
5092_28462_000048_000001	The erection of a totem pole is made a grand affair, and is often talked of for a year or two beforehand.	The erection of a totem pole is made a grand affair, and is often talked of for a year or two beforehand.	true	1826.21	1832.68	15
5092_28462_000048_000002	A feast, to which many are invited, is held, and the joyous occasion is spent in eating, dancing, and the distribution of gifts.	A feast, to which many are invited, is held, and the joyous occasion is spent in eating, dancing, and the distribution of gifts.	true	1832.93	1840.6	18
5092_28462_000048_000003	Some of the larger specimens cost a thousand dollars or more.	Some of the larger specimens cost a thousand dollars or more.	true	1841.09	1844.44	19
5092_28462_000048_000004	From one to two hundred blankets, worth three dollars apiece, are paid to the genius who carves them, while the presents and feast usually cost twice as much, so that only the wealthy families can afford them.	From one to two hundred blankets, worth three dollars apiece, are paid to the genius who carves them, while the presents and feast usually cost twice as much, so that only the wealthy families can afford them.	false	1844.84	1858	20
5092_28462_000048_000005	I talked with an old Indian who pointed out one of the carvings he had made in the Wrangell village, for which he told me he had received forty blankets, a gun, a canoe, and other articles, all together worth about $170.	I talked with an old Indian who pointed out one of the carvings he had made in the Wrangell village, for which he told me he had received forty blankets, a gun, a canoe, and other articles, all together worth about one hundred seventy dollars.	false	1858.28	1872.25	16
5092_28462_000048_000006	Mr. Swan, who has contributed much information concerning the British Columbian and Alaskan tribes, describes a totem pole that cost $2500.	mr Swan, who has contributed much information concerning the British Columbian and Alaskan tribes, describes a totem pole that cost two thousand five hundred dollars.	false	1872.68	1883.26	20
5092_28462_000048_000007	They are always planted firmly in the ground and stand fast, showing the sturdy erectness of their builders.	They are always planted firmly in the ground and stand fast, showing the sturdy erectness of their builders.	true	1883.69	1889.89	18
5092_28462_000049_000000	While I was busy with my pencil, I heard chopping going on at the north end of the village, followed by a heavy thud, as if a tree had fallen.	While I was busy with my pencil, I heard chopping going on at the north end of the village, followed by a heavy thud, as if a tree had fallen.	true	1891.07	1899.58	17
5092_28462_000049_000001	It appeared that after digging about the old hearth in the first dwelling visited without finding anything of consequence, the archaeological doctor called the steamer deck hands to one of the most interesting of the totems and directed them to cut it down, saw off the principal figure,--a woman measuring three feet three inches across the shoulders,--and convey it aboard the steamer, with a view to taking it on East to enrich some museum or other.	It appeared that after digging about the old hearth in the first dwelling visited without finding anything of consequence, the archaeological doctor called the steamer deck hands to one of the most interesting of the totems and directed them to cut it down, saw off the principal figure,--a woman measuring three feet three inches across the shoulders,--and convey it aboard the steamer, with a view to taking it on East to enrich some museum or other.	false	1899.86	1925.8	17
5092_28462_000049_000002	This sacrilege came near causing trouble and would have cost us dear had the totem not chanced to belong to the Kadachan family, the representative of which is a member of the newly organized Wrangell Presbyterian Church.	This sacrilege came near causing trouble and would have cost us dear had the totem not chanced to belong to the Kadachan family, the representative of which is a member of the newly organized Wrangell Presbyterian Church.	true	1926.08	1941.13	20
5092_28462_000049_000003	Kadachan looked very seriously into the face of the reverend doctor and pushed home the pertinent question: "How would you like to have an Indian go to a graveyard and break down and carry away a monument belonging to your family?"	Kadachan looked very seriously into the face of the reverend doctor and pushed home the pertinent question: "How would you like to have an Indian go to a graveyard and break down and carry away a monument belonging to your family?"	true	1941.13	1955.14	18
5092_28462_000050_000000	However, the religious relations of the parties and a few trifling presents embedded in apologies served to hush and mend the matter.	However, the religious relations of the parties and a few trifling presents embedded in apologies served to hush and mend the matter.	true	1955.96	1964.11	14
5092_28462_000051_000000	Some time in the afternoon the steam whistle called us together to finish our memorable trip.	Some time in the afternoon the steam whistle called us together to finish our memorable trip.	true	1964.78	1969.63	19
5092_28462_000051_000001	There was no trace of decay in the sky; a glorious sunset gilded the water and cleared away the shadows of our meditations among the ruins.	There was no trace of decay in the sky; a glorious sunset gilded the water and cleared away the shadows of our meditations among the ruins.	true	1969.67	1978.51	19
5092_28462_000051_000002	We landed at the Wrangell wharf at dusk, pushed our way through a group of inquisitive Indians, across the two crooked streets, and up to our homes in the fort.	We landed at the Wrangell wharf at dusk, pushed our way through a group of inquisitive Indians, across the two crooked streets, and up to our homes in the fort.	true	1978.67	1987.72	19
5092_28462_000051_000003	We had been away only three days, but they were so full of novel scenes and impressions the time seemed indefinitely long, and our broken Chilcat excursion, far from being a failure as it seemed to some, was one of the most memorable of my life.	We had been away only three days, but they were so full of novel scenes and impressions the time seemed indefinitely long, and our broken Chilcat excursion, far from being a failure as it seemed to some, was one of the most memorable of my life.	false	1988	2015.31	18.061234
