380_129064_000000_000000	"My God, how like he is!" said the long gentleman with a start.	"My God, how like he is!" said the long gentleman with a start.	false	0	2.43	24.878532
380_129064_000026_000000	The truth is, when Major Dobbin came on board the Ramchumder, very sick, and for the three days she lay in the Madras Roads, he did not begin to rally, nor did even the appearance and recognition of his old acquaintance, Mr. Sedley, on board much cheer him, until after a conversation which they had one day, as the Major was laid languidly on the deck.	The truth is, when Major Dobbin came on board the Ramchumder, very sick, and for the three days she lay in the Madras Roads, he did not begin to rally, nor did even the appearance and recognition of his old acquaintance, mr Sedley, on board much cheer him, until after a conversation which they had one day, as the Major was laid languidly on the deck.	false	1073.12	1094.71	21
380_129064_000026_000001	He said then he thought he was doomed; he had left a little something to his godson in his will, and he trusted Mrs. Osborne would remember him kindly and be happy in the marriage she was about to make. "Married?	He said then he thought he was doomed; he had left a little something to his godson in his will, and he trusted mrs Osborne would remember him kindly and be happy in the marriage she was about to make. "Married?	false	1095.65	1107.59	19
380_129064_000026_000002	not the least," Jos answered; "he had heard from her: she made no mention of the marriage, and by the way, it was curious, she wrote to say that Major Dobbin was going to be married, and hoped that HE would be happy." What were the dates of Sedley's letters from Europe?	not the least," Jos answered; "he had heard from her: she made no mention of the marriage, and by the way, it was curious, she wrote to say that Major Dobbin was going to be married, and hoped that HE would be happy." What were the dates of Sedley's letters from Europe?	false	1107.59	1122.11	21
380_129064_000026_000003	The civilian fetched them.	The civilian fetched them.	true	1122.11	1123.39	19
380_129064_000026_000004	They were two months later than the Major's; and the ship's surgeon congratulated himself upon the treatment adopted by him towards his new patient, who had been consigned to shipboard by the Madras practitioner with very small hopes indeed; for, from that day, the very day that he changed the draught, Major Dobbin began to mend.	They were two months later than the Major's; and the ship's surgeon congratulated himself upon the treatment adopted by him towards his new patient, who had been consigned to shipboard by the Madras practitioner with very small hopes indeed; for, from that day, the very day that he changed the draught, Major Dobbin began to mend.	false	1123.64	1143.19	23
380_129064_000026_000005	And thus it was that deserving officer, Captain Kirk, was disappointed of his majority.	And thus it was that deserving officer, Captain Kirk, was disappointed of his majority.	true	1143.56	1149.88	19.431221
380_129064_000027_000000	After they passed St. Helena, Major Dobbin's gaiety and strength was such as to astonish all his fellow passengers.	After they passed saint Helena, Major Dobbin's gaiety and strength was such as to astonish all his fellow passengers.	true	1150.61	1156.84	18
380_129064_000027_000001	He larked with the midshipmen, played single-stick with the mates, ran up the shrouds like a boy, sang a comic song one night to the amusement of the whole party assembled over their grog after supper, and rendered himself so gay, lively, and amiable that even Captain Bragg, who thought there was nothing in his passenger, and considered he was a poor-spirited feller at first, was constrained to own that the Major was a reserved but well-informed and meritorious officer.	He larked with the midshipmen, played single stick with the mates, ran up the shrouds like a boy, sang a comic song one night to the amusement of the whole party assembled over their grog after supper, and rendered himself so gay, lively, and amiable that even Captain Bragg, who thought there was nothing in his passenger, and considered he was a poor spirited feller at first, was constrained to own that the Major was a reserved but well informed and meritorious officer.	false	1157.03	1184.68	21
380_129064_000027_000002	"He ain't got distangy manners, dammy," Bragg observed to his first mate; "he wouldn't do at Government House, Roper, where his Lordship and Lady William was as kind to me, and shook hands with me before the whole company, and asking me at dinner to take beer with him, before the Commander-in-Chief himself; he ain't got manners, but there's something about him--" And thus Captain Bragg showed that he possessed discrimination as a man, as well as ability as a commander.	"He ain't got distangy manners, dammy," Bragg observed to his first mate; "he wouldn't do at Government House, Roper, where his Lordship and Lady William was as kind to me, and shook hands with me before the whole company, and asking me at dinner to take beer with him, before the Commander in Chief himself; he ain't got manners, but there's something about him-" And thus Captain Bragg showed that he possessed discrimination as a man, as well as ability as a commander.	false	1184.96	1209.31	21
380_129064_000028_000000	But a calm taking place when the Ramchunder was within ten days' sail of England, Dobbin became so impatient and ill-humoured as to surprise those comrades who had before admired his vivacity and good temper.	But a calm taking place when the Ramchunder was within ten days' sail of England, Dobbin became so impatient and ill humoured as to surprise those comrades who had before admired his vivacity and good temper.	true	1210.28	1223.11	18
380_129064_000028_000001	He did not recover until the breeze sprang up again, and was in a highly excited state when the pilot came on board.	He did not recover until the breeze sprang up again, and was in a highly excited state when the pilot came on board.	true	1223.39	1229.59	18
380_129064_000028_000002	Good God, how his heart beat as the two friendly spires of Southampton came in sight.	Good God, how his heart beat as the two friendly spires of Southampton came in sight.	false	1229.87	1242.12	18.965614
