7241_90852_000000_000000	THE MARVELOUS DOG AND THE WONDERFUL CAT	THE MARVELOUS DOG AND THE WONDERFUL CAT	false	1.98	7.26	21.828112
7241_90852_000050_000000	The wily Zidoc, however, was not to be so easily thwarted.	The wily Zidoc, however, was not to be so easily thwarted.	true	1025.54	1029.82	16
7241_90852_000050_000001	Uttering a magic word, he caused the room to be filled with darkness, and in the cover of this darkness he transformed himself instantly into a black cat exactly like the learned cat, while Serponel changed himself into a white dog exactly like the learned dog.	Uttering a magic word, he caused the room to be filled with darkness, and in the cover of this darkness he transformed himself instantly into a black cat exactly like the learned cat, while Serponel changed himself into a white dog exactly like the learned dog.	true	1029.83	1047.43	19
7241_90852_000050_000002	At the same moment he caused the locked door to fly open.	At the same moment he caused the locked door to fly open.	true	1047.43	1050.85	20.24187
7241_90852_000051_000000	"Now," thought he, "I will cause the cat to follow the wrong white dog, and the dog to follow the wrong cat; we shall thus separate the animals, and when we have lured them far away from each other, Serponel and I will resume our true forms, and destroy these meddlesome creatures."	"Now," thought he, "I will cause the cat to follow the wrong white dog, and the dog to follow the wrong cat; we shall thus separate the animals, and when we have lured them far away from each other, Serponel and I will resume our true forms, and destroy these meddlesome creatures."	true	1051.88	1073.08	16
7241_90852_000052_000000	When the darkness cleared, the hearts of the true animals fell for fear lest the sorcerer's ruse be successful; but they met the challenge readily, and instead of fleeing, stood their ground; the true dog battling with the false dog, the real cat with the false cat.	When the darkness cleared, the hearts of the true animals fell for fear lest the sorcerer's ruse be successful; but they met the challenge readily, and instead of fleeing, stood their ground; the true dog battling with the false dog, the real cat with the false cat.	true	1073.27	1089.21	20
7241_90852_000052_000001	Never was such a hullaballoo heard in Fairyland.	Never was such a hullaballoo heard in Fairyland.	true	1089.21	1092.67	14
7241_90852_000052_000002	Then, seeing that he was in danger of being badly scratched, Zidoe brought on another darkness, the floor of the castle shook, a noise as of thunder roared and rattled through the room.	Then, seeing that he was in danger of being badly scratched, Zidoe brought on another darkness, the floor of the castle shook, a noise as of thunder roared and rattled through the room.	false	1092.86	1105.01	20.868784
7241_90852_000052_000003	When the darkness ended, both the enchanters had been separated and the cats were confused, the real dog was chasing the real cat, thinking that he was following Zidoc, while Serponel, who had been the false white dog, was pursuing Zidoc, who had been the false black cat!	When the darkness ended, both the enchanters had been separated and the cats were confused, the real dog was chasing the real cat, thinking that he was following Zidoc, while Serponel, who had been the false white dog, was pursuing Zidoc, who had been the false black cat!	false	1105.01	1119.82	19
7241_90852_000052_000004	Down the stairs, over the terraces and the gardens ran the true dog, pursuing the true cat, while indoors, up and down through the rooms and over the furniture, raced the false animals.	Down the stairs, over the terraces and the gardens ran the true dog, pursuing the true cat, while indoors, up and down through the rooms and over the furniture, raced the false animals.	true	1119.95	1130.41	16
7241_90852_000053_000000	The poor cat, thinking he was being pursued by the wrong dog, grew short of breath, and, hearing the snapping at his heels, ran up a convenient tree.	The poor cat, thinking he was being pursued by the wrong dog, grew short of breath, and, hearing the snapping at his heels, ran up a convenient tree.	true	1130.87	1139.74	16
7241_90852_000053_000001	Hardly had he reached a point above the dog's jaws when a voice said:--	Hardly had he reached a point above the dog's jaws when a voice said:--	true	1140.29	1144.32	21
7241_90852_000054_000000	"Why, my pupils, my pupils!	"Why, my pupils, my pupils!	true	1144.32	1146.45	18
7241_90852_000054_000001	What a way to behave!	What a way to behave!	true	1146.45	1147.62	5
7241_90852_000054_000002	Stop your quarreling this instant!"	Stop your quarreling this instant!"	true	1147.62	1150.33	23.770882
7241_90852_000055_000000	The animals turned to look, and saw their master, the old enchanter.	The animals turned to look, and saw their master, the old enchanter.	true	1150.46	1154.47	22.587854
7241_90852_000055_000001	He had been worried by their long absence and had gone forth to look for them.	He had been worried by their long absence and had gone forth to look for them.	true	1154.93	1159.68	20.072046
7241_90852_000055_000002	Thus, at the same moment that the poor dog saw that he had been pursuing his friend, the cat saw that he had been escaping from his comrade.	Thus, at the same moment that the poor dog saw that he had been pursuing his friend, the cat saw that he had been escaping from his comrade.	false	1159.68	1167.64	15
7241_90852_000056_000000	Suddenly a noise from the castle arrested their attention, and on looking up, all saw through the windows the false dog pursuing the false cat down the hall of state.	Suddenly a noise from the castle arrested their attention, and on looking up, all saw through the windows the false dog pursuing the false cat down the hall of state.	true	1167.89	1177.45	18
7241_90852_000057_000000	Now, if you remember the first part of this story, you will recall that Zidoc quarreled with the old enchanter over the right spell for destroying castles.	Now, if you remember the first part of this story, you will recall that Zidoc quarreled with the old enchanter over the right spell for destroying castles.	true	1177.45	1187.14	21
7241_90852_000057_000001	A triumphant smile shone on the lips of the old teacher; he stretched forth his hand toward the castle and uttered a magic word.	A triumphant smile shone on the lips of the old teacher; he stretched forth his hand toward the castle and uttered a magic word.	true	1187.27	1195.84	19
7241_90852_000058_000000	There was a roar as of twenty thousand cataracts, and in the twinkling of an eye, the castle collapsed in a cloud of dust, burying the two wicked magicians in its ruins.	There was a roar as of twenty thousand cataracts, and in the twinkling of an eye, the castle collapsed in a cloud of dust, burying the two wicked magicians in its ruins.	true	1195.88	1206.55	15
7241_90852_000059_000000	"There, I told him so!" said the old enchanter.	"There, I told him so!" said the old enchanter.	true	1206.62	1210.69	21.326054
7241_90852_000060_000000	When the dog and the cat had recovered from the events of the day, the three friends began their journey back to the palace of the enchanted King.	When the dog and the cat had recovered from the events of the day, the three friends began their journey back to the palace of the enchanted King.	false	1211.21	1218.49	15
7241_90852_000060_000001	He came to the castle gate to meet them, for Zidoc's overthrow had broken the spell which had so oddly disfigured him.	He came to the castle gate to meet them, for Zidoc's overthrow had broken the spell which had so oddly disfigured him.	true	1218.49	1226.47	20
7241_90852_000060_000002	Through the open doors, a splendid banquet could be seen waiting, and the sound of music was heard.	Through the open doors, a splendid banquet could be seen waiting, and the sound of music was heard.	true	1226.69	1232.95	17
7241_90852_000061_000000	So the old enchanter gave his arm to the Fairy Jocapa, the Prince gave his to the white dog, and the cat followed all by himself.	So the old enchanter gave his arm to the Fairy Jocapa, the Prince gave his to the white dog, and the cat followed all by himself.	true	1232.95	1241.61	21.214745
7241_90852_000061_000001	Then came the host of rejoicing courtiers.	Then came the host of rejoicing courtiers.	true	1241.61	1245.07	11
7241_90852_000062_000000	When the festival was over, the enchanter and the wonderful animals went back, loaded with royal gifts, to their own little house and lived happily there to a good old age.	When the festival was over, the enchanter and the wonderful animals went back, loaded with royal gifts, to their own little house and lived happily there to a good old age.	true	1245.32	1256.7	18
7241_90852_000063_000000	THE SHEPHERD OF CLOUDS	THE SHEPHERD OF CLOUDS	false	1256.7	1256.73	-20
7241_90852_000064_000000	[Illustration: A man and two elves watching clouds pour through a large gate.]	[Illustration: A man and two elves watching clouds pour through a large gate.]	false	1256.73	1256.91	-20
7241_90852_000065_000000	Once upon a time a young husband and wife named Giles and Phyllida lived in a cottage in the heart of a great plain.	Once upon a time a young husband and wife named Giles and Phyllida lived in a cottage in the heart of a great plain.	false	1256.91	1257.24	-20
7241_90852_000065_000001	League upon league, the rich land fell away to the west, there to end at a wall of high mountains into whose fastnesses no one had ever ventured.	League upon league, the rich land fell away to the west, there to end at a wall of high mountains into whose fastnesses no one had ever ventured.	false	1257.24	1257.93	14.240086
7241_90852_000065_000002	Yet the mountains were very beautiful.	Yet the mountains were very beautiful.	false	1257.93	1258.05	10
7241_90852_000065_000003	In the cold of a clear winter's day, the snowy summits and rust-colored pinnacles shone bright and near at hand; in the spring, fogs hid them, and lay like gray mantles upon the lower slopes.	In the cold of a clear winter's day, the snowy summits and rust colored pinnacles shone bright and near at hand; in the spring, fogs hid them, and lay like gray mantles upon the lower slopes.	false	1258.05	1258.53	7
7241_90852_000065_000004	Midway in the mountain wall, a wide chasm marked the entrance to a deep, gloomy valley, out of which a roaring mountain torrent hurried, to lose itself in the plain below.	Midway in the mountain wall, a wide chasm marked the entrance to a deep, gloomy valley, out of which a roaring mountain torrent hurried, to lose itself in the plain below.	false	1258.53	1258.96	17
7241_90852_000065_000005	And because somewhere in the heart of this dark valley storms were brewed, whose dark clouds, laden with lightning and hail, poured from between the crags of the valley out over the land, this valley was known as the Valley of Thunder.	And because somewhere in the heart of this dark valley storms were brewed, whose dark clouds, laden with lightning and hail, poured from between the crags of the valley out over the land, this valley was known as the Valley of Thunder.	false	1258.96	1260.36	24.46585
7241_90852_000065_000006	According to an old legend, out of this valley a king should one day come to rule over the people of the plain.	According to an old legend, out of this valley a king should one day come to rule over the people of the plain.	false	1260.36	1267.95	16.183775
