1885_136863_000000_000000	[Page 353: Relief of the French Prisoners.	[Page three hundred fifty three: Relief of the French Prisoners.	false	0	5.4	21.225302
1885_136863_000038_000004	To tell you how many enquiries are made after you, would be tedious, or if not tedious, would be vain; because you may be told in a very few words, that all who knew you wish you well; and that all that you embraced at your departure, will caress you at your return: therefore do not let Italian academicians nor Italian ladies drive us from your thoughts.	To tell you how many enquiries are made after you, would be tedious, or if not tedious, would be vain; because you may be told in a very few words, that all who knew you wish you well; and that all that you embraced at your departure, will caress you at your return: therefore do not let Italian academicians nor Italian ladies drive us from your thoughts.	false	1115.48	1140.1	21.654533
1885_136863_000038_000005	You may find among us what you will leave behind, soft smiles and easy sonnets.	You may find among us what you will leave behind, soft smiles and easy sonnets.	true	1140.41	1145.98	19
1885_136863_000038_000006	Yet I shall not wonder if all our invitations should be rejected: for there is a pleasure in being considerable at home, which is not easily resisted.	Yet I shall not wonder if all our invitations should be rejected: for there is a pleasure in being considerable at home, which is not easily resisted.	true	1146.62	1156.8	21.187075
1885_136863_000039_000000	[Page 363: The Exhibition of Pictures.	[Page three hundred sixty three: The Exhibition of Pictures.	false	1156.8	1156.86	-20
1885_136863_000039_000001	AEtat 52.]	AEtat fifty two.]	false	1156.86	1156.89	1
1885_136863_000040_000000	'By conducting Mr. Southwell[1074] to Venice, you fulfilled, I know, the original contract: yet I would wish you not wholly to lose him from your notice, but to recommend him to such acquaintance as may best secure him from suffering by his own follies, and to take such general care both of his safety and his interest as may come within your power.	'By conducting mr Southwell[ten seventy four] to Venice, you fulfilled, I know, the original contract: yet I would wish you not wholly to lose him from your notice, but to recommend him to such acquaintance as may best secure him from suffering by his own follies, and to take such general care both of his safety and his interest as may come within your power.	false	1156.89	1181.86	21.924582
1885_136863_000040_000001	His relations will thank you for any such gratuitous attention: at least they will not blame you for any evil that may happen, whether they thank you or not for any good.	His relations will thank you for any such gratuitous attention: at least they will not blame you for any evil that may happen, whether they thank you or not for any good.	true	1182.59	1193.77	20.158058
1885_136863_000041_000000	'You know that we have a new King and a new Parliament.	'You know that we have a new King and a new Parliament.	true	1195.43	1199.44	23.671968
1885_136863_000041_000001	Of the new Parliament Fitzherbert[1075] is a member.	Of the new Parliament Fitzherbert[ten seventy five] is a member.	false	1200.08	1203.07	22.817188
1885_136863_000041_000002	We were so weary of our old King, that we are much pleased with his successor; of whom we are so much inclined to hope great things, that most of us begin already to believe them.	We were so weary of our old King, that we are much pleased with his successor; of whom we are so much inclined to hope great things, that most of us begin already to believe them.	false	1203.59	1215.79	22.380592
1885_136863_000041_000003	The young man is hitherto blameless; but it would be unreasonable to expect much from the immaturity of juvenile years, and the ignorance of princely education.	The young man is hitherto blameless; but it would be unreasonable to expect much from the immaturity of juvenile years, and the ignorance of princely education.	true	1216.85	1227.82	20
1885_136863_000041_000004	He has been long in the hands of the Scots, and has already favoured them more than the English will contentedly endure. But, perhaps, he scarcely knows whom he has distinguished, or whom he has disgusted.	He has been long in the hands of the Scots, and has already favoured them more than the English will contentedly endure. But, perhaps, he scarcely knows whom he has distinguished, or whom he has disgusted.	true	1228.94	1242.94	20.68097
1885_136863_000042_000000	'The Artists have instituted a yearly Exhibition[1076] of pictures and statues, in imitation, as I am told, of foreign academies.	'The Artists have instituted a yearly Exhibition[ten seventy six] of pictures and statues, in imitation, as I am told, of foreign academies.	false	1245.38	1254.55	20
1885_136863_000042_000001	This year was the second Exhibition.	This year was the second Exhibition.	true	1255.25	1257.67	20.033371
1885_136863_000042_000002	They please themselves much with the multitude of spectators, and imagine that the English School will rise in reputation. Reynolds is without a rival, and continues to add thousands to thousands, which he deserves, among other excellencies, by retaining his kindness for Baretti.	They please themselves much with the multitude of spectators, and imagine that the English School will rise in reputation. Reynolds is without a rival, and continues to add thousands to thousands, which he deserves, among other excellencies, by retaining his kindness for Baretti.	true	1258.1	1279.42	22.226135
1885_136863_000042_000003	This Exhibition has filled the heads of the Artists and lovers of art.	This Exhibition has filled the heads of the Artists and lovers of art.	true	1280.27	1285.09	23.40743
1885_136863_000042_000004	Surely life, if it be not long, is tedious, since we are forced to call in the assistance of so many trifles[1077] to rid us of our time, of that time which never can return.	Surely life, if it be not long, is tedious, since we are forced to call in the assistance of so many trifles[ten seventy seven] to rid us of our time, of that time which never can return.	false	1285.79	1300.02	20.509947
1885_136863_000043_000000	[Page 364: Johnson's indifference to pictures.	[Page three hundred sixty four: Johnson's indifference to pictures.	false	1300.02	1300.53	-20
1885_136863_000043_000001	A.D. 1761.]	a d seventeen sixty one.]	false	1300.53	1300.83	-20
1885_136863_000044_000000	[Page 365: Monastick life.	[Page three hundred sixty five: Monastick life.	false	1300.83	1301.25	-20
1885_136863_000044_000001	AEtat 52.]	AEtat fifty two.]	false	1301.25	1301.41	-20
1885_136863_000045_000000	'I know my Baretti will not be satisfied with a letter in which I give him no account of myself: yet what account shall I give him?	'I know my Baretti will not be satisfied with a letter in which I give him no account of myself: yet what account shall I give him?	true	1301.41	1310.83	24.091831
1885_136863_000045_000001	I have not, since the day of our separation, suffered or done any thing considerable.	I have not, since the day of our separation, suffered or done any thing considerable.	true	1311.5	1317.64	21.926807
1885_136863_000045_000002	The only change in my way of life is, that I have frequented the theatre more than in former seasons.	The only change in my way of life is, that I have frequented the theatre more than in former seasons.	true	1318.37	1325.23	24
1885_136863_000045_000003	But I have gone thither only to escape from myself.	But I have gone thither only to escape from myself.	true	1326.17	1329.46	21.83809
1885_136863_000045_000004	We have had many new farces, and the comedy called _The Jealous Wife_[1078], which, though not written with much genius, was yet so well adapted to the stage, and so well exhibited by the actors, that it was crowded for near twenty nights.	We have had many new farces, and the comedy called underscore The Jealous Wife underscore[ten seventy eight], which, though not written with much genius, was yet so well adapted to the stage, and so well exhibited by the actors, that it was crowded for near twenty nights.	false	1329.95	1347.49	21.123919
1885_136863_000045_000005	I am digressing from myself to the play-house; but a barren plan must be filled with episodes.	I am digressing from myself to the play house; but a barren plan must be filled with episodes.	true	1348.88	1355.17	21.313267
1885_136863_000045_000006	Of myself I have nothing to say, but that I have hitherto lived without the concurrence of my own judgment; yet I continue to flatter myself, that, when you return, you will find me mended.	Of myself I have nothing to say, but that I have hitherto lived without the concurrence of my own judgment; yet I continue to flatter myself, that, when you return, you will find me mended.	true	1355.87	1368.01	22.40368
1885_136863_000045_000007	I do not wonder that, where the monastick life is permitted, every order finds votaries, and every monastery inhabitants.	I do not wonder that, where the monastick life is permitted, every order finds votaries, and every monastery inhabitants.	true	1368.5	1377.22	22.565125
1885_136863_000045_000008	Men will submit to any rule, by which they may be exempted from the tyranny of caprice and of chance. They are glad to supply by external authority their own want of constancy and resolution, and court the government of others, when long experience has convinced them of their own inability to govern themselves[1079].	Men will submit to any rule, by which they may be exempted from the tyranny of caprice and of chance. They are glad to supply by external authority their own want of constancy and resolution, and court the government of others, when long experience has convinced them of their own inability to govern themselves[ten seventy nine].	false	1378.01	1400.33	22.193756
1885_136863_000045_000009	If I were to visit Italy, my curiosity would be more attracted by convents than by palaces: though I am afraid that I should find expectation in both places equally disappointed, and life in both places supported with impatience and quitted with reluctance.	If I were to visit Italy, my curiosity would be more attracted by convents than by palaces: though I am afraid that I should find expectation in both places equally disappointed, and life in both places supported with impatience and quitted with reluctance.	true	1400.33	1417.78	21.759275
1885_136863_000045_000010	That it must be so soon quitted, is a powerful remedy against impatience; but what shall free us from reluctance?	That it must be so soon quitted, is a powerful remedy against impatience; but what shall free us from reluctance?	false	1418.6	1426.24	24.521353
1885_136863_000045_000011	Those who have endeavoured to teach us to die well, have taught few to die willingly: yet I cannot but hope that a good life might end at last in a contented death.	Those who have endeavoured to teach us to die well, have taught few to die willingly: yet I cannot but hope that a good life might end at last in a contented death.	true	1426.73	1436.8	21.215246
1885_136863_000046_000000	'You see to what a train of thought I am drawn by the mention of myself. Let me now turn my attention upon you.	'You see to what a train of thought I am drawn by the mention of myself. Let me now turn my attention upon you.	true	1438.31	1445.23	20.967363
1885_136863_000046_000001	I hope you take care to keep an exact journal, and to register all occurrences and observations[1080]; for your friends here expect such a book of travels as has not been often seen.	I hope you take care to keep an exact journal, and to register all occurrences and observations[ten eighty]; for your friends here expect such a book of travels as has not been often seen.	false	1445.84	1457.02	23.071795
1885_136863_000046_000002	You have given us good specimens in your letters from Lisbon.	You have given us good specimens in your letters from Lisbon.	true	1457.15	1460.2	23
1885_136863_000046_000003	I wish you had staid longer in Spain[1081], for no country is less known to the rest of Europe; but the quickness of your discernment must make amends for the celerity of your motions.	I wish you had staid longer in Spain[ten eighty one], for no country is less known to the rest of Europe; but the quickness of your discernment must make amends for the celerity of your motions.	false	1460.87	1471.9	20.172955
1885_136863_000046_000004	He that knows which way to direct his view, sees much in a little time.	He that knows which way to direct his view, sees much in a little time.	false	1472.63	1517.22	21.14975
