2388_153731_000000_000000	The Banners of the Sun	The Banners of the Sun	false	8.55	25.53	21.102207
2388_153731_000015_000011	A final answer to this question cannot yet be given, for the evidence is contradictory, and the interpretations put upon it depend largely on the predilections of the judges.	A final answer to this question cannot yet be given, for the evidence is contradictory, and the interpretations put upon it depend largely on the predilections of the judges.	true	1161.29	1170.85	22.560633
2388_153731_000016_000000	But, in a broad sense, the sun-spots and the phenomena connected with them must have a relation to terrestial meteorology, for they prove the sun to be a variable star.	But, in a broad sense, the sun spots and the phenomena connected with them must have a relation to terrestial meteorology, for they prove the sun to be a variable star.	false	1171.37	1181.95	20.414003
2388_153731_000016_000001	Reference was made, a few lines above, to the resemblance of the spectra of sun-spots to those of certain stars which seem to be failing through age.	Reference was made, a few lines above, to the resemblance of the spectra of sun spots to those of certain stars which seem to be failing through age.	true	1182.32	1190.83	23.079813
2388_153731_000016_000002	This in itself is extremely suggestive; but if this resemblance had never been discovered, we should have been justified in regarding the sun as variable in its output of energy; and not only variable, but probably increasingly so.	This in itself is extremely suggestive; but if this resemblance had never been discovered, we should have been justified in regarding the sun as variable in its output of energy; and not only variable, but probably increasingly so.	true	1190.93	1204.96	18.240232
2388_153731_000016_000003	The very inequalities in the sun-spot cycle are suspicious.	The very inequalities in the sun spot cycle are suspicious.	true	1205.24	1208.74	20
2388_153731_000016_000004	When the sun is most spotted its total light may be reduced by one-thousandth part, although it is by no means certain that its outgiving of thermal radiations is then reduced.	When the sun is most spotted its total light may be reduced by one thousandth part, although it is by no means certain that its outgiving of thermal radiations is then reduced.	false	1209.02	1220.47	22.004244
2388_153731_000016_000005	A loss of one-thousandth of its luminosity would correspond to a decrease of .0025 of a stellar magnitude, considering the sun as a star viewed from distant space.	A loss of one thousandth of its luminosity would correspond to a decrease of point zero zero two five of a stellar magnitude, considering the sun as a star viewed from distant space.	false	1220.6	1232.98	19.175022
2388_153731_000016_000006	So slight a change would not be perceptible; but it is not alone sun-spots which obscure the solar surface, its entire globe is enveloped with an obscuring veil.	So slight a change would not be perceptible; but it is not alone sun spots which obscure the solar surface, its entire globe is enveloped with an obscuring veil.	false	1233.26	1244.26	18.996767
2388_153731_000016_000007	When studied with a powerful telescope the sun's surface is seen to be thickly mottled with relatively obscure specks, so numerous that it has been estimated that they cut off from one-tenth to one-twentieth of the light that we should receive from it if the whole surface were as brilliant as its brightest parts.	When studied with a powerful telescope the sun's surface is seen to be thickly mottled with relatively obscure specks, so numerous that it has been estimated that they cut off from one tenth to one twentieth of the light that we should receive from it if the whole surface were as brilliant as its brightest parts.	false	1244.36	1261.57	20.901608
2388_153731_000016_000008	The condition of other stars warrants the conclusion that this obscuring envelope is the product of a process of refrigeration which will gradually make the sun more and more variable until its history ends in extinction.	The condition of other stars warrants the conclusion that this obscuring envelope is the product of a process of refrigeration which will gradually make the sun more and more variable until its history ends in extinction.	false	1262.12	1274.92	20.017746
2388_153731_000016_000009	Looking backward, we see a time when the sun must have been more brilliant than it is now.	Looking backward, we see a time when the sun must have been more brilliant than it is now.	true	1275.14	1280.05	23
2388_153731_000016_000010	At that time it probably shone with the blinding white splendor of such stars as Sirius, Spica, and Vega; now it resembles the relatively dull Procyon; in time it will turn ruddy and fall into the closing cycle represented by Antares.	At that time it probably shone with the blinding white splendor of such stars as Sirius, Spica, and Vega; now it resembles the relatively dull Procyon; in time it will turn ruddy and fall into the closing cycle represented by Antares.	false	1280.33	1297.36	23.083084
2388_153731_000016_000011	Considering that once it must have been more radiantly powerful than at present, one is tempted to wonder if that could have been the time when tropical life flourished within the earth's polar circles, sustained by a vivific energy in the sun which it has now lost.	Considering that once it must have been more radiantly powerful than at present, one is tempted to wonder if that could have been the time when tropical life flourished within the earth's polar circles, sustained by a vivific energy in the sun which it has now lost.	false	1298.12	1315.09	23.372719
2388_153731_000017_000000	The corona, as we have said, varies with the sun-spot cycle.	The corona, as we have said, varies with the sun spot cycle.	true	1315.19	1319.02	22.162634
2388_153731_000017_000001	When the spots are abundant and active the corona rises strong above the spotted zones, forming immense beams or streamers, which on one occasion, at least, had an observed length of ten million miles.	When the spots are abundant and active the corona rises strong above the spotted zones, forming immense beams or streamers, which on one occasion, at least, had an observed length of ten million miles.	false	1319.33	1332.76	21.248388
2388_153731_000017_000002	At the time of a spot minimum the corona is less brilliant and has a different outline.	At the time of a spot minimum the corona is less brilliant and has a different outline.	false	1332.89	1338.19	25.173475
2388_153731_000017_000003	It is then that the curved polar rays are most conspicuous.	It is then that the curved polar rays are most conspicuous.	true	1338.59	1342.09	20
2388_153731_000017_000004	Thus the vast banners of the sun, shaken out in the eclipse, are signals to tell of its varying state, but it will probably be long before we can read correctly their messages.	Thus the vast banners of the sun, shaken out in the eclipse, are signals to tell of its varying state, but it will probably be long before we can read correctly their messages.	false	1342.4	1362.57	20.824223
