2654_158744_000000_000000	CHAPTER III	CHAPTER three	false	8.94	32.05	22.764263
2654_158744_000023_000004	Of all men he was the last who could afford to marry a governess.	Of all men he was the last who could afford to marry a governess.	true	1075.64	1079.32	20
2654_158744_000023_000005	And then, moreover, he had never said a word to make her think that he loved her.	And then, moreover, he had never said a word to make her think that he loved her.	true	1079.69	1083.94	23.655804
2654_158744_000023_000006	He had called on her once or twice at Fawn Court,--as why should he not?	He had called on her once or twice at Fawn Court,--as why should he not?	false	1084.31	1088.92	23.131866
2654_158744_000023_000007	Seeing that there had been friendship between the families for so many years, who could complain of that?	Seeing that there had been friendship between the families for so many years, who could complain of that?	true	1089.05	1093.99	22.175323
2654_158744_000023_000008	Lady Fawn, however, had--not complained, but just said a word.	Lady Fawn, however, had-not complained, but just said a word.	true	1094.48	1099.68	21.273283
2654_158744_000023_000009	A word in season, how good is it?	A word in season, how good is it?	true	1099.68	1101.49	21.618685
2654_158744_000023_000010	Lucy did not much regard the word spoken to herself; but when she reflected that a word must also have been spoken to Mr. Greystock,--otherwise how should it have been that he never came again?--that she did not like.	Lucy did not much regard the word spoken to herself; but when she reflected that a word must also have been spoken to mr Greystock,--otherwise how should it have been that he never came again?--that she did not like.	true	1101.77	1116.04	21.948338
2654_158744_000024_000000	In herself she regarded this passion of hers as a healthy man regards the loss of a leg or an arm.	In herself she regarded this passion of hers as a healthy man regards the loss of a leg or an arm.	false	1116.59	1123.36	20.297365
2654_158744_000024_000001	It is a great nuisance, a loss that maims the whole life,--a misfortune to be much regretted.	It is a great nuisance, a loss that maims the whole life,--a misfortune to be much regretted.	true	1123.52	1128.73	21.177868
2654_158744_000024_000002	But because a leg is gone, everything is not gone.	But because a leg is gone, everything is not gone.	false	1129.22	1132.72	22.591175
2654_158744_000024_000003	A man with a wooden leg may stump about through much action, and may enjoy the keenest pleasures of humanity.	A man with a wooden leg may stump about through much action, and may enjoy the keenest pleasures of humanity.	true	1133.09	1139.02	21
2654_158744_000024_000004	He has his eyes left to him, and his ears, and his intellect.	He has his eyes left to him, and his ears, and his intellect.	true	1139.24	1143.34	23.324331
2654_158744_000024_000005	He will not break his heart for the loss of that leg.	He will not break his heart for the loss of that leg.	true	1143.77	1146.73	21.760462
2654_158744_000024_000006	And so it was with Lucy Morris.	And so it was with Lucy Morris.	true	1146.95	1149.4	21.841051
2654_158744_000024_000007	She would still stump about and be very active.	She would still stump about and be very active.	true	1149.59	1152.55	26.910683
2654_158744_000024_000008	Eyes, ears, and intellect were left to her.	Eyes, ears, and intellect were left to her.	true	1152.71	1155.58	20
2654_158744_000024_000009	Looking at her position, she told herself that a happy love could hardly have been her lot in life.	Looking at her position, she told herself that a happy love could hardly have been her lot in life.	true	1155.98	1161.52	18.805754
2654_158744_000024_000010	Lady Fawn, she thought, was right.	Lady Fawn, she thought, was right.	true	1161.83	1164.46	21.437336
2654_158744_000024_000011	A governess should make up her mind to do without a lover.	A governess should make up her mind to do without a lover.	true	1164.77	1168.51	22.775015
2654_158744_000024_000012	She had given away her heart, and yet she would do without a lover.	She had given away her heart, and yet she would do without a lover.	true	1168.76	1172.32	22.655571
2654_158744_000024_000013	When, on one dull, dark afternoon, as she was thinking of all this, Lord Fawn suddenly put into her hands a cruelly long printed document respecting the Sawab, she went to work upon it immediately.	When, on one dull, dark afternoon, as she was thinking of all this, Lord Fawn suddenly put into her hands a cruelly long printed document respecting the Sawab, she went to work upon it immediately.	false	1172.81	1186.15	20.730917
2654_158744_000024_000014	As she read it, she could not refrain from thinking how wonderfully Frank Greystock would plead the cause of the Indian prince, if the privilege of pleading it could be given to him.	As she read it, she could not refrain from thinking how wonderfully Frank Greystock would plead the cause of the Indian prince, if the privilege of pleading it could be given to him.	false	1186.7	1197.37	21.544939
2654_158744_000025_000000	The spring had come round, with May and the London butterflies, at the time at which our story begins, and during six months Frank Greystock had not been at Fawn Court.	The spring had come round, with May and the London butterflies, at the time at which our story begins, and during six months Frank Greystock had not been at Fawn Court.	false	1197.92	1208.62	21.329857
2654_158744_000025_000001	Then one day Lady Eustace came down with her ponies, and her footman, and a new dear friend of hers, Miss Macnulty.	Then one day Lady Eustace came down with her ponies, and her footman, and a new dear friend of hers, Miss Macnulty.	false	1209.14	1216.48	23.971323
2654_158744_000025_000002	While Miss Macnulty was being honoured by Lady Fawn, Lizzie had retreated to a corner with her old dear friend Lucy Morris.	While Miss Macnulty was being honoured by Lady Fawn, Lizzie had retreated to a corner with her old dear friend Lucy Morris.	false	1216.91	1223.95	20.609436
2654_158744_000025_000003	It was pretty to see how so wealthy and fashionable a woman as Lady Eustace could show so much friendship to a governess.	It was pretty to see how so wealthy and fashionable a woman as Lady Eustace could show so much friendship to a governess.	true	1224.32	1231.09	18.952509
2654_158744_000025_000004	"Have you seen Frank, lately?" said Lady Eustace, referring to her cousin the barrister.	"Have you seen Frank, lately?" said Lady Eustace, referring to her cousin the barrister.	true	1232.18	1237.18	19.700928
2654_158744_000026_000000	"Not for ever so long," said Lucy, with her cheeriest smile.	"Not for ever so long," said Lucy, with her cheeriest smile.	true	1238.03	1242.28	19.713678
2654_158744_000027_000000	"He is not going to prove a false knight?" asked Lady Eustace, in her lowest whisper.	"He is not going to prove a false knight?" asked Lady Eustace, in her lowest whisper.	true	1242.65	1247.56	21.396255
2654_158744_000028_000000	"I don't know that Mr. Greystock is much given to knighthood at all," said Lucy,--"unless it is to being made Sir Francis by his party."	"I don't know that mr Greystock is much given to knighthood at all," said Lucy,--"unless it is to being made Sir Francis by his party."	true	1248.17	1257.25	19.085817
2654_158744_000029_000000	"Nonsense, my dear; as if I didn't know.	"Nonsense, my dear; as if I didn't know.	true	1258.16	1260.91	24.820728
2654_158744_000029_000001	I suppose Lady Fawn has been interfering--like an old cat as she is."	I suppose Lady Fawn has been interfering-like an old cat as she is."	false	1261.1	1264.99	18.30736
2654_158744_000030_000000	"She is not an old cat, Lizzie! and I won't hear her called so.	"She is not an old cat, Lizzie! and I won't hear her called so.	true	1265.6	1269.61	18
2654_158744_000030_000001	If you think so, you shouldn't come here.	If you think so, you shouldn't come here.	false	1269.92	1272.75	19.133064
2654_158744_000030_000002	And she hasn't interfered. That is, she has done nothing that she ought not to have done."	And she hasn't interfered. That is, she has done nothing that she ought not to have done."	false	1272.75	1276.92	16
2654_158744_000031_000000	"Then she has interfered," said Lady Eustace, as she got up and walked across the room, with a sweet smile to the old cat.	"Then she has interfered," said Lady Eustace, as she got up and walked across the room, with a sweet smile to the old cat.	false	1276.92	1286.73	21.38342
2654_158744_000032_000000	CHAPTER IV	CHAPTER four	false	1286.73	1287.06	-20
2654_158744_000033_000000	Frank Greystock	Frank Greystock	false	1287.06	1287.42	-2
2654_158744_000034_000000	Frank Greystock the barrister was the only son of the Dean of Bobsborough.	Frank Greystock the barrister was the only son of the Dean of Bobsborough.	false	1287.42	1289.04	19.111965
2654_158744_000034_000001	Now the dean had a family of daughters,--not quite so numerous indeed as that of Lady Fawn, for there were only three of them,--and was by no means a rich man.	Now the dean had a family of daughters,--not quite so numerous indeed as that of Lady Fawn, for there were only three of them,--and was by no means a rich man.	false	1289.04	1294.05	19.495626
2654_158744_000034_000002	Unless a dean have a private fortune, or has chanced to draw the happy lot of Durham in the lottery of deans, he can hardly be wealthy.	Unless a dean have a private fortune, or has chanced to draw the happy lot of Durham in the lottery of deans, he can hardly be wealthy.	false	1294.05	1297.29	22.030642
2654_158744_000034_000003	At Bobsborough the dean was endowed with a large, rambling, picturesque, uncomfortable house, and with L1,500 a year.	At Bobsborough the dean was endowed with a large, rambling, picturesque, uncomfortable house, and with L one thousand five hundred a year.	false	1297.29	1297.59	19.19535
2654_158744_000034_000004	In regard to personal property it may be asserted of all the Greystocks that they never had any.	In regard to personal property it may be asserted of all the Greystocks that they never had any.	false	1297.59	1297.83	10
2654_158744_000034_000005	They were a family of which the males would surely come to be deans and admirals, and the females would certainly find husbands.	They were a family of which the males would surely come to be deans and admirals, and the females would certainly find husbands.	false	1297.83	1299.15	17.590002
2654_158744_000034_000006	And they lived on the good things of the world, and mixed with wealthy people.	And they lived on the good things of the world, and mixed with wealthy people.	false	1299.15	1299.15	
2654_158744_000034_000007	But they never had any money.	But they never had any money.	false	1299.15	1299.15	
2654_158744_000034_000008	The Eustaces always had money, and the Bishop of Bobsborough was wealthy.	The Eustaces always had money, and the Bishop of Bobsborough was wealthy.	false	1299.15	1299.15	
2654_158744_000034_000009	The dean was a man very different from his brother the admiral, who had never paid anybody anything.	The dean was a man very different from his brother the admiral, who had never paid anybody anything.	false	1299.15	1299.15	
2654_158744_000034_000010	The dean did pay; but he was a little slow in his payments, and money with him was never very plentiful.	The dean did pay; but he was a little slow in his payments, and money with him was never very plentiful.	false	1299.15	1299.15	
2654_158744_000034_000011	In these circumstances it became very expedient that Frank Greystock should earn his bread early in life.	In these circumstances it became very expedient that Frank Greystock should earn his bread early in life.	false	1299.15	1299.15	
