501_125127_000000_000000	Chapter 14	Chapter fourteen	false	1.83	27.195	19.627295
501_125127_000062_000003	Mr Inspector having to Mr Riderhood announced his official intention of 'keeping his eye upon him', stood him in a corner of the fireplace, like a wet umbrella, and took no further outward and visible notice of that honest man, except ordering a separate service of brandy and water for him: apparently out of the public funds.	Mr Inspector having to Mr Riderhood announced his official intention of 'keeping his eye upon him', stood him in a corner of the fireplace, like a wet umbrella, and took no further outward and visible notice of that honest man, except ordering a separate service of brandy and water for him: apparently out of the public funds.	true	910.31	927.61	20
501_125127_000063_000000	As Mortimer Lightwood sat before the blazing fire, conscious of drinking brandy and water then and there in his sleep, and yet at one and the same time drinking burnt sherry at the Six Jolly Fellowships, and lying under the boat on the river shore, and sitting in the boat that Riderhood rowed, and listening to the lecture recently concluded, and having to dine in the Temple with an unknown man, who described himself as M. H. F. Eugene Gaffer Harmon, and said he lived at Hailstorm,--as he passed through these curious vicissitudes of fatigue and slumber, arranged upon the scale of a dozen hours to the second, he became aware of answering aloud a communication of pressing importance that had never been made to him, and then turned it into a cough on beholding Mr Inspector.	As Mortimer Lightwood sat before the blazing fire, conscious of drinking brandy and water then and there in his sleep, and yet at one and the same time drinking burnt sherry at the Six Jolly Fellowships, and lying under the boat on the river shore, and sitting in the boat that Riderhood rowed, and listening to the lecture recently concluded, and having to dine in the Temple with an unknown man, who described himself as m h f Eugene Gaffer Harmon, and said he lived at Hailstorm,--as he passed through these curious vicissitudes of fatigue and slumber, arranged upon the scale of a dozen hours to the second, he became aware of answering aloud a communication of pressing importance that had never been made to him, and then turned it into a cough on beholding Mr Inspector.	false	928.1	968.65	18
501_125127_000063_000001	For, he felt, with some natural indignation, that that functionary might otherwise suspect him of having closed his eyes, or wandered in his attention.	For, he felt, with some natural indignation, that that functionary might otherwise suspect him of having closed his eyes, or wandered in his attention.	true	968.9	976.72	18
501_125127_000064_000000	'Here just before us, you see,' said Mr Inspector.	'Here just before us, you see,' said Mr Inspector.	true	977.66	980.65	21.653666
501_125127_000065_000000	'I see,' said Lightwood, with dignity.	'I see,' said Lightwood, with dignity.	true	980.66	982.93	15
501_125127_000066_000000	'And had hot brandy and water too, you see,' said Mr Inspector, 'and then cut off at a great rate.'	'And had hot brandy and water too, you see,' said Mr Inspector, 'and then cut off at a great rate.'	true	983.24	988.81	21.238195
501_125127_000067_000000	'Who?' said Lightwood.	'Who?' said Lightwood.	true	988.88	990.37	17.651457
501_125127_000068_000000	'Your friend, you know.'	'Your friend, you know.'	true	990.8	992.02	18.490644
501_125127_000069_000000	'I know,' he replied, again with dignity.	'I know,' he replied, again with dignity.	true	992.24	994.57	16.888159
501_125127_000070_000000	After hearing, in a mist through which Mr Inspector loomed vague and large, that the officer took upon himself to prepare the dead man's daughter for what had befallen in the night, and generally that he took everything upon himself, Mortimer Lightwood stumbled in his sleep to a cab-stand, called a cab, and had entered the army and committed a capital military offence and been tried by court martial and found guilty and had arranged his affairs and been marched out to be shot, before the door banged.	After hearing, in a mist through which Mr Inspector loomed vague and large, that the officer took upon himself to prepare the dead man's daughter for what had befallen in the night, and generally that he took everything upon himself, Mortimer Lightwood stumbled in his sleep to a cab stand, called a cab, and had entered the army and committed a capital military offence and been tried by court martial and found guilty and had arranged his affairs and been marched out to be shot, before the door banged.	false	995.15	1021.24	18
501_125127_000071_000000	Hard work rowing the cab through the City to the Temple, for a cup of from five to ten thousand pounds value, given by Mr Boffin; and hard work holding forth at that immeasurable length to Eugene (when he had been rescued with a rope from the running pavement) for making off in that extraordinary manner!	Hard work rowing the cab through the City to the Temple, for a cup of from five to ten thousand pounds value, given by Mr Boffin; and hard work holding forth at that immeasurable length to Eugene (when he had been rescued with a rope from the running pavement) for making off in that extraordinary manner!	false	1021.82	1038.13	18
501_125127_000071_000001	But he offered such ample apologies, and was so very penitent, that when Lightwood got out of the cab, he gave the driver a particular charge to be careful of him.	But he offered such ample apologies, and was so very penitent, that when Lightwood got out of the cab, he gave the driver a particular charge to be careful of him.	true	1038.77	1047.58	21.349411
501_125127_000071_000002	Which the driver (knowing there was no other fare left inside) stared at prodigiously.	Which the driver (knowing there was no other fare left inside) stared at prodigiously.	true	1047.68	1052.41	19.906324
501_125127_000072_000000	In short, the night's work had so exhausted and worn out this actor in it, that he had become a mere somnambulist.	In short, the night's work had so exhausted and worn out this actor in it, that he had become a mere somnambulist.	true	1053.2	1059.55	22
501_125127_000072_000001	He was too tired to rest in his sleep, until he was even tired out of being too tired, and dropped into oblivion.	He was too tired to rest in his sleep, until he was even tired out of being too tired, and dropped into oblivion.	true	1059.83	1066.42	19
501_125127_000072_000002	Late in the afternoon he awoke, and in some anxiety sent round to Eugene's lodging hard by, to inquire if he were up yet?	Late in the afternoon he awoke, and in some anxiety sent round to Eugene's lodging hard by, to inquire if he were up yet?	true	1066.97	1074.04	19.207369
501_125127_000073_000000	Oh yes, he was up.	Oh yes, he was up.	true	1074.32	1075.68	19.096754
501_125127_000073_000001	In fact, he had not been to bed.	In fact, he had not been to bed.	true	1075.68	1077.43	19.924671
501_125127_000073_000002	He had just come home.	He had just come home.	true	1077.47	1078.66	20.386799
501_125127_000073_000003	And here he was, close following on the heels of the message.	And here he was, close following on the heels of the message.	true	1078.66	1081.99	15
501_125127_000074_000000	'Why what bloodshot, draggled, dishevelled spectacle is this!' cried Mortimer.	'Why what bloodshot, draggled, dishevelled spectacle is this!' cried Mortimer.	true	1082.93	1087.95	21.310713
501_125127_000075_000000	'Are my feathers so very much rumpled?' said Eugene, coolly going up to the looking-glass.	'Are my feathers so very much rumpled?' said Eugene, coolly going up to the looking glass.	false	1087.95	1093.5	18.662323
501_125127_000075_000001	They ARE rather out of sorts.	They ARE rather out of sorts.	false	1093.5	1095.16	18.683558
501_125127_000075_000002	But consider.	But consider.	true	1095.38	1096.18	23.396238
501_125127_000075_000003	Such a night for plumage!'	Such a night for plumage!'	true	1096.18	1097.74	22
501_125127_000076_000000	'Such a night?' repeated Mortimer.	'Such a night?' repeated Mortimer.	true	1098.2	1100.62	19.505962
501_125127_000076_000001	'What became of you in the morning?'	'What became of you in the morning?'	true	1100.72	1102.36	18.022121
501_125127_000077_000000	'My dear fellow,' said Eugene, sitting on his bed, 'I felt that we had bored one another so long, that an unbroken continuance of those relations must inevitably terminate in our flying to opposite points of the earth.	'My dear fellow,' said Eugene, sitting on his bed, 'I felt that we had bored one another so long, that an unbroken continuance of those relations must inevitably terminate in our flying to opposite points of the earth.	false	1102.91	1114.9	21
501_125127_000077_000001	I also felt that I had committed every crime in the Newgate Calendar.	I also felt that I had committed every crime in the Newgate Calendar.	true	1115.27	1118.71	21
501_125127_000077_000002	So, for mingled considerations of friendship and felony, I took a walk.'	So, for mingled considerations of friendship and felony, I took a walk.'	false	1118.9	1131.57	18.260801
