3869_699_000000_000000	Ivan turned suddenly and went his way without looking back.	Ivan turned suddenly and went his way without looking back.	false	0	1.38	24.14763
3869_699_000041_000005	But at night, by his orders, I go away to the lodge so that I don't get to sleep till midnight, but am on the watch, getting up and walking about the yard, waiting for Agrafena Alexandrovna to come.	But at night, by his orders, I go away to the lodge so that I don't get to sleep till midnight, but am on the watch, getting up and walking about the yard, waiting for Agrafena Alexandrovna to come.	false	910.76	922.12	22.484976
3869_699_000041_000006	For the last few days he's been perfectly frantic expecting her. What he argues is, she is afraid of him, Dmitri Fyodorovitch (Mitya, as he calls him), 'and so,' says he, 'she'll come the back-way, late at night, to me.	For the last few days he's been perfectly frantic expecting her. What he argues is, she is afraid of him, Dmitri Fyodorovitch (Mitya, as he calls him), 'and so,' says he, 'she'll come the back way, late at night, to me.	false	922.31	937.18	22.829464
3869_699_000041_000007	You look out for her,' says he, 'till midnight and later; and if she does come, you run up and knock at my door or at the window from the garden.	You look out for her,' says he, 'till midnight and later; and if she does come, you run up and knock at my door or at the window from the garden.	true	937.25	945.46	24.226017
3869_699_000041_000008	Knock at first twice, rather gently, and then three times more quickly, then,' says he, 'I shall understand at once that she has come, and will open the door to you quietly.' Another signal he gave me in case anything unexpected happens.	Knock at first twice, rather gently, and then three times more quickly, then,' says he, 'I shall understand at once that she has come, and will open the door to you quietly.' Another signal he gave me in case anything unexpected happens.	false	945.53	960.97	24.021534
3869_699_000041_000009	At first, two knocks, and then, after an interval, another much louder.	At first, two knocks, and then, after an interval, another much louder.	true	960.98	965.71	24.331457
3869_699_000041_000010	Then he will understand that something has happened suddenly and that I must see him, and he will open to me so that I can go and speak to him.	Then he will understand that something has happened suddenly and that I must see him, and he will open to me so that I can go and speak to him.	true	966.14	974.85	23.935112
3869_699_000041_000011	That's all in case Agrafena Alexandrovna can't come herself, but sends a message.	That's all in case Agrafena Alexandrovna can't come herself, but sends a message.	true	974.85	979.72	21.94583
3869_699_000041_000012	Besides, Dmitri Fyodorovitch might come, too, so I must let him know he is near.	Besides, Dmitri Fyodorovitch might come, too, so I must let him know he is near.	true	980.18	984.85	22.45961
3869_699_000041_000013	His honor is awfully afraid of Dmitri Fyodorovitch, so that even if Agrafena Alexandrovna had come and were locked in with him, and Dmitri Fyodorovitch were to turn up anywhere near at the time, I should be bound to let him know at once, knocking three times.	His honor is awfully afraid of Dmitri Fyodorovitch, so that even if Agrafena Alexandrovna had come and were locked in with him, and Dmitri Fyodorovitch were to turn up anywhere near at the time, I should be bound to let him know at once, knocking three times.	true	985.4	999.82	22.591032
3869_699_000041_000014	So that the first signal of five knocks means Agrafena Alexandrovna has come, while the second signal of three knocks means 'something important to tell you.' His honor has shown me them several times and explained them.	So that the first signal of five knocks means Agrafena Alexandrovna has come, while the second signal of three knocks means 'something important to tell you.' His honor has shown me them several times and explained them.	true	999.89	1012.12	22.294193
3869_699_000041_000015	And as in the whole universe no one knows of these signals but myself and his honor, so he'd open the door without the slightest hesitation and without calling out (he is awfully afraid of calling out aloud).	And as in the whole universe no one knows of these signals but myself and his honor, so he'd open the door without the slightest hesitation and without calling out (he is awfully afraid of calling out aloud).	false	1012.58	1023.73	23.19127
3869_699_000041_000016	Well, those signals are known to Dmitri Fyodorovitch too, now."	Well, those signals are known to Dmitri Fyodorovitch too, now."	true	1024.07	1028.14	22.06734
3869_699_000042_000000	"How are they known?	"How are they known?	true	1028.54	1029.76	26.995962
3869_699_000042_000001	Did you tell him?	Did you tell him?	true	1029.77	1030.9	27.574772
3869_699_000042_000002	How dared you tell him?"	How dared you tell him?"	true	1031.3	1033.53	21.328232
3869_699_000043_000000	"It was through fright I did it.	"It was through fright I did it.	false	1033.53	1035.7	23.414087
3869_699_000043_000001	How could I dare to keep it back from him?	How could I dare to keep it back from him?	true	1035.77	1037.91	25.564894
3869_699_000043_000002	Dmitri Fyodorovitch kept persisting every day, 'You are deceiving me, you are hiding something from me!	Dmitri Fyodorovitch kept persisting every day, 'You are deceiving me, you are hiding something from me!	false	1037.91	1043.47	19.499277
3869_699_000043_000003	I'll break both your legs for you.' So I told him those secret signals that he might see my slavish devotion, and might be satisfied that I was not deceiving him, but was telling him all I could."	I'll break both your legs for you.' So I told him those secret signals that he might see my slavish devotion, and might be satisfied that I was not deceiving him, but was telling him all I could."	true	1043.47	1054.03	21.63239
3869_699_000044_000000	"If you think that he'll make use of those signals and try to get in, don't let him in."	"If you think that he'll make use of those signals and try to get in, don't let him in."	true	1054.04	1059.12	17.673737
3869_699_000045_000000	"But if I should be laid up with a fit, how can I prevent him coming in then, even if I dared prevent him, knowing how desperate he is?"	"But if I should be laid up with a fit, how can I prevent him coming in then, even if I dared prevent him, knowing how desperate he is?"	false	1059.12	1067.38	21.010206
3869_699_000046_000000	"Hang it!	"Hang it!	true	1067.48	1068.34	27.217466
3869_699_000046_000001	How can you be so sure you are going to have a fit, confound you?	How can you be so sure you are going to have a fit, confound you?	true	1068.53	1071.61	22.1035
3869_699_000046_000002	Are you laughing at me?"	Are you laughing at me?"	true	1071.86	1073.73	22.352306
3869_699_000047_000000	"How could I dare laugh at you?	"How could I dare laugh at you?	false	1073.73	1075.96	24.425827
3869_699_000047_000001	I am in no laughing humor with this fear on me.	I am in no laughing humor with this fear on me.	true	1076.03	1078.66	25.165619
3869_699_000047_000002	I feel I am going to have a fit.	I feel I am going to have a fit.	true	1078.85	1080.64	24.55996
3869_699_000047_000003	I have a presentiment.	I have a presentiment.	true	1080.86	1082.34	20.885931
3869_699_000047_000004	Fright alone will bring it on."	Fright alone will bring it on."	true	1082.34	1084.63	23.002632
3869_699_000048_000000	"Confound it!	"Confound it!	true	1085.27	1086.4	22.23034
3869_699_000048_000001	If you are laid up, Grigory will be on the watch.	If you are laid up, Grigory will be on the watch.	true	1086.53	1089.15	24.253496
3869_699_000048_000002	Let Grigory know beforehand; he will be sure not to let him in."	Let Grigory know beforehand; he will be sure not to let him in."	true	1089.15	1093.48	22.484087
3869_699_000049_000000	"I should never dare to tell Grigory Vassilyevitch about the signals without orders from my master.	"I should never dare to tell Grigory Vassilyevitch about the signals without orders from my master.	true	1093.61	1098.4	16
3869_699_000049_000001	And as for Grigory Vassilyevitch hearing him and not admitting him, he has been ill ever since yesterday, and Marfa Ignatyevna intends to give him medicine to-morrow.	And as for Grigory Vassilyevitch hearing him and not admitting him, he has been ill ever since yesterday, and Marfa Ignatyevna intends to give him medicine to morrow.	true	1098.8	1108.38	23.516743
3869_699_000049_000002	They've just arranged it.	They've just arranged it.	false	1108.38	1110.01	23.002542
3869_699_000049_000003	It's a very strange remedy of hers.	It's a very strange remedy of hers.	true	1110.02	1111.93	24.435085
3869_699_000049_000004	Marfa Ignatyevna knows of a preparation and always keeps it.	Marfa Ignatyevna knows of a preparation and always keeps it.	true	1111.94	1115.5	21.277796
3869_699_000049_000005	It's a strong thing made from some herb. She has the secret of it, and she always gives it to Grigory Vassilyevitch three times a year when his lumbago's so bad he is almost paralyzed by it. Then she takes a towel, wets it with the stuff, and rubs his whole back for half an hour till it's quite red and swollen, and what's left in the bottle she gives him to drink with a special prayer; but not quite all, for on such occasions she leaves some for herself, and drinks it herself. And as they never take strong drink, I assure you they both drop asleep at once and sleep sound a very long time.	It's a strong thing made from some herb. She has the secret of it, and she always gives it to Grigory Vassilyevitch three times a year when his lumbago's so bad he is almost paralyzed by it. Then she takes a towel, wets it with the stuff, and rubs his whole back for half an hour till it's quite red and swollen, and what's left in the bottle she gives him to drink with a special prayer; but not quite all, for on such occasions she leaves some for herself, and drinks it herself. And as they never take strong drink, I assure you they both drop asleep at once and sleep sound a very long time.	true	1115.72	1149.82	23.200724
3869_699_000049_000006	And when Grigory Vassilyevitch wakes up he is perfectly well after it, but Marfa Ignatyevna always has a headache from it.	And when Grigory Vassilyevitch wakes up he is perfectly well after it, but Marfa Ignatyevna always has a headache from it.	true	1149.92	1156.72	22.646582
3869_699_000049_000007	So, if Marfa Ignatyevna carries out her intention to-morrow, they won't hear anything and hinder Dmitri Fyodorovitch. They'll be asleep."	So, if Marfa Ignatyevna carries out her intention to morrow, they won't hear anything and hinder Dmitri Fyodorovitch. They'll be asleep."	true	1156.91	1165.63	23.936491
3869_699_000050_000000	"What a rigmarole!	"What a rigmarole!	true	1165.73	1167.28	20.768393
3869_699_000050_000001	And it all seems to happen at once, as though it were planned.	And it all seems to happen at once, as though it were planned.	true	1167.32	1170.64	25.474125
3869_699_000050_000002	You'll have a fit and they'll both be unconscious," cried Ivan. "But aren't you trying to arrange it so?" broke from him suddenly, and he frowned threateningly.	You'll have a fit and they'll both be unconscious," cried Ivan. "But aren't you trying to arrange it so?" broke from him suddenly, and he frowned threateningly.	false	1170.71	1181.83	23.523369
3869_699_000051_000000	"How could I?...	"How could I?...	true	1181.9	1183.03	23.98805
3869_699_000051_000001	And why should I, when it all depends on Dmitri Fyodorovitch and his plans?...	And why should I, when it all depends on Dmitri Fyodorovitch and his plans?...	false	1183.1	1187.65	23.003807
3869_699_000051_000002	If he means to do anything, he'll do it; but if not, I shan't be thrusting him upon his father."	If he means to do anything, he'll do it; but if not, I shan't be thrusting him upon his father."	true	1187.9	1193.95	25.48663
3869_699_000052_000000	"And why should he go to father, especially on the sly, if, as you say yourself, Agrafena Alexandrovna won't come at all?" Ivan went on, turning white with anger.	"And why should he go to father, especially on the sly, if, as you say yourself, Agrafena Alexandrovna won't come at all?" Ivan went on, turning white with anger.	false	1194.41	1204.72	21.621176
3869_699_000052_000001	"You say that yourself, and all the while I've been here, I've felt sure it was all the old man's fancy, and the creature won't come to him.	"You say that yourself, and all the while I've been here, I've felt sure it was all the old man's fancy, and the creature won't come to him.	true	1204.73	1212.58	22.123009
3869_699_000052_000002	Why should Dmitri break in on him if she doesn't come? Speak, I want to know what you are thinking!"	Why should Dmitri break in on him if she doesn't come? Speak, I want to know what you are thinking!"	true	1212.98	1219.72	23.71769
3869_699_000053_000000	"You know yourself why he'll come.	"You know yourself why he'll come.	true	1220.42	1222.66	26.39719
3869_699_000053_000001	What's the use of what I think?	What's the use of what I think?	true	1222.82	1224.67	19.50656
3869_699_000053_000002	His honor will come simply because he is in a rage or suspicious on account of my illness perhaps, and he'll dash in, as he did yesterday through impatience to search the rooms, to see whether she hasn't escaped him on the sly.	His honor will come simply because he is in a rage or suspicious on account of my illness perhaps, and he'll dash in, as he did yesterday through impatience to search the rooms, to see whether she hasn't escaped him on the sly.	true	1224.86	1237.45	22.62508
3869_699_000053_000003	He is perfectly well aware, too, that Fyodor Pavlovitch has a big envelope with three thousand roubles in it, tied up with ribbon and sealed with three seals.	He is perfectly well aware, too, that Fyodor Pavlovitch has a big envelope with three thousand roubles in it, tied up with ribbon and sealed with three seals.	true	1238	1246.27	23.182026
3869_699_000053_000004	On it is written in his own hand, 'To my angel Grushenka, if she will come,' to which he added three days later, 'for my little chicken.' There's no knowing what that might do."	On it is written in his own hand, 'To my angel Grushenka, if she will come,' to which he added three days later, 'for my little chicken.' There's no knowing what that might do."	true	1246.37	1259.35	19.859085
3869_699_000054_000000	"Nonsense!" cried Ivan, almost beside himself.	"Nonsense!" cried Ivan, almost beside himself.	false	1259.48	1264.12	22.624182
3869_699_000054_000001	"Dmitri won't come to steal money and kill my father to do it.	"Dmitri won't come to steal money and kill my father to do it.	true	1264.12	1267.45	23
3869_699_000054_000002	He might have killed him yesterday on account of Grushenka, like the frantic, savage fool he is, but he won't steal."	He might have killed him yesterday on account of Grushenka, like the frantic, savage fool he is, but he won't steal."	true	1267.7	1275.01	24.204424
3869_699_000055_000000	"He is in very great need of money now--the greatest need, Ivan Fyodorovitch.	"He is in very great need of money now-the greatest need, Ivan Fyodorovitch.	false	1275.77	1281.11	23.150942
3869_699_000055_000001	You don't know in what need he is," Smerdyakov explained, with perfect composure and remarkable distinctness.	You don't know in what need he is," Smerdyakov explained, with perfect composure and remarkable distinctness.	true	1281.11	1287.85	25.21234
3869_699_000055_000002	"He looks on that three thousand as his own, too.	"He looks on that three thousand as his own, too.	true	1288.19	1290.76	22.107464
3869_699_000055_000003	He said so to me himself.	He said so to me himself.	true	1290.77	1292.65	23.078999
3869_699_000055_000004	'My father still owes me just three thousand,' he said.	'My father still owes me just three thousand,' he said.	true	1293.05	1296.73	23.200878
3869_699_000055_000005	And besides that, consider, Ivan Fyodorovitch, there is something else perfectly true.	And besides that, consider, Ivan Fyodorovitch, there is something else perfectly true.	false	1296.89	1301.51	24.772406
3869_699_000055_000006	It's as good as certain, so to say, that Agrafena Alexandrovna will force him, if only she cares to, to marry her--the master himself, I mean, Fyodor Pavlovitch--if only she cares to, and of course she may care to.	It's as good as certain, so to say, that Agrafena Alexandrovna will force him, if only she cares to, to marry her-the master himself, I mean, Fyodor Pavlovitch-if only she cares to, and of course she may care to.	true	1301.51	1315.08	23.311306
3869_699_000055_000007	All I've said is that she won't come, but maybe she's looking for more than that--I mean to be mistress here.	All I've said is that she won't come, but maybe she's looking for more than that-I mean to be mistress here.	true	1315.08	1320.93	23.175514
3869_699_000055_000008	I know myself that Samsonov, her merchant, was laughing with her about it, telling her quite openly that it would not be at all a stupid thing to do.	I know myself that Samsonov, her merchant, was laughing with her about it, telling her quite openly that it would not be at all a stupid thing to do.	true	1320.93	1328.56	19
3869_699_000055_000009	And she's got plenty of sense.	And she's got plenty of sense.	true	1328.87	1330.66	21.188498
3869_699_000055_000010	She wouldn't marry a beggar like Dmitri Fyodorovitch.	She wouldn't marry a beggar like Dmitri Fyodorovitch.	true	1330.94	1333.71	19.735191
3869_699_000055_000011	So, taking that into consideration, Ivan Fyodorovitch, reflect that then neither Dmitri Fyodorovitch nor yourself and your brother, Alexey Fyodorovitch, would have anything after the master's death, not a rouble, for Agrafena Alexandrovna would marry him simply to get hold of the whole, all the money there is.	So, taking that into consideration, Ivan Fyodorovitch, reflect that then neither Dmitri Fyodorovitch nor yourself and your brother, Alexey Fyodorovitch, would have anything after the master's death, not a rouble, for Agrafena Alexandrovna would marry him simply to get hold of the whole, all the money there is.	false	1333.71	1349.89	17
3869_699_000055_000012	But if your father were to die now, there'd be some forty thousand for sure, even for Dmitri Fyodorovitch whom he hates so, for he's made no will....	But if your father were to die now, there'd be some forty thousand for sure, even for Dmitri Fyodorovitch whom he hates so, for he's made no will....	true	1350.5	1358.8	22.239517
3869_699_000055_000013	Dmitri Fyodorovitch knows all that very well."	Dmitri Fyodorovitch knows all that very well."	true	1358.9	1362.25	22.982534
3869_699_000056_000000	A sort of shudder passed over Ivan's face.	A sort of shudder passed over Ivan's face.	true	1362.44	1365.01	22.60227
3869_699_000056_000001	He suddenly flushed.	He suddenly flushed.	true	1365.14	1367.22	26.096937
3869_699_000057_000000	"Then why on earth," he suddenly interrupted Smerdyakov, "do you advise me to go to Tchermashnya?	"Then why on earth," he suddenly interrupted Smerdyakov, "do you advise me to go to Tchermashnya?	false	1367.22	1373.65	23.193665
3869_699_000057_000001	What did you mean by that?	What did you mean by that?	true	1373.84	1375.15	26.306103
3869_699_000057_000002	If I go away, you see what will happen here." Ivan drew his breath with difficulty.	If I go away, you see what will happen here." Ivan drew his breath with difficulty.	false	1375.31	1381.44	20.09523
3869_699_000058_000000	"Precisely so," said Smerdyakov, softly and reasonably, watching Ivan intently, however.	"Precisely so," said Smerdyakov, softly and reasonably, watching Ivan intently, however.	true	1381.44	1388.26	22.594723
3869_699_000059_000000	"What do you mean by 'precisely so'?" Ivan questioned him, with a menacing light in his eyes, restraining himself with difficulty.	"What do you mean by 'precisely so'?" Ivan questioned him, with a menacing light in his eyes, restraining himself with difficulty.	true	1388.9	1397.53	20.931908
3869_699_000060_000000	"I spoke because I felt sorry for you.	"I spoke because I felt sorry for you.	true	1397.57	1399.76	25.1037
3869_699_000060_000001	If I were in your place I should simply throw it all up ... rather than stay on in such a position," answered Smerdyakov, with the most candid air looking at Ivan's flashing eyes.	If I were in your place I should simply throw it all up ... rather than stay on in such a position," answered Smerdyakov, with the most candid air looking at Ivan's flashing eyes.	true	1399.76	1409.59	23.4082
3869_699_000060_000002	They were both silent.	They were both silent.	true	1410.11	1412.23	25.770615
3869_699_000061_000000	"You seem to be a perfect idiot, and what's more ... an awful scoundrel, too." Ivan rose suddenly from the bench.	"You seem to be a perfect idiot, and what's more ... an awful scoundrel, too." Ivan rose suddenly from the bench.	false	1412.93	1420.12	25.115253
3869_699_000061_000001	He was about to pass straight through the gate, but he stopped short and turned to Smerdyakov.	He was about to pass straight through the gate, but he stopped short and turned to Smerdyakov.	true	1420.31	1425.58	25.706034
3869_699_000061_000002	Something strange followed.	Something strange followed.	true	1425.83	1427.55	22.954176
3869_699_000061_000003	Ivan, in a sudden paroxysm, bit his lip, clenched his fists, and, in another minute, would have flung himself on Smerdyakov.	Ivan, in a sudden paroxysm, bit his lip, clenched his fists, and, in another minute, would have flung himself on Smerdyakov.	false	1427.55	1435.87	24.642076
3869_699_000061_000004	The latter, anyway, noticed it at the same moment, started, and shrank back. But the moment passed without mischief to Smerdyakov, and Ivan turned in silence, as it seemed in perplexity, to the gate.	The latter, anyway, noticed it at the same moment, started, and shrank back. But the moment passed without mischief to Smerdyakov, and Ivan turned in silence, as it seemed in perplexity, to the gate.	false	1436.18	1449.01	24.514904
3869_699_000062_000000	"I am going away to Moscow to-morrow, if you care to know--early to-morrow morning.	"I am going away to Moscow to morrow, if you care to know-early to morrow morning.	true	1449.35	1453.9	24.870428
3869_699_000062_000001	That's all!" he suddenly said aloud angrily, and wondered himself afterwards what need there was to say this then to Smerdyakov.	That's all!" he suddenly said aloud angrily, and wondered himself afterwards what need there was to say this then to Smerdyakov.	true	1454	1462.3	22.261286
3869_699_000063_000000	"That's the best thing you can do," he responded, as though he had expected to hear it; "except that you can always be telegraphed for from Moscow, if anything should happen here."	"That's the best thing you can do," he responded, as though he had expected to hear it; "except that you can always be telegraphed for from Moscow, if anything should happen here."	true	1463.15	1473.91	23.347672
3869_699_000064_000000	Ivan stopped again, and again turned quickly to Smerdyakov.	Ivan stopped again, and again turned quickly to Smerdyakov.	true	1474.28	1478.2	26.606478
3869_699_000064_000001	But a change had passed over him, too.	But a change had passed over him, too.	true	1478.33	1480.45	25.128922
3869_699_000064_000002	All his familiarity and carelessness had completely disappeared.	All his familiarity and carelessness had completely disappeared.	true	1480.76	1484.89	24.463854
3869_699_000064_000003	His face expressed attention and expectation, intent but timid and cringing.	His face expressed attention and expectation, intent but timid and cringing.	true	1485.05	1490.46	26.200657
3869_699_000065_000000	"Haven't you something more to say--something to add?" could be read in the intent gaze he fixed on Ivan.	"Haven't you something more to say-something to add?" could be read in the intent gaze he fixed on Ivan.	false	1490.46	1496.58	24.355038
3869_699_000066_000000	"And couldn't I be sent for from Tchermashnya, too--in case anything happened?" Ivan shouted suddenly, for some unknown reason raising his voice.	"And couldn't I be sent for from Tchermashnya, too-in case anything happened?" Ivan shouted suddenly, for some unknown reason raising his voice.	false	1496.58	1507.11	21.837633
3869_699_000067_000000	"From Tchermashnya, too ... you could be sent for," Smerdyakov muttered, almost in a whisper, looking disconcerted, but gazing intently into Ivan's eyes.	"From Tchermashnya, too ... you could be sent for," Smerdyakov muttered, almost in a whisper, looking disconcerted, but gazing intently into Ivan's eyes.	true	1507.11	1517.8	22.322662
3869_699_000068_000000	"Only Moscow is farther and Tchermashnya is nearer.	"Only Moscow is farther and Tchermashnya is nearer.	true	1517.99	1521.52	23.098194
3869_699_000068_000001	Is it to save my spending money on the fare, or to save my going so far out of my way, that you insist on Tchermashnya?"	Is it to save my spending money on the fare, or to save my going so far out of my way, that you insist on Tchermashnya?"	true	1521.8	1529.29	21.766438
3869_699_000069_000000	"Precisely so ..." muttered Smerdyakov, with a breaking voice.	"Precisely so ..." muttered Smerdyakov, with a breaking voice.	false	1529.39	1534.3	22.399841
3869_699_000069_000001	He looked at Ivan with a revolting smile, and again made ready to draw back.	He looked at Ivan with a revolting smile, and again made ready to draw back.	false	1534.73	1539.37	23.762762
3869_699_000069_000002	But to his astonishment Ivan broke into a laugh, and went through the gate still laughing.	But to his astonishment Ivan broke into a laugh, and went through the gate still laughing.	false	1539.5	1544.59	25.188557
3869_699_000069_000003	Any one who had seen his face at that moment would have known that he was not laughing from lightness of heart, and he could not have explained himself what he was feeling at that instant.	Any one who had seen his face at that moment would have known that he was not laughing from lightness of heart, and he could not have explained himself what he was feeling at that instant.	false	1544.81	1553.29	20.397518
3869_699_000069_000004	He moved and walked as though in a nervous frenzy.	He moved and walked as though in a nervous frenzy.	false	1553.48	1573.71	24.8615
