114_129317_000000_000000	'You must compose yourself,' said the doctor supporting her.	'You must compose yourself,' said the doctor supporting her.	false	0	2.76	21.442337
114_129317_000065_000005	Men who look on nature, and their fellow-men, and cry that all is dark and gloomy, are in the right; but the sombre colours are reflections from their own jaundiced eyes and hearts.	Men who look on nature, and their fellow men, and cry that all is dark and gloomy, are in the right; but the sombre colours are reflections from their own jaundiced eyes and hearts.	true	926.99	936.94	25
114_129317_000065_000006	The real hues are delicate, and need a clearer vision.	The real hues are delicate, and need a clearer vision.	true	937.19	940.15	20.624851
114_129317_000066_000000	It is worthy of remark, and Oliver did not fail to note it at the time, that his morning expeditions were no longer made alone.	It is worthy of remark, and Oliver did not fail to note it at the time, that his morning expeditions were no longer made alone.	true	941.3	947.98	22
114_129317_000066_000001	Harry Maylie, after the very first morning when he met Oliver coming laden home, was seized with such a passion for flowers, and displayed such a taste in their arrangement, as left his young companion far behind.	Harry Maylie, after the very first morning when he met Oliver coming laden home, was seized with such a passion for flowers, and displayed such a taste in their arrangement, as left his young companion far behind.	false	948.44	960.01	21.614897
114_129317_000066_000002	If Oliver were behindhand in these respects, he knew where the best were to be found; and morning after morning they scoured the country together, and brought home the fairest that blossomed.	If Oliver were behindhand in these respects, he knew where the best were to be found; and morning after morning they scoured the country together, and brought home the fairest that blossomed.	true	960.32	969.97	21.36139
114_129317_000066_000003	The window of the young lady's chamber was opened now; for she loved to feel the rich summer air stream in, and revive her with its freshness; but there always stood in water, just inside the lattice, one particular little bunch, which was made up with great care, every morning.	The window of the young lady's chamber was opened now; for she loved to feel the rich summer air stream in, and revive her with its freshness; but there always stood in water, just inside the lattice, one particular little bunch, which was made up with great care, every morning.	true	970.43	985.75	22.976002
114_129317_000066_000004	Oliver could not help noticing that the withered flowers were never thrown away, although the little vase was regularly replenished; nor, could he help observing, that whenever the doctor came into the garden, he invariably cast his eyes up to that particular corner, and nodded his head most expressively, as he set forth on his morning's walk.	Oliver could not help noticing that the withered flowers were never thrown away, although the little vase was regularly replenished; nor, could he help observing, that whenever the doctor came into the garden, he invariably cast his eyes up to that particular corner, and nodded his head most expressively, as he set forth on his morning's walk.	true	986.15	1004.95	21.29558
114_129317_000066_000005	Pending these observations, the days were flying by; and Rose was rapidly recovering.	Pending these observations, the days were flying by; and Rose was rapidly recovering.	true	1005.26	1011.37	20.299183
114_129317_000067_000000	Nor did Oliver's time hang heavy on his hands, although the young lady had not yet left her chamber, and there were no evening walks, save now and then, for a short distance, with Mrs. Maylie.	Nor did Oliver's time hang heavy on his hands, although the young lady had not yet left her chamber, and there were no evening walks, save now and then, for a short distance, with mrs Maylie.	true	1011.5	1021.33	20.066526
114_129317_000067_000001	He applied himself, with redoubled assiduity, to the instructions of the white-headed old gentleman, and laboured so hard that his quick progress surprised even himself.	He applied himself, with redoubled assiduity, to the instructions of the white headed old gentleman, and laboured so hard that his quick progress surprised even himself.	true	1021.82	1031.08	22.137955
114_129317_000067_000002	It was while he was engaged in this pursuit, that he was greatly startled and distressed by a most unexpected occurrence.	It was while he was engaged in this pursuit, that he was greatly startled and distressed by a most unexpected occurrence.	true	1031.48	1037.35	19
114_129317_000068_000000	The little room in which he was accustomed to sit, when busy at his books, was on the ground-floor, at the back of the house.	The little room in which he was accustomed to sit, when busy at his books, was on the ground floor, at the back of the house.	true	1038.53	1044.82	21.924147
114_129317_000068_000001	It was quite a cottage-room, with a lattice-window: around which were clusters of jessamine and honeysuckle, that crept over the casement, and filled the place with their delicious perfume.	It was quite a cottage room, with a lattice window: around which were clusters of jessamine and honeysuckle, that crept over the casement, and filled the place with their delicious perfume.	true	1045.19	1054.48	20
114_129317_000068_000002	It looked into a garden, whence a wicket-gate opened into a small paddock; all beyond, was fine meadow-land and wood.	It looked into a garden, whence a wicket gate opened into a small paddock; all beyond, was fine meadow land and wood.	true	1054.94	1061.8	20.794939
114_129317_000068_000003	There was no other dwelling near, in that direction; and the prospect it commanded was very extensive.	There was no other dwelling near, in that direction; and the prospect it commanded was very extensive.	true	1062.11	1067.5	20.355442
114_129317_000069_000000	One beautiful evening, when the first shades of twilight were beginning to settle upon the earth, Oliver sat at this window, intent upon his books.	One beautiful evening, when the first shades of twilight were beginning to settle upon the earth, Oliver sat at this window, intent upon his books.	true	1068.44	1076.35	22.543898
114_129317_000069_000001	He had been poring over them for some time; and, as the day had been uncommonly sultry, and he had exerted himself a great deal, it is no disparagement to the authors, whoever they may have been, to say, that gradually and by slow degrees, he fell asleep.	He had been poring over them for some time; and, as the day had been uncommonly sultry, and he had exerted himself a great deal, it is no disparagement to the authors, whoever they may have been, to say, that gradually and by slow degrees, he fell asleep.	true	1076.6	1091.5	21.419128
114_129317_000070_000000	There is a kind of sleep that steals upon us sometimes, which, while it holds the body prisoner, does not free the mind from a sense of things about it, and enable it to ramble at its pleasure.	There is a kind of sleep that steals upon us sometimes, which, while it holds the body prisoner, does not free the mind from a sense of things about it, and enable it to ramble at its pleasure.	true	1091.9	1102.42	21.947163
114_129317_000070_000001	So far as an overpowering heaviness, a prostration of strength, and an utter inability to control our thoughts or power of motion, can be called sleep, this is it; and yet, we have a consciousness of all that is going on about us, and, if we dream at such a time, words which are really spoken, or sounds which really exist at the moment, accommodate themselves with surprising readiness to our visions, until reality and imagination become so strangely blended that it is afterwards almost matter of impossibility to separate the two.	So far as an overpowering heaviness, a prostration of strength, and an utter inability to control our thoughts or power of motion, can be called sleep, this is it; and yet, we have a consciousness of all that is going on about us, and, if we dream at such a time, words which are really spoken, or sounds which really exist at the moment, accommodate themselves with surprising readiness to our visions, until reality and imagination become so strangely blended that it is afterwards almost matter of impossibility to separate the two.	true	1103.09	1135.18	21.233355
114_129317_000070_000002	Nor is this, the most striking phenomenon incidental to such a state.	Nor is this, the most striking phenomenon incidental to such a state.	true	1135.97	1140.1	20
114_129317_000070_000003	It is an undoubted fact, that although our senses of touch and sight be for the time dead, yet our sleeping thoughts, and the visionary scenes that pass before us, will be influenced and materially influenced, by the _mere silent presence_ of some external object; which may not have been near us when we closed our eyes: and of whose vicinity we have had no waking consciousness.	It is an undoubted fact, that although our senses of touch and sight be for the time dead, yet our sleeping thoughts, and the visionary scenes that pass before us, will be influenced and materially influenced, by the underscore mere silent presence underscore of some external object; which may not have been near us when we closed our eyes: and of whose vicinity we have had no waking consciousness.	false	1140.41	1163.2	21
114_129317_000071_000000	Oliver knew, perfectly well, that he was in his own little room; that his books were lying on the table before him; that the sweet air was stirring among the creeping plants outside.	Oliver knew, perfectly well, that he was in his own little room; that his books were lying on the table before him; that the sweet air was stirring among the creeping plants outside.	true	1164.14	1173.85	21
114_129317_000071_000001	And yet he was asleep. Suddenly, the scene changed; the air became close and confined; and he thought, with a glow of terror, that he was in the Jew's house again. There sat the hideous old man, in his accustomed corner, pointing at him, and whispering to another man, with his face averted, who sat beside him.	And yet he was asleep. Suddenly, the scene changed; the air became close and confined; and he thought, with a glow of terror, that he was in the Jew's house again. There sat the hideous old man, in his accustomed corner, pointing at him, and whispering to another man, with his face averted, who sat beside him.	true	1174.43	1192.06	20.055315
114_129317_000072_000000	'Hush, my dear!' he thought he heard the Jew say; 'it is he, sure enough.	'Hush, my dear!' he thought he heard the Jew say; 'it is he, sure enough.	true	1192.43	1196.68	20.26773
114_129317_000072_000001	Come away.'	Come away.'	true	1196.68	1197.55	16.13126
114_129317_000073_000000	'He!' the other man seemed to answer; 'could I mistake him, think you? If a crowd of ghosts were to put themselves into his exact shape, and he stood amongst them, there is something that would tell me how to point him out.	'He!' the other man seemed to answer; 'could I mistake him, think you? If a crowd of ghosts were to put themselves into his exact shape, and he stood amongst them, there is something that would tell me how to point him out.	true	1198.4	1211.17	23.097279
114_129317_000073_000001	If you buried him fifty feet deep, and took me across his grave, I fancy I should know, if there wasn't a mark above it, that he lay buried there?'	If you buried him fifty feet deep, and took me across his grave, I fancy I should know, if there wasn't a mark above it, that he lay buried there?'	false	1211.45	1219.99	21.202879
114_129317_000074_000000	The man seemed to say this, with such dreadful hatred, that Oliver awoke with the fear, and started up.	The man seemed to say this, with such dreadful hatred, that Oliver awoke with the fear, and started up.	false	1220.84	1226.89	20.082792
114_129317_000075_000000	Good Heaven! what was that, which sent the blood tingling to his heart, and deprived him of his voice, and of power to move! There--there--at the window--close before him--so close, that he could have almost touched him before he started back: with his eyes peering into the room, and meeting his: there stood the Jew!	Good Heaven! what was that, which sent the blood tingling to his heart, and deprived him of his voice, and of power to move! There-there-at the window-close before him-so close, that he could have almost touched him before he started back: with his eyes peering into the room, and meeting his: there stood the Jew!	false	1227.08	1244.29	22.476591
114_129317_000075_000001	And beside him, white with rage or fear, or both, were the scowling features of the man who had accosted him in the inn-yard.	And beside him, white with rage or fear, or both, were the scowling features of the man who had accosted him in the inn yard.	false	1244.36	1251.31	18.328463
114_129317_000076_000000	It was but an instant, a glance, a flash, before his eyes; and they were gone.	It was but an instant, a glance, a flash, before his eyes; and they were gone.	true	1252.25	1257.52	21.207275
114_129317_000076_000001	But they had recognised him, and he them; and their look was as firmly impressed upon his memory, as if it had been deeply carved in stone, and set before him from his birth.	But they had recognised him, and he them; and their look was as firmly impressed upon his memory, as if it had been deeply carved in stone, and set before him from his birth.	true	1257.86	1268.17	22.251348
114_129317_000076_000002	He stood transfixed for a moment; then, leaping from the window into the garden, called loudly for help.	He stood transfixed for a moment; then, leaping from the window into the garden, called loudly for help.	false	1268.54	1282.38	22.472837
