1265_135635_000000_000000	CHAPTER XLVI.	CHAPTER forty six.	true	26.955	28.48	28.482012
1265_135635_000068_000001	'Why doesn't he make haste!'	'Why doesn't he make haste!'	true	897.65	899.38	24.229986
1265_135635_000069_000000	As the lady spoke these words, Mr. Jackson turned from the coach where he had been addressing some observations to a shabby man in black leggings, who had just emerged from the vehicle with a thick ash stick in his hand, and made his way to the place where the ladies were seated; winding his hair round the brim of his hat, as he came along.	As the lady spoke these words, mr Jackson turned from the coach where he had been addressing some observations to a shabby man in black leggings, who had just emerged from the vehicle with a thick ash stick in his hand, and made his way to the place where the ladies were seated; winding his hair round the brim of his hat, as he came along.	true	899.69	917.68	22.518393
1265_135635_000069_000001	'Is anything the matter?	'Is anything the matter?	true	917.96	919.185	23.111027
1265_135635_000069_000002	Has anything taken place, Mr. Jackson?' said Mrs. Bardell eagerly.	Has anything taken place, mr Jackson?' said mrs Bardell eagerly.	false	919.185	923.43	24.104198
1265_135635_000070_000000	'Nothing whatever, ma'am,' replied Mr. Jackson.	'Nothing whatever, ma'am,' replied mr Jackson.	true	923.43	926.115	22.465946
1265_135635_000070_000001	'How de do, ladies? I have to ask pardon, ladies, for intruding--but the law, ladies--the law.' With this apology Mr. Jackson smiled, made a comprehensive bow, and gave his hair another wind.	'How de do, ladies? I have to ask pardon, ladies, for intruding-but the law, ladies-the law.' With this apology mr Jackson smiled, made a comprehensive bow, and gave his hair another wind.	false	926.115	938.07	24.455297
1265_135635_000070_000002	Mrs. Rogers whispered Mrs. Raddle that he was really an elegant young man.	mrs Rogers whispered mrs Raddle that he was really an elegant young man.	true	938.07	942.67	21.374737
1265_135635_000071_000000	'I called in Goswell Street,' resumed Mr. Jackson, 'and hearing that you were here, from the slavey, took a coach and came on.	'I called in Goswell Street,' resumed mr Jackson, 'and hearing that you were here, from the slavey, took a coach and came on.	true	943.16	950.115	24.355457
1265_135635_000071_000001	Our people want you down in the city directly, Mrs. Bardell.'	Our people want you down in the city directly, mrs Bardell.'	false	950.115	953.73	24.299118
1265_135635_000072_000000	'Lor!' ejaculated that lady, starting at the sudden nature of the communication.	'Lor!' ejaculated that lady, starting at the sudden nature of the communication.	true	953.73	958.87	24.033749
1265_135635_000073_000000	'Yes,' said Mr. Jackson, biting his lip.	'Yes,' said mr Jackson, biting his lip.	true	959.24	961.5	22.611826
1265_135635_000073_000001	'It's very important and pressing business, which can't be postponed on any account.	'It's very important and pressing business, which can't be postponed on any account.	true	961.5	966.31	25.335388
1265_135635_000073_000002	Indeed, Dodson expressly said so to me, and so did Fogg.	Indeed, Dodson expressly said so to me, and so did Fogg.	false	966.32	970.785	23.979273
1265_135635_000073_000003	I've kept the coach on purpose for you to go back in.'	I've kept the coach on purpose for you to go back in.'	true	970.785	973.57	28.167482
1265_135635_000074_000000	'How very strange!' exclaimed Mrs. Bardell.	'How very strange!' exclaimed mrs Bardell.	false	973.91	977.28	23.418196
1265_135635_000075_000000	The ladies agreed that it WAS very strange, but were unanimously of opinion that it must be very important, or Dodson & Fogg would never have sent; and further, that the business being urgent, she ought to repair to Dodson & Fogg's without any delay.	The ladies agreed that it WAS very strange, but were unanimously of opinion that it must be very important, or Dodson and Fogg would never have sent; and further, that the business being urgent, she ought to repair to Dodson and Fogg's without any delay.	true	977.28	990.94	23
1265_135635_000076_000000	There was a certain degree of pride and importance about being wanted by one's lawyers in such a monstrous hurry, that was by no means displeasing to Mrs. Bardell, especially as it might be reasonably supposed to enhance her consequence in the eyes of the first-floor lodger.	There was a certain degree of pride and importance about being wanted by one's lawyers in such a monstrous hurry, that was by no means displeasing to mrs Bardell, especially as it might be reasonably supposed to enhance her consequence in the eyes of the first floor lodger.	true	991.31	1005.76	21
1265_135635_000076_000001	She simpered a little, affected extreme vexation and hesitation, and at last arrived at the conclusion that she supposed she must go.	She simpered a little, affected extreme vexation and hesitation, and at last arrived at the conclusion that she supposed she must go.	false	1005.86	1014.1	24.515526
1265_135635_000077_000000	'But won't you refresh yourself after your walk, Mr. Jackson?' said Mrs. Bardell persuasively.	'But won't you refresh yourself after your walk, mr Jackson?' said mrs Bardell persuasively.	true	1014.56	1020.07	26.62104
1265_135635_000078_000000	'Why, really there ain't much time to lose,' replied Jackson; 'and I've got a friend here,' he continued, looking towards the man with the ash stick.	'Why, really there ain't much time to lose,' replied Jackson; 'and I've got a friend here,' he continued, looking towards the man with the ash stick.	false	1020.59	1028.47	23.223171
1265_135635_000079_000000	'Oh, ask your friend to come here, Sir,' said Mrs. Bardell. 'Pray ask your friend here, Sir.'	'Oh, ask your friend to come here, Sir,' said mrs Bardell. 'Pray ask your friend here, Sir.'	true	1028.51	1033.84	24.212244
1265_135635_000080_000000	'Why, thank'ee, I'd rather not,' said Mr. Jackson, with some embarrassment of manner.	'Why, thank'ee, I'd rather not,' said mr Jackson, with some embarrassment of manner.	true	1034.48	1038.85	23.694252
1265_135635_000080_000001	'He's not much used to ladies' society, and it makes him bashful.	'He's not much used to ladies' society, and it makes him bashful.	true	1038.92	1042.63	23.198776
1265_135635_000080_000002	If you'll order the waiter to deliver him anything short, he won't drink it off at once, won't he!--only try him!' Mr. Jackson's fingers wandered playfully round his nose at this portion of his discourse, to warn his hearers that he was speaking ironically.	If you'll order the waiter to deliver him anything short, he won't drink it off at once, won't he!--only try him!' mr Jackson's fingers wandered playfully round his nose at this portion of his discourse, to warn his hearers that he was speaking ironically.	true	1042.63	1056.43	24.013144
1265_135635_000081_000000	The waiter was at once despatched to the bashful gentleman, and the bashful gentleman took something; Mr. Jackson also took something, and the ladies took something, for hospitality's sake.	The waiter was at once despatched to the bashful gentleman, and the bashful gentleman took something; mr Jackson also took something, and the ladies took something, for hospitality's sake.	true	1056.92	1066.69	24.091614
1265_135635_000081_000001	Mr. Jackson then said he was afraid it was time to go; upon which, Mrs. Sanders, Mrs. Cluppins, and Tommy (who it was arranged should accompany Mrs. Bardell, leaving the others to Mr. Raddle's protection), got into the coach.	mr Jackson then said he was afraid it was time to go; upon which, mrs Sanders, mrs Cluppins, and Tommy (who it was arranged should accompany mrs Bardell, leaving the others to mr Raddle's protection), got into the coach.	true	1067.39	1080.28	22.690248
1265_135635_000082_000000	'Isaac,' said Jackson, as Mrs. Bardell prepared to get in, looking up at the man with the ash stick, who was seated on the box, smoking a cigar.	'Isaac,' said Jackson, as mrs Bardell prepared to get in, looking up at the man with the ash stick, who was seated on the box, smoking a cigar.	true	1080.56	1089.46	24.580662
1265_135635_000083_000000	'Well?'	'Well?'	true	1089.65	1090.51	23.106445
1265_135635_000084_000000	'This is Mrs. Bardell.'	'This is mrs Bardell.'	true	1090.7	1092.16	22.201227
1265_135635_000085_000000	'Oh, I know'd that long ago,' said the man.	'Oh, I know'd that long ago,' said the man.	true	1092.44	1095.07	16.375181
1265_135635_000086_000000	Mrs. Bardell got in, Mr. Jackson got in after her, and away they drove. Mrs. Bardell could not help ruminating on what Mr. Jackson's friend had said.	mrs Bardell got in, mr Jackson got in after her, and away they drove. mrs Bardell could not help ruminating on what mr Jackson's friend had said.	true	1095.41	1105.36	24.860144
1265_135635_000086_000001	Shrewd creatures, those lawyers.	Shrewd creatures, those lawyers.	true	1105.55	1107.63	25.044004
1265_135635_000086_000002	Lord bless us, how they find people out!	Lord bless us, how they find people out!	true	1107.63	1110.22	22.287825
1265_135635_000087_000000	'Sad thing about these costs of our people's, ain't it,' said Jackson, when Mrs. Cluppins and Mrs. Sanders had fallen asleep; 'your bill of costs, I mean.'	'Sad thing about these costs of our people's, ain't it,' said Jackson, when mrs Cluppins and mrs Sanders had fallen asleep; 'your bill of costs, I mean.'	true	1110.53	1119.13	23.646542
1265_135635_000088_000000	'I'm very sorry they can't get them,' replied Mrs. Bardell. 'But if you law gentlemen do these things on speculation, why you must get a loss now and then, you know.'	'I'm very sorry they can't get them,' replied mrs Bardell. 'But if you law gentlemen do these things on speculation, why you must get a loss now and then, you know.'	true	1119.41	1128.19	23
1265_135635_000089_000000	'You gave them a COGNOVIT for the amount of your costs, after the trial, I'm told!' said Jackson.	'You gave them a c o g n o v i t for the amount of your costs, after the trial, I'm told!' said Jackson.	false	1128.53	1134.46	23.572767
1265_135635_000090_000000	'Yes.	'Yes.	true	1134.74	1135.29	22.372293
1265_135635_000090_000001	Just as a matter of form,' replied Mrs. Bardell.	Just as a matter of form,' replied mrs Bardell.	false	1135.29	1138.47	29.075844
1265_135635_000091_000000	'Certainly,' replied Jackson drily.	'Certainly,' replied Jackson drily.	true	1138.47	1140.73	24.208933
1265_135635_000091_000001	'Quite a matter of form.	'Quite a matter of form.	false	1140.73	1142.16	24.633736
1265_135635_000091_000002	Quite.'	Quite.'	true	1142.16	1142.92	25.753225
1265_135635_000092_000000	On they drove, and Mrs. Bardell fell asleep.	On they drove, and mrs Bardell fell asleep.	true	1143.41	1146.22	24.462875
1265_135635_000092_000001	She was awakened, after some time, by the stopping of the coach.	She was awakened, after some time, by the stopping of the coach.	true	1146.38	1149.76	27.174551
1265_135635_000093_000000	'Bless us!' said the lady.'Are we at Freeman's Court?'	'Bless us!' said the lady.'Are we at Freeman's Court?'	true	1150.04	1153.18	25.718163
1265_135635_000094_000000	'We're not going quite so far,' replied Jackson.	'We're not going quite so far,' replied Jackson.	true	1153.61	1156.39	28.689081
1265_135635_000094_000001	'Have the goodness to step out.'	'Have the goodness to step out.'	true	1156.49	1158.31	23.916306
1265_135635_000095_000000	Mrs. Bardell, not yet thoroughly awake, complied.	mrs Bardell, not yet thoroughly awake, complied.	true	1158.83	1162.66	26.399195
1265_135635_000095_000001	It was a curious place: a large wall, with a gate in the middle, and a gas-light burning inside.	It was a curious place: a large wall, with a gate in the middle, and a gas light burning inside.	false	1163.03	1170.1	24.661644
1265_135635_000096_000000	'Now, ladies,' cried the man with the ash stick, looking into the coach, and shaking Mrs. Sanders to wake her, 'Come!' Rousing her friend, Mrs. Sanders alighted.	'Now, ladies,' cried the man with the ash stick, looking into the coach, and shaking mrs Sanders to wake her, 'Come!' Rousing her friend, mrs Sanders alighted.	true	1170.56	1179.79	22.547476
1265_135635_000096_000001	Mrs. Bardell, leaning on Jackson's arm, and leading Tommy by the hand, had already entered the porch.	mrs Bardell, leaning on Jackson's arm, and leading Tommy by the hand, had already entered the porch.	true	1180.1	1186.07	22.308453
1265_135635_000096_000002	They followed.	They followed.	true	1186.07	1187.88	24.833462
1265_135635_000097_000000	The room they turned into was even more odd-looking than the porch.	The room they turned into was even more odd looking than the porch.	true	1187.88	1191.58	30.586014
1265_135635_000097_000001	Such a number of men standing about!	Such a number of men standing about!	true	1191.62	1193.81	22.217134
1265_135635_000097_000002	And they stared so!	And they stared so!	true	1193.81	1195.24	22.08856
1265_135635_000098_000000	'What place is this?' inquired Mrs. Bardell, pausing.	'What place is this?' inquired mrs Bardell, pausing.	true	1195.85	1199.53	24.767866
1265_135635_000099_000000	'Only one of our public offices,' replied Jackson, hurrying her through a door, and looking round to see that the other women were following. 'Look sharp, Isaac!'	'Only one of our public offices,' replied Jackson, hurrying her through a door, and looking round to see that the other women were following. 'Look sharp, Isaac!'	true	1199.93	1208.5	26.036224
1265_135635_000100_000000	'Safe and sound,' replied the man with the ash stick.	'Safe and sound,' replied the man with the ash stick.	true	1208.81	1212.25	27.09423
1265_135635_000100_000001	The door swung heavily after them, and they descended a small flight of steps.	The door swung heavily after them, and they descended a small flight of steps.	true	1212.32	1217.02	24.130098
1265_135635_000101_000000	'Here we are at last.	'Here we are at last.	true	1217.33	1218.73	24.616617
1265_135635_000101_000001	All right and tight, Mrs. Bardell!' said Jackson, looking exultingly round.	All right and tight, mrs Bardell!' said Jackson, looking exultingly round.	false	1218.73	1223.47	24
1265_135635_000102_000000	'What do you mean?' said Mrs. Bardell, with a palpitating heart.	'What do you mean?' said mrs Bardell, with a palpitating heart.	true	1223.84	1227.16	26.043144
1265_135635_000103_000000	'Just this,' replied Jackson, drawing her a little on one side; 'don't be frightened, Mrs. Bardell.	'Just this,' replied Jackson, drawing her a little on one side; 'don't be frightened, mrs Bardell.	false	1227.47	1233.15	25.203691
1265_135635_000103_000001	There never was a more delicate man than Dodson, ma'am, or a more humane man than Fogg.	There never was a more delicate man than Dodson, ma'am, or a more humane man than Fogg.	false	1233.15	1238.7	22
1265_135635_000103_000002	It was their duty in the way of business, to take you in execution for them costs; but they were anxious to spare your feelings as much as they could.	It was their duty in the way of business, to take you in execution for them costs; but they were anxious to spare your feelings as much as they could.	true	1238.7	1246.66	25.658783
1265_135635_000103_000003	What a comfort it must be, to you, to think how it's been done!	What a comfort it must be, to you, to think how it's been done!	true	1246.73	1249.93	25.522703
1265_135635_000103_000004	This is the Fleet, ma'am. Wish you good-night, Mrs. Bardell.	This is the Fleet, ma'am. Wish you good night, mrs Bardell.	true	1250.06	1253.49	25.708454
1265_135635_000103_000005	Good-night, Tommy!'	Good night, Tommy!'	true	1253.49	1254.67	27.478287
1265_135635_000104_000000	As Jackson hurried away in company with the man with the ash stick another man, with a key in his hand, who had been looking on, led the bewildered female to a second short flight of steps leading to a doorway.	As Jackson hurried away in company with the man with the ash stick another man, with a key in his hand, who had been looking on, led the bewildered female to a second short flight of steps leading to a doorway.	true	1255.37	1267.18	22.276936
1265_135635_000104_000001	Mrs. Bardell screamed violently; Tommy roared; Mrs. Cluppins shrunk within herself; and Mrs. Sanders made off, without more ado.	mrs Bardell screamed violently; Tommy roared; mrs Cluppins shrunk within herself; and mrs Sanders made off, without more ado.	true	1267.64	1276.04	23.937449
1265_135635_000104_000002	For there stood the injured Mr. Pickwick, taking his nightly allowance of air; and beside him leant Samuel Weller, who, seeing Mrs. Bardell, took his hat off with mock reverence, while his master turned indignantly on his heel.	For there stood the injured mr Pickwick, taking his nightly allowance of air; and beside him leant Samuel Weller, who, seeing mrs Bardell, took his hat off with mock reverence, while his master turned indignantly on his heel.	false	1276.04	1289.68	24.963236
1265_135635_000105_000000	'Don't bother the woman,' said the turnkey to Weller; 'she's just come in.'	'Don't bother the woman,' said the turnkey to Weller; 'she's just come in.'	true	1289.96	1293.73	26.286512
1265_135635_000106_000000	'A prisoner!' said Sam, quickly replacing his hat.	'A prisoner!' said Sam, quickly replacing his hat.	true	1294.04	1297.41	23.391603
1265_135635_000106_000001	'Who's the plaintives?	'Who's the plaintives?	true	1297.41	1298.68	25.615631
1265_135635_000106_000002	What for?	What for?	true	1298.68	1299.53	29.11476
1265_135635_000106_000003	Speak up, old feller.'	Speak up, old feller.'	true	1299.53	1300.96	33.87405
1265_135635_000107_000000	'Dodson and Fogg,' replied the man; 'execution on COGNOVIT for costs.'	'Dodson and Fogg,' replied the man; 'execution on c o g n o v i t for costs.'	false	1301.27	1306.3	23.564856
1265_135635_000108_000000	'Here, Job, Job!' shouted Sam, dashing into the passage.	'Here, Job, Job!' shouted Sam, dashing into the passage.	false	1307	1310.95	21.900162
1265_135635_000108_000001	'Run to Mr. Perker's, Job.	'Run to mr Perker's, Job.	false	1310.95	1312.79	25.864433
1265_135635_000108_000002	I want him directly.	I want him directly.	true	1312.79	1314.02	23.57879
1265_135635_000108_000003	I see some good in this.	I see some good in this.	true	1314.02	1315.56	23.286367
1265_135635_000108_000004	Here's a game.	Here's a game.	true	1315.56	1316.71	15.491893
1265_135635_000108_000005	Hooray! vere's the gov'nor?'	Hooray! vere's the gov'nor?'	false	1316.71	1319.26	23.550812
1265_135635_000109_000000	But there was no reply to these inquiries, for Job had started furiously off, the instant he received his commission, and Mrs. Bardell had fainted in real downright earnest.	But there was no reply to these inquiries, for Job had started furiously off, the instant he received his commission, and mrs Bardell had fainted in real downright earnest.	false	1319.45	1332.03	23.982628
1265_135635_000110_000000	CHAPTER XLVII.	CHAPTER forty seven.	false	1332.03	1332.96	18
1265_135635_000110_000001	IS CHIEFLY DEVOTED TO MATTERS OF BUSINESS, AND THE TEMPORAL ADVANTAGE OF DODSON AND FOGG--Mr.	IS CHIEFLY DEVOTED TO MATTERS OF BUSINESS, AND THE TEMPORAL ADVANTAGE OF DODSON AND FOGG-mr	false	1332.96	1333.17	5
1265_135635_000110_000002	WINKLE REAPPEARS UNDER EXTRAORDINARY CIRCUMSTANCES--Mr.	WINKLE REAPPEARS UNDER EXTRAORDINARY CIRCUMSTANCES-mr	false	1333.17	1333.26	24
1265_135635_000110_000003	PICKWICK'S BENEVOLENCE PROVES STRONGER THAN HIS OBSTINACY	PICKWICK'S BENEVOLENCE PROVES STRONGER THAN HIS OBSTINACY	false	1333.26	1333.38	70
1265_135635_000111_000000	Job Trotter, abating nothing of his speed, ran up Holborn, sometimes in the middle of the road, sometimes on the pavement, sometimes in the gutter, as the chances of getting along varied with the press of men, women, children, and coaches, in each division of the thoroughfare, and, regardless of all obstacles stopped not for an instant until he reached the gate of Gray's Inn.	Job Trotter, abating nothing of his speed, ran up Holborn, sometimes in the middle of the road, sometimes on the pavement, sometimes in the gutter, as the chances of getting along varied with the press of men, women, children, and coaches, in each division of the thoroughfare, and, regardless of all obstacles stopped not for an instant until he reached the gate of Gray's Inn.	false	1333.38	1334.28	29.656986
1265_135635_000111_000001	Notwithstanding all the expedition he had used, however, the gate had been closed a good half-hour when he reached it, and by the time he had discovered Mr. Perker's laundress, who lived with a married daughter, who had bestowed her hand upon a non-resident waiter, who occupied the one-pair of some number in some street closely adjoining to some brewery somewhere behind Gray's Inn Lane, it was within fifteen minutes of closing the prison for the night.	Notwithstanding all the expedition he had used, however, the gate had been closed a good half hour when he reached it, and by the time he had discovered mr Perker's laundress, who lived with a married daughter, who had bestowed her hand upon a non resident waiter, who occupied the one pair of some number in some street closely adjoining to some brewery somewhere behind Gray's Inn Lane, it was within fifteen minutes of closing the prison for the night.	false	1334.28	1335.93	22.296963
1265_135635_000111_000002	Mr. Lowten had still to be ferreted out from the back parlour of the Magpie and Stump; and Job had scarcely accomplished this object, and communicated Sam Weller's message, when the clock struck ten.	mr Lowten had still to be ferreted out from the back parlour of the Magpie and Stump; and Job had scarcely accomplished this object, and communicated Sam Weller's message, when the clock struck ten.	false	1335.93	1339.23	20.85125
