1639_133290_000000_000000	Principal Causes Which Tend To Maintain The Democratic Republic In The United States	Principal Causes Which Tend To Maintain The Democratic Republic In The United States	false	28.905	38.14	19.447697
1639_133290_000026_000001	The woods stoop to give him a passage, and spring up again when he has passed.	The woods stoop to give him a passage, and spring up again when he has passed.	true	991.79	995.86	16
1639_133290_000026_000002	It is not uncommon in crossing the new States of the West to meet with deserted dwellings in the midst of the wilds; the traveller frequently discovers the vestiges of a log house in the most solitary retreats, which bear witness to the power, and no less to the inconstancy of man.	It is not uncommon in crossing the new States of the West to meet with deserted dwellings in the midst of the wilds; the traveller frequently discovers the vestiges of a log house in the most solitary retreats, which bear witness to the power, and no less to the inconstancy of man.	false	996.05	1011.4	14
1639_133290_000026_000003	In these abandoned fields, and over these ruins of a day, the primeval forest soon scatters a fresh vegetation, the beasts resume the haunts which were once their own, and Nature covers the traces of man's path with branches and with flowers, which obliterate his evanescent track.	In these abandoned fields, and over these ruins of a day, the primeval forest soon scatters a fresh vegetation, the beasts resume the haunts which were once their own, and Nature covers the traces of man's path with branches and with flowers, which obliterate his evanescent track.	false	1011.68	1027.69	17
1639_133290_000027_000000	I remember that, in crossing one of the woodland districts which still cover the State of New York, I reached the shores of a lake embosomed in forests coeval with the world.	I remember that, in crossing one of the woodland districts which still cover the State of New York, I reached the shores of a lake embosomed in forests coeval with the world.	true	1029.62	1039.03	13
1639_133290_000027_000001	A small island, covered with woods whose thick foliage concealed its banks, rose from the centre of the waters. Upon the shores of the lake no object attested the presence of man except a column of smoke which might be seen on the horizon rising from the tops of the trees to the clouds, and seeming to hang from heaven rather than to be mounting to the sky.	A small island, covered with woods whose thick foliage concealed its banks, rose from the centre of the waters. Upon the shores of the lake no object attested the presence of man except a column of smoke which might be seen on the horizon rising from the tops of the trees to the clouds, and seeming to hang from heaven rather than to be mounting to the sky.	true	1039.19	1058.59	14
1639_133290_000027_000002	An Indian shallop was hauled up on the sand, which tempted me to visit the islet that had first attracted my attention, and in a few minutes I set foot upon its banks. The whole island formed one of those delicious solitudes of the New World which almost lead civilized man to regret the haunts of the savage.	An Indian shallop was hauled up on the sand, which tempted me to visit the islet that had first attracted my attention, and in a few minutes I set foot upon its banks. The whole island formed one of those delicious solitudes of the New World which almost lead civilized man to regret the haunts of the savage.	false	1058.96	1075.48	16
1639_133290_000027_000003	A luxuriant vegetation bore witness to the incomparable fruitfulness of the soil.	A luxuriant vegetation bore witness to the incomparable fruitfulness of the soil.	true	1076.33	1081.06	15
1639_133290_000027_000004	The deep silence which is common to the wilds of North America was only broken by the hoarse cooing of the wood-pigeon, and the tapping of the woodpecker upon the bark of trees. I was far from supposing that this spot had ever been inhabited, so completely did Nature seem to be left to her own caprices; but when I reached the centre of the isle I thought that I discovered some traces of man.	The deep silence which is common to the wilds of North America was only broken by the hoarse cooing of the wood pigeon, and the tapping of the woodpecker upon the bark of trees. I was far from supposing that this spot had ever been inhabited, so completely did Nature seem to be left to her own caprices; but when I reached the centre of the isle I thought that I discovered some traces of man.	false	1081.28	1101.99	15
1639_133290_000027_000005	I then proceeded to examine the surrounding objects with care, and I soon perceived that a European had undoubtedly been led to seek a refuge in this retreat.	I then proceeded to examine the surrounding objects with care, and I soon perceived that a European had undoubtedly been led to seek a refuge in this retreat.	false	1101.99	1110.73	17
1639_133290_000027_000006	Yet what changes had taken place in the scene of his labors!	Yet what changes had taken place in the scene of his labors!	true	1110.92	1114.27	13
1639_133290_000027_000007	The logs which he had hastily hewn to build himself a shed had sprouted afresh; the very props were intertwined with living verdure, and his cabin was transformed into a bower.	The logs which he had hastily hewn to build himself a shed had sprouted afresh; the very props were intertwined with living verdure, and his cabin was transformed into a bower.	false	1114.7	1125.21	19
1639_133290_000027_000008	In the midst of these shrubs a few stones were to be seen, blackened with fire and sprinkled with thin ashes; here the hearth had no doubt been, and the chimney in falling had covered it with rubbish.	In the midst of these shrubs a few stones were to be seen, blackened with fire and sprinkled with thin ashes; here the hearth had no doubt been, and the chimney in falling had covered it with rubbish.	false	1125.21	1135.87	17
1639_133290_000027_000009	I stood for some time in silent admiration of the exuberance of Nature and the littleness of man: and when I was obliged to leave that enchanting solitude, I exclaimed with melancholy, "Are ruins, then, already here?"	I stood for some time in silent admiration of the exuberance of Nature and the littleness of man: and when I was obliged to leave that enchanting solitude, I exclaimed with melancholy, "Are ruins, then, already here?"	true	1136.15	1149.55	18
1639_133290_000028_000000	In Europe we are wont to look upon a restless disposition, an unbounded desire of riches, and an excessive love of independence, as propensities very formidable to society.	In Europe we are wont to look upon a restless disposition, an unbounded desire of riches, and an excessive love of independence, as propensities very formidable to society.	false	1151.45	1161.7	17
1639_133290_000028_000001	Yet these are the very elements which ensure a long and peaceful duration to the republics of America.	Yet these are the very elements which ensure a long and peaceful duration to the republics of America.	true	1162.25	1167.55	15
1639_133290_000028_000002	Without these unquiet passions the population would collect in certain spots, and would soon be subject to wants like those of the Old World, which it is difficult to satisfy; for such is the present good fortune of the New World, that the vices of its inhabitants are scarcely less favorable to society than their virtues.	Without these unquiet passions the population would collect in certain spots, and would soon be subject to wants like those of the Old World, which it is difficult to satisfy; for such is the present good fortune of the New World, that the vices of its inhabitants are scarcely less favorable to society than their virtues.	false	1167.74	1184.41	20
1639_133290_000028_000003	These circumstances exercise a great influence on the estimation in which human actions are held in the two hemispheres.	These circumstances exercise a great influence on the estimation in which human actions are held in the two hemispheres.	true	1184.66	1190.8	12
1639_133290_000028_000004	The Americans frequently term what we should call cupidity a laudable industry; and they blame as faint-heartedness what we consider to be the virtue of moderate desires.	The Americans frequently term what we should call cupidity a laudable industry; and they blame as faint heartedness what we consider to be the virtue of moderate desires.	true	1191.11	1201.48	20.935194
1639_133290_000029_000000	In France, simple tastes, orderly manners, domestic affections, and the attachments which men feel to the place of their birth, are looked upon as great guarantees of the tranquillity and happiness of the State.	In France, simple tastes, orderly manners, domestic affections, and the attachments which men feel to the place of their birth, are looked upon as great guarantees of the tranquillity and happiness of the State.	true	1203.86	1216.69	18
1639_133290_000029_000001	But in America nothing seems to be more prejudicial to society than these virtues.	But in America nothing seems to be more prejudicial to society than these virtues.	true	1216.94	1221.79	12
1639_133290_000029_000002	The French Canadians, who have faithfully preserved the traditions of their pristine manners, are already embarrassed for room upon their small territory; and this little community, which has so recently begun to exist, will shortly be a prey to the calamities incident to old nations.	The French Canadians, who have faithfully preserved the traditions of their pristine manners, are already embarrassed for room upon their small territory; and this little community, which has so recently begun to exist, will shortly be a prey to the calamities incident to old nations.	true	1222.13	1238.2	15
1639_133290_000029_000003	In Canada, the most enlightened, patriotic, and humane inhabitants make extraordinary efforts to render the people dissatisfied with those simple enjoyments which still content it.	In Canada, the most enlightened, patriotic, and humane inhabitants make extraordinary efforts to render the people dissatisfied with those simple enjoyments which still content it.	true	1238.54	1249.12	15
1639_133290_000029_000004	There, the seductions of wealth are vaunted with as much zeal as the charms of an honest but limited income in the Old World, and more exertions are made to excite the passions of the citizens there than to calm them elsewhere.	There, the seductions of wealth are vaunted with as much zeal as the charms of an honest but limited income in the Old World, and more exertions are made to excite the passions of the citizens there than to calm them elsewhere.	true	1249.46	1261.96	14
1639_133290_000029_000005	If we listen to their eulogies, we shall hear that nothing is more praiseworthy than to exchange the pure and homely pleasures which even the poor man tastes in his own country for the dull delights of prosperity under a foreign sky; to leave the patrimonial hearth and the turf beneath which his forefathers sleep; in short, to abandon the living and the dead in quest of fortune.	If we listen to their eulogies, we shall hear that nothing is more praiseworthy than to exchange the pure and homely pleasures which even the poor man tastes in his own country for the dull delights of prosperity under a foreign sky; to leave the patrimonial hearth and the turf beneath which his forefathers sleep; in short, to abandon the living and the dead in quest of fortune.	false	1262.21	1284.18	17
1639_133290_000030_000000	At the present time America presents a field for human effort far more extensive than any sum of labor which can be applied to work it.	At the present time America presents a field for human effort far more extensive than any sum of labor which can be applied to work it.	false	1284.18	1294.63	18.218384
1639_133290_000030_000001	In America too much knowledge cannot be diffused; for all knowledge, whilst it may serve him who possesses it, turns also to the advantage of those who are without it.	In America too much knowledge cannot be diffused; for all knowledge, whilst it may serve him who possesses it, turns also to the advantage of those who are without it.	true	1294.97	1304.08	19
1639_133290_000030_000002	New wants are not to be feared, since they can be satisfied without difficulty; the growth of human passions need not be dreaded, since all passions may find an easy and a legitimate object; nor can men be put in possession of too much freedom, since they are scarcely ever tempted to misuse their liberties.	New wants are not to be feared, since they can be satisfied without difficulty; the growth of human passions need not be dreaded, since all passions may find an easy and a legitimate object; nor can men be put in possession of too much freedom, since they are scarcely ever tempted to misuse their liberties.	true	1304.39	1321.75	17
1639_133290_000031_000000	The American republics of the present day are like companies of adventurers formed to explore in common the waste lands of the New World, and busied in a flourishing trade.	The American republics of the present day are like companies of adventurers formed to explore in common the waste lands of the New World, and busied in a flourishing trade.	true	1323.92	1333.6	17
1639_133290_000031_000001	The passions which agitate the Americans most deeply are not their political but their commercial passions; or, to speak more correctly, they introduce the habits they contract in business into their political life.	The passions which agitate the Americans most deeply are not their political but their commercial passions; or, to speak more correctly, they introduce the habits they contract in business into their political life.	true	1333.64	1345.45	19
1639_133290_000031_000002	They love order, without which affairs do not prosper; and they set an especial value upon a regular conduct, which is the foundation of a solid business; they prefer the good sense which amasses large fortunes to that enterprising spirit which frequently dissipates them; general ideas alarm their minds, which are accustomed to positive calculations, and they hold practice in more honor than theory.	They love order, without which affairs do not prosper; and they set an especial value upon a regular conduct, which is the foundation of a solid business; they prefer the good sense which amasses large fortunes to that enterprising spirit which frequently dissipates them; general ideas alarm their minds, which are accustomed to positive calculations, and they hold practice in more honor than theory.	false	1345.55	1368.97	19
1639_133290_000032_000000	It is in America that one learns to understand the influence which physical prosperity exercises over political actions, and even over opinions which ought to acknowledge no sway but that of reason; and it is more especially amongst strangers that this truth is perceptible. Most of the European emigrants to the New World carry with them that wild love of independence and of change which our calamities are so apt to engender.	It is in America that one learns to understand the influence which physical prosperity exercises over political actions, and even over opinions which ought to acknowledge no sway but that of reason; and it is more especially amongst strangers that this truth is perceptible. Most of the European emigrants to the New World carry with them that wild love of independence and of change which our calamities are so apt to engender.	true	1371.17	1395.91	15
1639_133290_000032_000001	I sometimes met with Europeans in the United States who had been obliged to leave their own country on account of their political opinions.	I sometimes met with Europeans in the United States who had been obliged to leave their own country on account of their political opinions.	false	1396.25	1402.93	14
1639_133290_000032_000002	They all astonished me by the language they held, but one of them surprised me more than all the rest.	They all astonished me by the language they held, but one of them surprised me more than all the rest.	true	1403.3	1408.84	19
1639_133290_000032_000003	As I was crossing one of the most remote districts of Pennsylvania I was benighted, and obliged to beg for hospitality at the gate of a wealthy planter, who was a Frenchman by birth.	As I was crossing one of the most remote districts of Pennsylvania I was benighted, and obliged to beg for hospitality at the gate of a wealthy planter, who was a Frenchman by birth.	true	1409.12	1419.83	19
1639_133290_000032_000004	He bade me sit down beside his fire, and we began to talk with that freedom which befits persons who meet in the backwoods, two thousand leagues from their native country.	He bade me sit down beside his fire, and we began to talk with that freedom which befits persons who meet in the backwoods, two thousand leagues from their native country.	true	1419.83	1429.24	17
1639_133290_000032_000005	I was aware that my host had been a great leveller and an ardent demagogue forty years ago, and that his name was not unknown to fame.	I was aware that my host had been a great leveller and an ardent demagogue forty years ago, and that his name was not unknown to fame.	true	1429.67	1437.88	16
1639_133290_000032_000006	I was, therefore, not a little surprised to hear him discuss the rights of property as an economist or a landowner might have done: he spoke of the necessary gradations which fortune establishes among men, of obedience to established laws, of the influence of good morals in commonwealths, and of the support which religious opinions give to order and to freedom; he even went to far as to quote an evangelical authority in corroboration of one of his political tenets.	I was, therefore, not a little surprised to hear him discuss the rights of property as an economist or a landowner might have done: he spoke of the necessary gradations which fortune establishes among men, of obedience to established laws, of the influence of good morals in commonwealths, and of the support which religious opinions give to order and to freedom; he even went to far as to quote an evangelical authority in corroboration of one of his political tenets.	false	1438.1	1530.3	19.96104
