5400_3587_000000_000000	POLLY'S BIG BUNDLE	POLLY'S BIG BUNDLE
5400_3587_000149_000000	The door was thrown suddenly open, and Jasper plunged in, his face flushed with excitement, and after him Ben, looking a little as he did when Phronsie was lost, while Prince squeezed panting in between the two boys.	The door was thrown suddenly open, and Jasper plunged in, his face flushed with excitement, and after him Ben, looking a little as he did when Phronsie was lost, while Prince squeezed panting in between the two boys.
5400_3587_000150_000000	"Has Polly got--" began Jasper.	"Has Polly got-" began Jasper.
5400_3587_000151_000000	"Oh, yes, I'm here," cried Polly, springing up to them; "oh, Ben!"	"Oh, yes, I'm here," cried Polly, springing up to them; "oh, Ben!"
5400_3587_000152_000000	"She has," cried Joel, disentangling himself from the group, "don't you see, Jappy?"	"She has," cried joel, disentangling himself from the group, "don't you see, Jappy?"
5400_3587_000153_000000	"She's all home," echoed Phronsie, flying up.	"She's all home," echoed Phronsie, flying up.
5400_3587_000153_000001	"Oh, Ben, do draw me another little house!"	"Oh, Ben, do draw me another little house!"
5400_3587_000154_000000	"And see--see!" cried the little Whitneys, pointing with jubilant fingers to their papa, "see what she brought!"	"And see-see!" cried the little Whitneys, pointing with jubilant fingers to their papa, "see what she brought!"
5400_3587_000155_000000	Jasper turned around at that--and then rushed forward.	Jasper turned around at that-and then rushed forward.
5400_3587_000156_000000	"Oh, brother Mason!"	"Oh, brother Mason!"
5400_3587_000159_000000	"He's a-standin' on tip-toe," said Joel critically, who was hovering near.	"He's a standin' on tip toe," said joel critically, who was hovering near.
5400_3587_000160_000000	"Not a bit of it, Joe!" cried Jasper, with a merry laugh, and setting both feet with a convincing thud on the floor.	"Not a bit of it, Joe!" cried Jasper, with a merry laugh, and setting both feet with a convincing thud on the floor.
5400_3587_000161_000000	"Well, anyway, I'll be just as big," cried Joel, "when I'm thirteen, so!"	"Well, anyway, I'll be just as big," cried joel, "when I'm thirteen, so!"
5400_3587_000162_000000	Just then a loud and quick rap on the table made all the children skip, and stopped everybody's tongue.	Just then a loud and quick rap on the table made all the children skip, and stopped everybody's tongue.
5400_3587_000162_000001	It came from Mr. King.	It came from mr King.
5400_3587_000164_000000	"Now, then!"	"Now, then!"
5400_3587_000166_000000	"I will," said Phronsie, shaking her small head wisely, "every single thing."	"I will," said Phronsie, shaking her small head wisely, "every single thing."
5400_3587_000167_000000	"Well, then, now begin--"	"Well, then, now begin-"
5400_3587_000168_000000	"Well, then, now begin," said Phronsie, looking down on the faces with an air as much like Mr. King's as was possible, and finishing up with two or three little nods.	"Well, then, now begin," said Phronsie, looking down on the faces with an air as much like mr King's as was possible, and finishing up with two or three little nods.
5400_3587_000169_000000	"Oh, no, dear, that isn't it," cried the old gentleman, "I'll tell you. Say, Phronsie, 'you are all cousins--every one.'"	"Oh, no, dear, that isn't it," cried the old gentleman, "I'll tell you. Say, Phronsie, 'you are all cousins-every one.'"
5400_3587_000171_000000	"Does she mean it, grandpapa?	"Does she mean it, grandpapa?
5400_3587_000171_000001	Does she mean it?" cried Percy, in the greatest excitement.	Does she mean it?" cried Percy, in the greatest excitement.
5400_3587_000172_000000	"As true as everything?" demanded Joel, crowding in between them.	"As true as everything?" demanded joel, crowding in between them.
5400_3587_000173_000001	"So make the most of it."	"So make the most of it."
5400_3587_000174_000001	And then Jasper and she took hold of hands and had a good spin!	And then Jasper and she took hold of hands and had a good spin!
5400_3587_000176_000000	"We're cousins!" he said.	"We're cousins!" he said.
5400_3587_000177_000000	"I know it," said Percy, "and so's Van!"	"I know it," said Percy, "and so's Van!"
5400_3587_000178_000000	"Yes," said Van, flying up, "and I'm cousin to Polly, too--that's best!"	"Yes," said Van, flying up, "and I'm cousin to Polly, too-that's best!"
5400_3587_000180_000001	"You and I, my boy," he turned to his son, "are left out in the cold."	"You and I, my boy," he turned to his son, "are left out in the cold."
5400_3587_000181_000000	At this a scream, loud and terrible to hear, struck upon them all, as Joel flung himself flat on the floor.	At this a scream, loud and terrible to hear, struck upon them all, as joel flung himself flat on the floor.
5400_3587_000182_000000	"Isn't Jappy--our--cousin?	"Isn't Jappy-our-cousin?
5400_3587_000182_000001	I--want--Jappy!"	I-want-Jappy!"
5400_3587_000183_000000	"Goodness!" exclaimed the old gentleman, in the greatest alarm, "what is the matter with the boy!	"Goodness!" exclaimed the old gentleman, in the greatest alarm, "what is the matter with the boy!
5400_3587_000183_000001	Do somebody stop him!"	Do somebody stop him!"
5400_3587_000184_000000	"Joel," said Jasper, leaning over him, and trying to help Polly lift him up.	"joel," said Jasper, leaning over him, and trying to help Polly lift him up.
5400_3587_000184_000001	"I'll tell you how we'll fix it!	"I'll tell you how we'll fix it!
5400_3587_000185_000000	Joel bolted up at that, and began to smile through the tears running down the rosy face.	joel bolted up at that, and began to smile through the tears running down the rosy face.
5400_3587_000186_000000	"Will you, really?" he said, "just like Ben--and everything?"	"Will you, really?" he said, "just like Ben-and everything?"
5400_3587_000187_000000	"I can't be as good as Ben," said Jappy, laughing, "but I'll be a real brother like him."	"I can't be as good as Ben," said Jappy, laughing, "but I'll be a real brother like him."
5400_3587_000188_000000	"Phoo--phoo!	"Phoo-phoo!
5400_3587_000189_000000	"Oh, dear!" they both cried in great distress.	"Oh, dear!" they both cried in great distress.
5400_3587_000190_000000	"Now, papa, Jappy's going to be Joey's brother--and he isn't anything but our old uncle!	"Now, papa, Jappy's going to be Joey's brother-and he isn't anything but our old uncle!
5400_3587_000190_000001	Make him be ours more, papa, do!"	Make him be ours more, papa, do!"
5400_3587_000191_000000	And then Polly sprang up.	And then Polly sprang up.
5400_3587_000192_000001	"Cherry'll die--Cherry'll die!" she cried, "do somebody help me off with the string!"	"Cherry'll die-Cherry'll die!" she cried, "do somebody help me off with the string!"
5400_3587_000194_000000	"Don't hurry so, Polly," said Jasper, as she jumped up to fly up-stairs. "He's had some a perfect age--he's all right."	"Don't hurry so, Polly," said Jasper, as she jumped up to fly up stairs. "He's had some a perfect age-he's all right."
5400_3587_000197_000000	"Is that all there is in that big bundle?" said Joel in a disappointed tone, who had followed with extreme curiosity to see its contents. "Phoo!--that's no fun--old bird-seed!"	"Is that all there is in that big bundle?" said joel in a disappointed tone, who had followed with extreme curiosity to see its contents. "Phoo!--that's no fun-old bird seed!"
5400_3587_000198_000000	"I know," said Polly with a gay little laugh, pointing with the handful of seed into the library, "but I shouldn't have met the other big bundle if it hadn't have been for this, Joe!"	"I know," said Polly with a gay little laugh, pointing with the handful of seed into the library, "but I shouldn't have met the other big bundle if it hadn't have been for this, Joe!"
