7540_101262_000000_000000	(Volksmarchen der Serben.)	(Volksmarchen der Serben.)	false	0	15.285	24.149734
7540_101262_000067_000000	'Oh, she is with us,' answered the wolf, 'and she has changed herself into a she-wolf, and the foal into a cub; but strike the earth here with the halter, and cry, "Come to me, O mare of the mountain witch."'	'Oh, she is with us,' answered the wolf, 'and she has changed herself into a she wolf, and the foal into a cub; but strike the earth here with the halter, and cry, "Come to me, O mare of the mountain witch."'	false	1022.06	1034.53	23.76311
7540_101262_000068_000000	The prince did as he was bid, and as the hair touched his fingers the wolf changed back into a mare, with the foal beside her.	The prince did as he was bid, and as the hair touched his fingers the wolf changed back into a mare, with the foal beside her.	true	1035.26	1042.57	24.36626
7540_101262_000068_000001	And when he had mounted and ridden her home the old woman was on the steps to receive them, and she set some food before the prince, but led the mare back to her stable.	And when he had mounted and ridden her home the old woman was on the steps to receive them, and she set some food before the prince, but led the mare back to her stable.	false	1042.91	1052.35	22.077198
7540_101262_000069_000000	'You should have gone among the wolves,' said she, striking her with a stick.	'You should have gone among the wolves,' said she, striking her with a stick.	true	1053.02	1057.3	20.015404
7540_101262_000070_000000	'So I did,' replied the mare, 'but they are no friends of mine and betrayed me.'	'So I did,' replied the mare, 'but they are no friends of mine and betrayed me.'	true	1057.73	1062.79	24.099174
7540_101262_000071_000000	The old woman made no answer, and left the stable, but the prince was at the door waiting for her.	The old woman made no answer, and left the stable, but the prince was at the door waiting for her.	true	1063.43	1069.39	24.051033
7540_101262_000072_000000	'I have served you well,' said he, 'and now for my reward.'	'I have served you well,' said he, 'and now for my reward.'	true	1070.12	1074.16	20.416683
7540_101262_000073_000000	'What I promised that will I perform,' answered she.	'What I promised that will I perform,' answered she.	true	1074.89	1078.27	26.779552
7540_101262_000073_000001	'Choose one of these twelve horses; you can have which you like.'	'Choose one of these twelve horses; you can have which you like.'	false	1078.4	1082.02	23.899416
7540_101262_000074_000000	'Give me, instead, that half-starved creature in the corner,' asked the prince.	'Give me, instead, that half starved creature in the corner,' asked the prince.	true	1082.63	1086.97	25.090712
7540_101262_000074_000001	'I prefer him to all those beautiful animals.'	'I prefer him to all those beautiful animals.'	true	1087.07	1089.64	19.193323
7540_101262_000075_000000	'You can't really mean what you say?' replied the woman.	'You can't really mean what you say?' replied the woman.	true	1089.86	1092.61	20.767593
7540_101262_000076_000000	'Yes, I do,' said the prince, and the old woman was forced to let him have his way.	'Yes, I do,' said the prince, and the old woman was forced to let him have his way.	true	1093.19	1098.7	24.060955
7540_101262_000076_000001	So he took leave of her, and put the halter round his horse's neck and led him into the forest, where he rubbed him down till his skin was shining like gold.	So he took leave of her, and put the halter round his horse's neck and led him into the forest, where he rubbed him down till his skin was shining like gold.	true	1099.49	1108.54	21.120226
7540_101262_000076_000002	Then he mounted, and they flew straight through the air to the dragon's palace.	Then he mounted, and they flew straight through the air to the dragon's palace.	true	1109.06	1114.03	23.67628
7540_101262_000076_000003	The empress had been looking for him night and day, and stole out to meet him, and he swung her on to his saddle, and the horse flew off again.	The empress had been looking for him night and day, and stole out to meet him, and he swung her on to his saddle, and the horse flew off again.	true	1114.7	1123.06	22.226828
7540_101262_000077_000000	Not long after the dragon came home, and when he found the empress was missing he said to his horse, 'What shall we do?	Not long after the dragon came home, and when he found the empress was missing he said to his horse, 'What shall we do?	false	1123.58	1130.44	21.16285
7540_101262_000077_000001	Shall we eat and drink, or shall we follow the runaways?' and the horse replied, 'Whether you eat or don't eat, drink or don't drink, follow them or stay at home, matters nothing now, for you can never, never catch them.'	Shall we eat and drink, or shall we follow the runaways?' and the horse replied, 'Whether you eat or don't eat, drink or don't drink, follow them or stay at home, matters nothing now, for you can never, never catch them.'	true	1130.81	1145.71	22.899721
7540_101262_000078_000000	But the dragon made no reply to the horse's words, but sprang on his back and set off in chase of the fugitives.	But the dragon made no reply to the horse's words, but sprang on his back and set off in chase of the fugitives.	true	1146.02	1152.46	22.465168
7540_101262_000078_000001	And when they saw him coming they were frightened, and urged the prince's horse faster and faster, till he said, 'Fear nothing; no harm can happen to us,' and their hearts grew calm, for they trusted his wisdom.	And when they saw him coming they were frightened, and urged the prince's horse faster and faster, till he said, 'Fear nothing; no harm can happen to us,' and their hearts grew calm, for they trusted his wisdom.	false	1153.13	1166.44	23.31596
7540_101262_000079_000000	Soon the dragon's horse was heard panting behind, and he cried out, 'Oh, my brother, do not go so fast!	Soon the dragon's horse was heard panting behind, and he cried out, 'Oh, my brother, do not go so fast!	true	1166.69	1174.03	23.542065
7540_101262_000079_000001	I shall sink to the earth if I try to keep up with you.'	I shall sink to the earth if I try to keep up with you.'	true	1174.28	1177.15	25.612492
7540_101262_000080_000000	And the prince's horse answered, 'Why do you serve a monster like that? Kick him off, and let him break in pieces on the ground, and come and join us.'	And the prince's horse answered, 'Why do you serve a monster like that? Kick him off, and let him break in pieces on the ground, and come and join us.'	true	1177.76	1186.48	22.968462
7540_101262_000081_000000	And the dragon's horse plunged and reared, and the dragon fell on a rock, which broke him in pieces.	And the dragon's horse plunged and reared, and the dragon fell on a rock, which broke him in pieces.	true	1186.82	1192.54	22.432545
7540_101262_000081_000001	Then the empress mounted his horse, and rode back with her husband to her kingdom, over which they ruled for many years.	Then the empress mounted his horse, and rode back with her husband to her kingdom, over which they ruled for many years.	false	1192.88	1212.51	21.339071
