1100_124547_000000_000000	"For an hour, in Minneapolis, I must have been near Erik.	"For an hour, in Minneapolis, I must have been near Erik.	false	5.13	10.68	15
1100_124547_000052_000000	He saw her.	He saw her.	true	899.06	900.04	18.228897
1100_124547_000052_000001	"Why, hello, old lady!	"Why, hello, old lady!	true	901.22	902.62	19.233263
1100_124547_000052_000002	Pretty darn good to be back, eh?"	Pretty darn good to be back, eh?"	false	902.63	905.34	21.073746
1100_124547_000053_000000	"Yes," she lied, while she quaked, "Not now.	"Yes," she lied, while she quaked, "Not now.	true	905.34	909.52	16.016912
1100_124547_000053_000001	I can't face the job of explaining now.	I can't face the job of explaining now.	true	909.62	912.21	17
1100_124547_000053_000002	He's been so good.	He's been so good.	true	912.21	913.44	18.343887
1100_124547_000053_000003	He trusts me.	He trusts me.	true	913.44	914.47	19.264532
1100_124547_000053_000004	And I'm going to break his heart!"	And I'm going to break his heart!"	true	914.75	916.54	18.786621
1100_124547_000054_000000	She smiled at him.	She smiled at him.	true	917.03	918.28	20.977453
1100_124547_000054_000001	She tidied his sacred cellar by throwing an empty bluing bottle into the trash bin.	She tidied his sacred cellar by throwing an empty bluing bottle into the trash bin.	false	918.35	922.75	12
1100_124547_000054_000002	She mourned, "It's only the baby that holds me.	She mourned, "It's only the baby that holds me.	true	923.06	926.8	17.065447
1100_124547_000054_000003	If Hugh died----" She fled upstairs in panic and made sure that nothing had happened to Hugh in these four minutes.	If Hugh died----" She fled upstairs in panic and made sure that nothing had happened to Hugh in these four minutes.	false	926.96	933.28	20.480003
1100_124547_000055_000000	She saw a pencil-mark on a window-sill.	She saw a pencil mark on a window sill.	true	933.74	936.165	21.786823
1100_124547_000055_000001	She had made it on a September day when she had been planning a picnic for Fern Mullins and Erik.	She had made it on a September day when she had been planning a picnic for Fern Mullins and Erik.	true	936.165	941.92	18
1100_124547_000055_000002	Fern and she had been hysterical with nonsense, had invented mad parties for all the coming winter.	Fern and she had been hysterical with nonsense, had invented mad parties for all the coming winter.	true	942.05	948.31	18
1100_124547_000055_000003	She glanced across the alley at the room which Fern had occupied.	She glanced across the alley at the room which Fern had occupied.	true	948.83	952.51	17
1100_124547_000055_000004	A rag of a gray curtain masked the still window.	A rag of a gray curtain masked the still window.	true	952.61	955.99	17
1100_124547_000056_000000	She tried to think of some one to whom she wanted to telephone.	She tried to think of some one to whom she wanted to telephone.	true	956.15	959.62	14
1100_124547_000056_000001	There was no one.	There was no one.	true	960.02	961.12	17.459227
1100_124547_000057_000000	The Sam Clarks called that evening and encouraged her to describe the missions.	The Sam Clarks called that evening and encouraged her to describe the missions.	true	961.82	966.58	20.870672
1100_124547_000057_000001	A dozen times they told her how glad they were to have her back.	A dozen times they told her how glad they were to have her back.	true	966.77	969.93	17
1100_124547_000058_000000	"It is good to be wanted," she thought.	"It is good to be wanted," she thought.	false	969.93	972.315	18.940462
1100_124547_000058_000001	"It will drug me.	"It will drug me.	true	972.315	973.425	17
1100_124547_000058_000002	But----Oh, is all life, always, an unresolved But?"	But----Oh, is all life, always, an unresolved But?"	false	973.425	981.03	18.7104
1100_124547_000059_000000	CHAPTER XXXV	CHAPTER thirty five	false	981.03	981.84	15
1100_124547_000060_000000	SHE tried to be content, which was a contradiction in terms.	SHE tried to be content, which was a contradiction in terms.	false	981.84	982.44	16
1100_124547_000060_000001	She fanatically cleaned house all April.	She fanatically cleaned house all April.	false	982.44	982.74	0
1100_124547_000060_000002	She knitted a sweater for Hugh. She was diligent at Red Cross work.	She knitted a sweater for Hugh. She was diligent at Red Cross work.	false	982.74	983.43	-20
1100_124547_000060_000003	She was silent when Vida raved that though America hated war as much as ever, we must invade Germany and wipe out every man, because it was now proven that there was no soldier in the German army who was not crucifying prisoners and cutting off babies' hands.	She was silent when Vida raved that though America hated war as much as ever, we must invade Germany and wipe out every man, because it was now proven that there was no soldier in the German army who was not crucifying prisoners and cutting off babies' hands.	false	983.43	986.01	-20
