3258_169291_000000_000000	Chapter XII.	Chapter twelve.	false	0.6	24.48	21.268993
3258_169291_000032_000000	We have over 12,000 books, periodicals, etc., gifts from our friends, but we have no suitable place for them, and we have no suitable reading-room.	We have over twelve thousand books, periodicals, etc, gifts from our friends, but we have no suitable place for them, and we have no suitable reading room.	true	1250.12	1260.58	20.852861
3258_169291_000033_000000	Our graduates go to work in every section of the South, and whatever knowledge might be obtained in the library would serve to assist in the elevation of the whole Negro race.	Our graduates go to work in every section of the South, and whatever knowledge might be obtained in the library would serve to assist in the elevation of the whole Negro race.	true	1260.68	1270.72	20.54938
3258_169291_000034_000000	Such a building as we need could be erected for about $20,000.	Such a building as we need could be erected for about twenty thousand dollars.	true	1270.85	1276.06	16
3258_169291_000034_000001	All of the work for the building, such as brickmaking, brick-masonry, carpentry, blacksmithing, etc., would be done by the students.	All of the work for the building, such as brickmaking, brick masonry, carpentry, blacksmithing, etc, would be done by the students.	true	1276.34	1285.51	21.980825
3258_169291_000034_000002	The money which you would give would not only supply the building, but the erection of the building would give a large number of students an opportunity to learn the building trades, and the students would use the money paid to them to keep themselves in school.	The money which you would give would not only supply the building, but the erection of the building would give a large number of students an opportunity to learn the building trades, and the students would use the money paid to them to keep themselves in school.	true	1285.67	1300.17	17
3258_169291_000034_000003	I do not believe that a similar amount of money often could be made go so far in uplifting a whole race.	I do not believe that a similar amount of money often could be made go so far in uplifting a whole race.	false	1300.17	1307.29	16
3258_169291_000035_000000	If you wish further information, I shall be glad to furnish it.	If you wish further information, I shall be glad to furnish it.	true	1307.72	1311.49	22
3258_169291_000036_000000	Yours truly,	Yours truly,	true	1311.68	1312.98	20.551584
3258_169291_000037_000000	Booker T. Washington, Principal.	Booker t Washington, Principal.	true	1312.98	1315.84	22.41994
3258_169291_000038_000000	The next mail brought back the following reply: "I will be very glad to pay the bills for the library building as they are incurred, to the extent of twenty thousand dollars, and I am glad of this opportunity to show the interest I have in your noble work."	The next mail brought back the following reply: "I will be very glad to pay the bills for the library building as they are incurred, to the extent of twenty thousand dollars, and I am glad of this opportunity to show the interest I have in your noble work."	true	1316.18	1332.55	18
3258_169291_000039_000000	I have found that strict business methods go a long way in securing the interest of rich people.	I have found that strict business methods go a long way in securing the interest of rich people.	true	1333.25	1339.18	21
3258_169291_000039_000001	It has been my constant aim at Tuskegee to carry out, in our financial and other operations, such business methods as would be approved of by any New York banking house.	It has been my constant aim at Tuskegee to carry out, in our financial and other operations, such business methods as would be approved of by any New York banking house.	true	1339.19	1351.18	23.333395
3258_169291_000040_000000	I have spoken of several large gifts to the school; but by far the greater proportion of the money that has built up the institution has come in the form of small donations from persons of moderate means. It is upon these small gifts, which carry with them the interest of hundreds of donors, that any philanthropic work must depend largely for its support.	I have spoken of several large gifts to the school; but by far the greater proportion of the money that has built up the institution has come in the form of small donations from persons of moderate means. It is upon these small gifts, which carry with them the interest of hundreds of donors, that any philanthropic work must depend largely for its support.	true	1351.22	1373.92	21
3258_169291_000040_000001	In my efforts to get money I have often been surprised at the patience and deep interest of the ministers, who are besieged on every hand and at all hours of the day for help.	In my efforts to get money I have often been surprised at the patience and deep interest of the ministers, who are besieged on every hand and at all hours of the day for help.	true	1374.38	1385.31	20.547678
3258_169291_000040_000002	If no other consideration had convinced me of the value of the Christian life, the Christlike work which the Church of all denominations in America has done during the last thirty-five years for the elevation of the black man would have made me a Christian.	If no other consideration had convinced me of the value of the Christian life, the Christlike work which the Church of all denominations in America has done during the last thirty five years for the elevation of the black man would have made me a Christian.	true	1385.31	1401.22	18
3258_169291_000040_000003	In a large degree it has been the pennies, the nickels, and the dimes which have come from the Sunday-schools, the Christian Endeavour societies, and the missionary societies, as well as from the church proper, that have helped to elevate the Negro at so rapid a rate.	In a large degree it has been the pennies, the nickels, and the dimes which have come from the Sunday schools, the Christian Endeavour societies, and the missionary societies, as well as from the church proper, that have helped to elevate the Negro at so rapid a rate.	true	1401.68	1417.99	20.89963
3258_169291_000041_000000	This speaking of small gifts reminds me to say that very few Tuskegee graduates fail to send us an annual contribution.	This speaking of small gifts reminds me to say that very few Tuskegee graduates fail to send us an annual contribution.	true	1418.12	1426.27	21
3258_169291_000041_000001	These contributions range from twenty-five cents up to ten dollars.	These contributions range from twenty five cents up to ten dollars.	true	1426.31	1431.07	21
3258_169291_000042_000000	Soon after beginning our third year's work we were surprised to receive money from three special sources, and up to the present time we have continued to receive help from them.	Soon after beginning our third year's work we were surprised to receive money from three special sources, and up to the present time we have continued to receive help from them.	true	1431.56	1442.32	21.95969
3258_169291_000042_000001	First, the State Legislature of Alabama increased its annual appropriation from two thousand dollars to three thousand dollars; I might add that still later it increased this sum to four thousand five hundred dollars a year.	First, the State Legislature of Alabama increased its annual appropriation from two thousand dollars to three thousand dollars; I might add that still later it increased this sum to four thousand five hundred dollars a year.	true	1442.54	1456.96	21.81813
3258_169291_000042_000002	The effort to secure this increase was led by the Hon.	The effort to secure this increase was led by the honorable	true	1457.51	1460.94	19
3258_169291_000042_000003	M.F.	m f	true	1460.94	1461.84	18
3258_169291_000042_000004	Foster, the member of the Legislature from Tuskegee.	Foster, the member of the Legislature from Tuskegee.	true	1461.84	1465.33	23
3258_169291_000042_000005	Second, we received one thousand dollars from the John F. Slater Fund.	Second, we received one thousand dollars from the john f Slater Fund.	true	1466.09	1470.66	20.168917
3258_169291_000042_000006	Our work seemed to please the trustees of this fund, as they soon began increasing their annual grant.	Our work seemed to please the trustees of this fund, as they soon began increasing their annual grant.	true	1470.66	1476.82	22.738604
3258_169291_000042_000007	This has been added to from time to time until at present we receive eleven thousand dollars annually from the Fund.	This has been added to from time to time until at present we receive eleven thousand dollars annually from the Fund.	false	1477.04	1484.29	19
3258_169291_000042_000008	The other help to which I have referred came in the shape of an allowance from the Peabody Fund.	The other help to which I have referred came in the shape of an allowance from the Peabody Fund.	true	1484.36	1489.63	16
3258_169291_000042_000009	This was at first five hundred dollars, but it has since been increased to fifteen hundred dollars.	This was at first five hundred dollars, but it has since been increased to fifteen hundred dollars.	true	1490	1496.71	23.56899
3258_169291_000043_000000	The effort to secure help from the Slater and Peabody Funds brought me into contact with two rare men--men who have had much to do in shaping the policy for the education of the Negro.	The effort to secure help from the Slater and Peabody Funds brought me into contact with two rare men-men who have had much to do in shaping the policy for the education of the Negro.	true	1497.35	1509.07	19
3258_169291_000043_000001	I refer to the Hon.	I refer to the honorable	true	1509.44	1511.04	18
3258_169291_000043_000002	J.L.M. Curry, of Washington, who is the general agent for these two funds, and Mr. Morris K. Jessup, of New York.	j l m Curry, of Washington, who is the general agent for these two funds, and mr Morris k Jessup, of New York.	true	1511.04	1520.38	22
3258_169291_000043_000003	Dr. Curry is a native of the South, an ex-Confederate soldier, yet I do not believe there is any man in the country who is more deeply interested in the highest welfare of the Negro than Dr. Curry, or one who is more free from race prejudice. He enjoys the unique distinction of possessing to an equal degree the confidence of the black man and the Southern white man.	dr Curry is a native of the South, an ex Confederate soldier, yet I do not believe there is any man in the country who is more deeply interested in the highest welfare of the Negro than dr Curry, or one who is more free from race prejudice. He enjoys the unique distinction of possessing to an equal degree the confidence of the black man and the Southern white man.	false	1520.57	1543.87	22
3258_169291_000043_000004	I shall never forget the first time I met him.	I shall never forget the first time I met him.	true	1544.21	1547.23	23.95625
3258_169291_000043_000005	It was in Richmond, Va., where he was then living.	It was in richmond virginia, where he was then living.	true	1547.45	1550.53	18
3258_169291_000043_000006	I had heard much about him.	I had heard much about him.	true	1550.78	1552.78	20.699713
3258_169291_000043_000007	When I first went into his presence, trembling because of my youth and inexperience, he took me by the hand so cordially, and spoke such encouraging words, and gave me such helpful advice regarding the proper course to pursue, that I came to know him then, as I have known him ever since, as a high example of one who is constantly and unselfishly at work for the betterment of humanity.	When I first went into his presence, trembling because of my youth and inexperience, he took me by the hand so cordially, and spoke such encouraging words, and gave me such helpful advice regarding the proper course to pursue, that I came to know him then, as I have known him ever since, as a high example of one who is constantly and unselfishly at work for the betterment of humanity.	true	1552.82	1580.86	22.177845
3258_169291_000044_000000	Mr. Morris K. Jessup, the treasurer of the Slater Fund, I refer to because I know of no man of wealth and large and complicated business responsibilities who gives not only money but his time and thought to the subject of the proper method of elevating the Negro to the extent that is true of Mr. Jessup.	mr Morris k Jessup, the treasurer of the Slater Fund, I refer to because I know of no man of wealth and large and complicated business responsibilities who gives not only money but his time and thought to the subject of the proper method of elevating the Negro to the extent that is true of mr Jessup.	true	1580.87	1601.13	21
3258_169291_000044_000001	It is very largely through this effort and influence that during the last few years the subject of industrial education has assumed the importance that it has, and been placed on its present footing.	It is very largely through this effort and influence that during the last few years the subject of industrial education has assumed the importance that it has, and been placed on its present footing.	false	1601.13	1620.06	21.830812
