2061_147110_000000_000000	CHAPTER II	CHAPTER two	true	24.24	25.36	21
2061_147110_000019_000001	The Provincials eyed the fortress eagerly.	The Provincials eyed the fortress eagerly.	true	1029.14	1031.56	21
2061_147110_000019_000002	It looked mean, squat, and shrunken in the dim grey light of early dawn.	It looked mean, squat, and shrunken in the dim grey light of early dawn.	true	1031.6	1035.88	14
2061_147110_000019_000003	But it looked hard enough, for all that.	But it looked hard enough, for all that.	true	1036.07	1038.22	22
2061_147110_000019_000004	Its alarm bells began to ring.	Its alarm bells began to ring.	true	1038.38	1040.32	19
2061_147110_000019_000005	Its signal cannon fired.	Its signal cannon fired.	true	1040.36	1042.18	23
2061_147110_000019_000006	And all the people who had been living outside hurried in behind the walls.	And all the people who had been living outside hurried in behind the walls.	true	1042.18	1045.99	13
2061_147110_000020_000000	The New Englanders were so keen to land that they ran some danger of falling into complete disorder.	The New Englanders were so keen to land that they ran some danger of falling into complete disorder.	true	1047.17	1052.5	16
2061_147110_000020_000001	But Pepperrell managed very cleverly.	But Pepperrell managed very cleverly.	true	1052.66	1054.84	18
2061_147110_000020_000002	Seeing that some Frenchmen were ready to resist a landing on Flat Point, two miles south-west of Louisbourg, he made a feint against it, drew their fire, and then raced his boats for Freshwater Cove, another two miles beyond.	Seeing that some Frenchmen were ready to resist a landing on Flat Point, two miles south-west of Louisbourg, he made a feint against it, drew their fire, and then raced his boats for Freshwater Cove, another two miles beyond.	false	1054.94	1067.95	20
2061_147110_000020_000003	Having completely outdistanced the handful of panting Frenchmen, he landed in perfect safety and presently scattered them with a wild charge which cost them about twenty in killed, wounded, and prisoners.	Having completely outdistanced the handful of panting Frenchmen, he landed in perfect safety and presently scattered them with a wild charge which cost them about twenty in killed, wounded, and prisoners.	true	1068.14	1079.47	16
2061_147110_000020_000004	Before dark two thousand Provincials were ashore.	Before dark two thousand Provincials were ashore.	true	1079.72	1082.68	17
2061_147110_000020_000005	The other two thousand landed at their leisure the following day.	The other two thousand landed at their leisure the following day.	true	1082.78	1086.13	15
2061_147110_000021_000000	The next event in this extraordinary siege is one of the curiosities of war.	The next event in this extraordinary siege is one of the curiosities of war.	true	1087.52	1092.16	13
2061_147110_000021_000001	On May 14 the enthusiastic Vaughan took several hundreds of these newly landed men to the top of the nearest hillock and saluted the walls with three cheers.	On may fourteenth the enthusiastic Vaughan took several hundreds of these newly landed men to the top of the nearest hillock and saluted the walls with three cheers.	false	1092.32	1102.12	17
2061_147110_000021_000002	He then circled the whole harbour, keeping well inland, till he reached the undefended storehouses on the inner side of the North-East Harbour, a little beyond the Royal Battery.	He then circled the whole harbour, keeping well inland, till he reached the undefended storehouses on the inner side of the north-east Harbour, a little beyond the Royal Battery.	true	1102.25	1111.75	16
2061_147110_000021_000003	These he at once set on fire. The pitch, tar, wood, and other combustibles made a blinding smoke, which drifted over the Royal Battery and spread a stampeding panic among its garrison of four hundred men.	These he at once set on fire. The pitch, tar, wood, and other combustibles made a blinding smoke, which drifted over the Royal Battery and spread a stampeding panic among its garrison of four hundred men.	false	1112	1124.35	15
2061_147110_000021_000004	Vaughan then retired for the night.	Vaughan then retired for the night.	true	1125.23	1127.17	22
2061_147110_000021_000005	On his return to the Royal Battery in the morning, with only thirteen men, he was astounded to see no sign of life there.	On his return to the Royal Battery in the morning, with only thirteen men, he was astounded to see no sign of life there.	true	1127.42	1134.22	17
2061_147110_000021_000006	Suspecting a ruse, he bribed an Indian with a flask of brandy to feign being drunk and reel up to the walls.	Suspecting a ruse, he bribed an Indian with a flask of brandy to feign being drunk and reel up to the walls.	true	1134.47	1140.55	14
2061_147110_000021_000007	The Indian reached the fort unchallenged, climbed into an embrasure, and found the whole place deserted. Vaughan followed at once; and a young volunteer, shinning up the flag-pole, made his own red coat fast to the top. This defiance was immediately answered by a random salvo from Louisbourg, less than a mile across the harbour.	The Indian reached the fort unchallenged, climbed into an embrasure, and found the whole place deserted. Vaughan followed at once; and a young volunteer, shinning up the flag pole, made his own red coat fast to the top. This defiance was immediately answered by a random salvo from Louisbourg, less than a mile across the harbour.	true	1140.74	1159.33	18
2061_147110_000022_000000	Vaughan's next move was to write a dispatch to Pepperrell: 'May it please your Honour to be informed that by the Grace of God and the courage of 13 Men I entered the Royal Battery about 9 o' the clock and am waiting for a reinforcement and a flag.' He had hardly sent this off before he was attacked by four boats from Louisbourg. Quite undaunted, however, he stood out on the open beach with his thirteen men and kept them all at bay till the reinforcement and the flag arrived with Bradstreet, who was afterwards to win distinction as the captor of Fort Frontenac during the great campaign of 1759.	Vaughan's next move was to write a dispatch to Pepperrell: 'May it please your Honour to be informed that by the Grace of God and the courage of thirteen Men I entered the Royal Battery about nine o' the clock and am waiting for a reinforcement and a flag.' He had hardly sent this off before he was attacked by four boats from Louisbourg. Quite undaunted, however, he stood out on the open beach with his thirteen men and kept them all at bay till the reinforcement and the flag arrived with Bradstreet, who was afterwards to win distinction as the captor of Fort Frontenac during the great campaign of seventeen fifty nine.	false	1160.96	1196.5	19
2061_147110_000023_000000	This disgraceful abandonment and this dramatic capture of the Royal Battery marked the first and most decisive turning-point in the fortunes of the siege.	This disgraceful abandonment and this dramatic capture of the Royal Battery marked the first and most decisive turning point in the fortunes of the siege.	true	1197.08	1205.38	13
2061_147110_000023_000001	The French were dismayed, the British were elated; and both the dismay and the elation grew as time wore on, because everything seemed to conspire against the French and in favour of the British.	The French were dismayed, the British were elated; and both the dismay and the elation grew as time wore on, because everything seemed to conspire against the French and in favour of the British.	true	1205.63	1216.54	16
2061_147110_000023_000002	Even the elements, as the anonymous Habitant de Louisbourg complains in his wonderfully candid diary, seemed to have taken sides.	Even the elements, as the anonymous Habitant de Louisbourg complains in his wonderfully candid diary, seemed to have taken sides.	true	1216.79	1224.97	14
2061_147110_000023_000003	There had never been so fine a spring for naval operations.	There had never been so fine a spring for naval operations.	true	1225.04	1228.24	15
2061_147110_000023_000004	But this was the one thing which was entirely independent of French fault or British merit.	But this was the one thing which was entirely independent of French fault or British merit.	true	1228.24	1233.16	17
2061_147110_000023_000005	All the other strokes of luck owed something to human causes.	All the other strokes of luck owed something to human causes.	true	1233.35	1236.91	16
2061_147110_000023_000006	Wise-acres had shaken their heads over the crazy idea of taking British cannon balls solely to fit French cannon that were to be taken at the beginning of the siege: it was too much like selling the pelt before the trap was sprung.	Wise acres had shaken their heads over the crazy idea of taking British cannon balls solely to fit French cannon that were to be taken at the beginning of the siege: it was too much like selling the pelt before the trap was sprung.	true	1237.13	1250.02	17
2061_147110_000023_000007	Yet these balls actually were used to load the forty-two pounders taken with the Royal Battery!	Yet these balls actually were used to load the forty two pounders taken with the Royal Battery!	false	1250.15	1255.48	14
2061_147110_000023_000008	Moreover, as if to cap the climax, ten other cannon were found buried in the North-East Harbour; and again spare British balls were found to fit exactly! The fact is that what we should now call the Intelligence Department had been doing good work the year before by spying out the land at Louisbourg and reporting to the proper men in Boston.	Moreover, as if to cap the climax, ten other cannon were found buried in the north-east Harbour; and again spare British balls were found to fit exactly! The fact is that what we should now call the Intelligence Department had been doing good work the year before by spying out the land at Louisbourg and reporting to the proper men in Boston.	true	1256.39	1276.09	17
2061_147110_000024_000000	The Bostonians had always intended to take the Royal Battery at the earliest possible moment.	The Bostonians had always intended to take the Royal Battery at the earliest possible moment.	true	1277	1282.15	15
2061_147110_000024_000001	But nobody had thought that the French would abandon it without a blow and leave it intact for their enemy, with all its armament complete.	But nobody had thought that the French would abandon it without a blow and leave it intact for their enemy, with all its armament complete.	true	1282.19	1289.5	17
2061_147110_000024_000002	The French council of war apparently shrank from hurting the feelings of the engineer in charge, who had pleaded for its preservation!	The French council of war apparently shrank from hurting the feelings of the engineer in charge, who had pleaded for its preservation!	true	1289.63	1297.03	15
2061_147110_000024_000003	They then ran away without spiking the guns properly, and without making the slightest attempt either to burn the carriages or knock the trunnions off.	They then ran away without spiking the guns properly, and without making the slightest attempt either to burn the carriages or knock the trunnions off.	false	1297.25	1305.79	15.875966
2061_147110_000024_000004	The invaluable stores were left in their places.	The invaluable stores were left in their places.	true	1306.49	1309.24	19
2061_147110_000024_000005	The only real destruction was caused by a barrel of powder, which some bunglers blew up by mistake. The inevitable consequence of all this French ineptitude was that the Royal Battery roared against Louisbourg the very next morning with tremendous effect, smashing the works most exposed to its fire, bringing down houses about the inhabitants' ears, and sending the terrified non-combatants scurrying off to underground cover.	The only real destruction was caused by a barrel of powder, which some bunglers blew up by mistake. The inevitable consequence of all this French ineptitude was that the Royal Battery roared against Louisbourg the very next morning with tremendous effect, smashing the works most exposed to its fire, bringing down houses about the inhabitants' ears, and sending the terrified non combatants scurrying off to underground cover.	false	1309.31	1334.95	16
2061_147110_000025_000000	Meanwhile the bulk of the New Englanders were establishing their camp along the brook which fell into Gabarus Bay beside Flat Point and within two miles of Louisbourg. Equipment of all kinds was very scarce.	Meanwhile the bulk of the New Englanders were establishing their camp along the brook which fell into Gabarus Bay beside Flat Point and within two miles of Louisbourg. Equipment of all kinds was very scarce.	true	1335.98	1347.25	15
2061_147110_000025_000001	Tents were so few and bad that old sails stretched over ridge-poles had to be used instead.	Tents were so few and bad that old sails stretched over ridge poles had to be used instead.	true	1347.38	1352.92	12
2061_147110_000025_000002	When sails ran short, brushwood shelters roofed in with overlapping spruce boughs were used as substitutes.	When sails ran short, brushwood shelters roofed in with overlapping spruce boughs were used as substitutes.	true	1353.11	1359.67	18
2061_147110_000026_000000	Landing the four thousand men had been comparatively easy work.	Landing the four thousand men had been comparatively easy work.	true	1360.07	1363.8	16
2061_147110_000026_000001	But landing the stores was very hard indeed; while landing the guns was not only much harder still, but full of danger as well.	But landing the stores was very hard indeed; while landing the guns was not only much harder still, but full of danger as well.	true	1363.8	1371.16	13
2061_147110_000026_000002	Many a flat-boat was pounded into pulpwood while unloading the stores, though the men waded in waist-deep and carried all the heavy bundles on their heads and shoulders.	Many a flat boat was pounded into pulpwood while unloading the stores, though the men waded in waist deep and carried all the heavy bundles on their heads and shoulders.	true	1371.35	1380.07	13
2061_147110_000026_000003	When it came to the artillery, it meant a boat lost for every single piece of ordnance landed.	When it came to the artillery, it meant a boat lost for every single piece of ordnance landed.	true	1380.29	1385.29	14
2061_147110_000026_000004	Nor was even this the worst; for, strange as it may seem, there was, at first, more risk of foundering ashore than afloat.	Nor was even this the worst; for, strange as it may seem, there was, at first, more risk of foundering ashore than afloat.	true	1385.36	1392.58	17
2061_147110_000026_000005	There were neither roads nor yet the means to make them.	There were neither roads nor yet the means to make them.	true	1392.74	1396.03	16
2061_147110_000026_000006	There were no horses, oxen, mules, or any other means of transport, except the brawny men themselves, who literally buckled to with anchor-cable drag-ropes--a hundred pair of straining men for each great, lumbering gun.	There were no horses, oxen, mules, or any other means of transport, except the brawny men themselves, who literally buckled to with anchor cable drag ropes-a hundred pair of straining men for each great, lumbering gun.	true	1396.1	1410.25	14
2061_147110_000026_000007	Over the sand they went at a romp. Over the rocks they had to take care; and in the dense, obstructing scrub they had to haul through by main force. But this was child's play to what awaited them in the slimy, shifting, and boulder-strewn bog they had to pass before reaching the hillocks which commanded Louisbourg.	Over the sand they went at a romp. Over the rocks they had to take care; and in the dense, obstructing scrub they had to haul through by main force. But this was child's play to what awaited them in the slimy, shifting, and boulder strewn bog they had to pass before reaching the hillocks which commanded Louisbourg.	true	1410.74	1429.51	16
2061_147110_000027_000000	The first attempts here were disastrous.	The first attempts here were disastrous.	true	1429.55	1431.91	16.697254
2061_147110_000027_000001	The guns sank out of sight in the engulfing bog; while the toiling men became regular human targets for shot and shell from Louisbourg.	The guns sank out of sight in the engulfing bog; while the toiling men became regular human targets for shot and shell from Louisbourg.	true	1431.95	1439.47	14
2061_147110_000027_000002	It was quite plain that the British batteries could never be built on the hillocks if the guns had nothing to keep them from a boggy grave, and if the men had no protection from the French artillery.	It was quite plain that the British batteries could never be built on the hillocks if the guns had nothing to keep them from a boggy grave, and if the men had no protection from the French artillery.	true	1439.6	1450.36	17
2061_147110_000027_000003	But a ship-builder colonel, Meserve of New Hampshire, came to the rescue by designing a gun-sleigh, sixteen feet in length and five in the beam.	But a ship builder colonel, Meserve of New Hampshire, came to the rescue by designing a gun sleigh, sixteen feet in length and five in the beam.	true	1450.37	1459.54	21.18586
2061_147110_000027_000004	Then the crews were told off again, two hundred men for each sleigh, and orders were given that the work should not be done except at night or under cover of the frequent fogs.	Then the crews were told off again, two hundred men for each sleigh, and orders were given that the work should not be done except at night or under cover of the frequent fogs.	true	1459.73	1469.26	17
2061_147110_000027_000005	After this, things went much better than before.	After this, things went much better than before.	true	1469.72	1472.65	19
2061_147110_000027_000006	But the labour was tremendous still; while the danger from random shells bursting among the boulders was not to be despised.	But the labour was tremendous still; while the danger from random shells bursting among the boulders was not to be despised.	true	1472.78	1480.18	15
2061_147110_000027_000007	Four hundred struggling feet, four hundred straining arms--each team hove on its long, taut cable through fog, rain, and the blackness of the night, till every gun had been towed into one of the batteries before the walls.	Four hundred struggling feet, four hundred straining arms-each team hove on its long, taut cable through fog, rain, and the blackness of the night, till every gun had been towed into one of the batteries before the walls.	true	1480.88	1493.92	14
2061_147110_000027_000008	The triumph was all the greater because the work grew, not easier, but harder as it progressed.	The triumph was all the greater because the work grew, not easier, but harder as it progressed.	true	1494.41	1500.1	16
2061_147110_000027_000009	The same route used twice became an impassable quagmire.	The same route used twice became an impassable quagmire.	true	1500.17	1504.03	17
2061_147110_000027_000010	So, when the last two hundred men had wallowed through, the whole ensnaring bog was seamed with a perfect maze of decoying death-trails snaking in and out of the forbidding scrub and boulders.	So, when the last two hundred men had wallowed through, the whole ensnaring bog was seamed with a perfect maze of decoying death trails snaking in and out of the forbidding scrub and boulders.	true	1504.1	1514.92	12
2061_147110_000028_000000	Pepperrell's dispatches could not exaggerate these 'almost incredible hardships.' Afloat and ashore, awake and asleep, the men were soaking wet for days together.	Pepperrell's dispatches could not exaggerate these 'almost incredible hardships.' Afloat and ashore, awake and asleep, the men were soaking wet for days together.	true	1516.4	1526.62	16
2061_147110_000028_000001	At the end of the longest haul they had nothing but a choice of evils.	At the end of the longest haul they had nothing but a choice of evils.	true	1526.84	1530.37	13
2061_147110_000028_000002	They could either lie down where they were, on hard rock or oozing bog, exposed to the enemy's fire the moment it was light enough to see the British batteries, or they could plough their way back to camp.	They could either lie down where they were, on hard rock or oozing bog, exposed to the enemy's fire the moment it was light enough to see the British batteries, or they could plough their way back to camp.	true	1530.44	1541.83	12
2061_147110_000028_000003	Here they were safe enough from shot and shell; but, in other respects, no better off than in the batteries.	Here they were safe enough from shot and shell; but, in other respects, no better off than in the batteries.	true	1541.96	1547.98	15
2061_147110_000028_000004	Most men's kits were of the very scantiest.	Most men's kits were of the very scantiest.	true	1548.17	1550.83	20
2061_147110_000028_000005	Very few had even a single change of clothing.	Very few had even a single change of clothing.	true	1550.84	1553.98	21
2061_147110_000028_000006	A good many went bare-foot. Nearly all were in rags before the siege was over.	A good many went bare foot. Nearly all were in rags before the siege was over.	true	1554.02	1558.63	18
2061_147110_000029_000000	When twenty-five pieces had been dragged up to Green Hill and its adjoining hillocks, the bombardment at last began. The opening salvo seemed to give the besiegers new life. No sooner was their first rough line of investment formed than they commenced gaining ground, with a disregard for cover which would have cost them dear if the French practice had not been quite as bad as their own.	When twenty five pieces had been dragged up to Green Hill and its adjoining hillocks, the bombardment at last began. The opening salvo seemed to give the besiegers new life. No sooner was their first rough line of investment formed than they commenced gaining ground, with a disregard for cover which would have cost them dear if the French practice had not been quite as bad as their own.	true	1559.27	1581.1	16
2061_147110_000029_000001	A really wonderful amount of ammunition was fired off on both sides without hitting anything in particular.	A really wonderful amount of ammunition was fired off on both sides without hitting anything in particular.	true	1582.13	1588.03	14
2061_147110_000029_000002	Louisbourg itself was, of course, too big a target to be missed, as a rule; and the besiegers soon got so close that they simply had to be hit themselves now and then.	Louisbourg itself was, of course, too big a target to be missed, as a rule; and the besiegers soon got so close that they simply had to be hit themselves now and then.	true	1588.28	1597.24	15
2061_147110_000029_000003	But, generally speaking, it may be truthfully said that while, in an ordinary battle, it takes a man's own weight in cartridges to kill him, in this most extraordinary siege it took at least a horse's weight as well.	But, generally speaking, it may be truthfully said that while, in an ordinary battle, it takes a man's own weight in cartridges to kill him, in this most extraordinary siege it took at least a horse's weight as well.	true	1597.55	1609.27	14
2061_147110_000030_000000	The approach to the walls defied all the usual precautions of regular war.	The approach to the walls defied all the usual precautions of regular war.	true	1610.33	1614.7	12
2061_147110_000030_000001	But the circumstances justified its boldness.	But the circumstances justified its boldness.	true	1614.77	1617.58	17
2061_147110_000030_000002	With only four thousand men at the start, with nearly half of this total on the sick list at one rather critical juncture, with very few trained gunners, and without any corps of engineers at all, the Provincials adapted themselves to the situation so defiantly that they puzzled, shook, and overawed the French, who thought them two or three times stronger than they really were. Recklessly defiant though they were, however, they did provide the breaching batteries with enough cover for the purpose in hand.	With only four thousand men at the start, with nearly half of this total on the sick list at one rather critical juncture, with very few trained gunners, and without any corps of engineers at all, the Provincials adapted themselves to the situation so defiantly that they puzzled, shook, and overawed the French, who thought them two or three times stronger than they really were. Recklessly defiant though they were, however, they did provide the breaching batteries with enough cover for the purpose in hand.	false	1617.77	1646.68	14
2061_147110_000030_000003	This is amply proved both by the fewness of their casualties and by the evidence of Bastide, the British engineer at Annapolis, who inspected the lines of investment on his arrival, twelve days before the surrender, and reported them sufficiently protected.	This is amply proved both by the fewness of their casualties and by the evidence of Bastide, the British engineer at Annapolis, who inspected the lines of investment on his arrival, twelve days before the surrender, and reported them sufficiently protected.	true	1646.96	1662.79	17
2061_147110_000031_000000	Where the Provincials showed their 'prentice hands to genuine disadvantage was in their absurdly solemn and utterly futile councils of war.	Where the Provincials showed their 'prentice hands to genuine disadvantage was in their absurdly solemn and utterly futile councils of war.	true	1664.09	1672.39	13
2061_147110_000031_000001	No schoolboys' debating club could well have done worse than the council held to consider du Chambon's stereotyped answer to the usual summons sent in at the beginning of a siege.	No schoolboys' debating club could well have done worse than the council held to consider du Chambon's stereotyped answer to the usual summons sent in at the beginning of a siege.	false	1672.64	1683.16	11
2061_147110_000031_000002	The formula that 'his cannon would answer for him' provoked a tremendous storm in the council's teacup and immediately resulted in the following resolution: 'Advised, Unanimously, that the Towne of Louisbourg be Attacked this Night.' But, confronted with 'a great Dissatysfaction in many of the officers and Souldiers at the designed attack of the towne this Night,' it was 'Advised, Unanimously,' by a second council, called in great haste, 'that the Said Attack be deferred for the Present.' This 'Present' lasted during the rest of the siege.	The formula that 'his cannon would answer for him' provoked a tremendous storm in the council's teacup and immediately resulted in the following resolution: 'Advised, Unanimously, that the Towne of Louisbourg be Attacked this Night.' But, confronted with 'a great Dissatysfaction in many of the officers and Souldiers at the designed attack of the towne this Night,' it was 'Advised, Unanimously,' by a second council, called in great haste, 'that the Said Attack be deferred for the Present.' This 'Present' lasted during the rest of the siege.	false	1683.47	1717.93	18
2061_147110_000032_000000	Once the New Englanders had settled down, however, they wisely began to increase their weight of metal, as well as to decrease the range at which they used it.	Once the New Englanders had settled down, however, they wisely began to increase their weight of metal, as well as to decrease the range at which they used it.	true	1719.23	1727.02	13
2061_147110_000032_000001	They set to work with a will to make a breach at the North-West Gate of Louisbourg, near where the inner angle of the walls abutted on the harbour; and they certainly needed all their indomitable perseverance when it came to arming their new 'North-Western' or 'Titcomb's Battery.' The twenty-two pounders had required two hundred men apiece. The forty-two pounders took three hundred.	They set to work with a will to make a breach at the north-west Gate of Louisbourg, near where the inner angle of the walls abutted on the harbour; and they certainly needed all their indomitable perseverance when it came to arming their new 'north-western' or 'Titcomb's Battery.' The twenty two pounders had required two hundred men apiece. The forty two pounders took three hundred.	false	1727.21	1747.24	14
2061_147110_000032_000002	Two of these unwieldy guns were hauled a couple of miles round the harbour, in the dark, from that 'Royal Battery' which Vaughan had taken 'by the Grace of God and the courage of 13 Men,' and then successfully mounted at 'Titcomb's,' just where they could do the greatest damage to their former owners, the French.	Two of these unwieldy guns were hauled a couple of miles round the harbour, in the dark, from that 'Royal Battery' which Vaughan had taken 'by the Grace of God and the courage of thirteen Men,' and then successfully mounted at 'Titcomb's,' just where they could do the greatest damage to their former owners, the French.	true	1747.34	1764.34	14
2061_147110_000033_000000	Well-trained gunners were exceedingly scarce.	Well trained gunners were exceedingly scarce.	true	1764.89	1767.61	14
2061_147110_000033_000001	Pepperrell could find only six among his four thousand men.	Pepperrell could find only six among his four thousand men.	true	1767.71	1771.12	14
2061_147110_000033_000002	But Warren lent him three more, whom he could ill spare, as no one knew when a fleet might come out from France.	But Warren lent him three more, whom he could ill spare, as no one knew when a fleet might come out from France.	true	1771.31	1777.9	15
2061_147110_000033_000003	With these nine instructors to direct them Pepperrell's men closed in their line of fire till besieged and besiegers came within such easy musket-shot of one another that taunting challenges and invitations could be flung across the intervening space.	With these nine instructors to direct them Pepperrell's men closed in their line of fire till besieged and besiegers came within such easy musket shot of one another that taunting challenges and invitations could be flung across the intervening space.	true	1778.18	1793.38	15
2061_147110_000034_000000	Each side claimed advantages and explained shortcomings to its own satisfaction.	Each side claimed advantages and explained shortcomings to its own satisfaction.	true	1794.05	1798.75	14
2061_147110_000034_000001	A New England diarist says: 'We began our fire with as much fury as possible, and the French returned it as warmly with Cannon, Mortars, and continual showers of musket balls; but by 11 o'clock we had beat them all from their guns.' A French diarist of the same day says that the fire from the walls was stopped on purpose, chiefly to save powder; while the same reason is assigned for the British order to cease fire exactly one hour later.	A New England diarist says: 'We began our fire with as much fury as possible, and the French returned it as warmly with Cannon, Mortars, and continual showers of musket balls; but by eleven o'clock we had beat them all from their guns.' A French diarist of the same day says that the fire from the walls was stopped on purpose, chiefly to save powder; while the same reason is assigned for the British order to cease fire exactly one hour later.	true	1798.94	1823.83	15
2061_147110_000035_000000	The practice continued to be exceedingly bad on both sides; so bad, indeed, that the New Englanders suffered more from the bursting of their own guns than from the enemy's fire.	The practice continued to be exceedingly bad on both sides; so bad, indeed, that the New Englanders suffered more from the bursting of their own guns than from the enemy's fire.	true	1824.8	1834.12	12
2061_147110_000035_000001	The nine instructors could not be everywhere; and all their good advice could not prevent the eager amateurs from grossly overloading the double-shotted pieces.	The nine instructors could not be everywhere; and all their good advice could not prevent the eager amateurs from grossly overloading the double shotted pieces.	true	1834.37	1843	13
2061_147110_000035_000002	'Another 42-pound gun burst at the Grand Battery.' 'Captain Hale is dangerously hurt by the bursting of another gun.	'Another forty two-pound gun burst at the Grand Battery.' 'Captain Hale is dangerously hurt by the bursting of another gun.	false	1843.34	1850.08	14
2061_147110_000035_000003	He was the mainstay of our gunnery since Captain Rhodes's misfortune'--a misfortune due to the same cause.	He was the mainstay of our gunnery since Captain Rhodes's misfortune'--a misfortune due to the same cause.	true	1850.15	1856.41	19
2061_147110_000035_000004	But, in spite of all such drawbacks on the British side, Louisbourg got much the worst of it.	But, in spite of all such drawbacks on the British side, Louisbourg got much the worst of it.	true	1856.51	1861.42	19
2061_147110_000035_000005	The French had to fire from the centre outwards, at a semicircle of batteries that fired back convergingly at them.	The French had to fire from the centre outwards, at a semicircle of batteries that fired back convergingly at them.	true	1861.82	1868.14	15
2061_147110_000035_000006	Besides, it was almost as hard to hit the thin, irregular line of British batteries as it was to miss the deep, wide target of overcrowded Louisbourg.	Besides, it was almost as hard to hit the thin, irregular line of British batteries as it was to miss the deep, wide target of overcrowded Louisbourg.	true	1868.39	1877.02	15
2061_147110_000035_000007	The walls were continually being smashed from without and patched up from within. The streets were ploughed from end to end.	The walls were continually being smashed from without and patched up from within. The streets were ploughed from end to end.	true	1877.21	1884.52	21
2061_147110_000035_000008	Many houses were laid in ruins: only one remained intact when the siege was over.	Many houses were laid in ruins: only one remained intact when the siege was over.	true	1884.56	1889.77	17
2061_147110_000035_000009	The non-combatants, who now exceeded the garrison effectives, were half buried in the smothering casemates underground; and though the fighting men had light, air, and food enough, and though they were losing very few in killed and wounded, they too began to feel that Louisbourg must fall if it was not soon relieved from outside.	The non combatants, who now exceeded the garrison effectives, were half buried in the smothering casemates underground; and though the fighting men had light, air, and food enough, and though they were losing very few in killed and wounded, they too began to feel that Louisbourg must fall if it was not soon relieved from outside.	false	1889.93	1908.46	15
2061_147110_000036_000000	The British, on the contrary, grew more and more confident, both afloat and ashore, though they had one quite alarming scare ashore.	The British, on the contrary, grew more and more confident, both afloat and ashore, though they had one quite alarming scare ashore.	true	1909.19	1916.68	15
2061_147110_000036_000001	They knew their navy outmatched the French; and they saw that, while Warren was being strengthened, du Chambon was being left as devoid of naval force as ever.	They knew their navy outmatched the French; and they saw that, while Warren was being strengthened, du Chambon was being left as devoid of naval force as ever.	true	1916.93	1926.43	15
2061_147110_000036_000002	But their still greater confidence ashore was, for the time being, very rudely shaken when they heard that Marin, the same French guerilla leader who had been sent down from Quebec against Annapolis with six or seven hundred whites and Indians, had been joined by the promised reinforcements from France and was coming to take the camp in rear.	But their still greater confidence ashore was, for the time being, very rudely shaken when they heard that Marin, the same French guerilla leader who had been sent down from Quebec against Annapolis with six or seven hundred whites and Indians, had been joined by the promised reinforcements from France and was coming to take the camp in rear.	true	1926.53	1945.33	14
2061_147110_000036_000003	The truth was that the reinforcements never arrived, that Marin had failed to take Annapolis, and that there was no real danger from his own dwindling force, even if it had tried to relieve Louisbourg in June.	The truth was that the reinforcements never arrived, that Marin had failed to take Annapolis, and that there was no real danger from his own dwindling force, even if it had tried to relieve Louisbourg in June.	true	1945.73	1957.72	19
2061_147110_000036_000004	But the rumour ran quickly through the whole camp, probably not without Pepperrell's own encouragement, and at once produced, not a panic, but the most excellent effect.	But the rumour ran quickly through the whole camp, probably not without Pepperrell's own encouragement, and at once produced, not a panic, but the most excellent effect.	true	1957.82	1968.1	21.676804
2061_147110_000036_000005	Discipline, never good, had been growing worse. Punishments were unknown.	Discipline, never good, had been growing worse. Punishments were unknown.	true	1968.29	1972.9	20.775198
2061_147110_000036_000006	Officers and men were petitioning for leave to go home, quite regardless of the need for their services at the front.	Officers and men were petitioning for leave to go home, quite regardless of the need for their services at the front.	true	1972.91	1979.32	18
2061_147110_000036_000007	Demands for promotion, for extra allowances, and for increased pay were becoming a standing nuisance.	Demands for promotion, for extra allowances, and for increased pay were becoming a standing nuisance.	true	1979.48	1986.16	16
2061_147110_000036_000008	Then, just as the leaders were at their wits' ends what to do, Marin's threatened attack came to their aid; and their brave armed mob once more began to wear the semblance of an army.	Then, just as the leaders were at their wits' ends what to do, Marin's threatened attack came to their aid; and their brave armed mob once more began to wear the semblance of an army.	false	1986.32	1997.35	16
2061_147110_000036_000009	Sentries, piquets, and outposts appeared as if by magic.	Sentries, piquets, and outposts appeared as if by magic.	true	1997.6	2001.26	19
2061_147110_000036_000010	Officers went their rounds with zeal.	Officers went their rounds with zeal.	true	2001.26	2003.35	15
2061_147110_000036_000011	The camp suddenly ceased to be a disorderly playground for every one off duty.	The camp suddenly ceased to be a disorderly playground for every one off duty.	true	2003.39	2007.52	13
2061_147110_000036_000012	The breaching batteries redoubled their efforts against the walls.	The breaching batteries redoubled their efforts against the walls.	true	2007.65	2011.18	15
2061_147110_000037_000000	The threat of danger once past, however, the men soon slipped back into their careless ways.	The threat of danger once past, however, the men soon slipped back into their careless ways.	true	2012.48	2017.48	14
2061_147110_000037_000001	A New England chronicler records that 'those who were on the spot have frequently, in my hearing, laughed at the recital of their own irregularities and expressed their admiration when they reflected on the almost miraculous preservation of the army from destruction.' Men off duty amused themselves with free-and-easy musketry, which would have been all very well if there had not been such a dearth of powder for the real thing.	A New England chronicler records that 'those who were on the spot have frequently, in my hearing, laughed at the recital of their own irregularities and expressed their admiration when they reflected on the almost miraculous preservation of the army from destruction.' Men off duty amused themselves with free and easy musketry, which would have been all very well if there had not been such a dearth of powder for the real thing.	false	2017.64	2042.2	18
