3046_137739_000000_000000	THE BUTTERFLY THAT STAMPED	THE BUTTERFLY THAT STAMPED	false	4.44	23.085	18.805534
3046_137739_000052_000000	Then Balkis the Most Beautiful Queen--Suleiman-bin-Daoud's Very Best Beloved--Queen that was of Sheba and Sable and the Rivers of the Gold of the South--from the Desert of Zinn to the Towers of Zimbabwe--Balkis, almost as wise as the Most Wise Suleiman-bin-Daoud himself, said, 'It is nothing, O Queens!	Then Balkis the Most Beautiful Queen-Suleiman bin Daoud's Very Best Beloved-Queen that was of Sheba and Sable and the Rivers of the Gold of the South-from the Desert of Zinn to the Towers of Zimbabwe-Balkis, almost as wise as the Most Wise Suleiman bin Daoud himself, said, 'It is nothing, O Queens!	false	953.9	975.75	21.478611
3046_137739_000052_000001	A Butterfly has made complaint against his wife because she quarrelled with him, and it has pleased our Lord Suleiman-bin-Daoud to teach her a lesson in low-speaking and humbleness, for that is counted a virtue among the wives of the butterflies.'	A Butterfly has made complaint against his wife because she quarrelled with him, and it has pleased our Lord Suleiman bin Daoud to teach her a lesson in low speaking and humbleness, for that is counted a virtue among the wives of the butterflies.'	false	975.75	990.57	21.76708
3046_137739_000053_000000	Then up and spoke an Egyptian Queen--the daughter of a Pharoah--and she said, 'Our Palace cannot be plucked up by the roots like a leek for the sake of a little insect.	Then up and spoke an Egyptian Queen-the daughter of a Pharoah-and she said, 'Our Palace cannot be plucked up by the roots like a leek for the sake of a little insect.	true	990.57	1000.56	23.93475
3046_137739_000053_000001	No! Suleiman-bin-Daoud must be dead, and what we heard and saw was the earth thundering and darkening at the news.'	No! Suleiman bin Daoud must be dead, and what we heard and saw was the earth thundering and darkening at the news.'	true	1000.56	1008.55	23.095377
3046_137739_000054_000000	Then Balkis beckoned that bold Queen without looking at her, and said to her and to the others, 'Come and see.'	Then Balkis beckoned that bold Queen without looking at her, and said to her and to the others, 'Come and see.'	false	1008.86	1016.05	22.106298
3046_137739_000055_000000	They came down the marble steps, one hundred abreast, and beneath his camphor-tree, still weak with laughing, they saw the Most Wise King Suleiman-bin-Daoud rocking back and forth with a Butterfly on either hand, and they heard him say, 'O wife of my brother in the air, remember after this, to please your husband in all things, lest he be provoked to stamp his foot yet again; for he has said that he is used to this magic, and he is most eminently a great magician--one who steals away the very Palace of Suleirnan-bin-Daoud himself.	They came down the marble steps, one hundred abreast, and beneath his camphor tree, still weak with laughing, they saw the Most Wise King Suleiman bin Daoud rocking back and forth with a Butterfly on either hand, and they heard him say, 'O wife of my brother in the air, remember after this, to please your husband in all things, lest he be provoked to stamp his foot yet again; for he has said that he is used to this magic, and he is most eminently a great magician-one who steals away the very Palace of Suleirnan bin Daoud himself.	false	1016.81	1049.67	22
3046_137739_000055_000001	Go in peace, little folk!' And he kissed them on the wings, and they flew away.	Go in peace, little folk!' And he kissed them on the wings, and they flew away.	true	1049.67	1053.82	21.784456
3046_137739_000056_000000	Then all the Queens except Balkis--the Most Beautiful and Splendid Balkis, who stood apart smiling--fell flat on their faces, for they said, 'If these things are done when a Butterfly is displeased with his wife, what shall be done to us who have vexed our King with our loud-speaking and open quarrelling through many days?'	Then all the Queens except Balkis-the Most Beautiful and Splendid Balkis, who stood apart smiling-fell flat on their faces, for they said, 'If these things are done when a Butterfly is displeased with his wife, what shall be done to us who have vexed our King with our loud speaking and open quarrelling through many days?'	false	1054.1	1073.44	23.245808
3046_137739_000057_000000	Then they put their veils over their heads, and they put their hands over their mouths, and they tiptoed back to the Palace most mousy-quiet.	Then they put their veils over their heads, and they put their hands over their mouths, and they tiptoed back to the Palace most mousy quiet.	true	1073.99	1083.16	22.030926
3046_137739_000058_000000	Then Balkis--The Most Beautiful and Excellent Balkis--went forward through the red lilies into the shade of the camphor-tree and laid her hand upon Suleiman-bin-Daoud's shoulder and said, 'O my Lord and Treasure of my Soul, rejoice, for we have taught the Queens of Egypt and Ethiopia and Abyssinia and Persia and India and China with a great and a memorable teaching.'	Then Balkis-The Most Beautiful and Excellent Balkis-went forward through the red lilies into the shade of the camphor tree and laid her hand upon Suleiman bin Daoud's shoulder and said, 'O my Lord and Treasure of my Soul, rejoice, for we have taught the Queens of Egypt and Ethiopia and Abyssinia and Persia and India and China with a great and a memorable teaching.'	false	1083.56	1107.85	21
3046_137739_000059_000000	And Suleiman-bin-Daoud, still looking after the Butterflies where they played in the sunlight, said, 'O my Lady and Jewel of my Felicity, when did this happen?	And Suleiman bin Daoud, still looking after the Butterflies where they played in the sunlight, said, 'O my Lady and Jewel of my Felicity, when did this happen?	true	1108.22	1118.41	22.193779
3046_137739_000059_000001	For I have been jesting with a Butterfly ever since I came into the garden.' And he told Balkis what he had done.	For I have been jesting with a Butterfly ever since I came into the garden.' And he told Balkis what he had done.	true	1118.6	1124.77	19
3046_137739_000060_000000	Balkis--The tender and Most Lovely Balkis--said, 'O my Lord and Regent of my Existence, I hid behind the camphor-tree and saw it all.	Balkis-The tender and Most Lovely Balkis-said, 'O my Lord and Regent of my Existence, I hid behind the camphor tree and saw it all.	true	1124.9	1134.64	22.266119
3046_137739_000060_000001	It was I who told the Butterfly's Wife to ask the Butterfly to stamp, because I hoped that for the sake of the jest my Lord would make some great magic and that the Queens would see it and be frightened.' And she told him what the Queens had said and seen and thought.	It was I who told the Butterfly's Wife to ask the Butterfly to stamp, because I hoped that for the sake of the jest my Lord would make some great magic and that the Queens would see it and be frightened.' And she told him what the Queens had said and seen and thought.	true	1135.07	1151.53	21.63206
3046_137739_000061_000000	Then Suleiman-bin-Daoud rose up from his seat under the camphor-tree, and stretched his arms and rejoiced and said, 'O my Lady and Sweetener of my Days, know that if I had made a magic against my Queens for the sake of pride or anger, as I made that feast for all the animals, I should certainly have been put to shame.	Then Suleiman bin Daoud rose up from his seat under the camphor tree, and stretched his arms and rejoiced and said, 'O my Lady and Sweetener of my Days, know that if I had made a magic against my Queens for the sake of pride or anger, as I made that feast for all the animals, I should certainly have been put to shame.	true	1151.78	1174.21	21.29186
3046_137739_000061_000001	But by means of your wisdom I made the magic for the sake of a jest and for the sake of a little Butterfly, and--behold--it has also delivered me from the vexations of my vexatious wives!	But by means of your wisdom I made the magic for the sake of a jest and for the sake of a little Butterfly, and-behold-it has also delivered me from the vexations of my vexatious wives!	true	1174.28	1186.69	21.066875
3046_137739_000061_000002	Tell me, therefore, O my Lady and Heart of my Heart, how did you come to be so wise?' And Balkis the Queen, beautiful and tall, looked up into Suleiman-bin-Daoud's eyes and put her head a little on one side, just like the Butterfly, and said, 'First, O my Lord, because I loved you; and secondly, O my Lord, because I know what women-folk are.'	Tell me, therefore, O my Lady and Heart of my Heart, how did you come to be so wise?' And Balkis the Queen, beautiful and tall, looked up into Suleiman bin Daoud's eyes and put her head a little on one side, just like the Butterfly, and said, 'First, O my Lord, because I loved you; and secondly, O my Lord, because I know what women folk are.'	true	1187.21	1211.02	21.061455
3046_137739_000062_000000	Then they went up to the Palace and lived happily ever afterwards.	Then they went up to the Palace and lived happily ever afterwards.	false	1211.99	1216.71	24.910448
3046_137739_000063_000000	But wasn't it clever of Balkis?	But wasn't it clever of Balkis?	true	1216.71	1218.82	19
3046_137739_000064_000000	THERE was never a Queen like Balkis, From here to the wide world's end; But Balkis tailed to a butterfly As you would talk to a friend.	THERE was never a Queen like Balkis, From here to the wide world's end; But Balkis tailed to a butterfly As you would talk to a friend.	false	1220.57	1229.92	22.284704
3046_137739_000065_000000	There was never a King like Solomon, Not since the world began; But Solomon talked to a butterfly As a man would talk to a man.	There was never a King like Solomon, Not since the world began; But Solomon talked to a butterfly As a man would talk to a man.	true	1230.53	1239.76	22.155842
3046_137739_000066_000000	She was Queen of Sabaea-- And he was Asia's Lord-- But they both of 'em talked to butterflies When they took their walks abroad!	She was Queen of Sabaea- And he was Asia's Lord- But they both of 'em talked to butterflies When they took their walks abroad!	false	1240.22	1263.69	19.233303
