5767_48579_000000_000000	When it was the Two Hundred and Fifty-fifth Night,	When it was the Two Hundred and Fifty fifth Night,	true	33.24	35.74	20.400986
5767_48579_000021_000000	Then she rose and made ready food and brought the tray, and they two ate and drank and were merry and mirthful.	Then she rose and made ready food and brought the tray, and they two ate and drank and were merry and mirthful.	true	1235.66	1242.16	17
5767_48579_000021_000001	Presently Ala al-Din besought her to let him hear a little music; so she took the lute and played a melody that had made the hardest stone dance for glee, and the strings cried out in present ecstacy, "O Loving One!'';[FN#69] after which she passed from the adagio into the presto and a livelier measure.	Presently Ala al Din besought her to let him hear a little music; so she took the lute and played a melody that had made the hardest stone dance for glee, and the strings cried out in present ecstacy, "O Loving One!'';[f n # sixty nine] after which she passed from the adagio into the presto and a livelier measure.	false	1242.47	1262.17	19.864035
5767_48579_000021_000002	As they thus spent their leisure in joy and jollity and mirth and merriment, behold, there came a knocking at the door and she said to him; "Go see who is at the door." So he went down and opened it and finding four Dervishes standing without, said to them, "What want ye?" They replied, "O my lord, we are foreign and wandering religious mendicants, the viands of whose souls are music and dainty verse, and we would fain take our pleasure with thee this night till morning cloth appear, when we will wend our way, and with Almighty Allah be thy reward; for we adore music and there is not one of us but knoweth by heart store of odes and songs and ritornellos."[FN#70] He answered, "There is one I must consult;" and he returned and told Zubaydah who said, "Open the door to them." So he brought them up and made them sit down and welcomed them; then he fetched them food, but they would not eat and said, "O our lord, our meat is to repeat Allah's name in our hearts and to hear music with our ears: and bless him who saith,	As they thus spent their leisure in joy and jollity and mirth and merriment, behold, there came a knocking at the door and she said to him; "Go see who is at the door." So he went down and opened it and finding four Dervishes standing without, said to them, "What want ye?" They replied, "O my lord, we are foreign and wandering religious mendicants, the viands of whose souls are music and dainty verse, and we would fain take our pleasure with thee this night till morning cloth appear, when we will wend our way, and with Almighty Allah be thy reward; for we adore music and there is not one of us but knoweth by heart store of odes and songs and ritornellos."[f n # seventy] He answered, "There is one I must consult;" and he returned and told Zubaydah who said, "Open the door to them." So he brought them up and made them sit down and welcomed them; then he fetched them food, but they would not eat and said, "O our lord, our meat is to repeat Allah's name in our hearts and to hear music with our ears: and bless him who saith,	false	1262.54	1328.77	20.037018
5767_48579_000022_000000	'Our aim is only converse to enjoy, * And eating joyeth only cattle-kind.'[FN#71]	'Our aim is only converse to enjoy, asterisk And eating joyeth only cattle kind.'[f n # seventy one]	false	1328.93	1335.05	19.71179
5767_48579_000023_000000	And just now we heard pleasant music in thy house, but when we entered, it ceased; and fain would we know whether the player was a slave-girl, white or black, or a maiden of good family." He answered, "It was this my wife," and told them all that had befallen him, adding, "Verily my father-in-law hath bound me to pay a marriage-settlement of ten thousand dinars for her, and they have given me ten days' time." Said one of the Dervishes, "Have no care and think of naught but good; for I am Shaykh of the Convent and have forty Dervishes under my orders.	And just now we heard pleasant music in thy house, but when we entered, it ceased; and fain would we know whether the player was a slave girl, white or black, or a maiden of good family." He answered, "It was this my wife," and told them all that had befallen him, adding, "Verily my father in law hath bound me to pay a marriage settlement of ten thousand dinars for her, and they have given me ten days' time." Said one of the Dervishes, "Have no care and think of naught but good; for I am Shaykh of the Convent and have forty Dervishes under my orders.	true	1335.05	1370.05	20.12454
5767_48579_000023_000001	I will presently collect from them the ten thousand dinars and thou shalt pay thy father-in-law the wedding settlement.	I will presently collect from them the ten thousand dinars and thou shalt pay thy father in law the wedding settlement.	true	1370.33	1376.47	17
5767_48579_000023_000002	But now bid thy wife make us music that we may be gladdened and pleasured; for to some folk music is meat, to others medicine and to others refreshing as a fan." Now these four Dervishes were none other than the Caliph Harun al-Rashid, his Wazir Ja'afar the Barmecide, Abu al-Nowas al-Hasan son of Hani[FN#72] and Masrur the sworder; and the reason of their coming to the house was that the Caliph, being heavy at heart, had summoned his Minister and said, "O Wazir! it is our will to go down to the city and pace its streets, for my breast is sore straitened." So they all four donned dervish dress and went down and walked about, till they came to that house where, hearing music, they were minded to know the cause.	But now bid thy wife make us music that we may be gladdened and pleasured; for to some folk music is meat, to others medicine and to others refreshing as a fan." Now these four Dervishes were none other than the Caliph Harun al Rashid, his Wazir Ja'afar the Barmecide, Abu al Nowas al Hasan son of Hani[f n # seventy two] and Masrur the sworder; and the reason of their coming to the house was that the Caliph, being heavy at heart, had summoned his Minister and said, "O Wazir! it is our will to go down to the city and pace its streets, for my breast is sore straitened." So they all four donned dervish dress and went down and walked about, till they came to that house where, hearing music, they were minded to know the cause.	false	1377.47	1424.95	19.882168
5767_48579_000023_000003	They spent the night in joyance and harmony and telling tale after tale until morning dawned, when the Caliph laid an hundred gold pieces under the prayer-carpet and all taking leave of Ala al-Din, went their way.	They spent the night in joyance and harmony and telling tale after tale until morning dawned, when the Caliph laid an hundred gold pieces under the prayer carpet and all taking leave of Ala al Din, went their way.	true	1425.23	1436.56	17
5767_48579_000023_000004	Now when Zubaydah lifted the carpet she found beneath it the hundred dinars and she said to her husband, "Take these hundred dinars which I have found under the prayer-carpet; assuredly the Dervishes when about to leave us laid them there, without our knowledge." So Ala al-Din took the money and, repairing to the market, bought therewith meat and rice and clarified butter and all they required.	Now when Zubaydah lifted the carpet she found beneath it the hundred dinars and she said to her husband, "Take these hundred dinars which I have found under the prayer carpet; assuredly the Dervishes when about to leave us laid them there, without our knowledge." So Ala al Din took the money and, repairing to the market, bought therewith meat and rice and clarified butter and all they required.	false	1437.71	1462.78	18.694708
5767_48579_000023_000005	And when it was night, he lit the wax-candles and said to his wife, "The mendicants, it is true, have not brought the ten thousand dinars which they promised me; but indeed they are poor men." As they were talking, behold, the Dervishes knocked at the door and she said, "Go down and open to them." So he did her bidding and bringing them up, said to them, "Have you brought me the ten thousand dinars you promised me?"	And when it was night, he lit the wax candles and said to his wife, "The mendicants, it is true, have not brought the ten thousand dinars which they promised me; but indeed they are poor men." As they were talking, behold, the Dervishes knocked at the door and she said, "Go down and open to them." So he did her bidding and bringing them up, said to them, "Have you brought me the ten thousand dinars you promised me?"	false	1462.94	1490.38	19.41308
5767_48579_000023_000006	They answered, "We have not been able to collect aught thereof as yet; but fear nothing: Inshallah, tomorrow we will compound for thee some alchemical-cookery.	They answered, "We have not been able to collect aught thereof as yet; but fear nothing: Inshallah, tomorrow we will compound for thee some alchemical cookery.	false	1490.6	1501.51	19.278336
5767_48579_000023_000007	But now bid thy wife play us her very best pieces and gladden our hearts for we love music." So she took her lute and made them such melody that had caused the hardest rocks to dance with glee; and they passed the night in mirth and merriment, converse and good cheer, till morn appeared with its sheen and shone, when the Caliph laid an hundred gold pieces under the prayer-carpet and all, after taking leave of Ala al-Din, went their way.	But now bid thy wife play us her very best pieces and gladden our hearts for we love music." So she took her lute and made them such melody that had caused the hardest rocks to dance with glee; and they passed the night in mirth and merriment, converse and good cheer, till morn appeared with its sheen and shone, when the Caliph laid an hundred gold pieces under the prayer carpet and all, after taking leave of Ala al Din, went their way.	false	1501.73	1529.38	19.281898
5767_48579_000023_000008	And they ceased not to visit him thus every night for nine nights; and each morning the Caliph put an hundred dinars under the prayer carpet, till the tenth night, when they came not.	And they ceased not to visit him thus every night for nine nights; and each morning the Caliph put an hundred dinars under the prayer carpet, till the tenth night, when they came not.	false	1529.9	1540.6	18.349562
5767_48579_000023_000009	Now the reason of their failure to come was that the Caliph had sent to a great merchant, saying to him, "Bring me fifty loads of stuffs, such as come from Cairo,"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	Now the reason of their failure to come was that the Caliph had sent to a great merchant, saying to him, "Bring me fifty loads of stuffs, such as come from Cairo,"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	1541.42	1562.13	18.562065
