1322_137588_000000_000000	Now is there any here, said Arthur, that knoweth King Rience?	Now is there any here, said Arthur, that knoweth King Rience?	false	0	3.51	21.80089
1322_137588_000021_000001	And when she espied that Lanceor was slain, she made sorrow out of measure, and said, O Balin, two bodies thou hast slain and one heart, and two hearts in one body, and two souls thou hast lost.	And when she espied that Lanceor was slain, she made sorrow out of measure, and said, O Balin, two bodies thou hast slain and one heart, and two hearts in one body, and two souls thou hast lost.	false	952.04	965.14	20.045954
1322_137588_000021_000002	And therewith she took the sword from her love that lay dead, and fell to the ground in a swoon.	And therewith she took the sword from her love that lay dead, and fell to the ground in a swoon.	true	965.84	970.96	21.196331
1322_137588_000021_000003	And when she arose she made great dole out of measure, the which sorrow grieved Balin passingly sore, and he went unto her for to have taken the sword out of her hand, but she held it so fast he might not take it out of her hand unless he should have hurt her, and suddenly she set the pommel to the ground, and rove herself through the body.	And when she arose she made great dole out of measure, the which sorrow grieved Balin passingly sore, and he went unto her for to have taken the sword out of her hand, but she held it so fast he might not take it out of her hand unless he should have hurt her, and suddenly she set the pommel to the ground, and rove herself through the body.	true	971.9	991.36	20.986559
1322_137588_000021_000004	When Balin espied her deeds, he was passing heavy in his heart, and ashamed that so fair a damosel had destroyed herself for the love of his death.	When Balin espied her deeds, he was passing heavy in his heart, and ashamed that so fair a damosel had destroyed herself for the love of his death.	false	992.39	1000.6	18
1322_137588_000021_000005	Alas, said Balin, me repenteth sore the death of this knight, for the love of this damosel, for there was much true love betwixt them both, and for sorrow might not longer behold him, but turned his horse and looked toward a great forest, and there he was ware, by the arms, of his brother Balan. And when they were met they put off their helms and kissed together, and wept for joy and pity.	Alas, said Balin, me repenteth sore the death of this knight, for the love of this damosel, for there was much true love betwixt them both, and for sorrow might not longer behold him, but turned his horse and looked toward a great forest, and there he was ware, by the arms, of his brother Balan. And when they were met they put off their helms and kissed together, and wept for joy and pity.	false	1001.51	1024.84	20.982048
1322_137588_000021_000006	Then Balan said, I little weened to have met with you at this sudden adventure; I am right glad of your deliverance out of your dolorous prisonment, for a man told me, in the castle of Four Stones, that ye were delivered, and that man had seen you in the court of King Arthur, and therefore I came hither into this country, for here I supposed to find you.	Then Balan said, I little weened to have met with you at this sudden adventure; I am right glad of your deliverance out of your dolorous prisonment, for a man told me, in the castle of Four Stones, that ye were delivered, and that man had seen you in the court of King Arthur, and therefore I came hither into this country, for here I supposed to find you.	true	1025.87	1045.63	20.05785
1322_137588_000021_000007	Anon the knight Balin told his brother of his adventure of the sword, and of the death of the Lady of the Lake, and how King Arthur was displeased with him.	Anon the knight Balin told his brother of his adventure of the sword, and of the death of the Lady of the Lake, and how King Arthur was displeased with him.	true	1046.78	1055.26	20.085709
1322_137588_000021_000008	Wherefore he sent this knight after me, that lieth here dead, and the death of this damosel grieveth me sore.	Wherefore he sent this knight after me, that lieth here dead, and the death of this damosel grieveth me sore.	true	1056.11	1062.28	19.972036
1322_137588_000021_000009	So doth it me, said Balan, but ye must take the adventure that God will ordain you.	So doth it me, said Balan, but ye must take the adventure that God will ordain you.	false	1063.1	1068.28	19.771938
1322_137588_000021_000010	Truly, said Balin, I am right heavy that my Lord Arthur is displeased with me, for he is the most worshipful knight that reigneth now on earth, and his love will I get or else will I put my life in adventure.	Truly, said Balin, I am right heavy that my Lord Arthur is displeased with me, for he is the most worshipful knight that reigneth now on earth, and his love will I get or else will I put my life in adventure.	false	1069.07	1081.42	20.54848
1322_137588_000021_000011	For the King Rience lieth at a siege at the Castle Terrabil, and thither will we draw in all haste, to prove our worship and prowess upon him.	For the King Rience lieth at a siege at the Castle Terrabil, and thither will we draw in all haste, to prove our worship and prowess upon him.	false	1082.18	1090.24	19.716763
1322_137588_000021_000012	I will well, said Balan, that we do, and we will help each other as brethren ought to do.	I will well, said Balan, that we do, and we will help each other as brethren ought to do.	false	1091.21	1106.64	17.889757
