6294_86679_000000_000000	Conall Yellowclaw	Conall Yellowclaw	true	23.88	25.78	21.665504
6294_86679_000038_000000	"Then went my father," said Conall, "and he got me a wife, and I was married.	"Then went my father," said Conall, "and he got me a wife, and I was married.	true	971.45	976.39	19.560163
6294_86679_000038_000001	I went to hunt.	I went to hunt.	true	976.52	977.74	23.59266
6294_86679_000038_000002	I was going beside the sea, and I saw an island over in the midst of the loch, and I came there where a boat was with a rope before her, and a rope behind her, and many precious things within her.	I was going beside the sea, and I saw an island over in the midst of the loch, and I came there where a boat was with a rope before her, and a rope behind her, and many precious things within her.	false	978.17	988.63	22.404078
6294_86679_000038_000003	I looked myself on the boat to see how I might get part of them.	I looked myself on the boat to see how I might get part of them.	true	988.64	991.935	25.7875
6294_86679_000038_000004	I put in the one foot, and the other foot was on the ground, and when I raised my head what was it but the boat over in the middle of the loch, and she never stopped till she reached the island. When I went out of the boat the boat returned where she was before.	I put in the one foot, and the other foot was on the ground, and when I raised my head what was it but the boat over in the middle of the loch, and she never stopped till she reached the island. When I went out of the boat the boat returned where she was before.	false	991.935	1005.1	22.545837
6294_86679_000038_000005	I did not know now what I should do.	I did not know now what I should do.	true	1005.23	1007.5	20.794044
6294_86679_000038_000006	The place was without meat or clothing, without the appearance of a house on it.	The place was without meat or clothing, without the appearance of a house on it.	true	1007.54	1011.48	22.91877
6294_86679_000038_000007	I came out on the top of a hill.	I came out on the top of a hill.	false	1011.48	1013.7	22.328997
6294_86679_000038_000008	Then I came to a glen; I saw in it, at the bottom of a hollow, a woman with a child, and the child was naked on her knee, and she had a knife in her hand.	Then I came to a glen; I saw in it, at the bottom of a hollow, a woman with a child, and the child was naked on her knee, and she had a knife in her hand.	false	1013.7	1022.68	22.420826
6294_86679_000038_000009	She tried to put the knife to the throat of the babe, and the babe began to laugh in her face, and she began to cry, and she threw the knife behind her.	She tried to put the knife to the throat of the babe, and the babe began to laugh in her face, and she began to cry, and she threw the knife behind her.	true	1022.78	1031.09	22.656433
6294_86679_000038_000010	I thought to myself that I was near my foe and far from my friends, and I called to the woman, 'What are you doing here?' And she said to me 'What brought you here?' I told her myself word upon word how I came.	I thought to myself that I was near my foe and far from my friends, and I called to the woman, 'What are you doing here?' And she said to me 'What brought you here?' I told her myself word upon word how I came.	true	1031.09	1043.62	22.617561
6294_86679_000038_000011	'Well, then,' said she, 'it was so I came also.' She showed me to the place where I should come in where she was.	'Well, then,' said she, 'it was so I came also.' She showed me to the place where I should come in where she was.	true	1043.69	1050.52	22.08653
6294_86679_000038_000012	I went in, and I said to her, 'What was the matter that you were putting the knife on the neck of the child?' 'It is that he must be cooked for the giant who is here, or else no more of my world will be before me.' Just then we could be hearing the footsteps of the giant, 'What shall I do?	I went in, and I said to her, 'What was the matter that you were putting the knife on the neck of the child?' 'It is that he must be cooked for the giant who is here, or else no more of my world will be before me.' Just then we could be hearing the footsteps of the giant, 'What shall I do?	true	1050.56	1066.89	21.977692
6294_86679_000038_000013	what shall I do?' cried the woman.	what shall I do?' cried the woman.	true	1066.89	1068.73	22.476091
6294_86679_000038_000014	I went to the caldron, and by luck it was not hot, so in it I got just as the brute came in.	I went to the caldron, and by luck it was not hot, so in it I got just as the brute came in.	true	1069.28	1074.84	23.927593
6294_86679_000038_000015	'Hast thou boiled that youngster for me?' he cried.	'Hast thou boiled that youngster for me?' he cried.	false	1074.84	1078.24	24.201458
6294_86679_000038_000016	'He's not done yet,' said she, and I cried out from the caldron, 'Mammy, mammy, it's boiling I am.' Then the giant laughed out HAI, HAW, HOGARAICH, and heaped on wood under the caldron.	'He's not done yet,' said she, and I cried out from the caldron, 'Mammy, mammy, it's boiling I am.' Then the giant laughed out HAI, HAW, h o g a r a i c h, and heaped on wood under the caldron.	false	1078.37	1090.77	21.873514
6294_86679_000039_000000	"And now I was sure I would scald before I could get out of that.	"And now I was sure I would scald before I could get out of that.	false	1090.77	1093.69	21.81932
6294_86679_000039_000001	As fortune favoured me, the brute slept beside the caldron.	As fortune favoured me, the brute slept beside the caldron.	true	1093.76	1097.04	27.204813
6294_86679_000039_000002	There I was scalded by the bottom of the caldron.	There I was scalded by the bottom of the caldron.	true	1097.04	1100.11	20
6294_86679_000039_000003	When she perceived that he was asleep, she set her mouth quietly to the hole that was in the lid, and she said to me 'was I alive?' I said I was.	When she perceived that he was asleep, she set her mouth quietly to the hole that was in the lid, and she said to me 'was I alive?' I said I was.	true	1100.27	1108.72	21.936426
6294_86679_000039_000004	I put up my head, and the hole in the lid was so large, that my head went through easily. Everything was coming easily with me till I began to bring up my hips. I left the skin of my hips behind me, but I came out.	I put up my head, and the hole in the lid was so large, that my head went through easily. Everything was coming easily with me till I began to bring up my hips. I left the skin of my hips behind me, but I came out.	false	1108.88	1120.51	21.181538
6294_86679_000039_000005	When I got out of the caldron I knew not what to do; and she said to me that there was no weapon that would kill him but his own weapon.	When I got out of the caldron I knew not what to do; and she said to me that there was no weapon that would kill him but his own weapon.	true	1120.64	1127.36	23.842968
6294_86679_000039_000006	I began to draw his spear, and every breath that he drew I thought I would be down his throat, and when his breath came out I was back again just as far.	I began to draw his spear, and every breath that he drew I thought I would be down his throat, and when his breath came out I was back again just as far.	false	1127.36	1135.24	24.938646
6294_86679_000039_000007	But with every ill that befell me I got the spear loosed from him.	But with every ill that befell me I got the spear loosed from him.	true	1135.34	1138.88	25
6294_86679_000039_000008	Then I was as one under a bundle of straw in a great wind, for I could not manage the spear.	Then I was as one under a bundle of straw in a great wind, for I could not manage the spear.	true	1138.88	1143.87	19
6294_86679_000039_000009	And it was fearful to look on the brute, who had but one eye in the midst of his face; and it was not agreeable for the like of me to attack him.	And it was fearful to look on the brute, who had but one eye in the midst of his face; and it was not agreeable for the like of me to attack him.	true	1143.87	1151.47	20
6294_86679_000039_000010	I drew the dart as best I could, and I set it in his eye.	I drew the dart as best I could, and I set it in his eye.	false	1151.63	1155.58	23.792503
6294_86679_000039_000011	When he felt this he gave his head a lift, and he struck the other end of the dart on the top of the cave, and it went through to the back of his head.	When he felt this he gave his head a lift, and he struck the other end of the dart on the top of the cave, and it went through to the back of his head.	false	1155.62	1162.63	24.164103
6294_86679_000039_000012	And he fell cold dead where he was; and you may be sure, O king, that joy was on me.	And he fell cold dead where he was; and you may be sure, O king, that joy was on me.	true	1162.85	1168.09	22.302242
6294_86679_000039_000013	I myself and the woman went out on clear ground, and we passed the night there.	I myself and the woman went out on clear ground, and we passed the night there.	false	1168.13	1172.5	24
6294_86679_000039_000014	I went and got the boat with which I came, and she was no way lightened, and took the woman and the child over on dry land; and I returned home."	I went and got the boat with which I came, and she was no way lightened, and took the woman and the child over on dry land; and I returned home."	false	1172.84	1181.41	22.270737
6294_86679_000040_000000	The king of Lochlann's mother was putting on a fire at this time, and listening to Conall telling the tale about the child.	The king of Lochlann's mother was putting on a fire at this time, and listening to Conall telling the tale about the child.	true	1181.57	1188.13	23.523705
6294_86679_000041_000000	"Is it you," said she, "that were there?"	"Is it you," said she, "that were there?"	true	1188.13	1191.18	24.894287
6294_86679_000042_000000	"Well then," said he, "'t was I."	"Well then," said he, "'t was i"	false	1191.18	1193.49	20.664572
6294_86679_000043_000000	"Och! och!" said she, "'t was I that was there, and the king is the child whose life you saved; and it is to you that life thanks should be given." Then they took great joy.	"Och! och!" said she, "'t was I that was there, and the king is the child whose life you saved; and it is to you that life thanks should be given." Then they took great joy.	false	1193.49	1204.8	24.060026
6294_86679_000044_000000	The king said, "O Conall, you came through great hardships.	The king said, "O Conall, you came through great hardships.	true	1204.8	1208.3	24.600225
6294_86679_000044_000001	And now the brown horse is yours, and his sack full of the most precious things that are in my treasury."	And now the brown horse is yours, and his sack full of the most precious things that are in my treasury."	false	1208.3	1214.03	22.530907
6294_86679_000045_000000	They lay down that night, and if it was early that Conall rose, it was earlier than that that the queen was on foot making ready.	They lay down that night, and if it was early that Conall rose, it was earlier than that that the queen was on foot making ready.	true	1214.03	1221.55	23.579802
6294_86679_000045_000001	He got the brown horse and his sack full of gold and silver and stones of great price, and then Conall and his three sons went away, and they returned home to the Erin realm of gladness.	He got the brown horse and his sack full of gold and silver and stones of great price, and then Conall and his three sons went away, and they returned home to the Erin realm of gladness.	true	1221.65	1232.59	22.597284
6294_86679_000045_000002	He left the gold and silver in his house, and he went with the horse to the king.	He left the gold and silver in his house, and he went with the horse to the king.	true	1232.75	1237.23	21.195684
6294_86679_000045_000003	They were good friends evermore.	They were good friends evermore.	true	1237.23	1239.26	23.768639
6294_86679_000045_000004	He returned home to his wife, and they set in order a feast; and that was a feast if ever there was one, O son and brother.	He returned home to his wife, and they set in order a feast; and that was a feast if ever there was one, O son and brother.	false	1239.26	1257.96	19.930756
