7783_107486_000000_000000	THE ADVENTURE OF MRS.	THE ADVENTURE OF mrs	false	0	5.82	22.841621
7783_107486_000063_000001	Even then I doubt if he realizes what a good one it was on--everybody.	Even then I doubt if he realizes what a good one it was on-everybody.	true	814.49	818.61	22.679506
7783_107486_000064_000000	XI	XI	false	818.61	819.06	-20
7783_107486_000065_000000	THE ADVENTURE OF MRS.	THE ADVENTURE OF mrs	false	819.06	820.08	23.037285
7783_107486_000065_000001	INNITT'S COOK	INNITT'S COOK	false	820.08	820.11	-20
7783_107486_000066_000000	"It is curious, Bunny," said Henriette the other morning after an unusually late breakfast, "to observe by what qualities certain of these Newport families have arrived, as the saying is.	"It is curious, Bunny," said Henriette the other morning after an unusually late breakfast, "to observe by what qualities certain of these Newport families have arrived, as the saying is.	false	820.11	820.74	15
7783_107486_000066_000001	The Gasters of course belong at the top by patent right.	The Gasters of course belong at the top by patent right.	false	820.74	820.89	15
7783_107486_000066_000002	Having invented American society, or at least the machine that at present controls it, they are entitled to all the royalties it brings in.	Having invented American society, or at least the machine that at present controls it, they are entitled to all the royalties it brings in.	false	820.89	821.25	-20
7783_107486_000066_000003	The Rockerbilts got there all of a sudden by the sheer lavishness of their entertainment and their ability to give bonds to keep it up.	The Rockerbilts got there all of a sudden by the sheer lavishness of their entertainment and their ability to give bonds to keep it up.	false	821.25	821.64	-20
7783_107486_000066_000004	The Van Varick Shadds flowed in through their unquestioned affiliation with the ever-popular Delaware Shadds and the Roe-Shadds of the Hudson, two of the oldest and most respected families of the United States, reinforced by the Napoleonic qualities of the present Mrs. Shadd in the doing of unexpected things.	The Van Varick Shadds flowed in through their unquestioned affiliation with the ever popular Delaware Shadds and the Roe Shadds of the Hudson, two of the oldest and most respected families of the United States, reinforced by the Napoleonic qualities of the present mrs Shadd in the doing of unexpected things.	false	821.64	822.66	22.473375
7783_107486_000066_000005	The Gullets, thanks to the fact that Mrs. Gullet is the acknowledged mother-in-law of three British dukes, two Italian counts, and a French marquis, are safely anchored in the social haven where they would be, and the rumor that Mrs. Gushington-Andrews has written a book that is a trifle risque fixes her firmly in the social constellation--but the Innitts with only eighty thousand dollars per annum, the Dedbroke-Hickses with nothing a year, the Oliver-Sloshingtons with an income of judgments, the study of their arrival is mighty interesting."	The Gullets, thanks to the fact that mrs Gullet is the acknowledged mother in law of three British dukes, two Italian counts, and a French marquis, are safely anchored in the social haven where they would be, and the rumor that mrs Gushington Andrews has written a book that is a trifle risque fixes her firmly in the social constellation-but the Innitts with only eighty thousand dollars per annum, the Dedbroke Hickses with nothing a year, the Oliver Sloshingtons with an income of judgments, the study of their arrival is mighty interesting."	false	822.66	823.44	19
