2638_10172_000000_000000	CHAPTER I.	CHAPTER one	true	21.12	22.15	19.171984
2638_10172_000036_000001	He paused at this place--where the central activity of a great railway enterprise beats, with all the pulses of its loud-clanging life, side by side with the dead majesty of the past, deep under the old historic stones which tell of fortified York and the sieges of two centuries since--he stood on this spot, and searched for her again, and searched in vain.	He paused at this place-where the central activity of a great railway enterprise beats, with all the pulses of its loud clanging life, side by side with the dead majesty of the past, deep under the old historic stones which tell of fortified York and the sieges of two centuries since-he stood on this spot, and searched for her again, and searched in vain.	true	1022.69	1044.49	21.709045
2638_10172_000036_000002	Others were looking idly down at the desolate activity on the wilderness of the iron rails; but she was not among them.	Others were looking idly down at the desolate activity on the wilderness of the iron rails; but she was not among them.	true	1045.25	1052.08	17
2638_10172_000036_000003	The captain glanced doubtfully at the darkening sky, and walked on.	The captain glanced doubtfully at the darkening sky, and walked on.	true	1052.54	1056.88	23.28575
2638_10172_000037_000000	He stopped again where the postern of Micklegate still stands, and still strengthens the city wall as of old.	He stopped again where the postern of Micklegate still stands, and still strengthens the city wall as of old.	true	1057.79	1063.9	20
2638_10172_000037_000001	Here the paved walk descends a few steps, passes through the dark stone guardroom of the ancient gate, ascends again, and continues its course southward until the walls reach the river once more.	Here the paved walk descends a few steps, passes through the dark stone guardroom of the ancient gate, ascends again, and continues its course southward until the walls reach the river once more.	true	1064.42	1075.45	18
2638_10172_000037_000002	He paused, and peered anxiously into the dim inner corners of the old guard-room.	He paused, and peered anxiously into the dim inner corners of the old guard room.	true	1076.09	1080.43	17
2638_10172_000037_000003	Was she waiting there for the darkness to come, and hide her from prying eyes?	Was she waiting there for the darkness to come, and hide her from prying eyes?	true	1080.8	1084.72	17
2638_10172_000037_000004	No: a solitary workman loitered through the stone chamber; but no other living creature stirred in the place.	No: a solitary workman loitered through the stone chamber; but no other living creature stirred in the place.	true	1085.3	1091.68	18
2638_10172_000037_000005	The captain mounted the steps which led out from the postern and walked on.	The captain mounted the steps which led out from the postern and walked on.	true	1092.11	1095.96	21
2638_10172_000038_000000	He advanced some fifty or sixty yards along the paved footway; the outlying suburbs of York on one side of him, a rope-walk and some patches of kitchen garden occupying a vacant strip of ground on the other.	He advanced some fifty or sixty yards along the paved footway; the outlying suburbs of York on one side of him, a rope walk and some patches of kitchen garden occupying a vacant strip of ground on the other.	false	1095.96	1108.24	20.818811
2638_10172_000038_000001	He advanced with eager eyes and quickened step; for he saw before him the lonely figure of a woman, standing by the parapet of the wall, with her face set toward the westward view.	He advanced with eager eyes and quickened step; for he saw before him the lonely figure of a woman, standing by the parapet of the wall, with her face set toward the westward view.	true	1108.76	1119.01	21
2638_10172_000038_000002	He approached cautiously, to make sure of her before she turned and observed him.	He approached cautiously, to make sure of her before she turned and observed him.	true	1119.56	1123.63	19
2638_10172_000038_000003	There was no mistaking that tall, dark figure, as it rested against the parapet with a listless grace.	There was no mistaking that tall, dark figure, as it rested against the parapet with a listless grace.	true	1124	1129.72	19
2638_10172_000038_000004	There she stood, in her long black cloak and gown, the last dim light of evening falling tenderly on her pale, resolute young face.	There she stood, in her long black cloak and gown, the last dim light of evening falling tenderly on her pale, resolute young face.	true	1130.39	1139.47	19
2638_10172_000038_000005	There she stood--not three months since the spoiled darling of her parents; the priceless treasure of the household, never left unprotected, never trusted alone--there she stood in the lovely dawn of her womanhood, a castaway in a strange city, wrecked on the world!	There she stood-not three months since the spoiled darling of her parents; the priceless treasure of the household, never left unprotected, never trusted alone-there she stood in the lovely dawn of her womanhood, a castaway in a strange city, wrecked on the world!	true	1139.96	1158.07	20.848436
2638_10172_000039_000000	Vagabond as he was, the first sight of her staggered even the dauntless assurance of Captain Wragge.	Vagabond as he was, the first sight of her staggered even the dauntless assurance of Captain Wragge.	true	1159.01	1164.37	18
2638_10172_000039_000001	As she slowly turned her face and looked at him, he raised his hat, with the nearest approach to respect which a long life of unblushing audacity had left him capable of making.	As she slowly turned her face and looked at him, he raised his hat, with the nearest approach to respect which a long life of unblushing audacity had left him capable of making.	true	1164.77	1174.78	22.099413
2638_10172_000040_000000	"I think I have the honor of addressing the younger Miss Vanstone?" he began.	"I think I have the honor of addressing the younger Miss Vanstone?" he began.	true	1175.69	1182.01	18
2638_10172_000040_000001	"Deeply gratified, I am sure--for more reasons than one."	"Deeply gratified, I am sure-for more reasons than one."	true	1182.5	1187.53	19.05572
2638_10172_000041_000000	She looked at him with a cold surprise.	She looked at him with a cold surprise.	true	1188.5	1190.77	21
2638_10172_000041_000001	No recollection of the day when he had followed her sister and herself on their way home with Miss Garth rose in her memory, while he now confronted her, with his altered manner and his altered dress.	No recollection of the day when he had followed her sister and herself on their way home with Miss Garth rose in her memory, while he now confronted her, with his altered manner and his altered dress.	true	1190.96	1201.63	19
2638_10172_000042_000000	"You are mistaken," she said, quietly.	"You are mistaken," she said, quietly.	true	1202.39	1204.9	22.456612
2638_10172_000042_000001	"You are a perfect stranger to me."	"You are a perfect stranger to me."	true	1205.27	1207.11	22
2638_10172_000043_000000	"Pardon me," replied the captain; "I am a species of relation.	"Pardon me," replied the captain; "I am a species of relation.	false	1207.11	1213.51	19.820236
2638_10172_000043_000001	I had the pleasure of seeing you in the spring of the present year.	I had the pleasure of seeing you in the spring of the present year.	true	1213.61	1218.31	17
2638_10172_000043_000002	I presented myself on that memorable occasion to an honored preceptress in your late father's family.	I presented myself on that memorable occasion to an honored preceptress in your late father's family.	true	1218.68	1227.31	23.037806
2638_10172_000043_000003	Permit me, under equally agreeable circumstances, to present myself to _you_.	Permit me, under equally agreeable circumstances, to present myself to underscore you underscore.	false	1227.83	1234.2	20.483978
2638_10172_000043_000004	My name is Wragge."	My name is Wragge."	true	1234.2	1236.19	20.938557
2638_10172_000044_000000	By this time he had recovered complete possession of his own impudence; his party-colored eyes twinkled cheerfully, and he accompanied his modest announcement of himself with a dancing-master's bow.	By this time he had recovered complete possession of his own impudence; his party colored eyes twinkled cheerfully, and he accompanied his modest announcement of himself with a dancing master's bow.	true	1236.71	1247.95	21.122515
2638_10172_000045_000000	Magdalen frowned, and drew back a step.	Magdalen frowned, and drew back a step.	true	1248.5	1250.95	22.219374
2638_10172_000045_000001	The captain was not a man to be daunted by a cold reception.	The captain was not a man to be daunted by a cold reception.	true	1251.2	1254.48	19
2638_10172_000045_000002	He tucked his umbrella under his arm and jocosely spelled his name for her further enlightenment.	He tucked his umbrella under his arm and jocosely spelled his name for her further enlightenment.	true	1254.48	1259.44	17
2638_10172_000045_000003	"W, R, A, double G, E--Wragge," said the captain, ticking off the letters persuasively on his fingers.	"W, R, A, double G, E-Wragge," said the captain, ticking off the letters persuasively on his fingers.	true	1259.87	1270.3	20.154985
2638_10172_000046_000000	"I remember your name," said Magdalen.	"I remember your name," said Magdalen.	true	1270.94	1273.39	20.793852
2638_10172_000046_000001	"Excuse me for leaving you abruptly.	"Excuse me for leaving you abruptly.	true	1273.49	1275.49	22.95302
2638_10172_000046_000002	I have an engagement."	I have an engagement."	true	1275.49	1276.9	17.302004
2638_10172_000047_000000	She tried to pass him and walk on northward toward the railway.	She tried to pass him and walk on northward toward the railway.	true	1277.45	1280.65	18
2638_10172_000047_000001	He instantly met the attempt by raising both hands, and displaying a pair of darned black gloves outspread in polite protest.	He instantly met the attempt by raising both hands, and displaying a pair of darned black gloves outspread in polite protest.	true	1280.99	1289.05	23.125694
2638_10172_000048_000000	"Not that way," he said; "not that way, Miss Vanstone, I beg and entreat!"	"Not that way," he said; "not that way, Miss Vanstone, I beg and entreat!"	false	1289.63	1296.4	22.897749
2638_10172_000049_000000	"Why not?" she asked haughtily.	"Why not?" she asked haughtily.	true	1296.92	1299.37	22.969784
2638_10172_000050_000000	"Because," answered the captain, "that is the way which leads to Mr. Huxtable's."	"Because," answered the captain, "that is the way which leads to mr Huxtable's."	false	1300.01	1307.52	21.339474
2638_10172_000051_000000	In the ungovernable astonishment of hearing his reply she suddenly bent forward, and for the first time looked him close in the face. He sustained her suspicious scrutiny with every appearance of feeling highly gratified by it.	In the ungovernable astonishment of hearing his reply she suddenly bent forward, and for the first time looked him close in the face. He sustained her suspicious scrutiny with every appearance of feeling highly gratified by it.	true	1307.52	1320.31	22
2638_10172_000051_000001	"H, U, X--Hux," said the captain, playfully turning to the old joke: "T, A--ta, Huxta; B, L, E--ble; Huxtable."	"H, U, X-Hux," said the captain, playfully turning to the old joke: "T, A-ta, Huxta; B, L, E-b l e; Huxtable."	false	1320.92	1335.97	22.41095
2638_10172_000052_000000	"What do you know about Mr. Huxtable?" she asked.	"What do you know about mr Huxtable?" she asked.	false	1336.7	1339.78	22.950758
2638_10172_000052_000001	"What do you mean by mentioning him to me?"	"What do you mean by mentioning him to me?"	true	1340	1342.12	20
2638_10172_000053_000000	The captain's curly lip took a new twist upward.	The captain's curly lip took a new twist upward.	true	1342.76	1346.05	23.364689
2638_10172_000053_000001	He immediately replied, to the best practical purpose, by producing the handbill from his pocket.	He immediately replied, to the best practical purpose, by producing the handbill from his pocket.	true	1346.33	1351.72	22.694004
2638_10172_000054_000000	"There is just light enough left," he said, "for young (and lovely) eyes to read by.	"There is just light enough left," he said, "for young (and lovely) eyes to read by.	true	1352.57	1360.81	19.270123
2638_10172_000054_000001	Before I enter upon the personal statement which your flattering inquiry claims from me, pray bestow a moment's attention on this Document."	Before I enter upon the personal statement which your flattering inquiry claims from me, pray bestow a moment's attention on this Document."	true	1361.42	1372.39	21.92033
2638_10172_000055_000000	She took the handbill from him.	She took the handbill from him.	true	1373.18	1374.9	22.485771
2638_10172_000055_000001	By the last gleam of twilight she read the lines which set a price on her recovery--which published the description of her in pitiless print, like the description of a strayed dog.	By the last gleam of twilight she read the lines which set a price on her recovery-which published the description of her in pitiless print, like the description of a strayed dog.	false	1374.9	1385.47	22.015339
2638_10172_000055_000002	No tender consideration had prepared her for the shock, no kind word softened it to her when it came.	No tender consideration had prepared her for the shock, no kind word softened it to her when it came.	true	1385.69	1391.86	21.111551
2638_10172_000055_000003	The vagabond, whose cunning eyes watched her eagerly while she read, knew no more that the handbill which he had stolen had only been prepared in anticipation of the worst, and was only to be publicly used in the event of all more considerate means of tracing her being tried in vain--than she knew it.	The vagabond, whose cunning eyes watched her eagerly while she read, knew no more that the handbill which he had stolen had only been prepared in anticipation of the worst, and was only to be publicly used in the event of all more considerate means of tracing her being tried in vain-than she knew it.	true	1392.32	1408.21	17
2638_10172_000055_000004	The bill dropped from her hand; her face flushed deeply.	The bill dropped from her hand; her face flushed deeply.	true	1409	1412.89	21.137907
2638_10172_000055_000005	She turned away from Captain Wragge, as if all idea of his existence had passed out of her mind.	She turned away from Captain Wragge, as if all idea of his existence had passed out of her mind.	true	1413.05	1418.02	14
2638_10172_000056_000000	"Oh, Norah, Norah!" she said to herself, sorrowfully.	"Oh, Norah, Norah!" she said to herself, sorrowfully.	true	1418.81	1422.67	18.726461
2638_10172_000056_000001	"After the letter I wrote you--after the hard struggle I had to go away!	"After the letter I wrote you-after the hard struggle I had to go away!	true	1423.16	1427.01	12
2638_10172_000056_000002	Oh, Norah, Norah!"	Oh, Norah, Norah!"	false	1427.01	1430.67	20.698599
2638_10172_000057_000000	"How is Norah?" inquired the captain, with the utmost politeness.	"How is Norah?" inquired the captain, with the utmost politeness.	true	1430.67	1435.45	19.803362
2638_10172_000058_000000	She turned upon him with an angry brightness in her large gray eyes.	She turned upon him with an angry brightness in her large gray eyes.	false	1436.21	1440.13	17
2638_10172_000058_000001	"Is this thing shown publicly?" she asked, stamping her foot on it.	"Is this thing shown publicly?" she asked, stamping her foot on it.	true	1440.26	1444.21	22.413986
2638_10172_000058_000002	"Is the mark on my neck described all over York?"	"Is the mark on my neck described all over York?"	true	1444.31	1447.21	23.422691
2638_10172_000059_000000	"Pray compose yourself," pleaded the persuasive Wragge.	"Pray compose yourself," pleaded the persuasive Wragge.	true	1447.76	1452.07	22.238453
2638_10172_000059_000001	"At present I have every reason to believe that you have just perused the only copy in circulation.	"At present I have every reason to believe that you have just perused the only copy in circulation.	true	1452.26	1459.45	18
2638_10172_000059_000002	Allow me to pick it up."	Allow me to pick it up."	true	1459.7	1461.37	24.438404
2638_10172_000060_000000	Before he could touch the bill she snatched it from the pavement, tore it into fragments, and threw them over the wall.	Before he could touch the bill she snatched it from the pavement, tore it into fragments, and threw them over the wall.	true	1462.07	1467.64	16
2638_10172_000061_000000	"Bravo!" cried the captain.	"Bravo!" cried the captain.	true	1468.31	1470.58	18.290243
2638_10172_000061_000001	"You remind me of your poor dear mother. The family spirit, Miss Vanstone.	"You remind me of your poor dear mother. The family spirit, Miss Vanstone.	true	1471.01	1476.97	19.165058
2638_10172_000061_000002	We all inherit our hot blood from my maternal grandfather."	We all inherit our hot blood from my maternal grandfather."	true	1477.25	1482.37	22.53899
2638_10172_000062_000000	"How did you come by it?" she asked, suddenly.	"How did you come by it?" she asked, suddenly.	true	1483.07	1485.91	21.575207
2638_10172_000063_000000	"My dear creature, I have just told you," remonstrated the captain.	"My dear creature, I have just told you," remonstrated the captain.	true	1486.46	1490.74	17
2638_10172_000063_000001	"We all come by it from my maternal grandfather."	"We all come by it from my maternal grandfather."	true	1491.14	1494.76	16
2638_10172_000064_000000	"How did you come by that handbill?" she repeated, passionately.	"How did you come by that handbill?" she repeated, passionately.	true	1495.31	1498.99	23.893345
2638_10172_000065_000000	"I beg ten thousand pardons!	"I beg ten thousand pardons!	true	1499.48	1502.4	23.462149
2638_10172_000065_000001	My head was running on the family spirit.--How did I come by it?	My head was running on the family spirit.--How did I come by it?	false	1502.4	1508.13	22.301517
2638_10172_000065_000002	Briefly thus." Here Captain Wragge entered on his personal statement; taking his customary vocal exercise through the longest words of the English language, with the highest elocutionary relish.	Briefly thus." Here Captain Wragge entered on his personal statement; taking his customary vocal exercise through the longest words of the English language, with the highest elocutionary relish.	true	1508.13	1519.99	20.963049
2638_10172_000065_000003	Having, on this rare occasion, nothing to gain by concealment, he departed from his ordinary habits, and, with the utmost amazement at the novelty of his own situation, permitted himself to tell the unmitigated truth.	Having, on this rare occasion, nothing to gain by concealment, he departed from his ordinary habits, and, with the utmost amazement at the novelty of his own situation, permitted himself to tell the unmitigated truth.	true	1520.57	1532.89	21.954945
2638_10172_000066_000000	The effect of the narrative on Magdalen by no means fulfilled Captain Wragge's anticipations in relating it.	The effect of the narrative on Magdalen by no means fulfilled Captain Wragge's anticipations in relating it.	true	1533.35	1539.1	16
2638_10172_000066_000001	She was not startled; she was not irritated; she showed no disposition to cast herself on his mercy, and to seek his advice.	She was not startled; she was not irritated; she showed no disposition to cast herself on his mercy, and to seek his advice.	true	1539.53	1547.05	21.87589
2638_10172_000066_000002	She looked him steadily in the face; and all she said, when he had neatly rounded his last sentence, was--"Go on."	She looked him steadily in the face; and all she said, when he had neatly rounded his last sentence, was-"Go on."	true	1547.6	1554.73	20.380287
2638_10172_000067_000000	"Go on?" repeated the captain.	"Go on?" repeated the captain.	true	1555.52	1558.18	22.579618
2638_10172_000067_000001	"Shocked to disappoint you, I am sure; but the fact is, I have done."	"Shocked to disappoint you, I am sure; but the fact is, I have done."	true	1558.55	1563.97	22.015789
2638_10172_000068_000000	"No, you have not," she rejoined; "you have left out the end of your story.	"No, you have not," she rejoined; "you have left out the end of your story.	true	1564.73	1569.04	23.5599
2638_10172_000068_000001	The end of it is, you came here to look for me; and you mean to earn the fifty pounds reward."	The end of it is, you came here to look for me; and you mean to earn the fifty pounds reward."	true	1569.44	1574.41	19.774914
2638_10172_000069_000000	Those plain words so completely staggered Captain Wragge that for the moment he stood speechless.	Those plain words so completely staggered Captain Wragge that for the moment he stood speechless.	true	1575.41	1581.1	23.11208
2638_10172_000069_000001	But he had faced awkward truths of all sorts far too often to be permanently disconcerted by them.	But he had faced awkward truths of all sorts far too often to be permanently disconcerted by them.	true	1581.56	1586.71	20
2638_10172_000069_000002	Before Magdalen could pursue her advantage, the vagabond had recovered his balance: Wragge was himself again.	Before Magdalen could pursue her advantage, the vagabond had recovered his balance: Wragge was himself again.	true	1587.11	1594.12	19.606558
2638_10172_000070_000000	"Smart," said the captain, laughing indulgently, and drumming with his umbrella on the pavement.	"Smart," said the captain, laughing indulgently, and drumming with his umbrella on the pavement.	true	1594.94	1600.39	21.09828
2638_10172_000070_000001	"Some men might take it seriously.	"Some men might take it seriously.	false	1600.76	1603.81	19.49242
2638_10172_000070_000002	I'm not easily offended.	I'm not easily offended.	true	1604.06	1606.18	18
2638_10172_000070_000003	Try again."	Try again."	true	1606.34	1607.59	19.487902
2638_10172_000071_000000	Magdalen looked at him through the gathering darkness in mute perplexity.	Magdalen looked at him through the gathering darkness in mute perplexity.	true	1608.29	1612.36	16
2638_10172_000071_000001	All her little experience of society had been experience among people who possessed a common sense of honor, and a common responsibility of social position.	All her little experience of society had been experience among people who possessed a common sense of honor, and a common responsibility of social position.	true	1612.85	1621.48	13
2638_10172_000071_000002	She had hitherto seen nothing but the successful human product from the great manufactory of Civilization. Here was one of the failures, and, with all her quickness, she was puzzled how to deal with it.	She had hitherto seen nothing but the successful human product from the great manufactory of Civilization. Here was one of the failures, and, with all her quickness, she was puzzled how to deal with it.	true	1621.85	1634.05	19.280039
2638_10172_000072_000000	"Pardon me for returning to the subject," pursued the captain.	"Pardon me for returning to the subject," pursued the captain.	true	1634.81	1639.48	19.030235
2638_10172_000072_000001	"It has just occurred to my mind that you might actually have spoken in earnest. My poor child! how can I earn the fifty pounds before the reward is offered to me?	"It has just occurred to my mind that you might actually have spoken in earnest. My poor child! how can I earn the fifty pounds before the reward is offered to me?	true	1639.79	1651.09	21
2638_10172_000072_000002	Those handbills may not be publicly posted for a week to come.	Those handbills may not be publicly posted for a week to come.	true	1651.58	1656.07	22.300749
2638_10172_000072_000003	Precious as you are to all your relatives (myself included), take my word for it, the lawyers who are managing this case will not pay fifty pounds for you if they can possibly help it.	Precious as you are to all your relatives (myself included), take my word for it, the lawyers who are managing this case will not pay fifty pounds for you if they can possibly help it.	false	1656.5	1669.48	21.04626
2638_10172_000072_000004	Are you still persuaded that my needy pockets are gaping for the money?	Are you still persuaded that my needy pockets are gaping for the money?	true	1669.85	1674.46	16
2638_10172_000072_000005	Very good. Button them up in spite of me with your own fair fingers.	Very good. Button them up in spite of me with your own fair fingers.	true	1674.8	1680.49	22.98986
2638_10172_000072_000006	There is a train to London at nine forty-five to-night.	There is a train to London at nine forty five to night.	true	1680.83	1684.69	21.537136
2638_10172_000072_000007	Submit yourself to your friend's wishes and go back by it."	Submit yourself to your friend's wishes and go back by it."	true	1684.91	1690.03	22.980206
2638_10172_000073_000000	"Never!" said Magdalen, firing at the bare suggestion, exactly as the captain had intended she should.	"Never!" said Magdalen, firing at the bare suggestion, exactly as the captain had intended she should.	true	1690.67	1696.96	21.688725
2638_10172_000073_000001	"If my mind had not been made up before, that vile handbill would have decided me.	"If my mind had not been made up before, that vile handbill would have decided me.	true	1697.39	1701.85	16
2638_10172_000073_000002	I forgive Norah," she added, turning away and speaking to herself, "but not Mr. Pendril, and not Miss Garth."	I forgive Norah," she added, turning away and speaking to herself, "but not mr Pendril, and not Miss Garth."	true	1702.22	1709.68	20.51834
2638_10172_000074_000000	"Quite right!" said Captain Wragge.	"Quite right!" said Captain Wragge.	true	1710.11	1713.24	22.709522
2638_10172_000074_000001	"The family spirit.	"The family spirit.	false	1713.24	1715.17	19.524294
2638_10172_000074_000002	I should have done the same myself at your age.	I should have done the same myself at your age.	true	1715.18	1718.71	21
2638_10172_000074_000003	It runs in the blood.	It runs in the blood.	true	1718.93	1721.14	20.60691
2638_10172_000074_000004	Hark! there goes the clock again--half-past seven.	Hark! there goes the clock again-half past seven.	true	1721.51	1726.51	21.667637
2638_10172_000074_000005	Miss Vanstone, pardon this seasonable abruptness!	Miss Vanstone, pardon this seasonable abruptness!	false	1727.09	1731.79	20.341194
2638_10172_000074_000006	If you are to carry out your resolution--if you are to be your own mistress much longer, you must take a course of some kind before eight o'clock.	If you are to carry out your resolution-if you are to be your own mistress much longer, you must take a course of some kind before eight o'clock.	false	1732.1	1743.31	21.346903
2638_10172_000074_000007	You are young, you are inexperienced, you are in imminent danger.	You are young, you are inexperienced, you are in imminent danger.	true	1744.07	1750.36	22.446503
2638_10172_000074_000008	Here is a position of emergency on one side--and here am I, on the other, with an uncle's interest in you, full of advice.	Here is a position of emergency on one side-and here am I, on the other, with an uncle's interest in you, full of advice.	true	1750.76	1760.55	19.189957
2638_10172_000074_000009	Tap me."	Tap me."	false	1760.55	1762.27	21.034817
2638_10172_000075_000000	"Suppose I choose to depend on nobody, and to act for myself?" said Magdalen.	"Suppose I choose to depend on nobody, and to act for myself?" said Magdalen.	true	1762.7	1767.46	21.399591
2638_10172_000075_000001	"What then?"	"What then?"	true	1767.65	1768.51	25.949543
2638_10172_000076_000000	"Then," replied the captain, "you will walk straight into one of the four traps which are set to catch you in the ancient and interesting city of York.	"Then," replied the captain, "you will walk straight into one of the four traps which are set to catch you in the ancient and interesting city of York.	false	1769.18	1780.11	22.478462
2638_10172_000076_000001	Trap the first, at Mr. Huxtable's house; trap the second, at all the hotels; trap the third, at the railway station; trap the fourth, at the theater.	Trap the first, at mr Huxtable's house; trap the second, at all the hotels; trap the third, at the railway station; trap the fourth, at the theater.	true	1780.11	1793.38	23.823639
2638_10172_000076_000002	That man with the handbills has had an hour at his disposal.	That man with the handbills has had an hour at his disposal.	true	1793.93	1798	15
2638_10172_000076_000003	If he has not set those four traps (with the assistance of the local solicitor) by this time, he is not the competent lawyer's clerk I take him for.	If he has not set those four traps (with the assistance of the local solicitor) by this time, he is not the competent lawyer's clerk I take him for.	false	1798.34	1809.42	22.311527
2638_10172_000076_000004	Come, come, my dear girl! if there is somebody else in the background, whose advice you prefer to mine--"	Come, come, my dear girl! if there is somebody else in the background, whose advice you prefer to mine-"	true	1809.42	1815.7	15
2638_10172_000077_000000	"You see that I am alone," she interposed, proudly.	"You see that I am alone," she interposed, proudly.	true	1816.43	1819.87	18.678122
2638_10172_000077_000001	"If you knew me better, you would know that I depend on nobody but myself."	"If you knew me better, you would know that I depend on nobody but myself."	true	1820.09	1823.95	20
2638_10172_000078_000000	Those words decided the only doubt which now remained in the captain's mind--the doubt whether the course was clear before him.	Those words decided the only doubt which now remained in the captain's mind-the doubt whether the course was clear before him.	true	1824.5	1831.12	21
2638_10172_000078_000001	The motive of her flight from home was evidently what the handbills assumed it to be--a reckless fancy for going on the stage.	The motive of her flight from home was evidently what the handbills assumed it to be-a reckless fancy for going on the stage.	true	1831.64	1838.86	21.158464
2638_10172_000078_000002	"One of two things," thought Wragge to himself, in his logical way.	"One of two things," thought Wragge to himself, in his logical way.	true	1839.65	1844.02	20
2638_10172_000078_000003	"She's worth more than fifty pounds to me in her present situation, or she isn't.	"She's worth more than fifty pounds to me in her present situation, or she isn't.	true	1844.6	1850.47	20.608648
2638_10172_000078_000004	If she is, her friends may whistle for her.	If she is, her friends may whistle for her.	true	1850.87	1854.34	19.713455
2638_10172_000078_000005	If she isn't, I have only to keep her till the bills are posted." Fortified by this simple plan of action, the captain returned to the charge, and politely placed Magdalen between the two inevitable alternatives of trusting herself to him, on the one hand, or of returning to her friends, on the other.	If she isn't, I have only to keep her till the bills are posted." Fortified by this simple plan of action, the captain returned to the charge, and politely placed Magdalen between the two inevitable alternatives of trusting herself to him, on the one hand, or of returning to her friends, on the other.	false	1854.65	1873.33	21.553822
2638_10172_000079_000000	"I respect independence of character wherever I find it," he said, with an air of virtuous severity.	"I respect independence of character wherever I find it," he said, with an air of virtuous severity.	true	1874.18	1881.96	21.009668
2638_10172_000079_000001	"In a young and lovely relative, I more than respect--I admire it.	"In a young and lovely relative, I more than respect-I admire it.	false	1881.96	1887.49	18.264566
2638_10172_000079_000002	But (excuse the bold assertion), to walk on a way of your own, you must first have a way to walk on.	But (excuse the bold assertion), to walk on a way of your own, you must first have a way to walk on.	true	1887.77	1896.85	22.053738
2638_10172_000079_000003	Under existing circumstances, where is _your_ way?	Under existing circumstances, where is underscore your underscore way?	false	1897.4	1902.07	17.132751
2638_10172_000079_000004	Mr. Huxtable is out of the question, to begin with."	mr Huxtable is out of the question, to begin with."	true	1902.5	1906.12	23
2638_10172_000080_000000	"Out of the question for to-night," said Magdalen; "but what hinders me from writing to Mr. Huxtable, and making my own private arrangements with him for to-morrow?"	"Out of the question for to night," said Magdalen; "but what hinders me from writing to mr Huxtable, and making my own private arrangements with him for to morrow?"	false	1906.28	1915.09	20.98077
2638_10172_000081_000000	"Granted with all my heart--a hit, a palpable hit.	"Granted with all my heart-a hit, a palpable hit.	true	1915.91	1920.4	24.953262
2638_10172_000081_000001	Now for my turn.	Now for my turn.	true	1921.01	1922.68	22.35678
2638_10172_000081_000002	To get to to-morrow (excuse the bold assertion, once more), you must first pass through to-night.	To get to to morrow (excuse the bold assertion, once more), you must first pass through to night.	true	1923.05	1930.6	21.734077
2638_10172_000081_000003	Where are you to sleep?"	Where are you to sleep?"	true	1930.94	1932.82	28.808336
2638_10172_000082_000000	"Are there no hotels in York?"	"Are there no hotels in York?"	true	1933.4	1935.19	19.709105
2638_10172_000083_000000	"Excellent hotels for large families; excellent hotels for single gentlemen.	"Excellent hotels for large families; excellent hotels for single gentlemen.	true	1936.01	1942.03	21.026028
2638_10172_000083_000001	The very worst hotels in the world for handsome young ladies who present themselves alone at the door without male escort, without a maid in attendance, and without a single article of luggage.	The very worst hotels in the world for handsome young ladies who present themselves alone at the door without male escort, without a maid in attendance, and without a single article of luggage.	false	1942.4	1955.41	19.411787
2638_10172_000083_000002	Dark as it is, I think I could see a lady's box, if there was anything of the sort in our immediate neighborhood."	Dark as it is, I think I could see a lady's box, if there was anything of the sort in our immediate neighborhood."	true	1955.87	1962.52	17
2638_10172_000084_000000	"My box is at the cloak-room.	"My box is at the cloak room.	false	1963.76	1965.81	22.293278
2638_10172_000084_000001	What is to prevent my sending the ticket for it?"	What is to prevent my sending the ticket for it?"	true	1965.81	1968.1	24
2638_10172_000085_000000	"Nothing--if you want to communicate your address by means of your box--nothing whatever.	"Nothing-if you want to communicate your address by means of your box-nothing whatever.	true	1968.71	1975.57	22.42809
2638_10172_000085_000001	Think; pray think!	Think; pray think!	true	1976.51	1978.75	24.73855
2638_10172_000085_000002	Do you really suppose that the people who are looking for you are such fools as not to have an eye on the cloakroom?	Do you really suppose that the people who are looking for you are such fools as not to have an eye on the cloakroom?	true	1979	1986.22	19
2638_10172_000085_000003	Do you think they are such fools--when they find you don't come to Mr. Huxtable's at eight to-night--as not to inquire at all the hotels?	Do you think they are such fools-when they find you don't come to mr Huxtable's at eight to night-as not to inquire at all the hotels?	false	1986.68	1996.86	22.57358
2638_10172_000085_000004	Do you think a young lady of your striking appearance (even if they consented to receive you) could take up her abode at an inn without becoming the subject of universal curiosity and remark?	Do you think a young lady of your striking appearance (even if they consented to receive you) could take up her abode at an inn without becoming the subject of universal curiosity and remark?	false	1996.86	2011.75	22.212585
2638_10172_000085_000005	Here is night coming on as fast as it can.	Here is night coming on as fast as it can.	true	2012.21	2015.47	22.723677
2638_10172_000085_000006	Don't let me bore you; only let me ask once more--Where are you to sleep?"	Don't let me bore you; only let me ask once more-Where are you to sleep?"	true	2015.81	2022.91	19.40768
2638_10172_000086_000000	There was no answer to that question: in Magdalen's position, there was literally no answer to it on her side.	There was no answer to that question: in Magdalen's position, there was literally no answer to it on her side.	true	2023.97	2030.83	19.973593
2638_10172_000086_000001	She was silent.	She was silent.	true	2031.26	2032.51	16.666647
2638_10172_000087_000000	"Where are you to sleep?" repeated the captain.	"Where are you to sleep?" repeated the captain.	true	2033.78	2037.67	16.856153
2638_10172_000087_000001	"The reply is obvious--under my roof.	"The reply is obvious-under my roof.	true	2037.98	2041.66	18.153948
