2401_144485_000003_000000	CHAPTER 36.	CHAPTER thirty six.
2401_144485_000082_000001	Learning from Traddles that the invitation referred to the evening then wearing away, I expressed my readiness to do honour to it; and we went off together to the lodging which Mr. Micawber occupied as Mr. Mortimer, and which was situated near the top of the Gray's Inn Road.	Learning from Traddles that the invitation referred to the evening then wearing away, I expressed my readiness to do honour to it; and we went off together to the lodging which mr Micawber occupied as mr Mortimer, and which was situated near the top of the Gray's Inn Road.
2401_144485_000083_000002	I also became once more known to his sister, Miss Micawber, in whom, as Mr. Micawber told us, 'her mother renewed her youth, like the Phoenix'.	I also became once more known to his sister, Miss Micawber, in whom, as mr Micawber told us, 'her mother renewed her youth, like the Phoenix'.
2401_144485_000084_000000	'My dear Copperfield,' said Mr. Micawber, 'yourself and Mr. Traddles find us on the brink of migration, and will excuse any little discomforts incidental to that position.'	'My dear Copperfield,' said mr Micawber, 'yourself and mr Traddles find us on the brink of migration, and will excuse any little discomforts incidental to that position.'
2401_144485_000085_000000	Glancing round as I made a suitable reply, I observed that the family effects were already packed, and that the amount of luggage was by no means overwhelming.	Glancing round as I made a suitable reply, I observed that the family effects were already packed, and that the amount of luggage was by no means overwhelming.
2401_144485_000085_000001	I congratulated Mrs. Micawber on the approaching change.	I congratulated mrs Micawber on the approaching change.
2401_144485_000086_000000	'My dear Mr. Copperfield,' said Mrs. Micawber, 'of your friendly interest in all our affairs, I am well assured.	'My dear mr Copperfield,' said mrs Micawber, 'of your friendly interest in all our affairs, I am well assured.
2401_144485_000086_000001	My family may consider it banishment, if they please; but I am a wife and mother, and I never will desert Mr. Micawber.'	My family may consider it banishment, if they please; but I am a wife and mother, and I never will desert mr Micawber.'
2401_144485_000087_000000	Traddles, appealed to by Mrs. Micawber's eye, feelingly acquiesced.	Traddles, appealed to by mrs Micawber's eye, feelingly acquiesced.
2401_144485_000088_000000	'That,' said Mrs. Micawber, 'that, at least, is my view, my dear Mr. Copperfield and Mr. Traddles, of the obligation which I took upon myself when I repeated the irrevocable words, "I, Emma, take thee, Wilkins." I read the service over with a flat-candle on the previous night, and the conclusion I derived from it was, that I never could desert Mr. Micawber.	'That,' said mrs Micawber, 'that, at least, is my view, my dear mr Copperfield and mr Traddles, of the obligation which I took upon myself when I repeated the irrevocable words, "I, Emma, take thee, Wilkins." I read the service over with a flat candle on the previous night, and the conclusion I derived from it was, that I never could desert mr Micawber.
2401_144485_000088_000001	And,' said Mrs. Micawber, 'though it is possible I may be mistaken in my view of the ceremony, I never will!'	And,' said mrs Micawber, 'though it is possible I may be mistaken in my view of the ceremony, I never will!'
2401_144485_000090_000000	'I am aware, my dear Mr. Copperfield,' pursued Mrs. Micawber, 'that I am now about to cast my lot among strangers; and I am also aware that the various members of my family, to whom Mr. Micawber has written in the most gentlemanly terms, announcing that fact, have not taken the least notice of Mr. Micawber's communication.	'I am aware, my dear mr Copperfield,' pursued mrs Micawber, 'that I am now about to cast my lot among strangers; and I am also aware that the various members of my family, to whom mr Micawber has written in the most gentlemanly terms, announcing that fact, have not taken the least notice of mr Micawber's communication.
2401_144485_000090_000001	Indeed I may be superstitious,' said Mrs. Micawber, 'but it appears to me that Mr. Micawber is destined never to receive any answers whatever to the great majority of the communications he writes.	Indeed I may be superstitious,' said mrs Micawber, 'but it appears to me that mr Micawber is destined never to receive any answers whatever to the great majority of the communications he writes.
2401_144485_000090_000002	I may augur, from the silence of my family, that they object to the resolution I have taken; but I should not allow myself to be swerved from the path of duty, Mr. Copperfield, even by my papa and mama, were they still living.'	I may augur, from the silence of my family, that they object to the resolution I have taken; but I should not allow myself to be swerved from the path of duty, mr Copperfield, even by my papa and mama, were they still living.'
2401_144485_000091_000000	I expressed my opinion that this was going in the right direction.	I expressed my opinion that this was going in the right direction.
2401_144485_000091_000001	'It may be a sacrifice,' said Mrs. Micawber, 'to immure one's-self in a Cathedral town; but surely, Mr. Copperfield, if it is a sacrifice in me, it is much more a sacrifice in a man of Mr. Micawber's abilities.'	'It may be a sacrifice,' said mrs Micawber, 'to immure one's self in a Cathedral town; but surely, mr Copperfield, if it is a sacrifice in me, it is much more a sacrifice in a man of mr Micawber's abilities.'
2401_144485_000092_000000	'Oh!	'Oh!
2401_144485_000092_000001	You are going to a Cathedral town?' said I.	You are going to a Cathedral town?' said i
2401_144485_000093_000000	Mr. Micawber, who had been helping us all, out of the wash-hand-stand jug, replied:	mr Micawber, who had been helping us all, out of the wash hand stand jug, replied:
2401_144485_000094_000000	'To Canterbury.	'To Canterbury.
2401_144485_000094_000001	In fact, my dear Copperfield, I have entered into arrangements, by virtue of which I stand pledged and contracted to our friend Heep, to assist and serve him in the capacity of--and to be--his confidential clerk.'	In fact, my dear Copperfield, I have entered into arrangements, by virtue of which I stand pledged and contracted to our friend Heep, to assist and serve him in the capacity of-and to be-his confidential clerk.'
2401_144485_000095_000000	I stared at Mr. Micawber, who greatly enjoyed my surprise.	I stared at mr Micawber, who greatly enjoyed my surprise.
2401_144485_000096_000001	The gauntlet, to which Mrs. Micawber referred upon a former occasion, being thrown down in the form of an advertisement, was taken up by my friend Heep, and led to a mutual recognition.	The gauntlet, to which mrs Micawber referred upon a former occasion, being thrown down in the form of an advertisement, was taken up by my friend Heep, and led to a mutual recognition.
2401_144485_000096_000004	I have already some acquaintance with the law--as a defendant on civil process--and I shall immediately apply myself to the Commentaries of one of the most eminent and remarkable of our English jurists.	I have already some acquaintance with the law-as a defendant on civil process-and I shall immediately apply myself to the Commentaries of one of the most eminent and remarkable of our English jurists.
2401_144485_000096_000005	I believe it is unnecessary to add that I allude to Mr. justice Blackstone.'	I believe it is unnecessary to add that I allude to mr justice Blackstone.'
2401_144485_000098_000001	I am convinced that Mr. Micawber, giving his mind to a profession so adapted to his fertile resources, and his flow of language, must distinguish himself.	I am convinced that mr Micawber, giving his mind to a profession so adapted to his fertile resources, and his flow of language, must distinguish himself.
2401_144485_000098_000002	Now, for example, Mr. Traddles,' said Mrs. Micawber, assuming a profound air, 'a judge, or even say a Chancellor.	Now, for example, mr Traddles,' said mrs Micawber, assuming a profound air, 'a judge, or even say a Chancellor.
2401_144485_000098_000003	Does an individual place himself beyond the pale of those preferments by entering on such an office as Mr. Micawber has accepted?'	Does an individual place himself beyond the pale of those preferments by entering on such an office as mr Micawber has accepted?'
2401_144485_000099_000000	'My dear,' observed Mr. Micawber--but glancing inquisitively at Traddles, too; 'we have time enough before us, for the consideration of those questions.'	'My dear,' observed mr Micawber-but glancing inquisitively at Traddles, too; 'we have time enough before us, for the consideration of those questions.'
2401_144485_000100_000000	'Micawber,' she returned, 'no!	'Micawber,' she returned, 'no!
2401_144485_000100_000001	Your mistake in life is, that you do not look forward far enough.	Your mistake in life is, that you do not look forward far enough.
2401_144485_000100_000002	You are bound, in justice to your family, if not to yourself, to take in at a comprehensive glance the extremest point in the horizon to which your abilities may lead you.'	You are bound, in justice to your family, if not to yourself, to take in at a comprehensive glance the extremest point in the horizon to which your abilities may lead you.'
2401_144485_000101_000000	Mr. Micawber coughed, and drank his punch with an air of exceeding satisfaction--still glancing at Traddles, as if he desired to have his opinion.	mr Micawber coughed, and drank his punch with an air of exceeding satisfaction-still glancing at Traddles, as if he desired to have his opinion.
2401_144485_000102_000001	'I mean the real prosaic fact, you know--'	'I mean the real prosaic fact, you know-'
2401_144485_000103_000000	'Just so,' said Mrs. Micawber, 'my dear Mr. Traddles, I wish to be as prosaic and literal as possible on a subject of so much importance.'	'Just so,' said mrs Micawber, 'my dear mr Traddles, I wish to be as prosaic and literal as possible on a subject of so much importance.'
2401_144485_000104_000000	'--Is,' said Traddles, 'that this branch of the law, even if Mr. Micawber were a regular solicitor--'	'--Is,' said Traddles, 'that this branch of the law, even if mr Micawber were a regular solicitor-'
2401_144485_000105_000000	'Exactly so,' returned Mrs. Micawber. ('Wilkins, you are squinting, and will not be able to get your eyes back.')	'Exactly so,' returned mrs Micawber. ('Wilkins, you are squinting, and will not be able to get your eyes back.')
2401_144485_000106_000000	'--Has nothing,' pursued Traddles, 'to do with that.	'--Has nothing,' pursued Traddles, 'to do with that.
2401_144485_000106_000001	Only a barrister is eligible for such preferments; and Mr. Micawber could not be a barrister, without being entered at an inn of court as a student, for five years.'	Only a barrister is eligible for such preferments; and mr Micawber could not be a barrister, without being entered at an inn of court as a student, for five years.'
2401_144485_000107_000000	'Do I follow you?' said Mrs. Micawber, with her most affable air of business.	'Do I follow you?' said mrs Micawber, with her most affable air of business.
2401_144485_000107_000001	'Do I understand, my dear Mr. Traddles, that, at the expiration of that period, Mr. Micawber would be eligible as a Judge or Chancellor?'	'Do I understand, my dear mr Traddles, that, at the expiration of that period, mr Micawber would be eligible as a Judge or Chancellor?'
2401_144485_000108_000000	'He would be ELIGIBLE,' returned Traddles, with a strong emphasis on that word.	'He would be ELIGIBLE,' returned Traddles, with a strong emphasis on that word.
2401_144485_000109_000000	'Thank you,' said Mrs. Micawber.	'Thank you,' said mrs Micawber.
2401_144485_000109_000001	'That is quite sufficient.	'That is quite sufficient.
2401_144485_000110_000000	I quite believe that Mr. Micawber saw himself, in his judicial mind's eye, on the woolsack.	I quite believe that mr Micawber saw himself, in his judicial mind's eye, on the woolsack.
2401_144485_000110_000001	He passed his hand complacently over his bald head, and said with ostentatious resignation:	He passed his hand complacently over his bald head, and said with ostentatious resignation:
2401_144485_000111_000000	'My dear, we will not anticipate the decrees of fortune.	'My dear, we will not anticipate the decrees of fortune.
2401_144485_000111_000001	If I am reserved to wear a wig, I am at least prepared, externally,' in allusion to his baldness, 'for that distinction.	If I am reserved to wear a wig, I am at least prepared, externally,' in allusion to his baldness, 'for that distinction.
2401_144485_000111_000002	I do not,' said Mr. Micawber, 'regret my hair, and I may have been deprived of it for a specific purpose.	I do not,' said mr Micawber, 'regret my hair, and I may have been deprived of it for a specific purpose.
2401_144485_000111_000003	I cannot say.	I cannot say.
2401_144485_000111_000004	It is my intention, my dear Copperfield, to educate my son for the Church; I will not deny that I should be happy, on his account, to attain to eminence.'	It is my intention, my dear Copperfield, to educate my son for the Church; I will not deny that I should be happy, on his account, to attain to eminence.'
2401_144485_000112_000000	'For the Church?' said I, still pondering, between whiles, on Uriah Heep.	'For the Church?' said I, still pondering, between whiles, on Uriah Heep.
2401_144485_000113_000000	'Yes,' said Mr. Micawber.	'Yes,' said mr Micawber.
2401_144485_000113_000001	'He has a remarkable head-voice, and will commence as a chorister.	'He has a remarkable head voice, and will commence as a chorister.
2401_144485_000113_000002	Our residence at Canterbury, and our local connexion, will, no doubt, enable him to take advantage of any vacancy that may arise in the Cathedral corps.'	Our residence at Canterbury, and our local connexion, will, no doubt, enable him to take advantage of any vacancy that may arise in the Cathedral corps.'
2401_144485_000114_000001	After many compliments on this performance, we fell into some general conversation; and as I was too full of my desperate intentions to keep my altered circumstances to myself, I made them known to Mr. and Mrs. Micawber.	After many compliments on this performance, we fell into some general conversation; and as I was too full of my desperate intentions to keep my altered circumstances to myself, I made them known to mr and mrs Micawber.
2401_144485_000114_000002	I cannot express how extremely delighted they both were, by the idea of my aunt's being in difficulties; and how comfortable and friendly it made them.	I cannot express how extremely delighted they both were, by the idea of my aunt's being in difficulties; and how comfortable and friendly it made them.
2401_144485_000115_000000	When we were nearly come to the last round of the punch, I addressed myself to Traddles, and reminded him that we must not separate, without wishing our friends health, happiness, and success in their new career. I begged Mr. Micawber to fill us bumpers, and proposed the toast in due form: shaking hands with him across the table, and kissing Mrs. Micawber, to commemorate that eventful occasion.	When we were nearly come to the last round of the punch, I addressed myself to Traddles, and reminded him that we must not separate, without wishing our friends health, happiness, and success in their new career. I begged mr Micawber to fill us bumpers, and proposed the toast in due form: shaking hands with him across the table, and kissing mrs Micawber, to commemorate that eventful occasion.
2401_144485_000116_000001	It may be expected that on the eve of a migration which will consign us to a perfectly new existence,' Mr. Micawber spoke as if they were going five hundred thousand miles, 'I should offer a few valedictory remarks to two such friends as I see before me.	It may be expected that on the eve of a migration which will consign us to a perfectly new existence,' mr Micawber spoke as if they were going five hundred thousand miles, 'I should offer a few valedictory remarks to two such friends as I see before me.
2401_144485_000116_000002	But all that I have to say in this way, I have said.	But all that I have to say in this way, I have said.
2401_144485_000116_000003	Whatever station in society I may attain, through the medium of the learned profession of which I am about to become an unworthy member, I shall endeavour not to disgrace, and Mrs. Micawber will be safe to adorn.	Whatever station in society I may attain, through the medium of the learned profession of which I am about to become an unworthy member, I shall endeavour not to disgrace, and mrs Micawber will be safe to adorn.
2401_144485_000116_000005	All I have to say on that score is, that the cloud has passed from the dreary scene, and the God of Day is once more high upon the mountain tops.	All I have to say on that score is, that the cloud has passed from the dreary scene, and the God of Day is once more high upon the mountain tops.
2401_144485_000116_000006	On Monday next, on the arrival of the four o'clock afternoon coach at Canterbury, my foot will be on my native heath--my name, Micawber!'	On Monday next, on the arrival of the four o'clock afternoon coach at Canterbury, my foot will be on my native heath-my name, Micawber!'
2401_144485_000117_000000	Mr. Micawber resumed his seat on the close of these remarks, and drank two glasses of punch in grave succession.	mr Micawber resumed his seat on the close of these remarks, and drank two glasses of punch in grave succession.
2401_144485_000117_000001	He then said with much solemnity:	He then said with much solemnity:
2401_144485_000118_000000	'One thing more I have to do, before this separation is complete, and that is to perform an act of justice.	'One thing more I have to do, before this separation is complete, and that is to perform an act of justice.
2401_144485_000118_000001	My friend Mr. Thomas Traddles has, on two several occasions, "put his name", if I may use a common expression, to bills of exchange for my accommodation.	My friend mr Thomas Traddles has, on two several occasions, "put his name", if I may use a common expression, to bills of exchange for my accommodation.
2401_144485_000118_000002	On the first occasion Mr. Thomas Traddles was left--let me say, in short, in the lurch.	On the first occasion mr Thomas Traddles was left-let me say, in short, in the lurch.
2401_144485_000118_000003	The fulfilment of the second has not yet arrived.	The fulfilment of the second has not yet arrived.
2401_144485_000118_000005	These sums, united, make a total, if my calculation is correct, amounting to forty-one, ten, eleven and a half.	These sums, united, make a total, if my calculation is correct, amounting to forty one, ten, eleven and a half.
2401_144485_000118_000006	My friend Copperfield will perhaps do me the favour to check that total?'	My friend Copperfield will perhaps do me the favour to check that total?'
2401_144485_000119_000000	I did so and found it correct.	I did so and found it correct.
2401_144485_000120_000000	'To leave this metropolis,' said Mr. Micawber, 'and my friend Mr. Thomas Traddles, without acquitting myself of the pecuniary part of this obligation, would weigh upon my mind to an insupportable extent.	'To leave this metropolis,' said mr Micawber, 'and my friend mr Thomas Traddles, without acquitting myself of the pecuniary part of this obligation, would weigh upon my mind to an insupportable extent.
2401_144485_000120_000001	I have, therefore, prepared for my friend Mr. Thomas Traddles, and I now hold in my hand, a document, which accomplishes the desired object.	I have, therefore, prepared for my friend mr Thomas Traddles, and I now hold in my hand, a document, which accomplishes the desired object.
2401_144485_000121_000000	With this introduction (which greatly affected him), Mr. Micawber placed his I.O.U. in the hands of Traddles, and said he wished him well in every relation of life.	With this introduction (which greatly affected him), mr Micawber placed his i o u in the hands of Traddles, and said he wished him well in every relation of life.
2401_144485_000121_000001	I am persuaded, not only that this was quite the same to Mr. Micawber as paying the money, but that Traddles himself hardly knew the difference until he had had time to think about it.	I am persuaded, not only that this was quite the same to mr Micawber as paying the money, but that Traddles himself hardly knew the difference until he had had time to think about it.
2401_144485_000121_000002	Mr. Micawber walked so erect before his fellow man, on the strength of this virtuous action, that his chest looked half as broad again when he lighted us downstairs.	mr Micawber walked so erect before his fellow man, on the strength of this virtuous action, that his chest looked half as broad again when he lighted us downstairs.
2401_144485_000121_000003	We parted with great heartiness on both sides; and when I had seen Traddles to his own door, and was going home alone, I thought, among the other odd and contradictory things I mused upon, that, slippery as Mr. Micawber was, I was probably indebted to some compassionate recollection he retained of me as his boy-lodger, for never having been asked by him for money.	We parted with great heartiness on both sides; and when I had seen Traddles to his own door, and was going home alone, I thought, among the other odd and contradictory things I mused upon, that, slippery as mr Micawber was, I was probably indebted to some compassionate recollection he retained of me as his boy lodger, for never having been asked by him for money.
