3046_148993_000000_000000	Chapter 19.	Chapter nineteen.	true	13.65	14.91	18
3046_148993_000055_000000	'Yes, by Jove! we fellows will have to look out or you'll carry off all the honours.	'Yes, by Jove! we fellows will have to look out or you'll carry off all the honours.	true	1065.11	1070.74	23.006021
3046_148993_000055_000001	You were superb today, and held us all like magic, though it was so hot there, I really think I couldn't have stood it for anyone else,' added Dolly, labouring to be gallant and really offering a touching proof of devotion; for the heat melted his collar, took the curl out of his hair, and ruined his gloves.	You were superb today, and held us all like magic, though it was so hot there, I really think I couldn't have stood it for anyone else,' added Dolly, labouring to be gallant and really offering a touching proof of devotion; for the heat melted his collar, took the curl out of his hair, and ruined his gloves.	true	1070.87	1088.89	23.40091
3046_148993_000056_000000	'There is room for all; and if you will leave us the books, we will cheerfully yield the baseball, boating, dancing, and flirting, which seem to be the branches you prefer,' answered Alice sweetly.	'There is room for all; and if you will leave us the books, we will cheerfully yield the baseball, boating, dancing, and flirting, which seem to be the branches you prefer,' answered Alice sweetly.	true	1088.89	1100.41	21
3046_148993_000057_000000	'Ah, now you are too hard upon us!	'Ah, now you are too hard upon us!	true	1100.69	1103.32	24.758978
3046_148993_000057_000001	We can't grind all the time and you ladies don't seem to mind taking a turn at the two latter "branches" you mention,' returned Dolly, with a glance at George which plainly said, 'I had her there.'	We can't grind all the time and you ladies don't seem to mind taking a turn at the two latter "branches" you mention,' returned Dolly, with a glance at George which plainly said, 'I had her there.'	true	1103.57	1114.45	20.388226
3046_148993_000058_000000	'Some of us do in our first years.	'Some of us do in our first years.	true	1115.36	1117.75	21.366163
3046_148993_000058_000001	Later we give up childish things, you see.	Later we give up childish things, you see.	true	1118.48	1121.17	25
3046_148993_000058_000002	Don't let me keep you from Parnassus'; and a smiling nod dismissed them, smarting under the bitter consciousness of youth.	Don't let me keep you from Parnassus'; and a smiling nod dismissed them, smarting under the bitter consciousness of youth.	false	1121.42	1128.88	22.271353
3046_148993_000059_000000	'You got it there, Doll.	'You got it there, Doll.	true	1129.79	1131.31	27.301928
3046_148993_000059_000001	Better not try to fence with these superior girls.	Better not try to fence with these superior girls.	true	1131.71	1135.15	25
3046_148993_000059_000002	Sure to be routed, horse, foot, and dragoons,' said Stuffy, lumbering away, somewhat cross with too many spreads.	Sure to be routed, horse, foot, and dragoons,' said Stuffy, lumbering away, somewhat cross with too many spreads.	true	1135.19	1142.41	21.991663
3046_148993_000060_000000	'So deuced sarcastic!	'So deuced sarcastic!	true	1142.84	1145.19	24.993845
3046_148993_000060_000001	Don't believe she's much older than we are. Girls grow up quicker, so she needn't put on airs and talk like a grandmother,' muttered Dolly, feeling that he had sacrificed his kids upon the altar of an ungrateful Pallas.	Don't believe she's much older than we are. Girls grow up quicker, so she needn't put on airs and talk like a grandmother,' muttered Dolly, feeling that he had sacrificed his kids upon the altar of an ungrateful Pallas.	false	1145.19	1159.26	23.102158
3046_148993_000061_000000	'Come along and let's find something to eat.	'Come along and let's find something to eat.	true	1159.26	1161.88	17.056631
3046_148993_000061_000001	I'm faint with so much talking.	I'm faint with so much talking.	true	1161.88	1163.98	28.39455
3046_148993_000061_000002	Old Plock cornered me and made my head spin with Kant and Hegel and that lot.'	Old Plock cornered me and made my head spin with Kant and Hegel and that lot.'	true	1164.14	1169.08	26
3046_148993_000062_000000	'I promised Dora West I'd give her a turn.	'I promised Dora West I'd give her a turn.	true	1169.87	1172.89	21.832546
3046_148993_000062_000001	Must look her up; she's a jolly little thing, and doesn't bother about anything but keeping in step.'	Must look her up; she's a jolly little thing, and doesn't bother about anything but keeping in step.'	true	1172.99	1179.07	21.45342
3046_148993_000063_000000	And arm in arm the boys strolled away, leaving Alice to read music as diligently as if society had indeed no charms for her.	And arm in arm the boys strolled away, leaving Alice to read music as diligently as if society had indeed no charms for her.	false	1179.17	1187.86	18.775003
3046_148993_000063_000001	As she bent to turn a page, the eager young man behind the piano saw the rose and was struck speechless with delight.	As she bent to turn a page, the eager young man behind the piano saw the rose and was struck speechless with delight.	true	1188.2	1194.88	22.355509
3046_148993_000063_000002	A moment he gazed, then hastened to seize the coveted place before a new detachment of bores arrived.	A moment he gazed, then hastened to seize the coveted place before a new detachment of bores arrived.	true	1195.16	1201.15	21
3046_148993_000064_000000	'Alice, I can't believe it--did you understand--how shall I ever thank you?' murmured Demi, bending as if he, too, read the song, not a note or word of which did he see, however.	'Alice, I can't believe it-did you understand-how shall I ever thank you?' murmured Demi, bending as if he, too, read the song, not a note or word of which did he see, however.	true	1201.55	1216	20.588156
3046_148993_000065_000000	'Hush! not now.	'Hush! not now.	true	1216.28	1218.4	19.080288
3046_148993_000065_000001	I understood--I don't deserve it--we are too young, we must wait, but--I'm very proud and happy, John!'	I understood-I don't deserve it-we are too young, we must wait, but-I'm very proud and happy, john!'	true	1218.62	1226.92	24.155546
3046_148993_000066_000000	What would have happened after that tender whisper I tremble to think, if Tom Bangs had not come bustling up, with the cheerful remark:	What would have happened after that tender whisper I tremble to think, if Tom Bangs had not come bustling up, with the cheerful remark:	false	1228.16	1236.81	22.347029
3046_148993_000067_000000	'Music?	'Music?	true	1236.81	1237.77	33.173843
3046_148993_000067_000001	just the thing.	just the thing.	true	1237.77	1238.95	19.404005
3046_148993_000067_000002	People are thinning out, and we all want a little refreshment.	People are thinning out, and we all want a little refreshment.	true	1238.96	1242.37	21
3046_148993_000067_000003	My brain fairly reels with the 'ologies and 'isms I've heard discussed tonight.	My brain fairly reels with the 'ologies and 'isms I've heard discussed tonight.	true	1242.47	1247.74	22.74641
3046_148993_000067_000004	Yes, give us this; sweet thing!	Yes, give us this; sweet thing!	true	1247.84	1250.02	28.292702
3046_148993_000067_000005	Scotch songs are always charming.'	Scotch songs are always charming.'	true	1250.42	1252.81	20.8416
3046_148993_000068_000000	Demi glowered; but the obtuse boy never saw it, and Alice, feeling that this would be a safe vent for sundry unruly emotions, sat down at once, and sang the song which gave her answer better than she could have done:	Demi glowered; but the obtuse boy never saw it, and Alice, feeling that this would be a safe vent for sundry unruly emotions, sat down at once, and sang the song which gave her answer better than she could have done:	false	1253.51	1266.37	22.06582
3046_148993_000069_000000	BIDE A WEE	BIDE A WEE	true	1266.8	1268.07	26.706835
3046_148993_000070_000000	'The puir auld folk at home, ye mind, Are frail and failing sair; And weel I ken they'd miss me, lad, Gin I come hame nae mair. The grist is out, the times are hard, The kine are only three; I canna leave the auld folk now. We'd better bide a wee.	'The puir auld folk at home, ye mind, Are frail and failing sair; And weel I ken they'd miss me, lad, Gin I come hame nae mair. The grist is out, the times are hard, The kine are only three; I canna leave the auld folk now. We'd better bide a wee.	false	1268.07	1289.29	21.38534
3046_148993_000071_000000	'I fear me sair they're failing baith; For when I sit apart, They talk o' Heaven so earnestly, It well nigh breaks my heart. So, laddie, dinna urge me now, It surely winna be; I canna leave the auld folk yet. We'd better bide a wee.'	'I fear me sair they're failing baith; For when I sit apart, They talk o' Heaven so earnestly, It well nigh breaks my heart. So, laddie, dinna urge me now, It surely winna be; I canna leave the auld folk yet. We'd better bide a wee.'	true	1290.11	1310.86	23.229607
3046_148993_000072_000000	The room was very still before the first verse ended; and Alice skipped the next, fearing she could not get through; for John's eyes were on her, showing that he knew she sang for him and let the plaintive little ballad tell what her reply must be.	The room was very still before the first verse ended; and Alice skipped the next, fearing she could not get through; for John's eyes were on her, showing that he knew she sang for him and let the plaintive little ballad tell what her reply must be.	true	1311.71	1326.88	20.78423
3046_148993_000072_000001	He took it as she meant it, and smiled at her so happily that her heart got the better of her voice, and she rose abruptly, saying something about the heat.	He took it as she meant it, and smiled at her so happily that her heart got the better of her voice, and she rose abruptly, saying something about the heat.	true	1327.55	1336.96	22.43291
3046_148993_000073_000000	'Yes, you are tired; come out and rest, my dearest'; and with a masterful air Demi took her into the starlight, leaving Tom to stare after them winking as if a sky-rocket had suddenly gone off under his nose.	'Yes, you are tired; come out and rest, my dearest'; and with a masterful air Demi took her into the starlight, leaving Tom to stare after them winking as if a sky rocket had suddenly gone off under his nose.	true	1337.09	1351.12	22.787222
3046_148993_000074_000000	'Bless my soul! the Deacon really meant business last summer and never told me.	'Bless my soul! the Deacon really meant business last summer and never told me.	true	1351.34	1356.97	22.188456
3046_148993_000074_000001	Won't Dora laugh?' And Tom departed in hot haste to impart and exult over his discovery.	Won't Dora laugh?' And Tom departed in hot haste to impart and exult over his discovery.	true	1357.22	1363.84	24.610468
3046_148993_000075_000000	What was said in the garden was never exactly known; but the Brooke family sat up very late that night, and any curious eye at the window would have seen Demi receiving the homage of his womankind as he told his little romance.	What was said in the garden was never exactly known; but the Brooke family sat up very late that night, and any curious eye at the window would have seen Demi receiving the homage of his womankind as he told his little romance.	true	1365.14	1379.47	23
3046_148993_000075_000001	Josie took great credit to herself in the matter, insisting that she had made the match; Daisy was full of the sweetest sympathy and joy, and Mrs Meg so happy that when Jo had gone to dream of bridal veils, and Demi sat in his room blissfully playing the air of 'Bide a Wee', she had her talk about Nat, ending with her arms round her dutiful daughter and these welcome words as her reward:	Josie took great credit to herself in the matter, insisting that she had made the match; Daisy was full of the sweetest sympathy and joy, and Mrs Meg so happy that when Jo had gone to dream of bridal veils, and Demi sat in his room blissfully playing the air of 'Bide a Wee', she had her talk about Nat, ending with her arms round her dutiful daughter and these welcome words as her reward:	true	1379.87	1406.77	22.678883
3046_148993_000076_000000	'Wait till Nat comes home, and then my good girl shall wear white roses too.'	'Wait till Nat comes home, and then my good girl shall wear white roses too.'	false	1407.05	1411.65	25.382738
3046_148993_000077_000000	Chapter 20.	Chapter twenty.	false	1411.65	1411.65	
3046_148993_000077_000001	LIFE FOR LIFE	LIFE FOR LIFE	false	1411.65	1411.65	
3046_148993_000078_000000	The summer days that followed were full of rest and pleasure for young and old, as they did the honours of Plumfield to their happy guests. While Franz and Emil were busy with the affairs of Uncle Hermann and Captain Hardy, Mary and Ludmilla made friends everywhere; for, though very unlike, both were excellent and charming girls.	The summer days that followed were full of rest and pleasure for young and old, as they did the honours of Plumfield to their happy guests. While Franz and Emil were busy with the affairs of Uncle Hermann and Captain Hardy, Mary and Ludmilla made friends everywhere; for, though very unlike, both were excellent and charming girls.	false	1411.65	1414.98	20.749647
3046_148993_000078_000001	Mrs Meg and Daisy found the German bride a Hausfrau after their own hearts, and had delightful times learning new dishes, hearing about the semi-yearly washes and the splendid linen-room at Hamburg, or discussing domestic life in all its branches.	Mrs Meg and Daisy found the German bride a Hausfrau after their own hearts, and had delightful times learning new dishes, hearing about the semi yearly washes and the splendid linen room at Hamburg, or discussing domestic life in all its branches.	false	1414.98	1417.44	-20
3046_148993_000078_000002	Ludmilla not only taught, but learned, many things, and went home with many new and useful ideas in her blonde head.	Ludmilla not only taught, but learned, many things, and went home with many new and useful ideas in her blonde head.	false	1417.44	1418.7	-20
