4111_184447_000000_000000	Leaf III.	Leaf three.	false	0.66	30.16	20.279327
4111_184447_000040_000000	"A real cricket-ball and bat, lover, and an engine with five carriages, a rake and a spade and a hoe, two guns that pop a new way, and something that squirts water, and some other things.	"A real cricket ball and bat, lover, and an engine with five carriages, a rake and a spade and a hoe, two guns that pop a new way, and something that squirts water, and some other things.	false	1093.1	1103.98	19
4111_184447_000040_000001	Will that be enough?" I hugged him up anxiously, for sometimes he is hard to please, and I might not have got the very thing he wanted.	Will that be enough?" I hugged him up anxiously, for sometimes he is hard to please, and I might not have got the very thing he wanted.	false	1104.08	1112.11	19.904167
4111_184447_000041_000000	"Thank you, Molly, all them things is what I want, but you oughter have bringed more'n that for three days not being here with me."	"Thank you, Molly, all them things is what I want, but you oughter have bringed more'n that for three days not being here with me."	false	1112.63	1119.58	13
4111_184447_000042_000000	Did any woman ever have a more lovely lover than that?	Did any woman ever have a more lovely lover than that?	true	1120.19	1124.08	17
4111_184447_000042_000001	I don't know how long I should have rocked him in the twilight if Dr. John's voice hadn't come across the hall in command.	I don't know how long I should have rocked him in the twilight if dr John's voice hadn't come across the hall in command.	true	1124.69	1131.19	15
4111_184447_000043_000000	"Put him down now, Mrs. Molly, and come and say other how-do-you-does," he called softly.	"Put him down now, mrs Molly, and come and say other how do you does," he called softly.	false	1131.74	1137.13	15.922791
4111_184447_000044_000000	It was a funny glad-to-see-him I felt as I came into the surgery where he was standing over by the window looking out at my garden in its twilight glow.	It was a funny glad to see him I felt as I came into the surgery where he was standing over by the window looking out at my garden in its twilight glow.	false	1137.89	1146.85	12
4111_184447_000044_000001	I gave him my hand and a good deal more of a smile and a blush than I intended.	I gave him my hand and a good deal more of a smile and a blush than I intended.	false	1147.52	1152.52	14
4111_184447_000045_000000	He very far from kissed the hand; he held it just long enough to turn me round into the light and give me one long looking-over from head to feet.	He very far from kissed the hand; he held it just long enough to turn me round into the light and give me one long looking over from head to feet.	true	1153.07	1162.6	18
4111_184447_000046_000000	"Just where does that corset press you worst?" he asked in the tone of voice he uses to say "put out your tongue." So much of my bad temper rose to my face that it is a wonder it didn't make a scar; but I was cold enough to all outward appearances.	"Just where does that corset press you worst?" he asked in the tone of voice he uses to say "put out your tongue." So much of my bad temper rose to my face that it is a wonder it didn't make a scar; but I was cold enough to all outward appearances.	false	1163.09	1178.62	21
4111_184447_000047_000000	"I am making a call on a friend, Dr. Moore, and not a consultation visit to my physician," I said, looking into his face as though I had never seen him before.	"I am making a call on a friend, dr Moore, and not a consultation visit to my physician," I said, looking into his face as though I had never seen him before.	false	1179.5	1190.11	16
4111_184447_000048_000000	"I beg your pardon, Molly," he exclaimed, and his face was redder than mine, and then it went white with mortification.	"I beg your pardon, Molly," he exclaimed, and his face was redder than mine, and then it went white with mortification.	true	1190.51	1198.01	19.154877
4111_184447_000048_000001	I couldn't stand that.	I couldn't stand that.	true	1198.01	1199.92	21
4111_184447_000049_000000	"Don't do that!" I exclaimed, and before I knew it I had taken hold of his hand, and had it in both of mine.	"Don't do that!" I exclaimed, and before I knew it I had taken hold of his hand, and had it in both of mine.	false	1200.5	1207.03	18
4111_184447_000049_000001	"I know I look as if I was shrunk or laced, but I'm not!	"I know I look as if I was shrunk or laced, but I'm not!	true	1207.46	1210.83	14
4111_184447_000049_000002	I was going to tell you all about it.	I was going to tell you all about it.	true	1210.83	1212.78	17
4111_184447_000049_000003	I'm really inches bigger in the right place, and just--just 'controlled,' the woman called it, in the wrong place."	I'm really inches bigger in the right place, and just-just 'controlled,' the woman called it, in the wrong place."	false	1212.78	1220.2	21.143091
4111_184447_000050_000000	The blood came back into his face, and he laughed as he gave me a little shake that pushed me away from him.	The blood came back into his face, and he laughed as he gave me a little shake that pushed me away from him.	true	1221.32	1227.49	18
4111_184447_000050_000001	"Don't you ever scare me like that again, child, or it might be serious," he said in the Billy-and-me tone of voice that I like a little, only--	"Don't you ever scare me like that again, child, or it might be serious," he said in the Billy and me tone of voice that I like a little, only-	true	1228.07	1237.24	16
4111_184447_000051_000000	"I never will," I said in a hurry; "I want you to ask me anything in the world you want to, and I'll always do it."	"I never will," I said in a hurry; "I want you to ask me anything in the world you want to, and I'll always do it."	true	1238	1243.96	17
4111_184447_000052_000000	"Well, let me take you home through the garden then--and, yes, I believe I'll stay to supper with Mrs. Henderson.	"Well, let me take you home through the garden then-and, yes, I believe I'll stay to supper with mrs Henderson.	false	1244.66	1251.1	19.30028
4111_184447_000052_000001	Don't you want to tell me what a little girl like you did in a big city, and--and read me part of that Paris letter I saw the postman give Jane this afternoon?"	Don't you want to tell me what a little girl like you did in a big city, and-and read me part of that Paris letter I saw the postman give Jane this afternoon?"	true	1251.35	1260.76	20
4111_184447_000053_000000	Again I ask myself the question why his friendliness to Alfred Bennett's letters always makes me so instantly cross.	Again I ask myself the question why his friendliness to Alfred Bennett's letters always makes me so instantly cross.	true	1261.52	1269	17
4111_184447_000054_000000	Leaf IV.	Leaf i v.	false	1269	1269.18	-8
4111_184447_000055_000000	Sleep is one of the most delightful and undervalued amusements known to the human race.	Sleep is one of the most delightful and undervalued amusements known to the human race.	false	1269.18	1270.11	-20
4111_184447_000055_000001	I have never had enough yet, and every second of time that I'm not busy with something interesting, I curl up on the bed and go dream-hunting--only I sleep too hard to do much catching.	I have never had enough yet, and every second of time that I'm not busy with something interesting, I curl up on the bed and go dream hunting-only I sleep too hard to do much catching.	false	1270.11	1271.79	21.099325
4111_184447_000055_000002	But this torture book found that out about me, and stopped it the very first thing on page three.	But this torture book found that out about me, and stopped it the very first thing on page three.	false	1271.79	1277.28	11.489078
4111_184447_000055_000003	The command is to sleep as little as possible to keep the nerves in a good condition--"eight hours at the most, and seven would be better." What earthly good would a seven-hour nap do me?	The command is to sleep as little as possible to keep the nerves in a good condition-"eight hours at the most, and seven would be better." What earthly good would a seven hour nap do me?	false	1277.28	1277.28	
4111_184447_000055_000004	I want ten hours to sleep and twelve if I get a good tired start.	I want ten hours to sleep and twelve if I get a good tired start.	false	1277.28	1277.28	
4111_184447_000055_000005	To see me stagger out of my perfectly nice bed at six o'clock every morning now would wring the sternest heart with compassion and admiration at my faithfulness--to whom?	To see me stagger out of my perfectly nice bed at six o'clock every morning now would wring the sternest heart with compassion and admiration at my faithfulness-to whom?	false	1277.28	1277.28	
