3482_170453_000000_000000	THE WOUNDED STAG.	THE WOUNDED STAG.	false	0	1.65	100
3482_170453_000027_000000	To feel the full force of this last sentence--to show how steady and vivid was the impression which Miss Bronte made on those fitted to appreciate her--I must mention that the writer of this letter, dated January 18th, 1856, in which she thus speaks of constantly referring to Charlotte's opinion has never seen her for eleven years, nearly all of which have been passed among strange scenes, in a new continent, at the antipodes.	To feel the full force of this last sentence-to show how steady and vivid was the impression which Miss Bronte made on those fitted to appreciate her-I must mention that the writer of this letter, dated january eighteenth eighteen fifty six, in which she thus speaks of constantly referring to Charlotte's opinion has never seen her for eleven years, nearly all of which have been passed among strange scenes, in a new continent, at the antipodes.	true	1147.79	1175.11	21.534058
3482_170453_000028_000000	"We used to be furious politicians, as one could hardly help being in 1832.	"We used to be furious politicians, as one could hardly help being in eighteen thirty two.	true	1175.93	1181.5	23.371752
3482_170453_000028_000001	She knew the names of the two ministries; the one that resigned, and the one that succeeded and passed the Reform Bill.	She knew the names of the two ministries; the one that resigned, and the one that succeeded and passed the Reform Bill.	false	1182.02	1189.57	21.326363
3482_170453_000028_000002	She worshipped the Duke of Wellington, but said that Sir Robert Peel was not to be trusted; he did not act from principle like the rest, but from expediency.	She worshipped the Duke of Wellington, but said that Sir Robert Peel was not to be trusted; he did not act from principle like the rest, but from expediency.	true	1189.64	1200.43	23.304916
3482_170453_000028_000003	I, being of the furious radical party, told her 'how could any of them trust one another; they were all of them rascals!' Then she would launch out into praises of the Duke of Wellington, referring to his actions; which I could not contradict, as I knew nothing about him.	I, being of the furious radical party, told her 'how could any of them trust one another; they were all of them rascals!' Then she would launch out into praises of the Duke of Wellington, referring to his actions; which I could not contradict, as I knew nothing about him.	false	1201.31	1218.31	21.932295
3482_170453_000028_000004	She said she had taken interest in politics ever since she was five years old.	She said she had taken interest in politics ever since she was five years old.	false	1218.68	1223.65	22.951813
3482_170453_000028_000005	She did not get her opinions from her father--that is, not directly--but from the papers, &c., he preferred."	She did not get her opinions from her father-that is, not directly-but from the papers, and c., he preferred."	false	1223.72	1231.36	24.248405
3482_170453_000029_000000	In illustration of the truth of this, I may give an extract from a letter to her brother, written from Roe Head, May 17th, 1832:--"Lately I had begun to think that I had lost all the interest which I used formerly to take in politics; but the extreme pleasure I felt at the news of the Reform Bill's being thrown out by the House of Lords, and of the expulsion, or resignation of Earl Grey, &c., convinced me that I have not as yet lost all my penchant for politics.	In illustration of the truth of this, I may give an extract from a letter to her brother, written from Roe Head, may seventeenth eighteen thirty two:--"Lately I had begun to think that I had lost all the interest which I used formerly to take in politics; but the extreme pleasure I felt at the news of the Reform Bill's being thrown out by the House of Lords, and of the expulsion, or resignation of Earl Grey, and c., convinced me that I have not as yet lost all my penchant for politics.	false	1232.72	1267.93	21.505888
3482_170453_000029_000001	I am extremely glad that aunt has consented to take in 'Fraser's Magazine;' for, though I know from your description of its general contents it will be rather uninteresting when compared with 'Blackwood,' still it will be better than remaining the whole year without being able to obtain a sight of any periodical whatever; and such would assuredly be our case, as, in the little wild moorland village where we reside, there would be no possibility of borrowing a work of that description from a circulating library.	I am extremely glad that aunt has consented to take in 'Fraser's Magazine;' for, though I know from your description of its general contents it will be rather uninteresting when compared with 'Blackwood,' still it will be better than remaining the whole year without being able to obtain a sight of any periodical whatever; and such would assuredly be our case, as, in the little wild moorland village where we reside, there would be no possibility of borrowing a work of that description from a circulating library.	false	1269.11	1302.28	23.622057
3482_170453_000029_000002	I hope with you that the present delightful weather may contribute to the perfect restoration of our dear papa's health; and that it may give aunt pleasant reminiscences of the salubrious climate of her native place," &c.	I hope with you that the present delightful weather may contribute to the perfect restoration of our dear papa's health; and that it may give aunt pleasant reminiscences of the salubrious climate of her native place," and c.	false	1302.74	1318.44	24.350473
3482_170453_000030_000000	To return to "Mary's" letter.	To return to "Mary's" letter.	true	1318.44	1320.46	19.028446
3482_170453_000031_000000	"She used to speak of her two elder sisters, Maria and Elizabeth, who died at Cowan Bridge.	"She used to speak of her two elder sisters, Maria and Elizabeth, who died at Cowan Bridge.	true	1321.7	1327.93	22.618425
3482_170453_000031_000001	I used to believe them to have been wonders of talent and kindness.	I used to believe them to have been wonders of talent and kindness.	true	1328.48	1332.64	23.11797
3482_170453_000031_000002	She told me, early one morning, that she had just been dreaming; she had been told that she was wanted in the drawing-room, and it was Maria and Elizabeth.	She told me, early one morning, that she had just been dreaming; she had been told that she was wanted in the drawing room, and it was Maria and Elizabeth.	false	1333.07	1343.47	20.366594
3482_170453_000031_000003	I was eager for her to go on, and when she said there was no more, I said, 'but go on!	I was eager for her to go on, and when she said there was no more, I said, 'but go on!	true	1343.96	1349.37	21.722584
3482_170453_000031_000004	_Make it out_!	underscore Make it out underscore!	false	1349.37	1350.36	22.630169
3482_170453_000031_000005	I know you can.' She said she would not; she wished she had not dreamed, for it did not go on nicely, they were changed; they had forgotten what they used to care for.	I know you can.' She said she would not; she wished she had not dreamed, for it did not go on nicely, they were changed; they had forgotten what they used to care for.	false	1350.36	1361.38	21.54683
3482_170453_000031_000006	They were very fashionably dressed, and began criticising the room, &c.	They were very fashionably dressed, and began criticising the room, and c.	false	1361.66	1367.58	20.437737
3482_170453_000032_000000	"This habit of 'making out' interests for themselves that most children get who have none in actual life, was very strong in her.	"This habit of 'making out' interests for themselves that most children get who have none in actual life, was very strong in her.	true	1367.58	1375.48	20.236452
3482_170453_000032_000001	The whole family used to 'make out' histories, and invent characters and events.	The whole family used to 'make out' histories, and invent characters and events.	false	1375.97	1381.03	21.763926
3482_170453_000032_000002	I told her sometimes they were like growing potatoes in a cellar.	I told her sometimes they were like growing potatoes in a cellar.	true	1381.28	1385.47	23.196873
3482_170453_000032_000003	She said, sadly, 'Yes!	She said, sadly, 'Yes!	true	1386.05	1388.4	20.915455
3482_170453_000032_000004	I know we are!'	I know we are!'	true	1388.4	1389.37	20.171684
3482_170453_000033_000000	"Some one at school said she 'was always talking about clever people; Johnson, Sheridan, &c.' She said, 'Now you don't know the meaning of _clever_, Sheridan might be clever; yes, Sheridan was clever,--scamps often are; but Johnson hadn't a spark of cleverality in him.' No one appreciated the opinion; they made some trivial remark about '_cleverality_,' and she said no more.	"Some one at school said she 'was always talking about clever people; Johnson, Sheridan, and c.' She said, 'Now you don't know the meaning of underscore clever underscore, Sheridan might be clever; yes, Sheridan was clever,--scamps often are; but Johnson hadn't a spark of cleverality in him.' No one appreciated the opinion; they made some trivial remark about 'underscore cleverality underscore,' and she said no more.	false	1391.45	1417.69	21.704388
3482_170453_000034_000000	"This is the epitome of her life.	"This is the epitome of her life.	true	1419.38	1421.91	23.420706
3482_170453_000034_000001	At our house she had just as little chance of a patient hearing, for though not school-girlish, we were more intolerant.	At our house she had just as little chance of a patient hearing, for though not school girlish, we were more intolerant.	false	1421.91	1430.65	20.15115
3482_170453_000034_000002	We had a rage for practicality, and laughed all poetry to scorn.	We had a rage for practicality, and laughed all poetry to scorn.	true	1431.17	1436.08	24.511398
3482_170453_000034_000003	Neither she nor we had any idea but that our opinions were the opinions of all the _sensible_ people in the world, and we used to astonish each other at every sentence . . .	Neither she nor we had any idea but that our opinions were the opinions of all the underscore sensible underscore people in the world, and we used to astonish each other at every sentence . . .	false	1436.33	1448.35	21.627844
3482_170453_000034_000004	Charlotte, at school, had no plan of life beyond what circumstances made for her.	Charlotte, at school, had no plan of life beyond what circumstances made for her.	true	1449.17	1454.71	24.88099
3482_170453_000034_000005	She knew that she must provide for herself, and chose her trade; at least chose to begin it once.	She knew that she must provide for herself, and chose her trade; at least chose to begin it once.	true	1455.35	1462.09	21.793123
3482_170453_000034_000006	Her idea of self-improvement ruled her even at school.	Her idea of self improvement ruled her even at school.	true	1462.4	1466.32	23.1481
3482_170453_000034_000007	It was to cultivate her tastes.	It was to cultivate her tastes.	true	1466.72	1468.78	22.980074
3482_170453_000034_000008	She always said there was enough of hard practicality and _useful_ knowledge forced on us by necessity, and that the thing most needed was to soften and refine our minds.	She always said there was enough of hard practicality and underscore useful underscore knowledge forced on us by necessity, and that the thing most needed was to soften and refine our minds.	false	1469.09	1480	21.175444
3482_170453_000034_000009	She picked up every scrap of information concerning painting, sculpture, poetry, music, &c., as if it were gold."	She picked up every scrap of information concerning painting, sculpture, poetry, music, and c., as if it were gold."	false	1480.43	1488.4	24.26
3482_170453_000035_000000	What I have heard of her school days from other sources, confirms the accuracy of the details in this remarkable letter.	What I have heard of her school days from other sources, confirms the accuracy of the details in this remarkable letter.	true	1489.25	1496.56	22
3482_170453_000035_000001	She was an indefatigable student: constantly reading and learning; with a strong conviction of the necessity and value of education, very unusual in a girl of fifteen.	She was an indefatigable student: constantly reading and learning; with a strong conviction of the necessity and value of education, very unusual in a girl of fifteen.	true	1497.17	1508.83	20.32375
3482_170453_000035_000002	She never lost a moment of time, and seemed almost to grudge the necessary leisure for relaxation and play-hours, which might be partly accounted for by the awkwardness in all games occasioned by her shortness of sight.	She never lost a moment of time, and seemed almost to grudge the necessary leisure for relaxation and play hours, which might be partly accounted for by the awkwardness in all games occasioned by her shortness of sight.	true	1509.29	1523.02	23.140692
3482_170453_000035_000003	Yet, in spite of these unsociable habits, she was a great favourite with her school-fellows.	Yet, in spite of these unsociable habits, she was a great favourite with her school fellows.	true	1523.69	1529.89	22.229227
3482_170453_000035_000004	She was always ready to try and do what they wished, though not sorry when they called her awkward, and left her out of their sports.	She was always ready to try and do what they wished, though not sorry when they called her awkward, and left her out of their sports.	false	1530.38	1537.63	22.313194
3482_170453_000035_000005	Then, at night, she was an invaluable story-teller, frightening them almost out of their wits as they lay in bed.	Then, at night, she was an invaluable story teller, frightening them almost out of their wits as they lay in bed.	false	1537.94	1545.1	22.910707
3482_170453_000035_000006	On one occasion the effect was such that she was led to scream out aloud, and Miss W---, coming up stairs, found that one of the listeners had been seized with violent palpitations, in consequence of the excitement produced by Charlotte's story.	On one occasion the effect was such that she was led to scream out aloud, and Miss W---, coming up stairs, found that one of the listeners had been seized with violent palpitations, in consequence of the excitement produced by Charlotte's story.	false	1545.59	1569.12	22.3225
