340_124368_000000_000000	Yours as ever,	Yours as ever,	false	10.2	14.625	23.833885
340_124368_000042_000000	Now and here let me guard a little against being misunderstood.	Now and here let me guard a little against being misunderstood.	true	1247.81	1252.51	19.192041
340_124368_000042_000001	I do not mean to say we are bound to follow implicitly in whatever our fathers did.	I do not mean to say we are bound to follow implicitly in whatever our fathers did.	true	1253.15	1258.57	15
340_124368_000042_000002	To do so would be to discard all the lights of current experience to reject all progress, all improvement.	To do so would be to discard all the lights of current experience to reject all progress, all improvement.	true	1259.21	1267.27	19.938513
340_124368_000042_000003	What I do say is that, if we would supplant the opinions and policy of our fathers in any case, we should do so upon evidence so conclusive, and argument so clear, that even their great authority, fairly considered and weighed, cannot stand; and most surely not in a case whereof we ourselves declare they understood the question better than we.	What I do say is that, if we would supplant the opinions and policy of our fathers in any case, we should do so upon evidence so conclusive, and argument so clear, that even their great authority, fairly considered and weighed, cannot stand; and most surely not in a case whereof we ourselves declare they understood the question better than we.	false	1267.88	1291.03	19.28802
340_124368_000043_000000	If any man at this day sincerely believes that proper division of local from Federal authority, or any part of the Constitution, forbids the Federal Government to control as to slavery in the Federal Territories, he is right to say so, and to enforce his position by all truthful evidence and fair argument which he can.	If any man at this day sincerely believes that proper division of local from Federal authority, or any part of the Constitution, forbids the Federal Government to control as to slavery in the Federal Territories, he is right to say so, and to enforce his position by all truthful evidence and fair argument which he can.	false	1291.94	1311.22	17
340_124368_000043_000001	But he has no right to mislead others who have less access to history, and less leisure to study it, into the false belief that "our fathers who framed the Government under which we live" were of the same opinion thus substituting falsehood and deception for truthful evidence and fair argument.	But he has no right to mislead others who have less access to history, and less leisure to study it, into the false belief that "our fathers who framed the Government under which we live" were of the same opinion thus substituting falsehood and deception for truthful evidence and fair argument.	true	1311.32	1330.24	19.349438
340_124368_000043_000002	If any man at this day sincerely believes "our fathers, who framed the Government under which we live," used and applied principles, in other cases, which ought to have led them to understand that a proper division of local from Federal authority, or some part of the Constitution, forbids the Federal Government to control as to slavery in the Federal Territories, he is right to say so.	If any man at this day sincerely believes "our fathers, who framed the Government under which we live," used and applied principles, in other cases, which ought to have led them to understand that a proper division of local from Federal authority, or some part of the Constitution, forbids the Federal Government to control as to slavery in the Federal Territories, he is right to say so.	true	1330.43	1353.13	17
340_124368_000043_000003	But he should, at the same time, brave the responsibility of declaring that, in his opinion, he understands their principles better than they did themselves; and especially should he not shirk that responsibility by asserting that they "understood the question just as well, and even better than we do now."	But he should, at the same time, brave the responsibility of declaring that, in his opinion, he understands their principles better than they did themselves; and especially should he not shirk that responsibility by asserting that they "understood the question just as well, and even better than we do now."	true	1353.13	1372.6	20
340_124368_000044_000000	But enough!	But enough!	true	1373.36	1374.49	19.682888
340_124368_000044_000001	Let all who believe that "our fathers, who framed the Government under which we live, understood this question just as well, and even better than we do now," speak as they spoke, and act as they acted upon it.	Let all who believe that "our fathers, who framed the Government under which we live, understood this question just as well, and even better than we do now," speak as they spoke, and act as they acted upon it.	true	1374.53	1386.82	17
340_124368_000044_000002	This is all Republicans ask--all Republicans desire--in relation to slavery.	This is all Republicans ask-all Republicans desire-in relation to slavery.	true	1387.46	1393.12	21.061066
340_124368_000044_000003	As those fathers marked it, so let it be again marked, as an evil not to be extended, but to be tolerated and protected only because of, and so far as, its actual presence among us makes that toleration and protection a necessity.	As those fathers marked it, so let it be again marked, as an evil not to be extended, but to be tolerated and protected only because of, and so far as, its actual presence among us makes that toleration and protection a necessity.	true	1393.91	1409.71	19.48878
340_124368_000044_000004	Let all the guaranties those fathers gave it be not grudgingly, but fully and fairly maintained.	Let all the guaranties those fathers gave it be not grudgingly, but fully and fairly maintained.	true	1410.65	1417.36	17.783556
340_124368_000044_000005	For this Republicans contend, and with this, so far as I know or believe, they will be content.	For this Republicans contend, and with this, so far as I know or believe, they will be content.	true	1417.85	1424.83	19.277111
340_124368_000045_000000	And now, if they would listen--as I suppose they will not--I would address a few words to the Southern people.	And now, if they would listen-as I suppose they will not-I would address a few words to the Southern people.	true	1426.31	1434.1	18.439302
340_124368_000046_000000	I would say to them: You consider yourselves a reasonable and a just people; and I consider that in the general qualities of reason and justice you are not inferior to any other people.	I would say to them: You consider yourselves a reasonable and a just people; and I consider that in the general qualities of reason and justice you are not inferior to any other people.	true	1435.55	1448.38	16.435097
340_124368_000046_000001	Still, when you speak of us Republicans, you do so only to denounce us as reptiles, or, at the best, as no better than outlaws.	Still, when you speak of us Republicans, you do so only to denounce us as reptiles, or, at the best, as no better than outlaws.	true	1449.11	1459.15	20.986729
340_124368_000046_000002	You will grant a hearing to pirates or murderers, but nothing like it to "Black Republicans." In all your contentions with one another, each of you deems an unconditional condemnation of "Black Republicanism" as the first thing to be attended to.	You will grant a hearing to pirates or murderers, but nothing like it to "Black Republicans." In all your contentions with one another, each of you deems an unconditional condemnation of "Black Republicanism" as the first thing to be attended to.	true	1459.61	1474.9	19.31594
340_124368_000046_000003	Indeed, such condemnation of us seems to be an indispensable prerequisite license, so to speak among you, to be admitted or permitted to speak at all: Now; can you, or not, be prevailed upon to pause, and to consider whether this is quite just to us, or even to yourselves?	Indeed, such condemnation of us seems to be an indispensable prerequisite license, so to speak among you, to be admitted or permitted to speak at all: Now; can you, or not, be prevailed upon to pause, and to consider whether this is quite just to us, or even to yourselves?	false	1475.51	1495.66	18.816475
340_124368_000046_000004	Bring forward your charges and specifications, and then be patient long enough to hear us deny or justify.	Bring forward your charges and specifications, and then be patient long enough to hear us deny or justify.	true	1496.57	1503.7	18
340_124368_000047_000000	You say we are sectional.	You say we are sectional.	true	1505.36	1506.97	17.241936
340_124368_000047_000001	We deny it.	We deny it.	true	1507.37	1508.35	20
340_124368_000047_000002	That makes an issue; and the burden of proof is upon you.	That makes an issue; and the burden of proof is upon you.	true	1509.02	1513	20.328411
340_124368_000047_000003	You produce your proof; and what is it?	You produce your proof; and what is it?	true	1513.7	1516.18	19
340_124368_000047_000004	Why, that our party has no existence in your section--gets no votes in your section. The fact is substantially true; but does it prove the issue?	Why, that our party has no existence in your section-gets no votes in your section. The fact is substantially true; but does it prove the issue?	true	1517.33	1527.43	17.18602
340_124368_000047_000005	If it does, then in case we should, without change of principle, begin to get votes in your section, we should thereby cease to be sectional.	If it does, then in case we should, without change of principle, begin to get votes in your section, we should thereby cease to be sectional.	false	1528.1	1538.07	18.904509
340_124368_000047_000006	You cannot escape this conclusion; and yet, are you willing to abide by it?	You cannot escape this conclusion; and yet, are you willing to abide by it?	true	1538.07	1542.82	18.800255
340_124368_000047_000007	If you are, you will probably soon find that we have ceased to be sectional, for we shall get votes in your section this very year.	If you are, you will probably soon find that we have ceased to be sectional, for we shall get votes in your section this very year.	true	1543.58	1551.97	18.403795
340_124368_000047_000008	You will then begin to discover, as the truth plainly is, that your proof, does not touch the issue.	You will then begin to discover, as the truth plainly is, that your proof, does not touch the issue.	true	1552.82	1559.11	19.769058
340_124368_000047_000009	The fact that we get no votes in your section is a fact of your making, and not of ours.	The fact that we get no votes in your section is a fact of your making, and not of ours.	true	1559.39	1564.92	18
340_124368_000047_000010	And if there be fault in that fact, that fault is primarily yours, and remains so until you show that we repel you by, some wrong principle or practice.	And if there be fault in that fact, that fault is primarily yours, and remains so until you show that we repel you by, some wrong principle or practice.	false	1564.92	1575.49	18.563963
340_124368_000047_000011	If we do repel you by any wrong principle or practice, the fault is ours; but this brings you to where you ought to have started to a discussion of the right or wrong of our principle.	If we do repel you by any wrong principle or practice, the fault is ours; but this brings you to where you ought to have started to a discussion of the right or wrong of our principle.	true	1576.4	1587.7	18.785639
340_124368_000047_000012	If our principle, put in practice, would wrong your section for the benefit of ours, or for any other object, then our principle, and we with it, are sectional, and are justly opposed and denounced as such.	If our principle, put in practice, would wrong your section for the benefit of ours, or for any other object, then our principle, and we with it, are sectional, and are justly opposed and denounced as such.	true	1588.13	1602.43	20.769283
340_124368_000047_000013	Meet us, then, on the question of whether our principle, put in practice, would wrong your section; and so meet us as if it were possible that something may be said on our side.	Meet us, then, on the question of whether our principle, put in practice, would wrong your section; and so meet us as if it were possible that something may be said on our side.	false	1603.22	1615.3	19.730944
340_124368_000047_000014	Do you accept the challenge?	Do you accept the challenge?	true	1616.18	1617.94	21.153711
340_124368_000047_000015	No!	No!	true	1618.19	1618.9	19.990221
340_124368_000047_000016	Then you really believe that the principle which "our fathers who framed the Government under which we live" thought so clearly right as to adopt it, and indorse it again and again, upon their official oaths, is in fact so clearly wrong as to demand your condemnation without a moment's consideration.	Then you really believe that the principle which "our fathers who framed the Government under which we live" thought so clearly right as to adopt it, and indorse it again and again, upon their official oaths, is in fact so clearly wrong as to demand your condemnation without a moment's consideration.	false	1619.6	1637.26	15
340_124368_000048_000000	Some of you delight to flaunt in our faces the warning against sectional parties given by Washington in his Farewell Address.	Some of you delight to flaunt in our faces the warning against sectional parties given by Washington in his Farewell Address.	true	1637.57	1644.19	13
340_124368_000048_000001	Less than eight years before Washington gave that warning, he had, as President of the United States, approved and signed an act of Congress enforcing the prohibition of slavery in the Northwestern Territory, which act embodied the policy of the Government upon that subject up to, and at, the very moment he penned that warning; and about one year after he penned it, he wrote La Fayette that he considered that prohibition a wise measure, expressing in the same connection his hope that we should at some time have a confederacy of free States.	Less than eight years before Washington gave that warning, he had, as President of the United States, approved and signed an act of Congress enforcing the prohibition of slavery in the Northwestern Territory, which act embodied the policy of the Government upon that subject up to, and at, the very moment he penned that warning; and about one year after he penned it, he wrote La Fayette that he considered that prohibition a wise measure, expressing in the same connection his hope that we should at some time have a confederacy of free States.	true	1645.19	1679.08	19
340_124368_000049_000000	Bearing this in mind, and seeing that sectionalism has since arisen upon this same subject, is that warning a weapon in your hands against us, or in our hands against you?	Bearing this in mind, and seeing that sectionalism has since arisen upon this same subject, is that warning a weapon in your hands against us, or in our hands against you?	true	1679.78	1690.96	17.415964
340_124368_000049_000001	Could Washington himself speak, would he cast the blame of that sectionalism upon us, who sustain his policy, or upon you, who repudiate it?	Could Washington himself speak, would he cast the blame of that sectionalism upon us, who sustain his policy, or upon you, who repudiate it?	true	1691.93	1701.91	18.471106
340_124368_000049_000002	We respect that warning of Washington, and we commend it to you, together with his example pointing to the right application of it.	We respect that warning of Washington, and we commend it to you, together with his example pointing to the right application of it.	true	1702.25	1710.49	21
340_124368_000050_000000	But you say you are conservative--eminently conservative--while we are revolutionary, destructive, or something, of the sort.	But you say you are conservative-eminently conservative-while we are revolutionary, destructive, or something, of the sort.	true	1711.25	1718.77	20.29623
340_124368_000050_000001	What is conservatism?	What is conservatism?	true	1719.47	1721.26	21.14347
340_124368_000050_000002	Is it not adherence to the old and tried, against a new and untried?	Is it not adherence to the old and tried, against a new and untried?	false	1721.93	1726.81	17
340_124368_000050_000003	We stick to, contend for, the identical old policy on the point in controversy which was adopted by "our fathers who framed the Government under which we live"; while you with one accord reject, and scout, and spit upon that old policy and insist upon substituting something new. True, you disagree among yourselves as to what that substitute shall be. You are divided on new propositions and plans, but you are unanimous in rejecting and denouncing the old policy of the fathers.	We stick to, contend for, the identical old policy on the point in controversy which was adopted by "our fathers who framed the Government under which we live"; while you with one accord reject, and scout, and spit upon that old policy and insist upon substituting something new. True, you disagree among yourselves as to what that substitute shall be. You are divided on new propositions and plans, but you are unanimous in rejecting and denouncing the old policy of the fathers.	true	1727.51	1759.45	19
340_124368_000050_000004	Some of you are for reviving the foreign slave trade; some for a Congressional slave code for the Territories; some for Congress forbidding the Territories to prohibit slavery within their limits; some for maintaining slavery in the Territories through the judiciary; some for the "gur-reat pur-rinciple" that "if one man would enslave another, no third man should object," fantastically called "popular sovereignty"; but never a man among you in favor of Federal prohibition of slavery in Federal Territories, according to the practice of "our fathers who framed the Government under which we live." Not one of all your various plans can show a precedent or an advocate in the century within which our Government originated.	Some of you are for reviving the foreign slave trade; some for a Congressional slave code for the Territories; some for Congress forbidding the Territories to prohibit slavery within their limits; some for maintaining slavery in the Territories through the judiciary; some for the "gur reat pur rinciple" that "if one man would enslave another, no third man should object," fantastically called "popular sovereignty"; but never a man among you in favor of Federal prohibition of slavery in Federal Territories, according to the practice of "our fathers who framed the Government under which we live." Not one of all your various plans can show a precedent or an advocate in the century within which our Government originated.	false	1759.97	1804.51	18
340_124368_000050_000005	Consider, then, whether your claim of conservatism for yourselves, and your charge of destructiveness against us, are based on the most clear and stable foundations.	Consider, then, whether your claim of conservatism for yourselves, and your charge of destructiveness against us, are based on the most clear and stable foundations.	true	1805.09	1815.4	18
340_124368_000051_000000	Again: You say we have made the slavery question more prominent than it formerly was.	Again: You say we have made the slavery question more prominent than it formerly was.	true	1816.07	1821.73	16.050835
340_124368_000051_000001	We deny it.	We deny it.	true	1822.16	1823.11	20
340_124368_000051_000002	We admit that it is more prominent, but we deny that we made it so.	We admit that it is more prominent, but we deny that we made it so.	true	1823.9	1828.69	20.231201
340_124368_000051_000003	It was not we, but you, who discarded the old policy of the fathers.	It was not we, but you, who discarded the old policy of the fathers.	true	1830.02	1834.3	16
340_124368_000051_000004	We resisted and still resist your innovation; and thence comes the greater prominence of the question.	We resisted and still resist your innovation; and thence comes the greater prominence of the question.	true	1834.76	1841.26	18.977804
340_124368_000051_000005	Would you have that question reduced to its former proportions?	Would you have that question reduced to its former proportions?	false	1841.9	1845.43	16
340_124368_000051_000006	Go back to that old policy.	Go back to that old policy.	false	1845.89	1847.83	21.054268
340_124368_000051_000007	What has been will be again, under the same conditions.	What has been will be again, under the same conditions.	true	1848.26	1851.85	16
340_124368_000051_000008	If you would have the peace of the old times, readopt the precepts and policy of the old times.	If you would have the peace of the old times, readopt the precepts and policy of the old times.	true	1852.37	1858.66	18
340_124368_000052_000000	You charge that we stir up insurrections among your slaves.	You charge that we stir up insurrections among your slaves.	true	1858.76	1862.38	18
340_124368_000052_000001	We deny it; and what is your proof'?	We deny it; and what is your proof'?	true	1862.42	1865.5	22.060823
340_124368_000052_000002	Harper's Ferry!	Harper's Ferry!	true	1865.63	1866.79	19.134218
340_124368_000052_000003	John Brown!!	john Brown!!	true	1867.01	1868.2	17.590096
340_124368_000052_000004	John Brown was no Republican; and you have failed to implicate a single Republican in his Harper's Ferry enterprise.	john Brown was no Republican; and you have failed to implicate a single Republican in his Harper's Ferry enterprise.	true	1868.54	1874.86	19.023714
340_124368_000052_000005	If any member of our party is guilty in that matter you know it or you do not know it.	If any member of our party is guilty in that matter you know it or you do not know it.	true	1875.11	1879.99	17
340_124368_000052_000006	If you do know it, you are inexcusable for not designating the man and proving the fact.	If you do know it, you are inexcusable for not designating the man and proving the fact.	true	1880.45	1885.72	19
340_124368_000052_000007	If you do not know it, you are inexcusable for asserting it, and especially for persisting in the assertion after you have tried and failed to make the proof.	If you do not know it, you are inexcusable for asserting it, and especially for persisting in the assertion after you have tried and failed to make the proof.	true	1886.18	1895.23	19.307037
340_124368_000052_000008	You need not be told that persisting in a charge which one does not know to be true is simply malicious slander.	You need not be told that persisting in a charge which one does not know to be true is simply malicious slander.	true	1895.75	1902.46	16
340_124368_000053_000000	Some of you admit that no Republican designedly aided or encouraged the Harper's Ferry affair, but still insist that our doctrines and declarations necessarily lead to such results.	Some of you admit that no Republican designedly aided or encouraged the Harper's Ferry affair, but still insist that our doctrines and declarations necessarily lead to such results.	false	1902.74	1913.62	15
340_124368_000053_000001	We do not believe it.	We do not believe it.	true	1914.32	1915.66	24
340_124368_000053_000002	We know we hold to no doctrine, and make no declaration, which were not held to and made by our fathers who framed the Government under which we live. You never dealt fairly by us in relation to this affair.	We know we hold to no doctrine, and make no declaration, which were not held to and made by our fathers who framed the Government under which we live. You never dealt fairly by us in relation to this affair.	true	1916.24	1928.65	16
340_124368_000053_000003	When it occurred, some important State elections were near at hand, and you were in evident glee with the belief that, by charging the blame upon us, you could get an advantage of us in those elections.	When it occurred, some important State elections were near at hand, and you were in evident glee with the belief that, by charging the blame upon us, you could get an advantage of us in those elections.	true	1928.93	1941.1	18
340_124368_000053_000004	The elections came, and your expectations were not quite fulfilled.	The elections came, and your expectations were not quite fulfilled.	true	1941.5	1945.87	22.402206
340_124368_000053_000005	Every Republican man knew that, as to himself at least, your charge was a slander, and he was not much inclined by it to cast his vote in your favor.	Every Republican man knew that, as to himself at least, your charge was a slander, and he was not much inclined by it to cast his vote in your favor.	false	1946.27	1956.28	19.14315
340_124368_000053_000006	Republican doctrines and declarations are accompanied with a continued protest against any interference whatever with your slaves, or with you about your slaves. Surely, this does not encourage them to revolt.	Republican doctrines and declarations are accompanied with a continued protest against any interference whatever with your slaves, or with you about your slaves. Surely, this does not encourage them to revolt.	true	1956.92	1971.01	19.439695
340_124368_000053_000007	True, we do, in common with "our fathers, who framed the Government under which we live," declare our belief that slavery is wrong; but the slaves do not hear us declare even this.	True, we do, in common with "our fathers, who framed the Government under which we live," declare our belief that slavery is wrong; but the slaves do not hear us declare even this.	true	1971.29	1983.37	17.566225
340_124368_000053_000008	For any thing we say or do, the slaves would scarcely know there is a Republican party.	For any thing we say or do, the slaves would scarcely know there is a Republican party.	true	1983.92	1989.1	17.843056
340_124368_000053_000009	I believe they would not, in fact, generally know it but for your misrepresentations of us in their hearing.	I believe they would not, in fact, generally know it but for your misrepresentations of us in their hearing.	false	1989.83	1997.28	17
340_124368_000053_000010	In your political contests among yourselves, each faction charges the other with sympathy with Black Republicanism; and then, to give point to the charge, defines Black Republicanism to simply be insurrection, blood, and thunder among the slaves.	In your political contests among yourselves, each faction charges the other with sympathy with Black Republicanism; and then, to give point to the charge, defines Black Republicanism to simply be insurrection, blood, and thunder among the slaves.	true	1997.28	2012.86	19.30962
340_124368_000054_000000	Slave insurrections are no more common now than they were before the Republican party was organized.	Slave insurrections are no more common now than they were before the Republican party was organized.	true	2013.41	2018.74	16
340_124368_000054_000001	What induced the Southampton insurrection, twenty-eight years ago, in which, at least, three times as many lives were lost as at Harper's Ferry?	What induced the Southampton insurrection, twenty eight years ago, in which, at least, three times as many lives were lost as at Harper's Ferry?	true	2019.32	2027.77	18.988066
340_124368_000054_000002	You can scarcely stretch your very elastic fancy to the conclusion that Southampton was "got up by Black Republicanism." In the present state of things in the United States, I do not think a general or even a very extensive slave insurrection is possible.	You can scarcely stretch your very elastic fancy to the conclusion that Southampton was "got up by Black Republicanism." In the present state of things in the United States, I do not think a general or even a very extensive slave insurrection is possible.	false	2028.17	2043.31	19.796513
340_124368_000054_000003	The indispensable concert of action cannot be attained.	The indispensable concert of action cannot be attained.	true	2043.38	2046.7	21.06163
340_124368_000054_000004	The slaves have no means of rapid communication; nor can incendiary freemen, black or white, supply it.	The slaves have no means of rapid communication; nor can incendiary freemen, black or white, supply it.	true	2046.77	2054.35	18.855604
340_124368_000054_000005	The explosive materials are everywhere in parcels; but there neither are, nor can be supplied the indispensable connecting trains.	The explosive materials are everywhere in parcels; but there neither are, nor can be supplied the indispensable connecting trains.	true	2054.87	2063.95	20.374884
340_124368_000055_000000	Much is said by Southern people about the affection of slaves for their masters and mistresses; and a part of it, at least, is true.	Much is said by Southern people about the affection of slaves for their masters and mistresses; and a part of it, at least, is true.	true	2064.65	2073.1	18.836632
340_124368_000055_000001	A plot for an uprising could scarcely be devised and communicated to twenty individuals before some one of them, to save the life of a favorite master or mistress, would divulge it.	A plot for an uprising could scarcely be devised and communicated to twenty individuals before some one of them, to save the life of a favorite master or mistress, would divulge it.	true	2073.98	2084.8	17
340_124368_000055_000002	This is the rule; and the slave revolution in Hayti was not an exception to it, but a case occurring under peculiar circumstances.	This is the rule; and the slave revolution in Hayti was not an exception to it, but a case occurring under peculiar circumstances.	true	2084.96	2093.14	20.877779
340_124368_000055_000003	The gunpowder plot of British history, though not connected with slaves, was more in point.	The gunpowder plot of British history, though not connected with slaves, was more in point.	false	2094.29	2099.92	20
340_124368_000055_000004	In that case, only about twenty were admitted to the secret; and yet one of them, in his anxiety to save a friend, betrayed the plot to that friend, and, by consequence, averted the calamity.	In that case, only about twenty were admitted to the secret; and yet one of them, in his anxiety to save a friend, betrayed the plot to that friend, and, by consequence, averted the calamity.	true	2100.44	2113.63	20.615194
340_124368_000055_000005	Occasional poisonings from the kitchen, and open or stealthy assassinations in the field, and local revolts, extending to a score or so, will continue to occur as the natural results of slavery; but no general insurrection of slaves, as I think, can happen in this country for a long time.	Occasional poisonings from the kitchen, and open or stealthy assassinations in the field, and local revolts, extending to a score or so, will continue to occur as the natural results of slavery; but no general insurrection of slaves, as I think, can happen in this country for a long time.	true	2114.63	2133.28	17
340_124368_000055_000006	Whoever much fears or much hopes for such an event will be alike disappointed.	Whoever much fears or much hopes for such an event will be alike disappointed.	false	2133.56	2139.19	19
340_124368_000056_000000	In the language of Mr. Jefferson, uttered many years ago, "It is still in our power to direct the process of emancipation and deportation peaceably, and in such slow degrees as that the evil will wear off insensibly, and their places be, pari passu, filled up by free white laborers.	In the language of mr Jefferson, uttered many years ago, "It is still in our power to direct the process of emancipation and deportation peaceably, and in such slow degrees as that the evil will wear off insensibly, and their places be, pari passu, filled up by free white laborers.	true	2139.83	2159.74	19.062536
340_124368_000056_000001	If, on the contrary, it is left to force itself on, human nature must shudder at the prospect held up."	If, on the contrary, it is left to force itself on, human nature must shudder at the prospect held up."	true	2160.35	2167.66	19.220776
340_124368_000057_000000	Mr. Jefferson did not mean to say, nor do I, that the power of emancipation is in the Federal Government.	mr Jefferson did not mean to say, nor do I, that the power of emancipation is in the Federal Government.	true	2168.6	2174.92	15
340_124368_000057_000001	He spoke of Virginia; and, as to the power of emancipation, I speak of the slave holding States only.	He spoke of Virginia; and, as to the power of emancipation, I speak of the slave holding States only.	true	2175.26	2182.6	20.708658
340_124368_000057_000002	The Federal Government, however, as we insist, has the power of restraining the extension of the institution--the power to insure that a slave insurrection shall never occur on any American soil which is now free from slavery.	The Federal Government, however, as we insist, has the power of restraining the extension of the institution-the power to insure that a slave insurrection shall never occur on any American soil which is now free from slavery.	true	2183.03	2197.3	18.588572
340_124368_000058_000000	John Brown's effort was peculiar.	john Brown's effort was peculiar.	true	2198	2200.27	18.678326
340_124368_000058_000001	It was not a slave insurrection.	It was not a slave insurrection.	true	2200.58	2202.7	18.27808
340_124368_000058_000002	It was an attempt by white men to get up a revolt among slaves, in which the slaves refused to participate.	It was an attempt by white men to get up a revolt among slaves, in which the slaves refused to participate.	true	2202.92	2210.11	18.479258
340_124368_000058_000003	In fact, it was so absurd that the slaves, with all their ignorance, saw plainly enough it could not succeed.	In fact, it was so absurd that the slaves, with all their ignorance, saw plainly enough it could not succeed.	false	2210.93	2218.18	18
340_124368_000058_000004	That affair, in its philosophy, corresponds with the many attempts related in history at the assassination of kings and emperors.	That affair, in its philosophy, corresponds with the many attempts related in history at the assassination of kings and emperors.	true	2218.76	2227.33	18
340_124368_000058_000005	An enthusiast broods over the oppression of a people till he fancies himself commissioned by Heaven to liberate them.	An enthusiast broods over the oppression of a people till he fancies himself commissioned by Heaven to liberate them.	true	2227.67	2234.68	16
340_124368_000058_000006	He ventures the attempt, which ends in little else than his own execution.	He ventures the attempt, which ends in little else than his own execution.	true	2235.29	2240.83	20.655424
340_124368_000058_000007	Orsini's attempt on Louis Napoleon and John Brown's attempt at Harper's Ferry were, in their philosophy, precisely the same.	Orsini's attempt on Louis Napoleon and john Brown's attempt at Harper's Ferry were, in their philosophy, precisely the same.	true	2241.11	2249.53	18
340_124368_000058_000008	The eagerness to cast blame on old England in the one case, and on New England in the other, does not disprove the sameness of the two things.	The eagerness to cast blame on old England in the one case, and on New England in the other, does not disprove the sameness of the two things.	true	2249.57	2258.98	18.431051
340_124368_000059_000000	And how much would it avail you, if you could, by the use of John Brown, Helper's Book, and the like, break up the Republican organization?	And how much would it avail you, if you could, by the use of john Brown, Helper's Book, and the like, break up the Republican organization?	true	2259.65	2268.58	18.531708
340_124368_000059_000001	Human action can be modified to some extent, but human nature cannot be changed. There is a judgment and a feeling against slavery in this nation, which cast at least a million and a half of votes.	Human action can be modified to some extent, but human nature cannot be changed. There is a judgment and a feeling against slavery in this nation, which cast at least a million and a half of votes.	true	2269.28	2282.11	19.052855
340_124368_000059_000002	You cannot destroy that judgment and feeling--that sentiment--by breaking up the political organization which rallies around it.	You cannot destroy that judgment and feeling-that sentiment-by breaking up the political organization which rallies around it.	true	2282.9	2290.51	19.112051
340_124368_000059_000003	You can scarcely scatter and disperse an army which has been formed into order in the face of your heaviest fire; but if you could, how much would you gain by forcing the sentiment which created it out of the peaceful channel of the ballot-box, into some other channel?	You can scarcely scatter and disperse an army which has been formed into order in the face of your heaviest fire; but if you could, how much would you gain by forcing the sentiment which created it out of the peaceful channel of the ballot box, into some other channel?	false	2291.33	2308.18	19.98778
340_124368_000059_000004	What would that other channel probably be?	What would that other channel probably be?	true	2308.73	2310.87	18
340_124368_000059_000005	Would the number of John Browns be lessened or enlarged by the operation?	Would the number of john Browns be lessened or enlarged by the operation?	false	2310.87	2316.37	17.006287
340_124368_000060_000000	But you will break up the Union rather than submit to a denial of your constitutional rights.	But you will break up the Union rather than submit to a denial of your constitutional rights.	true	2317.04	2322.28	13
340_124368_000061_000000	That has a somewhat reckless sound; but it would be palliated, if not fully justified, were we proposing, by the mere force of numbers, to deprive you of some right plainly written down in the Constitution.	That has a somewhat reckless sound; but it would be palliated, if not fully justified, were we proposing, by the mere force of numbers, to deprive you of some right plainly written down in the Constitution.	true	2322.92	2337.55	16.498716
340_124368_000061_000001	But we are proposing no such thing.	But we are proposing no such thing.	true	2338.04	2340.37	22
340_124368_000062_000000	When you make these declarations, you have a specific and well-understood allusion to an assumed constitutional right of yours to take slaves into the Federal Territories, and to hold them there as property.	When you make these declarations, you have a specific and well understood allusion to an assumed constitutional right of yours to take slaves into the Federal Territories, and to hold them there as property.	false	2340.71	2354.2	16
340_124368_000062_000001	But no such right is specifically written in the Constitution.	But no such right is specifically written in the Constitution.	true	2354.33	2357.8	18.370705
340_124368_000062_000002	That instrument is literally silent about any such right.	That instrument is literally silent about any such right.	true	2358.2	2361.97	19
340_124368_000062_000003	We, on the contrary, deny that such a right has any existence in the Constitution, even by implication.	We, on the contrary, deny that such a right has any existence in the Constitution, even by implication.	true	2362.7	2369.74	19
340_124368_000063_000000	Your purpose, then, plainly stated, is that you will destroy the Government unless you be allowed to construe and enforce the Constitution as you please on all points in dispute between you and us.	Your purpose, then, plainly stated, is that you will destroy the Government unless you be allowed to construe and enforce the Constitution as you please on all points in dispute between you and us.	true	2370.2	2382.64	14
340_124368_000063_000001	You will rule or ruin, in all events.	You will rule or ruin, in all events.	true	2383.16	2386.3	14
340_124368_000064_000000	This, plainly stated, is your language.	This, plainly stated, is your language.	true	2387.21	2389.96	19
340_124368_000064_000001	Perhaps you will say the Supreme Court has decided the disputed constitutional question in your favor. Not quite so.	Perhaps you will say the Supreme Court has decided the disputed constitutional question in your favor. Not quite so.	true	2390.63	2398.15	19.644121
340_124368_000064_000002	But, waiving the lawyer's distinction between dictum and decision, the court have decided the question for you in a sort of way. The court have substantially said it is your constitutional right to take slaves into the Federal Territories, and to hold them there as property. When I say, the decision was made in a sort of way, I mean it was made in a divided court, by a bare majority of the judges, and they not quite agreeing with one another in the reasons for making it; that it is so made as that its avowed supporters disagree with one another about its meaning, and that it was mainly based upon a mistaken statement of fact--the statement in the opinion that "the right of property in a slave is distinctly and expressly affirmed in the Constitution."	But, waiving the lawyer's distinction between dictum and decision, the court have decided the question for you in a sort of way. The court have substantially said it is your constitutional right to take slaves into the Federal Territories, and to hold them there as property. When I say, the decision was made in a sort of way, I mean it was made in a divided court, by a bare majority of the judges, and they not quite agreeing with one another in the reasons for making it; that it is so made as that its avowed supporters disagree with one another about its meaning, and that it was mainly based upon a mistaken statement of fact-the statement in the opinion that "the right of property in a slave is distinctly and expressly affirmed in the Constitution."	false	2398.64	2449.78	17.465805
