7766_109658_000000_000000	OUT OF NAZARETH	OUT OF NAZARETH	true	21.21	22.93	21.257402
7766_109658_000033_000001	I know that town as well as I know the regulations for illegal use of the mails.	I know that town as well as I know the regulations for illegal use of the mails.	true	1049.85	1054.35	17
7766_109658_000033_000002	I might give you a hunch as to whether you can make the game go or not."	I might give you a hunch as to whether you can make the game go or not."	true	1054.35	1058.28	23
7766_109658_000034_000000	J. Pinkney, somehow, had a kindly feeling toward these unsophisticated representatives of by-gone days.	J. Pinkney, somehow, had a kindly feeling toward these unsophisticated representatives of by gone days.	false	1058.28	1065.79	25.363699
7766_109658_000034_000001	They were so simple, impractical, and unsuspecting.	They were so simple, impractical, and unsuspecting.	true	1066.13	1069.89	26.115946
7766_109658_000034_000002	He was glad that he happened not to have a gold brick or a block of that western Bad Boy Silver Mine stock along with him.	He was glad that he happened not to have a gold brick or a block of that western Bad Boy Silver Mine stock along with him.	true	1069.89	1077.19	17
7766_109658_000034_000003	He would have disliked to unload on people he liked so well as he did these; but there are some temptations toe enticing to be resisted.	He would have disliked to unload on people he liked so well as he did these; but there are some temptations toe enticing to be resisted.	false	1077.19	1085.62	24.1008
7766_109658_000035_000000	"No, sir," said Colonel Blaylock, pausing to arrange the queen's wrap. "I did not invest in Okochee.	"No, sir," said Colonel Blaylock, pausing to arrange the queen's wrap. "I did not invest in Okochee.	true	1085.63	1092.4	22.94783
7766_109658_000035_000001	I have made an exhaustive study of business conditions, and I regard old settled towns as unfavorable fields in which to place capital that is limited in amount.	I have made an exhaustive study of business conditions, and I regard old settled towns as unfavorable fields in which to place capital that is limited in amount.	false	1092.4	1102.35	20
7766_109658_000035_000002	Some months ago, through the kindness of a friend, there came into my hands a map and description of this new town of Skyland that has been built upon the lake.	Some months ago, through the kindness of a friend, there came into my hands a map and description of this new town of Skyland that has been built upon the lake.	false	1102.35	1111.52	25.09675
7766_109658_000035_000003	The description was so pleasing, the future of the town set forth in such convincing arguments, and its increasing prosperity portrayed in such an attractive style that I decided to take advantage of the opportunity it offered.	The description was so pleasing, the future of the town set forth in such convincing arguments, and its increasing prosperity portrayed in such an attractive style that I decided to take advantage of the opportunity it offered.	true	1111.52	1126.69	25.87571
7766_109658_000035_000004	I carefully selected a lot in the centre of the business district, although its price was the highest in the schedule--five hundred dollars--and made the purchase at once."	I carefully selected a lot in the centre of the business district, although its price was the highest in the schedule-five hundred dollars-and made the purchase at once."	true	1126.69	1136.83	23.713224
7766_109658_000036_000000	"Are you the man--I mean, did you pay five hundred dollars for a lot in Skyland" asked J. Pinkney Bloom.	"Are you the man-I mean, did you pay five hundred dollars for a lot in Skyland" asked j Pinkney Bloom.	false	1137.11	1143.87	30.141323
7766_109658_000037_000000	"I did, sir," answered the Colonel, with the air of a modest millionaire explaining his success; "a lot most excellently situated on the same square with the opera house, and only two squares from the board of trade.	"I did, sir," answered the Colonel, with the air of a modest millionaire explaining his success; "a lot most excellently situated on the same square with the opera house, and only two squares from the board of trade.	false	1143.87	1157.95	25.559475
7766_109658_000037_000001	I consider the purchase a most fortuitous one.	I consider the purchase a most fortuitous one.	true	1157.95	1161.13	26.653564
7766_109658_000037_000002	It is my intention to erect a small building upon it at once, and open a modest book and stationery store.	It is my intention to erect a small building upon it at once, and open a modest book and stationery store.	true	1161.32	1168.33	25.071445
7766_109658_000037_000003	During past years I have met with many pecuniary reverses, and I now find it necessary to engage in some commercial occupation that will furnish me with a livelihood.	During past years I have met with many pecuniary reverses, and I now find it necessary to engage in some commercial occupation that will furnish me with a livelihood.	false	1168.58	1179.1	25.032194
7766_109658_000037_000004	The book and stationery business, though an humble one, seems to me not inapt nor altogether uncongenial.	The book and stationery business, though an humble one, seems to me not inapt nor altogether uncongenial.	false	1179.2	1186.3	24.613775
7766_109658_000037_000005	I am a graduate of the University of Virginia; and Mrs. Blaylock's really wonderful acquaintance with belles-lettres and poetic literature should go far toward insuring success.	I am a graduate of the University of Virginia; and mrs Blaylock's really wonderful acquaintance with belles lettres and poetic literature should go far toward insuring success.	false	1186.31	1197.61	26.547503
7766_109658_000037_000006	Of course, Mrs. Blaylock would not personally serve behind the counter.	Of course, mrs Blaylock would not personally serve behind the counter.	true	1197.65	1201.33	26.059828
7766_109658_000037_000007	With the nearly three hundred dollars I have remaining I can manage the building of a house, by giving a lien on the lot.	With the nearly three hundred dollars I have remaining I can manage the building of a house, by giving a lien on the lot.	false	1201.46	1208.55	22.82856
7766_109658_000037_000008	I have an old friend in Atlanta who is a partner in a large book store, and he has agreed to furnish me with a stock of goods on credit, on extremely easy terms.	I have an old friend in Atlanta who is a partner in a large book store, and he has agreed to furnish me with a stock of goods on credit, on extremely easy terms.	false	1208.55	1218.78	25.791367
7766_109658_000037_000009	I am pleased to hope, sir, that Mrs. Blaylock's health and happiness will be increased by the change of locality. Already I fancy I can perceive the return of those roses that were once the hope and despair of Georgia cavaliers."	I am pleased to hope, sir, that mrs Blaylock's health and happiness will be increased by the change of locality. Already I fancy I can perceive the return of those roses that were once the hope and despair of Georgia cavaliers."	false	1218.78	1232.71	25.011707
7766_109658_000038_000000	Again followed that wonderful bow, as the Colonel lightly touched the pale cheek of the poetess.	Again followed that wonderful bow, as the Colonel lightly touched the pale cheek of the poetess.	true	1233.35	1239.07	27.823956
7766_109658_000038_000001	Mrs. Blaylock, blushing like a girl, shook her curl and gave the Colonel an arch, reproving tap.	mrs Blaylock, blushing like a girl, shook her curl and gave the Colonel an arch, reproving tap.	true	1239.35	1245.56	27.21414
7766_109658_000038_000002	Secret of eternal youth--where art thou?	Secret of eternal youth-where art thou?	true	1245.56	1248.45	31.020208
7766_109658_000038_000003	Every second the answer comes--"Here, here, here." Listen to thine own heartbeats, O weary seeker after external miracles.	Every second the answer comes-"Here, here, here." Listen to thine own heartbeats, O weary seeker after external miracles.	true	1248.45	1258.39	22.60413
7766_109658_000039_000000	"Those years," said Mrs. Blaylock, "in Holly Springs were long, long, long.	"Those years," said mrs Blaylock, "in Holly Springs were long, long, long.	true	1258.46	1263.73	22.017094
7766_109658_000039_000001	But now is the promised land in sight.	But now is the promised land in sight.	false	1263.73	1265.91	21
7766_109658_000039_000002	Skyland!--a lovely name."	Skyland!--a lovely name."	true	1265.91	1268.35	21.167072
7766_109658_000040_000000	"Doubtless," said the Colonel, "we shall be able to secure comfortable accommodations at some modest hotel at reasonable rates.	"Doubtless," said the Colonel, "we shall be able to secure comfortable accommodations at some modest hotel at reasonable rates.	true	1268.42	1276.34	21
7766_109658_000040_000001	Our trunks are in Okochee, to be forwarded when we shall have made permanent arrangements."	Our trunks are in Okochee, to be forwarded when we shall have made permanent arrangements."	true	1276.34	1281.78	25
7766_109658_000041_000000	J. Pinkney Bloom excused himself, went forward, and stood by the captain at the wheel.	J. Pinkney Bloom excused himself, went forward, and stood by the captain at the wheel.	true	1281.78	1286.84	27.417233
7766_109658_000042_000000	"Mac," said he, "do you remember my telling you once that I sold one of those five-hundred-dollar lots in Skyland?"	"Mac," said he, "do you remember my telling you once that I sold one of those five hundred dollar lots in Skyland?"	false	1286.84	1293.33	19
7766_109658_000043_000000	"Seems I do," grinned Captain MacFarland.	"Seems I do," grinned Captain MacFarland.	false	1293.33	1296.18	25.61982
7766_109658_000044_000000	"I'm not a coward, as a general rule," went on the promoter, "but I always said that if I ever met the sucker that bought that lot I'd run like a turkey.	"I'm not a coward, as a general rule," went on the promoter, "but I always said that if I ever met the sucker that bought that lot I'd run like a turkey.	false	1296.18	1305.32	23
7766_109658_000044_000001	Now, you see that old babe-in-the-wood over there? Well, he's the boy that drew the prize.	Now, you see that old babe in the wood over there? Well, he's the boy that drew the prize.	true	1305.32	1310.13	20
7766_109658_000044_000002	That was the only five-hundred-dollar lot that went.	That was the only five hundred dollar lot that went.	true	1310.13	1312.85	23
7766_109658_000044_000003	The rest ranged from ten dollars to two hundred.	The rest ranged from ten dollars to two hundred.	true	1312.85	1315.63	20
7766_109658_000044_000004	His wife writes poetry.	His wife writes poetry.	true	1315.63	1317.22	30.113127
7766_109658_000044_000005	She's invented one about the high grounds of Georgia, that's way up in G. They're going to Skyland to open a book store."	She's invented one about the high grounds of Georgia, that's way up in g They're going to Skyland to open a book store."	false	1317.22	1323.91	22
7766_109658_000045_000000	"Well," said MacFarland, with another grin, "it's a good thing you are along, J. P.; you can show 'em around town until they begin to feel at home."	"Well," said MacFarland, with another grin, "it's a good thing you are along, j p; you can show 'em around town until they begin to feel at home."	false	1324.04	1333.34	17
7766_109658_000046_000000	"He's got three hundred dollars left to build a house and store with," went on J. Pinkney, as if he were talking to himself.	"He's got three hundred dollars left to build a house and store with," went on j Pinkney, as if he were talking to himself.	false	1333.34	1339.61	24
7766_109658_000046_000001	"And he thinks there's an open house up there."	"And he thinks there's an open house up there."	true	1339.61	1342.05	25.61794
7766_109658_000047_000000	Captain MacFarland released the wheel long enough to give his leg a roguish slap.	Captain MacFarland released the wheel long enough to give his leg a roguish slap.	true	1342.05	1346.59	24.294193
7766_109658_000048_000000	"You old fat rascal!" he chuckled, with a wink.	"You old fat rascal!" he chuckled, with a wink.	true	1346.96	1350.96	21.284658
7766_109658_000049_000000	"Mac, you're a fool," said J. Pinkney Bloom, coldly.	"Mac, you're a fool," said j Pinkney Bloom, coldly.	true	1350.96	1354.83	25.168438
7766_109658_000049_000001	He went back and joined the Blaylocks, where he sat, less talkative, with that straight furrow between his brows that always stood as a signal of schemes being shaped within.	He went back and joined the Blaylocks, where he sat, less talkative, with that straight furrow between his brows that always stood as a signal of schemes being shaped within.	true	1354.83	1364.89	25.829906
7766_109658_000050_000000	"There's a good many swindles connected with these booms," he said presently.	"There's a good many swindles connected with these booms," he said presently.	true	1364.96	1370.23	21
7766_109658_000050_000001	"What if this Skyland should turn out to be one--that is, suppose business should be sort of dull there, and no special sale for books?"	"What if this Skyland should turn out to be one-that is, suppose business should be sort of dull there, and no special sale for books?"	true	1370.33	1380.15	22.694378
7766_109658_000051_000000	"My dear sir," said Colonel Blaylock, resting his hand upon the back of his wife's chair, "three times I have been reduced to almost penury by the duplicity of others, but I have not yet lost faith in humanity.	"My dear sir," said Colonel Blaylock, resting his hand upon the back of his wife's chair, "three times I have been reduced to almost penury by the duplicity of others, but I have not yet lost faith in humanity.	false	1380.15	1394.02	23.202837
7766_109658_000051_000001	If I have been deceived again, still we may glean health and content, if not worldly profit.	If I have been deceived again, still we may glean health and content, if not worldly profit.	true	1394.18	1400.82	22.422157
7766_109658_000051_000002	I am aware that there are dishonest schemers in the world who set traps for the unwary, but even they are not altogether bad.	I am aware that there are dishonest schemers in the world who set traps for the unwary, but even they are not altogether bad.	false	1400.82	1408.63	21.47508
7766_109658_000051_000003	My dear, can you recall those verses entitled 'He Giveth the Increase,' that you composed for the choir of our church in Holly Springs?"	My dear, can you recall those verses entitled 'He Giveth the Increase,' that you composed for the choir of our church in Holly Springs?"	true	1408.63	1417.39	23.861872
7766_109658_000052_000000	"That was four years ago," said Mrs. Blaylock; "perhaps I can repeat a verse or two.	"That was four years ago," said mrs Blaylock; "perhaps I can repeat a verse or two.	false	1417.49	1423.56	24.630253
7766_109658_000053_000000	"The lily springs from the rotting mould; Pearls from the deep sea slime; Good will come out of Nazareth All in God's own time.	"The lily springs from the rotting mould; Pearls from the deep sea slime; Good will come out of Nazareth All in God's own time.	false	1423.56	1432.32	24
7766_109658_000054_000000	"To the hardest heart the softening grace Cometh, at last, to bless; Guiding it right to help and cheer And succor in distress.	"To the hardest heart the softening grace Cometh, at last, to bless; Guiding it right to help and cheer And succor in distress.	false	1432.32	1440.82	23.984123
7766_109658_000055_000000	"I cannot remember the rest.	"I cannot remember the rest.	true	1441.4	1443.64	18.856592
7766_109658_000055_000001	The lines were not ambitious.	The lines were not ambitious.	false	1443.64	1445.71	23.12543
7766_109658_000055_000002	They were written to the music composed by a dear friend."	They were written to the music composed by a dear friend."	true	1445.87	1449.64	30.610441
7766_109658_000056_000000	"It's a fine rhyme, just the same," declared Mr. Bloom.	"It's a fine rhyme, just the same," declared mr Bloom.	true	1449.68	1453.59	23
7766_109658_000056_000001	"It seems to ring the bell, all right.	"It seems to ring the bell, all right.	true	1453.59	1455.97	22
7766_109658_000056_000002	I guess I gather the sense of it.	I guess I gather the sense of it.	true	1455.97	1457.92	19
7766_109658_000056_000003	It means that the rankest kind of a phony will give you the best end of it once in a while."	It means that the rankest kind of a phony will give you the best end of it once in a while."	false	1457.92	1463.76	24
7766_109658_000057_000000	Mr. Bloom strayed thoughtfully back to the captain, and stood meditating.	mr Bloom strayed thoughtfully back to the captain, and stood meditating.	true	1463.76	1467.69	22
7766_109658_000058_000000	"Ought to be in sight of the spires and gilded domes of Skyland now in a few minutes," chirruped MacFarland, shaking with enjoyment.	"Ought to be in sight of the spires and gilded domes of Skyland now in a few minutes," chirruped MacFarland, shaking with enjoyment.	false	1467.69	1475.62	23.809881
7766_109658_000059_000000	"Go to the devil," said Mr. Bloom, still pensive.	"Go to the devil," said mr Bloom, still pensive.	true	1475.62	1479.28	25
7766_109658_000060_000000	And now, upon the left bank, they caught a glimpse of a white village, high up on the hills, smothered among green trees.	And now, upon the left bank, they caught a glimpse of a white village, high up on the hills, smothered among green trees.	false	1479.5	1486.59	25.329216
7766_109658_000060_000001	That was Cold Branch--no boom town, but the slow growth of many years.	That was Cold Branch-no boom town, but the slow growth of many years.	true	1486.59	1491.35	21.931643
7766_109658_000060_000002	Cold Branch lay on the edge of the grape and corn lands.	Cold Branch lay on the edge of the grape and corn lands.	true	1491.35	1495.07	24.797386
7766_109658_000060_000003	The big country road ran just back of the heights.	The big country road ran just back of the heights.	true	1495.07	1498.62	26.703354
7766_109658_000060_000004	Cold Branch had nothing in common with the frisky ambition of Okochee with its impertinent lake.	Cold Branch had nothing in common with the frisky ambition of Okochee with its impertinent lake.	true	1498.62	1504.84	23.904669
7766_109658_000061_000000	"Mac," said J. Pinkney suddenly, "I want you to stop at Cold Branch. There's a landing there that they made to use sometimes when the river was up."	"Mac," said j Pinkney suddenly, "I want you to stop at Cold Branch. There's a landing there that they made to use sometimes when the river was up."	true	1504.91	1513.2	21.059134
7766_109658_000062_000000	"Can't," said the captain, grinning more broadly.	"Can't," said the captain, grinning more broadly.	false	1513.2	1516.03	26.71599
7766_109658_000062_000001	"I've got the United States mails on board.	"I've got the United States mails on board.	true	1516.1	1518.72	24.691319
7766_109658_000062_000002	Right to-day this boat's in the government service.	Right to day this boat's in the government service.	true	1518.72	1521.67	23.595089
7766_109658_000062_000003	Do you want to have the poor old captain keelhauled by Uncle Sam?	Do you want to have the poor old captain keelhauled by Uncle Sam?	true	1521.67	1525.3	19
7766_109658_000062_000004	And the great city of Skyland, all disconsolate, waiting for its mail?	And the great city of Skyland, all disconsolate, waiting for its mail?	true	1525.4	1530.08	25.124094
7766_109658_000062_000005	I'm ashamed of your extravagance, J. P."	I'm ashamed of your extravagance, j p"	true	1530.08	1532.92	21.891968
7766_109658_000063_000000	"Mac," almost whispered J. Pinkney, in his danger-line voice, "I looked into the engine room of the _Dixie Belle_ a while ago.	"Mac," almost whispered j Pinkney, in his danger line voice, "I looked into the engine room of the underscore Dixie Belle underscore a while ago.	false	1533.23	1541.95	25.681684
7766_109658_000063_000001	Don't you know of somebody that needs a new boiler?	Don't you know of somebody that needs a new boiler?	false	1541.95	1545.16	18
7766_109658_000063_000002	Cement and black Japan can't hide flaws from me.	Cement and black Japan can't hide flaws from me.	false	1545.16	1548.91	19
7766_109658_000063_000003	And then, those shares of building and loan that you traded for repairs--they were all yours, of course.	And then, those shares of building and loan that you traded for repairs-they were all yours, of course.	false	1548.91	1555.39	15
7766_109658_000063_000004	I hate to mention these things, but--"	I hate to mention these things, but-"	true	1555.39	1557.76	24.226902
7766_109658_000064_000000	"Oh, come now, J. P.," said the captain.	"Oh, come now, j p," said the captain.	true	1557.86	1560.61	29.172413
7766_109658_000064_000001	"You know I was just fooling. I'll put you off at Cold Branch, if you say so."	"You know I was just fooling. I'll put you off at Cold Branch, if you say so."	true	1560.65	1565.38	25.86848
7766_109658_000065_000000	"The other passengers get off there, too," said Mr. Bloom.	"The other passengers get off there, too," said mr Bloom.	true	1565.39	1568.65	26.342329
7766_109658_000066_000000	Further conversation was held, and in ten minutes the _Dixie Belle_ turned her nose toward a little, cranky wooden pier on the left bank, and the captain, relinquishing the wheel to a roustabout, came to the passenger deck and made the remarkable announcement: "All out for Skyland."	Further conversation was held, and in ten minutes the underscore Dixie Belle underscore turned her nose toward a little, cranky wooden pier on the left bank, and the captain, relinquishing the wheel to a roustabout, came to the passenger deck and made the remarkable announcement: "All out for Skyland."	false	1569.71	1587.36	25
7766_109658_000067_000000	The Blaylocks and J. Pinkney Bloom disembarked, and the _Dixie Belle_ proceeded on her way up the lake.	The Blaylocks and j Pinkney Bloom disembarked, and the underscore Dixie Belle underscore proceeded on her way up the lake.	false	1587.36	1593.49	27
7766_109658_000067_000001	Guided by the indefatigable promoter, they slowly climbed the steep hillside, pausing often to rest and admire the view.	Guided by the indefatigable promoter, they slowly climbed the steep hillside, pausing often to rest and admire the view.	true	1593.49	1600.98	19
7766_109658_000067_000002	Finally they entered the village of Cold Branch. Warmly both the Colonel and his wife praised it for its homelike and peaceful beauty.	Finally they entered the village of Cold Branch. Warmly both the Colonel and his wife praised it for its homelike and peaceful beauty.	true	1600.98	1609.36	22.788471
7766_109658_000067_000003	Mr. Bloom conducted them to a two-story building on a shady street that bore the legend, "Pine-top Inn." Here he took his leave, receiving the cordial thanks of the two for his attentions, the Colonel remarking that he thought they would spend the remainder of the day in rest, and take a look at his purchase on the morrow.	mr Bloom conducted them to a two story building on a shady street that bore the legend, "Pine top Inn." Here he took his leave, receiving the cordial thanks of the two for his attentions, the Colonel remarking that he thought they would spend the remainder of the day in rest, and take a look at his purchase on the morrow.	false	1609.43	1629.22	25.022327
7766_109658_000068_000000	J. Pinkney Bloom walked down Cold Branch's main street.	J. Pinkney Bloom walked down Cold Branch's main street.	true	1629.22	1633.31	21.90691
7766_109658_000068_000001	He did not know this town, but he knew towns, and his feet did not falter. Presently he saw a sign over a door: "Frank E. Cooly, Attorney-at-Law and Notary Public." A young man was Mr. Cooly, and awaiting business.	He did not know this town, but he knew towns, and his feet did not falter. Presently he saw a sign over a door: "Frank e Cooly, Attorney at Law and Notary Public." A young man was mr Cooly, and awaiting business.	false	1633.31	1648.15	25
7766_109658_000069_000000	"Get your hat, son," said Mr. Bloom, in his breezy way, "and a blank deed, and come along.	"Get your hat, son," said mr Bloom, in his breezy way, "and a blank deed, and come along.	true	1648.15	1653.77	22
7766_109658_000069_000001	It's a job for you."	It's a job for you."	true	1653.77	1655.23	21.25653
7766_109658_000070_000000	"Now," he continued, when Mr. Cooly had responded with alacrity, "is there a bookstore in town?"	"Now," he continued, when mr Cooly had responded with alacrity, "is there a bookstore in town?"	true	1655.23	1661.36	22
7766_109658_000071_000000	"One," said the lawyer.	"One," said the lawyer.	true	1661.36	1662.64	21.800505
7766_109658_000071_000001	"Henry Williams's."	"Henry Williams's."	false	1662.64	1663.8	20.791075
7766_109658_000072_000000	"Get there," said Mr. Bloom.	"Get there," said mr Bloom.	true	1663.8	1665.67	22
7766_109658_000072_000001	"We're going to buy it."	"We're going to buy it."	true	1665.67	1667.28	29.020006
7766_109658_000073_000000	Henry Williams was behind his counter.	Henry Williams was behind his counter.	true	1667.28	1669.69	23
7766_109658_000073_000001	His store was a small one, containing a mixture of books, stationery, and fancy rubbish.	His store was a small one, containing a mixture of books, stationery, and fancy rubbish.	true	1669.69	1675.57	23
7766_109658_000073_000002	Adjoining it was Henry's home--a decent cottage, vine-embowered and cosy.	Adjoining it was Henry's home-a decent cottage, vine embowered and cosy.	true	1675.64	1680.62	24.50246
7766_109658_000073_000003	Henry was lank and soporific, and not inclined to rush his business.	Henry was lank and soporific, and not inclined to rush his business.	true	1680.62	1685.08	24.542055
7766_109658_000074_000000	"I want to buy your house and store," said Mr. Bloom.	"I want to buy your house and store," said mr Bloom.	true	1685.18	1689.16	22
7766_109658_000074_000001	"I haven't got time to dicker--name your price."	"I haven't got time to dicker-name your price."	true	1689.16	1692.16	24
7766_109658_000075_000000	"It's worth eight hundred," said Henry, too much dazed to ask more than its value.	"It's worth eight hundred," said Henry, too much dazed to ask more than its value.	true	1692.29	1698.88	25.851086
7766_109658_000076_000000	"Shut that door," said Mr. Bloom to the lawyer.	"Shut that door," said mr Bloom to the lawyer.	true	1698.88	1701.62	21
7766_109658_000076_000001	Then he tore off his coat and vest, and began to unbutton his shirt.	Then he tore off his coat and vest, and began to unbutton his shirt.	true	1701.62	1705.2	22.752737
7766_109658_000077_000000	"Wanter fight about it, do yer?" said Henry Williams, jumping up and cracking his heels together twice.	"Wanter fight about it, do yer?" said Henry Williams, jumping up and cracking his heels together twice.	false	1705.2	1711.66	22.351933
7766_109658_000077_000001	"All right, hunky--sail in and cut yer capers."	"All right, hunky-sail in and cut yer capers."	true	1711.73	1715.59	26.17255
7766_109658_000078_000000	"Keep your clothes on," said Mr. Bloom.	"Keep your clothes on," said mr Bloom.	true	1715.69	1718.09	23.918564
7766_109658_000078_000001	"I'm only going down to the bank."	"I'm only going down to the bank."	true	1718.09	1720	22.44951
7766_109658_000079_000000	He drew eight one-hundred-dollar bills from his money belt and planked them down on the counter.	He drew eight one hundred dollar bills from his money belt and planked them down on the counter.	true	1720.04	1725.18	21.712738
7766_109658_000079_000001	Mr. Cooly showed signs of future promise, for he already had the deed spread out, and was reaching across the counter for the ink bottle.	mr Cooly showed signs of future promise, for he already had the deed spread out, and was reaching across the counter for the ink bottle.	true	1725.18	1733.87	23
7766_109658_000079_000002	Never before or since was such quick action had in Cold Branch.	Never before or since was such quick action had in Cold Branch.	true	1733.87	1738.83	24.194788
7766_109658_000080_000000	"Your name, please?" asked the lawyer.	"Your name, please?" asked the lawyer.	false	1738.83	1741.17	19.389387
7766_109658_000081_000000	"Make it out to Peyton Blaylock," said Mr. Bloom.	"Make it out to Peyton Blaylock," said mr Bloom.	true	1741.17	1744.32	26
7766_109658_000081_000001	"God knows how to spell it."	"God knows how to spell it."	true	1744.32	1746.05	19.704813
7766_109658_000082_000000	Within thirty minutes Henry Williams was out of business, and Mr. Bloom stood on the brick sidewalk with Mr. Cooly, who held in his hand the signed and attested deed.	Within thirty minutes Henry Williams was out of business, and mr Bloom stood on the brick sidewalk with mr Cooly, who held in his hand the signed and attested deed.	false	1746.05	1756.52	23
7766_109658_000083_000000	"You'll find the party at the Pinetop Inn," said J. Pinkney Bloom.	"You'll find the party at the Pinetop Inn," said j Pinkney Bloom.	true	1756.52	1760.3	20
7766_109658_000083_000001	"Get it recorded, and take it down and give it to him.	"Get it recorded, and take it down and give it to him.	true	1760.3	1763.34	24.8304
7766_109658_000083_000002	He'll ask you a hell's mint of questions; so here's ten dollars for the trouble you'll have in not being able to answer 'em.	He'll ask you a hell's mint of questions; so here's ten dollars for the trouble you'll have in not being able to answer 'em.	false	1763.34	1771.59	25
7766_109658_000083_000003	Never run much to poetry, did you, young man?"	Never run much to poetry, did you, young man?"	false	1771.59	1819.77	23.579865
