711_187464_000000_000000	[128-1]	[one hundred twenty eight to one]	false	0	2.43	16.327799
711_187464_000039_000002	Providentially a small barrel of water, a cag of wine, some biscuit, and a few muskets and cartouch boxes, had been thrown into the boat.	Providentially a small barrel of water, a c a g of wine, some biscuit, and a few muskets and cartouch boxes, had been thrown into the boat.	false	1129.97	1139.2	17
711_187464_000039_000003	The heat of the sun, and the reflection from the sand, was now excruciating; and our stomachs being filled with salt water, from the great length of time we were swimming before we were picked up, rendered our thirst most intolerable; and no water was allowed to be served out the first day.	The heat of the sun, and the reflection from the sand, was now excruciating; and our stomachs being filled with salt water, from the great length of time we were swimming before we were picked up, rendered our thirst most intolerable; and no water was allowed to be served out the first day.	true	1139.42	1156.93	15
711_187464_000039_000004	By a calculation which we made, by filling the compass boxes, and every utensil we had, we could admit an allowance of two small wine glasses of water a-day to each man for sixteen days.	By a calculation which we made, by filling the compass boxes, and every utensil we had, we could admit an allowance of two small wine glasses of water a day to each man for sixteen days.	false	1157.36	1170.88	15
711_187464_000040_000000	A saw and hammer had fortunately been in one of the boats, which enabled us, with the greater expedition, to make preparations for our voyage, by repairing one of the boats, which was in a very bad state, and cutting up the floor-boards of all the boats into uprights, round which we stretched canvas, to keep the water from breaking into the boats at sea.	A saw and hammer had fortunately been in one of the boats, which enabled us, with the greater expedition, to make preparations for our voyage, by repairing one of the boats, which was in a very bad state, and cutting up the floor boards of all the boats into uprights, round which we stretched canvas, to keep the water from breaking into the boats at sea.	false	1171.01	1193.71	17
711_187464_000040_000001	We made tents of the boats' sails; and when it was dark, we set the watch, and went to sleep.	We made tents of the boats' sails; and when it was dark, we set the watch, and went to sleep.	true	1193.84	1200.7	19
711_187464_000040_000002	In the night we were disturbed by the irregular behaviour of one Connell, which led us to suspect he had stole our wine, and got drunk; but, on further inquiry, we found that the excruciating torture he suffered from thirst led him to drink salt water; by which means he went mad, and died in the sequel of the voyage.	In the night we were disturbed by the irregular behaviour of one Connell, which led us to suspect he had stole our wine, and got drunk; but, on further inquiry, we found that the excruciating torture he suffered from thirst led him to drink salt water; by which means he went mad, and died in the sequel of the voyage.	false	1200.7	1221.88	16
711_187464_000041_000000	Next morning Mr. George Passmore, the master, was dispatched in one of the boats to visit the wreck, to see if any thing floated round her that might be useful to us in our present distressed state.	Next morning mr George Passmore, the master, was dispatched in one of the boats to visit the wreck, to see if any thing floated round her that might be useful to us in our present distressed state.	true	1222.13	1234.57	15
711_187464_000041_000001	He returned in two hours, and brought with him a cat, which he found clinging to the top-gallant-mast-head; a piece of the top-gallant-mast, which he cut away; and about fifteen feet of the lightning chain; which being copper, we cut up, and converted into nails for fitting out the boats.	He returned in two hours, and brought with him a cat, which he found clinging to the top gallant mast head; a piece of the top gallant mast, which he cut away; and about fifteen feet of the lightning chain; which being copper, we cut up, and converted into nails for fitting out the boats.	false	1235.03	1255.06	17
711_187464_000041_000002	Some of the gigantic cockle was boiled, and cut into junks, lest any one should be inclined to eat.	Some of the gigantic cockle was boiled, and cut into junks, lest any one should be inclined to eat.	true	1255.7	1263.93	17
711_187464_000041_000003	But our thirst was too excessive to bear any thing which would increase it.	But our thirst was too excessive to bear any thing which would increase it.	false	1263.93	1268.32	16
711_187464_000041_000004	This evening a wine glass of water was served to each man.	This evening a wine glass of water was served to each man.	false	1269.41	1273.29	14
711_187464_000041_000005	A paper-parcel of tea having been thrown into the boat, the officers joined all their allowance, and had tea in the Captain's tent with him.	A paper parcel of tea having been thrown into the boat, the officers joined all their allowance, and had tea in the Captain's tent with him.	false	1273.29	1283.6	15
711_187464_000041_000006	When it was boiled, every one took a salt-cellar spoonful, and passed it to his neighbour; by which means we moistened our mouths by slow degrees, and received much refreshment from it.	When it was boiled, every one took a salt cellar spoonful, and passed it to his neighbour; by which means we moistened our mouths by slow degrees, and received much refreshment from it.	false	1283.6	1299.12	16
