7789_103120_000005_000000	"A story that will just suit you, I think.	"A story that will just suit you, I think.
7789_103120_000075_000001	But not before it had torn and bitten him more dangerously than he knew; for the dusk hid the wounds, and excitement kept him from feeling them at first.	But not before it had torn and bitten him more dangerously than he knew; for the dusk hid the wounds, and excitement kept him from feeling them at first.
7789_103120_000076_000000	Onawandah made light of his scratches, as he called them, got their supper, and sent Reuben early to bed, for to-morrow they were to start again.	Onawandah made light of his scratches, as he called them, got their supper, and sent Reuben early to bed, for to morrow they were to start again.
7789_103120_000077_000000	Excited by his adventure, the boy slept lightly, and waking in the night, saw by the flicker of the fire Onawandah binding up a deep wound in his breast with wet moss and his own belt.	Excited by his adventure, the boy slept lightly, and waking in the night, saw by the flicker of the fire Onawandah binding up a deep wound in his breast with wet moss and his own belt.
7789_103120_000078_000000	Next morning, they set out and pushed on as fast as Eunice's strength allowed.	Next morning, they set out and pushed on as fast as Eunice's strength allowed.
7789_103120_000078_000001	But it was evident that Onawandah suffered much, though he would not rest, forbade the children to speak of his wounds, and pressed on with feverish haste, as if he feared that his strength might not hold out.	But it was evident that Onawandah suffered much, though he would not rest, forbade the children to speak of his wounds, and pressed on with feverish haste, as if he feared that his strength might not hold out.
7789_103120_000078_000002	Reuben watched him anxiously, for there was a look in his face that troubled the boy and filled him with alarm, as well as with remorse and love.	Reuben watched him anxiously, for there was a look in his face that troubled the boy and filled him with alarm, as well as with remorse and love.
7789_103120_000078_000003	Eunice would not let him carry her as before, but trudged bravely behind him, though her feet ached and her breath often failed as she tried to keep up; and both children did all they could to comfort and sustain their friend, who seemed glad to give his life for them.	Eunice would not let him carry her as before, but trudged bravely behind him, though her feet ached and her breath often failed as she tried to keep up; and both children did all they could to comfort and sustain their friend, who seemed glad to give his life for them.
7789_103120_000079_000001	He knew that it was past help now, and only cared to see the children safe; then, worn out but happy, he was proud to die, having paid his debt to the good parson, and proved that he was not a liar nor a traitor.	He knew that it was past help now, and only cared to see the children safe; then, worn out but happy, he was proud to die, having paid his debt to the good parson, and proved that he was not a liar nor a traitor.
7789_103120_000081_000000	At last they saw the smoke from the cabins on the hillside, and, hastily mooring the canoe, all sprang out, eager to be at home after their long and perilous wandering.	At last they saw the smoke from the cabins on the hillside, and, hastily mooring the canoe, all sprang out, eager to be at home after their long and perilous wandering.
7789_103120_000081_000001	But as his foot touched the land, Onawandah felt that he could do no more, and stretching his arms toward the parsonage, the windows of which glimmered as hospitably as they had done when he first saw them, he said, with a pathetic sort of triumph in his broken voice: "Go.	But as his foot touched the land, Onawandah felt that he could do no more, and stretching his arms toward the parsonage, the windows of which glimmered as hospitably as they had done when he first saw them, he said, with a pathetic sort of triumph in his broken voice: "Go.
7789_103120_000081_000002	I cannot.	I cannot.
7789_103120_000081_000003	Tell the good father, Onawandah not lie, not forget.	Tell the good father, Onawandah not lie, not forget.
7789_103120_000081_000004	He keep his promise."	He keep his promise."
7789_103120_000082_000000	Then he dropped upon the grass and lay as if dead, while Reuben, bidding Eunice keep watch, ran as fast as his tired legs could carry him to tell the tale and bring help.	Then he dropped upon the grass and lay as if dead, while Reuben, bidding Eunice keep watch, ran as fast as his tired legs could carry him to tell the tale and bring help.
7789_103120_000084_000000	But poor Onawandah had waited too long; now he could only look up into the dear, loving, little face bent over him, and whisper wistfully: "Wild Rose will remember Onawandah?" as the light went out of his eyes, and his last breath was a smile for her.	But poor Onawandah had waited too long; now he could only look up into the dear, loving, little face bent over him, and whisper wistfully: "Wild Rose will remember Onawandah?" as the light went out of his eyes, and his last breath was a smile for her.
7789_103120_000085_000000	When the parson and his people came hurrying up full of wonder, joy, and good-will, they found Eunice weeping bitterly, and the Indian boy lying like a young warrior smiling at death.	When the parson and his people came hurrying up full of wonder, joy, and good will, they found Eunice weeping bitterly, and the Indian boy lying like a young warrior smiling at death.
7789_103120_000086_000001	Let us imitate his virtues, and do honor to his memory," said the pastor, as he held his little daughter close and looked down at the pathetic figure at his feet, whose silence was more eloquent than any words.	Let us imitate his virtues, and do honor to his memory," said the pastor, as he held his little daughter close and looked down at the pathetic figure at his feet, whose silence was more eloquent than any words.
7789_103120_000087_000000	All felt it, and even old Becky had a remorseful sigh for the boy who had kept his word so well and given back her darlings safe.	All felt it, and even old Becky had a remorseful sigh for the boy who had kept his word so well and given back her darlings safe.
7789_103120_000088_000000	They buried him where he lay; and for years the lonely mound under the great oak was kept green by loving hands.	They buried him where he lay; and for years the lonely mound under the great oak was kept green by loving hands.
7789_103120_000088_000001	Wild roses bloomed there, and the murmur of the Long River of Pines was a fit lullaby for faithful Onawandah.	Wild roses bloomed there, and the murmur of the Long River of Pines was a fit lullaby for faithful Onawandah.
